plot_id,location.x,fuel_size,mass,burnunit,location.y,burn
BM1,BearMtn,mass_1hr,0.021799023,BM4,bearmtn,yes
BM1,BearMtn,mass_10hr,0.417213088,BM4,bearmtn,yes
BM1,BearMtn,mass_100hr,0.553396829,BM4,bearmtn,yes
BM1,BearMtn,mass_cwd_sound,0.365181344,BM4,bearmtn,yes
BM1,BearMtn,mass_cwd_rotten,0,BM4,bearmtn,yes
BM1,BearMtn,total_fuel,1.357590284,BM4,bearmtn,yes
BM10,BearMtn,mass_1hr,0.007266341,BM4,bearmtn,yes
BM10,BearMtn,mass_10hr,0.139071029,BM4,bearmtn,yes
BM10,BearMtn,mass_100hr,0.276698415,BM4,bearmtn,yes
BM10,BearMtn,mass_cwd_sound,3.942298599,BM4,bearmtn,yes
BM10,BearMtn,mass_cwd_rotten,0,BM4,bearmtn,yes
BM10,BearMtn,total_fuel,4.365334384,BM4,bearmtn,yes
BM11,BearMtn,mass_1hr,0.083562921,BM4,bearmtn,yes
BM11,BearMtn,mass_10hr,0.139071029,BM4,bearmtn,yes
BM11,BearMtn,mass_100hr,0.276698415,BM4,bearmtn,yes
BM11,BearMtn,mass_cwd_sound,0.51004667,BM4,bearmtn,yes
BM11,BearMtn,mass_cwd_rotten,0,BM4,bearmtn,yes
BM11,BearMtn,total_fuel,1.009379035,BM4,bearmtn,yes
BM12,BearMtn,mass_1hr,0.214357059,BM6,bearmtn,yes
BM12,BearMtn,mass_10hr,1.04303272,BM6,bearmtn,yes
BM12,BearMtn,mass_100hr,2.766984146,BM6,bearmtn,yes
BM12,BearMtn,mass_cwd_sound,35.25961686,BM6,bearmtn,yes
BM12,BearMtn,mass_cwd_rotten,0.579461306,BM6,bearmtn,yes
BM12,BearMtn,total_fuel,39.863452091,BM6,bearmtn,yes
BM13,BearMtn,mass_1hr,0.018165852,BM6,bearmtn,yes
BM13,BearMtn,mass_10hr,0.208606544,BM6,bearmtn,yes
BM13,BearMtn,mass_100hr,0,BM6,bearmtn,yes
BM13,BearMtn,mass_cwd_sound,2.610593905,BM6,bearmtn,yes
BM13,BearMtn,mass_cwd_rotten,0,BM6,bearmtn,yes
BM13,BearMtn,total_fuel,2.837366301,BM6,bearmtn,yes
BM14,BearMtn,mass_1hr,0.029209266,BM4,bearmtn,yes
BM14,BearMtn,mass_10hr,0.139759567,BM4,bearmtn,yes
BM14,BearMtn,mass_100hr,0.278068342,BM4,bearmtn,yes
BM14,BearMtn,mass_cwd_sound,0,BM4,bearmtn,yes
BM14,BearMtn,mass_cwd_rotten,0,BM4,bearmtn,yes
BM14,BearMtn,total_fuel,0.447037175,BM4,bearmtn,yes
BM15,BearMtn,mass_1hr,0.069648213,BM6,bearmtn,yes
BM15,BearMtn,mass_10hr,0.841896139,BM6,bearmtn,yes
BM15,BearMtn,mass_100hr,0,BM6,bearmtn,yes
BM15,BearMtn,mass_cwd_sound,0.368450526,BM6,bearmtn,yes
BM15,BearMtn,mass_cwd_rotten,0,BM6,bearmtn,yes
BM15,BearMtn,total_fuel,1.279994878,BM6,bearmtn,yes
BM16,BearMtn,mass_1hr,0.050864387,BM6,bearmtn,yes
BM16,BearMtn,mass_10hr,1.390710293,BM6,bearmtn,yes
BM16,BearMtn,mass_100hr,1.383492073,BM6,bearmtn,yes
BM16,BearMtn,mass_cwd_sound,6.327023315,BM6,bearmtn,yes
BM16,BearMtn,mass_cwd_rotten,0,BM6,bearmtn,yes
BM16,BearMtn,total_fuel,9.152090068,BM6,bearmtn,yes
BM17,BearMtn,mass_1hr,0.081926091,BM6,bearmtn,yes
BM17,BearMtn,mass_10hr,0.855266962,BM6,bearmtn,yes
BM17,BearMtn,mass_100hr,2.836092868,BM6,bearmtn,yes
BM17,BearMtn,mass_cwd_sound,15.34611108,BM6,bearmtn,yes
BM17,BearMtn,mass_cwd_rotten,0,BM6,bearmtn,yes
BM17,BearMtn,total_fuel,19.119397001,BM6,bearmtn,yes
BM18,BearMtn,mass_1hr,0.15259316,BM6,bearmtn,yes
BM18,BearMtn,mass_10hr,1.738387866,BM6,bearmtn,yes
BM18,BearMtn,mass_100hr,1.383492073,BM6,bearmtn,yes
BM18,BearMtn,mass_cwd_sound,3.16591099,BM6,bearmtn,yes
BM18,BearMtn,mass_cwd_rotten,0,BM6,bearmtn,yes
BM18,BearMtn,total_fuel,6.440384089,BM6,bearmtn,yes
BM19,BearMtn,mass_1hr,0.047231216,BM6,bearmtn,yes
BM19,BearMtn,mass_10hr,0.834426176,BM6,bearmtn,yes
BM19,BearMtn,mass_100hr,0,BM6,bearmtn,yes
BM19,BearMtn,mass_cwd_sound,8.922768524,BM6,bearmtn,yes
BM19,BearMtn,mass_cwd_rotten,0,BM6,bearmtn,yes
BM19,BearMtn,total_fuel,9.804425916,BM6,bearmtn,yes
BM2,BearMtn,mass_1hr,0.066110293,BM5,bearmtn,yes
BM2,BearMtn,mass_10hr,0.140587746,BM5,bearmtn,yes
BM2,BearMtn,mass_100hr,0.279716104,BM5,bearmtn,yes
BM2,BearMtn,mass_cwd_sound,0.515609269,BM5,bearmtn,yes
BM2,BearMtn,mass_cwd_rotten,0,BM5,bearmtn,yes
BM2,BearMtn,total_fuel,1.002023412,BM5,bearmtn,yes
BM20,BearMtn,mass_1hr,0.06240649,BM6,bearmtn,yes
BM20,BearMtn,mass_10hr,0.843107549,BM6,bearmtn,yes
BM20,BearMtn,mass_100hr,0.559154372,BM6,bearmtn,yes
BM20,BearMtn,mass_cwd_sound,16.65600191,BM6,bearmtn,yes
BM20,BearMtn,mass_cwd_rotten,0.386514899,BM6,bearmtn,yes
BM20,BearMtn,total_fuel,18.50718522,BM6,bearmtn,yes
BM21,BearMtn,mass_1hr,0.141693649,BM6,bearmtn,yes
BM21,BearMtn,mass_10hr,0.069535515,BM6,bearmtn,yes
BM21,BearMtn,mass_100hr,1.106793659,BM6,bearmtn,yes
BM21,BearMtn,mass_cwd_sound,0,BM6,bearmtn,yes
BM21,BearMtn,mass_cwd_rotten,0,BM6,bearmtn,yes
BM21,BearMtn,total_fuel,1.318022823,BM6,bearmtn,yes
BM22,BearMtn,mass_1hr,0.050864387,BM7,bearmtn,yes
BM22,BearMtn,mass_10hr,1.04303272,BM7,bearmtn,yes
BM22,BearMtn,mass_100hr,1.383492073,BM7,bearmtn,yes
BM22,BearMtn,mass_cwd_sound,0.736398743,BM7,bearmtn,yes
BM22,BearMtn,mass_cwd_rotten,0,BM7,bearmtn,yes
BM22,BearMtn,total_fuel,3.213787923,BM7,bearmtn,yes
BM23,BearMtn,mass_1hr,0.032698534,BM7,bearmtn,yes
BM23,BearMtn,mass_10hr,1.04303272,BM7,bearmtn,yes
BM23,BearMtn,mass_100hr,9.961142927,BM7,bearmtn,yes
BM23,BearMtn,mass_cwd_sound,5.417027623,BM7,bearmtn,yes
BM23,BearMtn,mass_cwd_rotten,0,BM7,bearmtn,yes
BM23,BearMtn,total_fuel,16.453901804,BM7,bearmtn,yes
BM24,BearMtn,mass_1hr,0.112628285,BM7,bearmtn,yes
BM24,BearMtn,mass_10hr,1.182103749,BM7,bearmtn,yes
BM24,BearMtn,mass_100hr,1.383492073,BM7,bearmtn,yes
BM24,BearMtn,mass_cwd_sound,0.980858982,BM7,bearmtn,yes
BM24,BearMtn,mass_cwd_rotten,0,BM7,bearmtn,yes
BM24,BearMtn,total_fuel,3.659083089,BM7,bearmtn,yes
BM25,BearMtn,mass_1hr,0.181658524,BM7,bearmtn,yes
BM25,BearMtn,mass_10hr,2.572814041,BM7,bearmtn,yes
BM25,BearMtn,mass_100hr,2.213587317,BM7,bearmtn,yes
BM25,BearMtn,mass_cwd_sound,16.98533881,BM7,bearmtn,yes
BM25,BearMtn,mass_cwd_rotten,0,BM7,bearmtn,yes
BM25,BearMtn,total_fuel,21.953398692,BM7,bearmtn,yes
BM26,BearMtn,mass_1hr,0.094462433,BM7,bearmtn,yes
BM26,BearMtn,mass_10hr,1.04303272,BM7,bearmtn,yes
BM26,BearMtn,mass_100hr,1.106793659,BM7,bearmtn,yes
BM26,BearMtn,mass_cwd_sound,4.053965621,BM7,bearmtn,yes
BM26,BearMtn,mass_cwd_rotten,0,BM7,bearmtn,yes
BM26,BearMtn,total_fuel,6.298254433,BM7,bearmtn,yes
BM27,BearMtn,mass_1hr,0.043598046,BM7,bearmtn,yes
BM27,BearMtn,mass_10hr,0.834426176,BM7,bearmtn,yes
BM27,BearMtn,mass_100hr,1.106793659,BM7,bearmtn,yes
BM27,BearMtn,mass_cwd_sound,6.817724428,BM7,bearmtn,yes
BM27,BearMtn,mass_cwd_rotten,0,BM7,bearmtn,yes
BM27,BearMtn,total_fuel,8.802542309,BM7,bearmtn,yes
BM3,BearMtn,mass_1hr,0.036331705,BM5,bearmtn,yes
BM3,BearMtn,mass_10hr,0.347677573,BM5,bearmtn,yes
BM3,BearMtn,mass_100hr,4.703873049,BM5,bearmtn,yes
BM3,BearMtn,mass_cwd_sound,10.72908824,BM5,bearmtn,yes
BM3,BearMtn,mass_cwd_rotten,0.382535003,BM5,bearmtn,yes
BM3,BearMtn,total_fuel,16.19950557,BM5,bearmtn,yes
BM4,BearMtn,mass_1hr,0.079929751,BM5,bearmtn,yes
BM4,BearMtn,mass_10hr,0.208606544,BM5,bearmtn,yes
BM4,BearMtn,mass_100hr,0,BM5,bearmtn,yes
BM4,BearMtn,mass_cwd_sound,0.977840954,BM5,bearmtn,yes
BM4,BearMtn,mass_cwd_rotten,0,BM5,bearmtn,yes
BM4,BearMtn,total_fuel,1.266377249,BM5,bearmtn,yes
BM5,BearMtn,mass_1hr,0.101728774,BM5,bearmtn,yes
BM5,BearMtn,mass_10hr,0.417213088,BM5,bearmtn,yes
BM5,BearMtn,mass_100hr,1.660190488,BM5,bearmtn,yes
BM5,BearMtn,mass_cwd_sound,0,BM5,bearmtn,yes
BM5,BearMtn,mass_cwd_rotten,0,BM5,bearmtn,yes
BM5,BearMtn,total_fuel,2.17913235,BM5,bearmtn,yes
BM6,BearMtn,mass_1hr,0.04748877,BM5,bearmtn,yes
BM6,BearMtn,mass_10hr,1.118635101,BM5,bearmtn,yes
BM6,BearMtn,mass_100hr,2.503865332,BM5,bearmtn,yes
BM6,BearMtn,mass_cwd_sound,8.062626718,BM5,bearmtn,yes
BM6,BearMtn,mass_cwd_rotten,0.821586821,BM5,bearmtn,yes
BM6,BearMtn,total_fuel,12.554202742,BM5,bearmtn,yes
BM7,BearMtn,mass_1hr,0.010899511,BM5,bearmtn,yes
BM7,BearMtn,mass_10hr,0.764890661,BM5,bearmtn,yes
BM7,BearMtn,mass_100hr,2.766984146,BM5,bearmtn,yes
BM7,BearMtn,mass_cwd_sound,1.183187554,BM5,bearmtn,yes
BM7,BearMtn,mass_cwd_rotten,0,BM5,bearmtn,yes
BM7,BearMtn,total_fuel,4.725961872,BM5,bearmtn,yes
BM8,BearMtn,mass_1hr,0.087196092,BM4,bearmtn,yes
BM8,BearMtn,mass_10hr,0.625819632,BM4,bearmtn,yes
BM8,BearMtn,mass_100hr,0.276698415,BM4,bearmtn,yes
BM8,BearMtn,mass_cwd_sound,0,BM4,bearmtn,yes
BM8,BearMtn,mass_cwd_rotten,0,BM4,bearmtn,yes
BM8,BearMtn,total_fuel,0.989714139,BM4,bearmtn,yes
BM9,BearMtn,mass_1hr,0.018165852,BM4,bearmtn,yes
BM9,BearMtn,mass_10hr,0.625819632,BM4,bearmtn,yes
BM9,BearMtn,mass_100hr,1.936888902,BM4,bearmtn,yes
BM9,BearMtn,mass_cwd_sound,9.5339493,BM4,bearmtn,yes
BM9,BearMtn,mass_cwd_rotten,0,BM4,bearmtn,yes
BM9,BearMtn,total_fuel,12.114823686,BM4,bearmtn,yes
fm10-1,FrenchMeadows,mass_1hr,0.185880881,FM10,frenchmeadows,no
fm10-1,FrenchMeadows,mass_10hr,1.604402309,FM10,frenchmeadows,no
fm10-1,FrenchMeadows,mass_100hr,2.498204288,FM10,frenchmeadows,no
fm10-1,FrenchMeadows,mass_cwd_sound,4.614099423,FM10,frenchmeadows,no
fm10-1,FrenchMeadows,mass_cwd_rotten,8.276767912,FM10,frenchmeadows,no
fm10-1,FrenchMeadows,total_fuel,17.179354813,FM10,frenchmeadows,no
fm10-10,FrenchMeadows,mass_1hr,0.574040937,FM10,frenchmeadows,no
fm10-10,FrenchMeadows,mass_10hr,5.006557054,FM10,frenchmeadows,no
fm10-10,FrenchMeadows,mass_100hr,0.830095244,FM10,frenchmeadows,no
fm10-10,FrenchMeadows,mass_cwd_sound,0.193153769,FM10,frenchmeadows,no
fm10-10,FrenchMeadows,mass_cwd_rotten,22.569203,FM10,frenchmeadows,no
fm10-10,FrenchMeadows,total_fuel,29.173050004,FM10,frenchmeadows,no
fm10-11,FrenchMeadows,mass_1hr,0.50437502,FM10,frenchmeadows,no
fm10-11,FrenchMeadows,mass_10hr,3.777366622,FM10,frenchmeadows,no
fm10-11,FrenchMeadows,mass_100hr,3.061879262,FM10,frenchmeadows,no
fm10-11,FrenchMeadows,mass_cwd_sound,24.58610262,FM10,frenchmeadows,no
fm10-11,FrenchMeadows,mass_cwd_rotten,13.52569612,FM10,frenchmeadows,no
fm10-11,FrenchMeadows,total_fuel,45.455419644,FM10,frenchmeadows,no
fm10-12,FrenchMeadows,mass_1hr,0.430990929,FM10,frenchmeadows,no
fm10-12,FrenchMeadows,mass_10hr,1.339543324,FM10,frenchmeadows,no
fm10-12,FrenchMeadows,mass_100hr,1.683272434,FM10,frenchmeadows,no
fm10-12,FrenchMeadows,mass_cwd_sound,10.18975954,FM10,frenchmeadows,no
fm10-12,FrenchMeadows,mass_cwd_rotten,6.520069114,FM10,frenchmeadows,no
fm10-12,FrenchMeadows,total_fuel,20.163635341,FM10,frenchmeadows,no
fm10-13,FrenchMeadows,mass_1hr,0.276120957,FM10,frenchmeadows,no
fm10-13,FrenchMeadows,mass_10hr,0.695355146,FM10,frenchmeadows,no
fm10-13,FrenchMeadows,mass_100hr,1.383492073,FM10,frenchmeadows,no
fm10-13,FrenchMeadows,mass_cwd_sound,0.627749748,FM10,frenchmeadows,no
fm10-13,FrenchMeadows,mass_cwd_rotten,0.273886008,FM10,frenchmeadows,no
fm10-13,FrenchMeadows,total_fuel,3.256603932,FM10,frenchmeadows,no
fm10-14,FrenchMeadows,mass_1hr,0.341518026,FM10,frenchmeadows,no
fm10-14,FrenchMeadows,mass_10hr,1.877458895,FM10,frenchmeadows,no
fm10-14,FrenchMeadows,mass_100hr,1.660190488,FM10,frenchmeadows,no
fm10-14,FrenchMeadows,mass_cwd_sound,0,FM10,frenchmeadows,no
fm10-14,FrenchMeadows,mass_cwd_rotten,3.420179818,FM10,frenchmeadows,no
fm10-14,FrenchMeadows,total_fuel,7.299347227,FM10,frenchmeadows,no
fm10-15,FrenchMeadows,mass_1hr,0.536765301,FM10,frenchmeadows,no
fm10-15,FrenchMeadows,mass_10hr,2.155214727,FM10,frenchmeadows,no
