plot_id,status,species_id,stand_ba
BM1,live,pipo,60
BM1,live,cade,40
BM1,dead,cade,20
BM2,live,pipo,40
BM2,dead,pipo,20
BM2,live,cade,20
BM3,live,pipo,40
BM3,live,psme,20
BM4,live,cade,50
BM4,live,pipo,100
BM5,live,pipo,20
BM5,live,quke,10
BM5,dead,cade,20
BM5,live,cade,10
BM6,live,pipo,40
BM6,live,cade,30
BM7,live,cade,20
BM7,live,pipo,40
BM7,dead,cade,10
BM7,dead,quke,10
BM8,live,cade,50
BM8,live,pipo,30
BM9,live,pipo,60
BM9,live,cade,10
BM9,dead,quke,10
BM10,live,pipo,120
BM10,dead,pipo,20
BM10,live,cade,60
BM11,live,cade,15
BM11,dead,cade,5
BM11,live,pipo,5
BM11,dead,quke,15
BM12,live,cade,10
BM12,dead,cade,20
BM12,live,pipo,40
BM12,live,pila,10
BM12,live,abco,10
BM12,dead,abco,20
BM13,live,pipo,40
BM13,dead,pipo,10
BM13,live,cade,30
BM13,dead,quke,10
BM14,dead,quke,10
BM14,live,cade,30
BM14,dead,cade,40
BM14,live,pipo,10
BM15,dead,cade,30
BM15,live,pipo,20
BM15,dead,quke,20
BM16,live,pipo,120
BM16,live,cade,20
BM17,live,pipo,5
BM17,dead,cade,10
BM17,dead,quke,10
BM17,dead,pipo,5
BM18,live,cade,100
BM18,dead,cade,20
BM18,dead,pipo,40
BM19,live,quke,10
BM19,live,pipo,40
BM19,dead,pipo,40
BM19,live,cade,10
BM19,live,cade,40
BM19,live,pipo,80
BM21,live,cade,10
BM21,live,pipo,10
BM21,live,quke,20
BM21,live,abco,20
BM22,dead,pipo,20
BM22,live,pipo,30
BM22,dead,quch,20
BM22,live,quch,10
BM23,dead,quke,5
BM24,dead,quke,40
BM24,live,cade,40
BM24,live,pipo,40
BM24,dead,pilo,20
BM25,dead,quke,30
BM25,dead,pipo,20
BM25,live,pipo,10
BM25,live,psme,20
BM25,dead,psme,10
BM25,dead,pipo,40
BM25,dead,cade,30
BM25,dead,psme,10
BM27,dead,cade,60
BM27,dead,psme,20
BM27,dead,quke,10
