plot_id,species_id,status,mean_dbh,mean_ht,total_trees,total_trees_acre
BM1,cade,dead,26.4,4.93333333333333,3,30
BM1,cade,live,38.425,14.125,4,40
BM1,pipo,live,39.25,17.25,2,20
BM10,cade,dead,8.6,1.7,1,10
BM10,cade,live,34.4666666666667,13.9333333333333,3,30
BM10,pipo,live,56.65,32.25,4,40
BM11,cade,dead,15.8428571428571,5.28571428571429,7,70
BM11,cade,live,22.35,7.5,2,20
BM11,pipo,live,19.3,5,1,10
BM12,abco,dead,35.65,14.5,2,20
BM12,cade,dead,80.0333333333333,4.66666666666667,3,30
BM12,pila,live,100.3,40,1,10
BM12,pipo,live,82.7,35,1,10
BM13,cade,dead,8,4,1,10
BM13,cade,live,27.2,9.66666666666667,3,30
BM13,pipo,dead,31.25,18.5,2,20
BM13,pipo,live,41.1,19,1,10
BM13,quke,dead,25.2,3.5,2,20
BM14,cade,dead,20.4,6.5,8,80
BM14,cade,live,31.6,10.5,2,20
BM14,pipo,live,20.7,6,1,10
BM15,cade,dead,15.9,5,2,20
BM15,pipo,dead,22.2,2,1,10
BM15,pipo,live,36.9666666666667,19.7666666666667,3,30
BM15,quke,dead,52.85,9,2,20
BM15,quke,live,20.6,7.05,2,20
BM16,cade,dead,23.6,10,1,10
BM16,cade,live,46.35,15.5,2,20
BM16,pije,live,46.6,24.3333333333333,3,30
BM16,pipo,dead,27.2,13,2,20
BM16,pipo,live,45.7,26,2,20
BM16,quke,dead,39.4,1.45,1,10
BM17,pipo,dead,54.7,3.5,1,10
BM18,cade,dead,30.45,10.5,2,20
BM18,cade,live,47.85,17.3333333333333,6,60
BM18,pipo,dead,34.75,16.75,4,40
BM18,pipo,live,13.5,7,4,40
BM18,quke,dead,16.7,6,1,10
BM18,quke,live,31.7,23,1,10
BM19,cade,live,117.7,27,1,10
BM19,pipo,dead,42.75,9.555,2,20
BM19,pipo,live,40.1,19,1,10
BM2,cade,live,39.6,14.5,2,20
BM2,pipo,dead,83.2,2.2,1,10
BM2,pipo,live,46.4,24,3,30
BM2,quke,dead,24,3,1,10
BM20,cade,live,147,33,1,10
BM20,pipo,live,44.6,20.5,2,20
BM21,abco,dead,25.45,9.5,2,20
BM21,cade,dead,19.4,7,1,10
BM21,cade,live,28.225,10.25,4,40
BM21,pipo,dead,33.8,15,1,10
BM22,cade,dead,10.2,4,1,10
BM22,pipo,live,60.6666666666667,16.6666666666667,3,30
BM22,quch,dead,20.9166666666667,5.16666666666667,12,120
BM22,quch,live,55.7,9,1,10
BM22,quke,dead,10.5,5,1,10
BM24,cade,dead,28.8,9.25,2,20
BM24,cade,live,43.0666666666667,19.1333333333333,3,30
BM24,pipo,dead,35.2,1.6,1,10
BM24,pipo,live,40.9,18.5,2,20
BM25,pipo,dead,39.1,18,1,10
BM25,pipo,live,41.8,27,1,10
BM25,quke,dead,58.2,13,2,20
BM26,cade,dead,53.4333333333333,28.9666666666667,3,30
BM26,pipo,dead,66.375,17.475,4,40
BM26,psme,dead,44,21,1,10
BM26,quke,dead,16.75,6.53333333333333,6,60
BM27,cade,dead,58.175,16.225,4,40
BM27,pipo,dead,23.3,1.8,1,10
BM27,psme,dead,36.6,9.9,2,20
BM27,quke,dead,45.7,3.5,1,10
BM3,cade,live,21.95,10.5,2,20
BM3,psme,live,55.1,28,1,10
BM4,cade,dead,15.08,4.9,5,50
BM4,cade,live,27.8454545454545,10.7727272727273,11,110
BM4,pipo,live,34.7,16.6666666666667,3,30
BM5,cade,dead,15.55,6.35,4,40
BM5,cade,live,20.4,10.3,2,20
BM6,cade,dead,18.7,6,1,10
BM6,cade,live,67.6,19.5,2,20
BM7,cade,live,65.8,21.5,2,20
BM7,pipo,dead,7.8,1.4,1,10
BM7,pipo,live,52.45,27.05,2,20
BM8,cade,dead,8,4,1,10
BM8,cade,live,29.3,9.48333333333333,6,60
BM8,pipo,dead,65.125,24.675,4,40
BM8,pipo,live,26.3666666666667,11,3,30
BM8,quke,dead,60.5,3.7,1,10
