site,year,plot_id,species_id,status,recruitment,lifeform,tse_count,tse_ht,tse_age,growth_lastyr,tsa_dbh,tsa_age,tsa_ht,tre_count,tre_ht,tre_dbh,tre_age,NOTES
,,,,,,,count,m_of_tallest,year_of_tallest,cm,cm,year,m,count,m_of_tallest,cm_of_tallest,year_of_tallest,
bearmtn,2019,BM 1,Quke,live,natural ,TSE,1,0.13,UNK,,,,,,,,,
bearmtn,2019,BM 1,Pipo,live,natural ,TSE,1,0.27,4,,,,,,,,,
bearmtn,2019,BM 1,Cade,dead,natural ,TSE,11,0.5,0,,,,,,,,,
bearmtn,2019,BM 1,Pipo,live,natural ,TSE,4,0.43,3,,,,,,,,,
bearmtn,2019,BM 1,Pipo,live,natural ,TSE,3,0.53,UNK,,,,,,,,,
bearmtn,2019,BM 1,Quke,live,natural ,TRE,,,,,,,,1,0.27,,UNK,
bearmtn,2019,BM 1,Alin,live,natural ,TRE,,,,,,,,1,0.7,,UNK,
bearmtn,2019,BM2,quke,live,natural ,TSE,1,0.65,5,0-eatin by deer,,,,,,,,
bearmtn,2019,BM2,quke,live,natural ,TSE,4,0.13,2,1,,,,,,,,
bearmtn,2019,BM2,quke,live,natural ,TSE,1,0.25,3,0-eatin by deer,,,,,,,,
bearmtn,2019,BM2,quke,live,natural ,TSE,1,0.3,4,0-eatin by deer,,,,,,,,
bearmtn,2019,BM2,cade,dead,natural ,TSE,1,0.04,,,,,,,,,,
bearmtn,2019,BM3,pipo,live,natural ,TSE,3,0.05,1,1,,,,,,,,
bearmtn,2019,BM3,pipo,live,natural ,TSE,2,0.09,3,2,,,,,,,,
bearmtn,2019,BM3,quke,live,natural ,TRE,2,0.24,5,1,,,,,,,,
bearmtn,2019,BM3,quke,live,natural ,TRE,1,0.34,6,2,,,,,,,,
bearmtn,2019,BM3,quch,live,natural ,TRE,1,1.05,24,5,,,,,,,,
bearmtn,2019,BM4,cade,live,natural ,TSE,4,0.1,0,2,,,,,,,,
bearmtn,2019,BM4,pipo,live,natural ,TSE,1,0.3,3,7,,,,,,,,
bearmtn,2019,BM4,quke,live,natural ,TRE,,,,,,,,2,0.15,,UNK,
bearmtn,2019,BM4,cade,dead,natural ,TSE,3,0.07,0,,,,,,,,,
bearmtn,2019,BM5,pipo,live,natural ,TSE,2,0.06,1,3,,,,,,,,
bearmtn,2019,BM5,pipo,live,natural ,TSE,1,0.12,2,tr,,,,,,,,
bearmtn,2019,BM5,pipo,live,natural ,TSE,1,0.55,3,8,,,,,,,,
bearmtn,2019,BM5,pipo,dead,natural ,TSE,1,,,,,,,,,,,
bearmtn,2019,BM5,cade,live,natural ,TSE,1,0.05,1,3,,,,,,,,
bearmtn,2019,BM5,cade,live,natural ,TSE,1,0.52,6,9,,,,,,,,
bearmtn,2019,BM5,cade,dead,natural ,TSE,4,,,,,,,,,,,
bearmtn,2019,BM5,quke,live,natural ,TSE,1,0.15,3,0,,,,,,,,
bearmtn,2019,BM5,quke,live,natural ,TRE,,,,,,,,6,2.1,1.3,~7,
bearmtn,2019,BM5,cade,dead,natural ,TSA,,,,,5.1,unk,2,,,,,
bearmtn,2019,BM5,cade,dead,natural ,TSA,,,,,3.9,unk,2,,,,,
bearmtn,2019,BM6,pipo,dead,natural ,TSE,3,6,2,1,,,,,,,,
bearmtn,2019,BM6,pipo,dead,natural ,TSE,1,8,3,1,,,,,,,,
bearmtn,2019,BM6,cade,dead,natural ,TSA,,,,,5.4,13,1.8,,,,,
bearmtn,2019,BM7,cade,live,natural ,TSE,10,0.4,0,,,,,,,,,
bearmtn,2019,BM7,cade,live,natural ,TSE,2,0.5,1,0.5,,,,,,,,
bearmtn,2019,BM7,cade,live,natural ,TSE,1,0.8,2,1,,,,,,,,
bearmtn,2019,BM7,pipo,live,natural ,TSE,3,0.27,2,5,,,,,,,,
bearmtn,2019,BM7,Pipo,live,natural ,TSE,1,0.29,3,7,,,,,,,,
bearmtn,2019,BM7,quke,live,natural ,TRE,,,,,,,,1,0.65,UKN,UKN,
bearmtn,2019,BM7,quke,live,natural ,TRE,,,,,,,,4,0.4,UKN,UKN,
bearmtn,2019,BM7,quke,live,natural ,TRE,,,,,,,,5,0.32,UKN,UKN,
bearmtn,2019,BM7,quke,live,natural ,TRE,,,,,,,,2,0.25,UKN,UKN,
bearmtn,2019,BM7,quke,live,natural ,TRE,,,,,,,,1,0.37,UKN,UKN,
bearmtn,2019,BM7,quke,live,natural ,TRE,,,,,,,,5,0.9,UKN,UKN,
bearmtn,2019,BM7,cade,dead,natural ,TSE,82,0.5,0,,,,,,,,,
bearmtn,2019,BM8,quke,live,natural ,TSE,2,0.75,1,0,,,,,,,,
bearmtn,2019,BM8,quke,live,natural ,TSE,6,0.13,2,tr,,,,,,,,
bearmtn,2019,BM8,quke,live,natural ,TSE,2,0.17,4,0,,,,,,,,
bearmtn,2019,BM8,pipo,live,natural ,TSE,3,0.7,1,2,,,,,,,,
bearmtn,2019,BM8,pipo,live,natural ,TSE,3,0.2,2,tr,,,,,,,,
bearmtn,2019,BM8,pipo,live,natural ,TSE,4,0.39,3,1,,,,,,,,
bearmtn,2019,BM9,pipo,live,natural ,TSE,8,0.95,9,15,,,,,,,,
bearmtn,2019,BM9,pipo,live,natural ,TSE,5,0.89,8,15,,,,,,,,
bearmtn,2019,BM9,pipo,live,natural ,TSE,6,1.1,10,14,,,,,,,,
bearmtn,2019,BM9,pipo,live,natural ,TSE,2,0.55,5,6,,,,,,,,
bearmtn,2019,BM9,pipo,live,natural ,TSE,4,0.75,7,7,,,,,,,,
bearmtn,2019,BM9,pipo,live,natural ,TSE,4,0.12,3,2,,,,,,,,
bearmtn,2019,BM9,pipo,live,natural ,TSE,1,0.18,4,4,,,,,,,,
bearmtn,2019,BM9,cade,live,natural ,TSE,2,1,9,8,,,,,,,,
bearmtn,2019,BM9,cade,live,natural ,TSE,1,0.38,5,6,,,,,,,,
bearmtn,2019,BM9,cade,live,natural ,TSE,1,0.8,7,9,,,,,,,,
bearmtn,2019,BM9,cade,live,natural ,TSE,2,0.06,2,2,,,,,,,,
bearmtn,2019,BM10,pipo,live,natural ,TSE,2,0.035,0,2,,,,,,,,
bearmtn,2019,BM10,pipo,live,natural ,TSE,1,0.35,35,6,,,,,,,,
bearmtn,2019,BM10,cade,dead,natural ,TSE,1,0.07,0,0,,,,,,,,
bearmtn,2019,BM11,pipo,live,natural ,TSE,1,1.4,5,1,,,,,,,,
bearmtn,2019,BM11,pipo,live,natural ,TSE,1,1.1,4,3,,,,,,,,
bearmtn,2019,BM12,pila,live,natural ,TSE,6,0.24,4,tr,,,,,,,,
bearmtn,2019,BM12,pila,live,natural ,TSE,5,0.53,5,4,,,,,,,,
bearmtn,2019,BM12,pila,live,natural ,TSE,7,0.55,6,0,,,,,,,,
bearmtn,2019,BM12,cade,live,natural ,TSE,18,0.32,3,3,,,,,,,,
bearmtn,2019,BM12,cade,live,natural ,TSE,15,0.42,4,6,,,,,,,,
bearmtn,2019,BM12,cade,live,natural ,TSE,3,0.6,5,8,,,,,,,,
bearmtn,2019,BM12,cade,live,natural ,TSE,12,0.65,6,5,,,,,,,,
bearmtn,2019,BM12,pipo,live,natural ,TSE,5,0.15,2,0,,,,,,,,
bearmtn,2019,BM12,pipo,live,natural ,TSE,12,0.42,3,2,,,,,,,,
bearmtn,2019,BM12,pipo,live,natural ,TSE,9,0.72,4,2,,,,,,,,
bearmtn,2019,BM12,pipo,live,natural ,TSE,23,1.38,5,3,,,,,,,,
bearmtn,2019,BM12,abco,live,natural ,TSE,8,0.49,4,0,,,,,,,,
bearmtn,2019,BM12,abco,live,natural ,TSE,8,0.46,6,0,,,,,,,,
bearmtn,2019,BM13,quke,live,natural ,TRE,,,,,,,,12,2.7,5,6,
bearmtn,2019,BM13,Quke,dead,natural ,TRE,,,,,,,,2,2.9,4,7,
bearmtn,2019,BM14,pipo,live,natural ,TSE,1,0.42,5,4,,,,,,,,
bearmtn,2019,BM14,pipo,live,natural ,TSE,1,0.5,8,8,,,,,,,,
bearmtn,2019,BM14,pipo,dead,natural ,TSE,4,0.04,1,0,,,,,,,,
bearmtn,2019,BM15,quke,live,natural ,TSE,2,0.1,1,0,,,,,,,,
bearmtn,2019,BM15,quke,live,natural ,TSE,1,0.3,4,0,,,,,,,,
bearmtn,2019,BM15,quke,live,natural ,TSE,1,0.62,5,0,,,,,,,,
bearmtn,2019,BM15,pipo,live,natural ,TSE,2,0.48,3,2.5,,,,,,,,
bearmtn,2019,BM15,cade,live,natural ,TSE,2,0.26,5,0,,,,,,,,
bearmtn,2019,BM16,cade,live,natural ,TSE,17,0.07,0,0,,,,,,,,
bearmtn,2019,BM16,pije,live,natural ,TSE,7,0.08,0,0,,,,,,,,
bearmtn,2019,BM16,pije,live,natural ,TSE,1,0.09,2,6,,,,,,,,
bearmtn,2019,BM16,pije,live,natural ,TSE,4,0.21,3,10,,,,,,,,
bearmtn,2019,BM16,pije,live,natural ,TSE,1,0.35,5,12,,,,,,,,
bearmtn,2019,BM16,Cade,dead,natural ,TSE,30,0.06,0,0,,,,,,,,
bearmtn,2019,BM16,Cade,dead,natural ,TSE,8,0.07,0,0,,,,,,,,
bearmtn,2019,BM17,pipo,live,natural ,TSE,1,105,9,8,,,,,,,,
bearmtn,2019,BM18,pipo,live,natural ,TSE,5,0.07,1,3,,,,,,,,
bearmtn,2019,BM18,pipo,live,natural ,TSE,10,0.11,2,2,,,,,,,,
bearmtn,2019,BM18,pipo,live,natural ,TSE,3,0.42,3,1,,,,,,,,
bearmtn,2019,BM18,pipo,live,natural ,TSE,3,0.63,4,1,,,,,,,,
bearmtn,2019,BM18,cade,live,natural ,TSE,25,0.06,1,2,,,,,,,,
bearmtn,2019,BM18,cade,live,natural ,TSE,22,0.12,2,0,,,,,,,,
bearmtn,2019,BM18,cade,live,natural ,TSE,37,0.11,3,3,,,,,,,,
bearmtn,2019,BM18,cade,live,natural ,TSE,5,0.17,4,0,,,,,,,,
bearmtn,2019,BM18,cade,live,natural ,TSE,1,0.53,6,5.5,,,,,,,,
bearmtn,2019,BM18,quke,live,natural ,TSE,3,0.07,1,0,,,,,,,,
bearmtn,2019,BM18,pila,live,natural ,TSE,1,0.08,2,0,,,,,,,,
bearmtn,2019,BM18,psme,live,natural ,TSE,1,0.17,4,,,,,,,,,
bearmtn,2019,BM19,pipo,live,natural ,TSE,7,0.14,0,0,,,,,,,,
bearmtn,2019,BM19,pipo,live,natural ,TSE,4,0.14,1,5,,,,,,,,
bearmtn,2019,BM19,pipo,live,natural ,TSE,2,0.2,2,6,,,,,,,,
bearmtn,2019,BM19,pipo,live,natural ,TSE,4,0.65,3,10,,,,,,,,
bearmtn,2019,BM19,pipo,live,natural ,TSE,7,1.1,4,20,,,,,,,,
bearmtn,2019,BM19,cade,live,natural ,TSE,3,0.05,0,0,,,,,,,,
bearmtn,2019,BM19,cade,live,natural ,TSE,1,0.06,2,1,,,,,,,,
bearmtn,2019,BM19,cade,live,natural ,TSE,10,0.48,5,5,,,,,,,,
bearmtn,2019,BM19,cade,live,natural ,TSE,6,0.85,14,8,,,,,,,,
bearmtn,2019,BM19,cade,live,natural ,TSE,2,1.15,31,10,,,,,,,,
bearmtn,2019,BM19,pije,live,natural ,TSA,,,,,<7.6,5,1.5,,,,,
bearmtn,2019,BM20,cade,live,natural ,TSE,1,0.06,1,2,,,,,,,,
bearmtn,2019,BM20,pipo,live,natural ,TSE,2,0.07,1,2,,,,,,,,
bearmtn,2019,BM20,pipo,live,natural ,TSE,1,0.09,2,4,,,,,,,,
bearmtn,2019,BM20,pipo,live,natural ,TSE,1,0.18,4,4,,,,,,,,
bearmtn,2019,BM20,quke,live,natural ,TSE,1,0.44,7,7,,,,,,,,
bearmtn,2019,BM20,quke,live,natural ,TSE,2,1.15,15,2,,,,,,,,
bearmtn,2019,BM20,pipo,dead,natural ,TSE,1,4,1,1,,,,,,,,
bearmtn,2019,BIM21,pipo,live,natural ,TSE,1,0.55,4,2,,,,,,,,
bearmtn,2019,BIM21,pipo,live,natural ,TSE,2,0.075,1,3,,,,,,,,
bearmtn,2019,BIM21,cade,live,natural ,TSE,1,9,1,4,,,,,,,,
bearmtn,2019,BIM21,quke,live,natural ,TRE,,,,,,,,13,2.6,2.3,5,
bearmtn,2019,BIM21,quke,dead,natural ,TRE,,,,,,,,5,1.2,1,unk,
bearmtn,2019,BIM21,quch,live,natural ,TRE,,,,,,,,11,1.9,1,unk,
bearmtn,2019,BM22,quch,live,natural ,TRE,,,,,,,,1,0.17,<7,3,
bearmtn,2019,BM22,quch,live,natural ,TRE,,,,,,,,6,1,<7,4,
bearmtn,2019,BM22,quch,live,natural ,TRE,,,,,,,,>30,2.2,<7,7,
bearmtn,2019,BM22,quch,live,natural ,TRE,,,,,,,,5,0.7,<7,4,
bearmtn,2019,BM22,quke,live,natural ,TRE,,,,,,,,18,4,<7,6,
bearmtn,2019,BM23,pila,live,natural ,TSE,2,0.5,6,4,,,,,,,,
bearmtn,2019,BM23,pila,live,natural ,TSE,1,0.7,9,4,,,,,,,,
bearmtn,2019,BM23,pipo,live,natural ,TSE,4,0.62,6,8,,,,,,,,
bearmtn,2019,BM23,pipo,live,natural ,TSE,1,0.8,9,5,,,,,,,,
bearmtn,2019,BM23,pipo,live,natural ,TSE,2,0.75,10,3,,,,,,,,
bearmtn,2019,BM23,pipo,live,natural ,TSE,4,1.2,12,4,,,,,,,,
bearmtn,2019,BM23,pipo,live,natural ,TSA,,,,,1.8,13,0.9,,,,,
bearmtn,2019,BM23,pipo,live,natural ,TSA,,,,,3,14,1.37,,,,,
bearmtn,2019,BM24,pipo,live,natural ,TSE,1,0.21,3,1,,,,,,,,
bearmtn,2019,BM24,pipo,live,natural ,TSE,5,0.05,1,2,,,,,,,,
bearmtn,2019,BM24,cade,dead,natural ,TSE,1,0.04,,,,,,,,,,
bearmtn,2019,BM24,quke,live,natural ,TRE,,,,,,,,4,2.1,0.8,6,
bearmtn,2019,BM25,abco,live,natural ,TSE,32,0.86,4,30,,,,,,,,
bearmtn,2019,BM25,abco,live,natural ,TSE,6,0.45,2,27,,,,,,,,
bearmtn,2019,BM25,abco,live,natural ,TSE,6,1,6,63,,,,,,,,
bearmtn,2019,BM25,cade,live,natural ,TSE,3,0.52,21,11,,,,,,,,
bearmtn,2019,BM25,cade,live,natural ,TSE,1,1.1,21,17,,,,,,,,
bearmtn,2019,BM25,pipo,live,natural ,TSE,8,0.73,4,55,,,,,,,,
bearmtn,2019,BM25,pipo,live,natural ,TSE,7,0.61,3,47,,,,,,,,
bearmtn,2019,BM25,pipo,live,natural ,TSE,2,0.53,2,16,,,,,,,,
bearmtn,2019,BM25,psme,live,natural ,TSE,6,0.55,4,14,,,,,,,,
bearmtn,2019,BM25,psme,live,natural ,TSE,5,0.57,5,18,,,,,,,,
bearmtn,2019,BM25,pipo,live,natural ,TSA,,,,,<7,5,1.85,,,,,
bearmtn,2019,BM25,cade,live,natural ,TSA,,,,,<7,16,1.4,,,,,
bearmtn,2019,BM25,sasc,live,natural ,TRE,,,,,,,,6,1,<7,ukn,
bearmtn,2019,BM26,pipo,live,natural ,TSE,2,0.9,9,4,,,,,,,,
bearmtn,2019,BM26,pipo,live,natural ,TSE,1,1.3,11,3,,,,,,,,
bearmtn,2019,BM26,psme,live,natural ,TSE,1,1.2,11,6,,,,,,,,
bearmtn,2019,BM27,pipo,live,natural ,TSE,3,1.2,5,7,,,,,,,,
bearmtn,2019,BM27,pipo,live,natural ,TSE,1,0.14,3,1,,,,,,,,
bearmtn,2019,BM27,quke,live,natural ,TSE,1,0.3,2,0,,,,,,,,
bearmtn,2019,BM27,quke,live,natural ,TSE,1,0.46,3,0,,,,,,,,
bearmtn,2019,BM27,cade,live,natural ,TSE,2,0.6,5,6,,,,,,,,
bearmtn,2019,BM27,quch,live,natural ,TRE,,,,,,,,3,2,1.2,4,
