site,year,plot_id,azimuth,intersect_cm,large_cm,small_cm,length_m,decay,notes
bearmtn,2019,BM1,N,11,14,11,1.4,3,
bearmtn,2019,BM2,E,13,20,10,73,3,
bearmtn,2019,BM3,E,20,18,11,0.8,3,
bearmtn,2019,BM3,E,45,87,9,26.1,2,
bearmtn,2019,BM3,N,31,87,9,26.1,2,
bearmtn,2019,BM3,S,13,13,11,1.1,4,
bearmtn,2019,BM3,S,13,21,7.5,9.8,2,
bearmtn,2019,BM4,S,18,18,15,0.52,2,
bearmtn,2019,BM6,W,16,21,1,5.7,1-intact,
bearmtn,2019,BM6,W,49,27,29,22.9,3,
bearmtn,2019,BM6,W,19,19,17,4.95,4,
bearmtn,2019,BM7,W,19.8,20,7,5,2,
bearmtn,2019,BM9,S,19,22.5,10,11.5,2,
bearmtn,2019,BM9,S,22,22.2,9,12.6,2,
bearmtn,2019,BM9,E,45,50,25,12,2,
bearmtn,2019,BM9,E,17,22.2,9,12.6,2,
bearmtn,2019,BM10,E,18,18,3,5,2,
bearmtn,2019,BM10,E,26,33,20,6,2,
bearmtn,2019,BM10,N,10.5,10.5,6,0.75,3,
bearmtn,2019,BM10,S,14,16,14,1,2,
bearmtn,2019,BM11,N,13,15,12,1.5,3,
bearmtn,2019,BM12,W,55,65,46,10,3,
bearmtn,2019,BM12,W,17,20,17,7,2,
bearmtn,2019,BM12,E,16,20,10,0.38,4,
bearmtn,2019,BM12,N,78,65,46,10,2,
bearmtn,2019,BM12,N,20,23,12,9,2,
bearmtn,2019,BM12,S,27,35,10,20,2,
bearmtn,2019,BM12,S,34,92,25,18,2,
bearmtn,2019,BM13,E,17,28,2.6,18.9,2,
bearmtn,2019,BM13,S,24,28,2.6,18.9,2,
bearmtn,2019,BM15,W,11,30,11,13,2,
bearmtn,2019,BM16,E,18,18,1,5.6,1-intact,
bearmtn,2019,BM16,E,42.1,42.1,1,11.2,2,
bearmtn,2019,BM17,N,27,45.5,2,23,1-intact,
bearmtn,2019,BM17,E,9.2,10.3,8,2.45,1-intact,
bearmtn,2019,BM17,E,52,45.5,2,23,1-intact,
bearmtn,2019,BM17,E,9.3,7.4,1,2.2,1-intact,
bearmtn,2019,BM17,E,9.2,9.2,2,2.1,1-intact,
bearmtn,2019,BM17,E,9,9,2,2.3,1-intact,
bearmtn,2019,BM17,E,8.3,7.7,1.5,3,1-intact,
bearmtn,2019,BM17,W,33.5,33.5,19,3,2,
bearmtn,2019,BM18,S,10,17,5.5,12.6,2,
bearmtn,2019,BM18,E,18,20,10,10,2,
bearmtn,2019,BM18,E,25,25,22,29,2,
bearmtn,2019,BM19,S,40.7,46,13,17.9,1-intact,
bearmtn,2019,BM19,E,30,30,17,12,2,
bearmtn,2019,BM19,W,20,25,12,11,2,
bearmtn,2019,BM20,W,13,35,12,16.9,1-intact,
bearmtn,2019,BM20,W,37.4,37.5,1,13.3,1-intact,
bearmtn,2019,BM20,W,18,18,4.6,9.6,3,
bearmtn,2019,BM20,W,16,20,12,5.2,2,
bearmtn,2019,BM20,N,10,30,8,15.2,1-intact,
bearmtn,2019,BM20,N,13,13,3,6,1-intact,
bearmtn,2019,BM20,N,52.5,35,12,16,1-intact,
bearmtn,2019,BM20,S,13,13,10,0.47,4,
bearmtn,2019,BM20,S,15,50,2,6.3,3,
bearmtn,2019,BM20,S,8,50,6,9.5,3,
bearmtn,2019,BM21,N,27,15,8,1.1,,
bearmtn,2019,BM22,E,10,45,16,6.3,2,
bearmtn,2019,BM22,W,12,12,11,2.75,3,
bearmtn,2019,BM23,N,16,17,13,2.3,3,
bearmtn,2019,BM23,E,14,15.4,10.5,2.55,3,
bearmtn,2019,BM23,E,8.3,46,2.7,13.2,3,
bearmtn,2019,BM23,E,17,18,15,4.7,2,
bearmtn,2019,BM23,W,16,16,10.6,3.4,3,
bearmtn,2019,BM23,W,27,29,22.2,8.4,3,
bearmtn,2019,BM24,S,12,15,12,5,1-intact,
bearmtn,2019,BM24,S,10,22,5,3.6,2,
bearmtn,2019,BM24,S,9,15,5,6,1-intact,
bearmtn,2019,BM25,W,38.6,46,1,27,1-intact,
bearmtn,2019,BM25,W,37,52,7,28,2,
bearmtn,2019,BM25,W,13,14,13,2.25,2,
bearmtn,2019,BM25,W,10,10,10,1,2,
bearmtn,2019,BM25,S,50,52,7,28,2,
bearmtn,2019,BM26,N,33,38,34,10.7,3,
bearmtn,2019,BM26,W,8,10,3,2,1-intact,
bearmtn,2019,BM26,E,9.5,20,1,8,2,
bearmtn,2019,BM26,E,10,8,3,4.2,3,
bearmtn,2019,BM27,N,17,49,5,12,3,
bearmtn,2019,BM27,N,14,49,6,8,3,
bearmtn,2019,BM27,S,18,19,8,7.2,2,
bearmtn,2019,BM27,S,19,44,19,15,2,
bearmtn,2019,BM27,E,18,35,9,13,3,
bearmtn,2019,BM27,E,20,73,20,7,3,
bearmtn,2019,BM27,E,12,12,8,1.65,2,
bearmtn,2019,BM27,W,10,10,5,0.5,3,
bearmtn,2019,BM27,W,11,49,6,8,3,
