site,year,Plot ID,species_id,status,lifeform,layer_code,percent,notes,,,,,,,,,,,,,
bearmtn,2019,BM1,alin,live,FB,,,,,,,,,,,,,,,,
bearmtn,2019,BM1,arvi,live,SH,SM,,,,,,,,,,,,,,,
bearmtn,2019,BM1,arvi,live,SH,SL,,,,,,,,,,,,,,,
bearmtn,2019,BM1,chfo,live,SH,SL,,,,,,,,,,,,,,,
bearmtn,2019,BM1,stte,live,FB,,,,,,,,,,,,,,,,
bearmtn,2019,BM1,pipo,live,TR,TOV,7,,,,,,,,,,,,,,
bearmtn,2019,BM1,cade,live,TR,TOV,20,,,,,,,,,,,,,,
bearmtn,2019,BM1,cade,dead,TR,TSA,,,,,,,,,,,,,,,
bearmtn,2019,BM1,pipo,live,TR,TSE,,,,,,,,,,,,,,,
bearmtn,2019,BM1,quke,live,TR,TSA,,,,,,,,,,,,,,,
bearmtn,2019,BM1,pipo,live,TR,TSA,,,,,,,,,,,,,,,
bearmtn,2019,BM2,chfo,live,SH,SL,93,,,,,,,,,,,,,,
bearmtn,2019,BM2,arvi,live,SH,SL,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,arvi,live,SH,SM,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,tallgrass1,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,hairstrands,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,irisspp,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,puffspike,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,drypods,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,Fgrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,stephanodry?,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,droopygrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,likeelel,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,smalls,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,4forb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,longflower,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,tighttopgrass,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,waxyforb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,unkWforb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,unkflw1,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,unkflwpurple,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM2,unkflw2,live,FB,,tr,,,,,,,,,,,,,,
