site,year,plot_id,azimuth,intersect_cm,large_cm,small_cm,length_cm,decay,notes
bearmtn,2019,BM6,W,12,12,8,0.7,3,
bearmtn,2019,BM10,N,10,7,6,0.7,4,
bearmtn,2019,BM10,W,20,21,8,4.82,2,
bearmtn,2019,BM10,W,29,37,21,7,1,
bearmtn,2019,BM11,N,24,15,9,1.4,2,
bearmtn,2019,BM11,W,14.5,17.9,0.6,5.55,1,
bearmtn,2019,BM23,W,15,16,9,2.52,3,
bearmtn,2019,BM24,N,9.5,17,7,3.6,2,
bearmtn,2019,BM12,S,30,28,22,12.7,2,
bearmtn,2019,BM12,S,25,24,12,10.7,1,
bearmtn,2019,BM12,E,13,13,6,1,3,
bearmtn,2019,BM12,W,20,23,20,4.7,3,
bearmtn,2019,BM12,W,20,20,9,8.29,3,
bearmtn,2019,BM9,E,42,33,13,17.1,2,
bearmtn,2019,BM9,E,18,25,10,12.2,1,
bearmtn,2019,BM9,N,38,38,22,15.5,3,
bearmtn,2019,BM9,S,15,13,13,1.67,2, 
bearmtn,2019,BM9,S,22,25,10,12.2,1,
bearmtn,2019,BM9,S,37,42,38,15.6,3,
bearmtn,2019,BM13,S,40,29,3,18.5,3,
bearmtn,2019,BM13,E,18,29,3,18.5,3,
bearmtn,2019,BM14,N,20,35,2.5,8.8,1,one tree
bearmtn,2019,BM14,N,8,35,6.5,5,1,one tree
bearmtn,2019,BM14,N,23,35,14,5.9,1,one tree
bearmtn,2019,BM14,N,17,8,6,1,5,
bearmtn,2019,BM15,E,22,10,0.5,5.55,1,
bearmtn,2019,BM15,E,8,10.5,3.2,2.9,2,
bearmtn,2019,BM20,W,20,30,15,0.43,3,
bearmtn,2019,BM20,S,15,17.5,2,7.95,2,
bearmtn,2019,BM20,N,16,24,11,11.7,1,
bearmtn,2019,BM20,N,27,3.5,19.9,9.7,3,
bearmtn,2019,BM18,E,19,11,7,4.55,2,
bearmtn,2019,BM18,S,10.1,19,5.5,11.2,2,
bearmtn,2019,BM17,E,48,40,1.8,23,1,
bearmtn,2019,BM17,W,32,35,13,3,1,
bearmtn,2019,BM17,N,30.7,40,1.8,23,1,
bearmtn,2019,BM19,S,36,42,12.3,12.9,2,
bearmtn,2019,BM25,S,40,43.8,35,5.75,3,
bearmtn,2019,BM25,W,40,28.5,5,28.6,2,
bearmtn,2019,BM25,W,30,40,29,1.1,3,
bearmtn,2019,BM26,N,9,9,5,1.4,2,
bearmtn,2019,BM26,E,10.5,11,7,2.1,3,
bearmtn,2019,BM26,W,8.5,8,5,2.2,2,
bearmtn,2019,BM27,E,10,20,11,1.2,4,
bearmtn,2019,BM27,W,13,13,10,0.95,3,
bearmtn,2019,BM27,W,20,14.4,6.2,8.4,3,
bearmtn,2019,BM27,N,17.3,17.3,5,9.95,3,
bearmtn,2019,BM27,N,16,14.4,6.2,8.4,3,
bearmtn,2019,BM27,S,8,8,8,0.38,2,
bearmtn,2019,BM27,S,18,19,6.5,6.3,2,
bearmtn,2019,BM3,N,27,39,9,18.6,2,
bearmtn,2019,BM3,N,11,20,11,15,3,
bearmtn,2019,BM3,E,35,39,9,18.6,2,
bearmtn,2019,BM5,W,20,20,9,0.65,3,
bearmtn,2019,BM5,S,10,10,10,0.7,4,
bearmtn,2019,BM5,S,15,14,14,0.82,4,
bearmtn,2019,BM5,S,17.4,27,1,10.8,1,
bearmtn,2019,BM5,S,17,19,13,4.05,1,
bearmtn,2019,BM5,S,15,15,13,1,4,
bearmtn,2019,BM5,N,11,11,5,0.35,4,
bearmtn,2019,BM5,N,10,13,8.5,0.75,4,
bearmtn,2019,BM5,N,13,10,9,0.27,4,
