plot_id,litter_duff,depth_cm
fm10-1,mean_litter,3.375
fm10-1,mean_duff,3.75
fm10-10,mean_litter,2.5625
fm10-10,mean_duff,6.25
fm10-11,mean_litter,1.38125
fm10-11,mean_duff,4.5
fm10-12,mean_litter,2.8125
fm10-12,mean_duff,6.125
fm10-13,mean_litter,1.50625
fm10-13,mean_duff,2.00625
fm10-14,mean_litter,2.75
fm10-14,mean_duff,4.5
fm10-15,mean_litter,1.26875
fm10-15,mean_duff,5.125
fm10-2,mean_litter,1.625
fm10-2,mean_duff,5.625
fm10-3,mean_litter,2.8125
fm10-3,mean_duff,3.75
fm10-4,mean_litter,3.0625
fm10-4,mean_duff,3.125
fm10-5,mean_litter,2.75
fm10-5,mean_duff,5
fm10-6,mean_litter,3.75
fm10-6,mean_duff,4.375
fm10-7,mean_litter,2.25
fm10-7,mean_duff,4.125
fm10-8,mean_litter,2.75
fm10-8,mean_duff,8.875
fm10-9,mean_litter,2.75
fm10-9,mean_duff,1.75
fm19-1,mean_litter,1.8125
fm19-1,mean_duff,6.94375
fm19-10,mean_litter,2.1375
fm19-10,mean_duff,3.75
fm19-11,mean_litter,3.625
fm19-11,mean_duff,2.25625
fm19-12,mean_litter,2.75625
fm19-12,mean_duff,2.89375
fm19-13,mean_litter,0.95
fm19-13,mean_duff,6.1875
fm19-14,mean_litter,1.33125
fm19-14,mean_duff,0.88125
fm19-15,mean_litter,3.375
fm19-15,mean_duff,2.38125
fm19-16,mean_litter,1.325
fm19-16,mean_duff,4.00625
fm19-17,mean_litter,5.3125
fm19-17,mean_duff,3.5
fm19-18,mean_litter,4.8125
fm19-18,mean_duff,5.375
fm19-19,mean_litter,1.575
fm19-19,mean_duff,3.25
fm19-2,mean_litter,3.625
fm19-2,mean_duff,3.375
fm19-20,mean_litter,3.25
fm19-20,mean_duff,3.25
fm19-21,mean_litter,1.7125
fm19-21,mean_duff,1.8875
fm19-3,mean_litter,3.13125
fm19-3,mean_duff,7.125
fm19-4,mean_litter,1.6875
fm19-4,mean_duff,3.0625
fm19-5,mean_litter,1.875
fm19-5,mean_duff,5.125
fm19-6,mean_litter,1.38125
fm19-6,mean_duff,1.125
fm19-7,mean_litter,2.56875
fm19-7,mean_duff,2.31875
fm19-8,mean_litter,2.875
fm19-8,mean_duff,2.625
fm19-9,mean_litter,0.4625
fm19-9,mean_duff,0.7
