plot_id,species_id,status,mean_dbh,mean_ht,total_trees,total_trees_acre
fm10-1,abco,dead,51.14,12.96,5,50
fm10-1,abco,live,19.54,8.75,10,100
fm10-1,abma,live,77.2,45.9,2,20
fm10-1,cade,live,31.05,12.325,4,40
fm10-1,pila,live,82.7333333333333,38.6,3,30
fm10-10,abco,dead,15.3,2.05,2,20
fm10-10,abco,live,20.7,10.2045454545455,22,220
fm10-10,abma,dead,9.8,4,1,10
fm10-10,cade,live,26.675,10.625,8,80
fm10-10,pila,live,86.5,34,1,10
fm10-11,abco,dead,50.4666666666667,16.3333333333333,3,30
fm10-11,abco,live,16.26,8.68,20,200
fm10-11,cade,live,124,34,1,10
fm10-12,abco,dead,12,7,1,10
fm10-12,abco,live,29.8571428571429,16.1190476190476,21,210
fm10-12,abma,dead,50.6,15.2,1,10
fm10-12,cade,live,79.95,27.5,2,20
fm10-12,pila,live,104.8,40,1,10
fm10-13,cade,live,9.45666666666667,4.33333333333333,3,30
fm10-13,pipo,live,35.1,13.6714285714286,7,70
fm10-14,abco,live,23.1857142857143,15.1071428571429,14,140
fm10-14,abma,dead,15.275,10.625,4,40
fm10-14,abma,live,22.9866666666667,15.7666666666667,15,150
fm10-14,cade,dead,72.1,27,1,10
fm10-14,cade,live,96.7,33,1,10
fm10-15,abco,dead,42.8,5.16666666666667,3,30
fm10-15,abco,live,14.6238095238095,8.01904761904762,21,210
fm10-15,abma,live,14.875,6.5,4,40
fm10-15,cade,live,14.6357142857143,6.07142857142857,7,70
fm10-15,pila,live,34.98,16.3,5,50
fm10-2,abco,dead,14.3666666666667,4.93333333333333,3,30
fm10-2,abco,live,18.615625,10.796875,32,320
fm10-2,abma,dead,14.6583333333333,7.16666666666667,6,60
fm10-2,abma,live,28.2307692307692,15.8461538461538,13,130
fm10-2,amba,live,47,28,1,10
fm10-2,cade,live,69.75,23,2,20
fm10-2,dead,dead,8.2,9,1,10
fm10-2,pila,live,20.1,9,1,10
fm10-3,abco,live,26.7347826086957,13.9391304347826,23,230
fm10-3,abma,live,14.5,7.58888888888889,9,90
fm10-3,cade,live,56.75,20.625,4,40
fm10-4,abco,dead,41.3166666666667,19.5666666666667,3,30
fm10-4,abco,live,33.7625,10.55,12,120
fm10-4,cade,live,14.9,4.5,2,20
fm10-5,abco,dead,9.3,4,1,10
fm10-5,abco,live,26.4333333333333,13.3333333333333,3,30
fm10-5,abma,dead,22.3,6.73333333333333,3,30
fm10-5,abma,live,26.8666666666667,15.1,3,30
fm10-5,cade,live,20.1461538461538,8.44615384615385,13,130
fm10-5,pila,live,53.3333333333333,21,3,30
fm10-6,abco,dead,54.79375,7.9,8,80
fm10-6,abco,live,21.22,11.5,20,200
fm10-6,abma,live,9.5,4,1,10
fm10-6,cade,live,10.2,5,1,10
fm10-6,pila,live,98.7,47,2,20
fm10-7,abco,dead,20.8,7,1,10
fm10-7,abco,live,35.4666666666667,19.8222222222222,18,180
fm10-7,cade,dead,12.9,5,1,10
fm10-7,cade,live,20.1666666666667,8.5,3,30
fm10-8,abco,live,16.105,8.39,20,200
fm10-8,cade,live,9.75,4.25,2,20
fm10-8,pila,live,120.15,44.5,2,20
fm10-9,abco,dead,49.8,4.33333333333333,3,30
fm10-9,abco,live,25.1333333333333,11.0333333333333,15,150
fm10-9,cade,live,8.3,4,1,10
fm19-1,abco,dead,59.9,18,2,20
fm19-1,abco,live,31.3583333333333,14.1583333333333,12,120
fm19-1,cade,live,17.7,5.75,4,40
fm19-10,abco,dead,51.7571428571429,10.3142857142857,7,70
fm19-10,abco,live,31.41,16.8,10,100
fm19-10,abma,live,40.0181818181818,21.1818181818182,11,110
fm19-10,pila,live,48.125,15.05,4,40
fm19-11,abco,dead,35.1,9.125,4,40
fm19-11,abco,live,20.66,8.9,10,100
fm19-11,cade,live,17.4,6,1,10
fm19-11,pimo,live,64,21,1,10
fm19-12,abco,dead,19.225,9.25,4,40
fm19-12,abco,live,27.7333333333333,15.4933333333333,15,150
fm19-12,cade,dead,31.5,6.5,1,10
fm19-12,cade,live,40.8285714285714,13.4642857142857,7,70
fm19-12,pije,live,36.62,16.2,5,50
fm19-13,abco,dead,,19,2,20
fm19-13,abco,live,26.365,13.4,10,100
fm19-13,abma,dead,54.9,2,1,10
fm19-13,abma,live,86.6666666666667,35.6666666666667,3,30
fm19-14,abco,dead,15.8,1.4,1,10
fm19-14,abco,live,9.2,4,1,10
fm19-14,cade,live,28.3,6.9,1,10
fm19-14,pipo,live,11,4,1,10
fm19-15,abco,dead,36.69375,8.75,16,160
fm19-15,abco,live,27.62,12.0333333333333,30,300
fm19-15,pila,live,70.8,24.9,1,10
fm19-15,pipo,live,50.2,23.5,1,10
fm19-16,abco,dead,69.95,13.75,2,20
fm19-16,abco,live,34.4037037037037,14.2037037037037,27,270
fm19-16,abma,live,39.9833333333333,20.3333333333333,6,60
fm19-17,cade,live,8.85,5.25,2,20
fm19-17,pila,live,13.6,8.5,1,10
fm19-17,pipo,live,39.3272727272727,17.5909090909091,22,220
fm19-18,abco,dead,24.6666666666667,9.97777777777778,9,90
fm19-18,abco,live,32.1888888888889,14.4444444444444,9,90
fm19-18,cade,live,18.1583333333333,7.375,12,120
fm19-18,pipo,live,91.15,18.5,2,20
fm19-19,abco,dead,20.35,6.25,2,20
fm19-19,abco,live,24.15,13.75,4,40
fm19-19,cade,dead,12,4.5,2,20
fm19-19,cade,live,34.5571428571429,10.5428571428571,7,70
fm19-19,pila,live,31.8,11.25,2,20
fm19-19,pipo,live,71,27,1,10
fm19-2,abco,dead,107.6,3,1,10
fm19-2,abco,live,35.4933333333333,15.1833333333333,15,150
fm19-2,abma,live,22,8.5,1,10
fm19-2,cade,live,18.675,6.8125,8,80
fm19-20,abco,dead,35.8666666666667,8.64444444444444,9,90
fm19-20,abco,live,34.2157894736842,19.4842105263158,19,190
fm19-20,pipo,live,56.2,23.2,1,10
fm19-21,abco,dead,12.8,6,1,10
fm19-21,abco,live,35.5090909090909,18.2636363636364,11,110
fm19-21,abma,live,36.1,18,1,10
fm19-21,cade,live,72.2,17.4,1,10
fm19-21,pipo,dead,30.2,14.6,1,10
fm19-3,abco,dead,17.7,7,1,10
fm19-3,abco,live,29.6166666666667,14.0166666666667,6,60
fm19-3,abma,dead,24.5,15,1,10
fm19-3,abma,live,38.9571428571429,22.8571428571429,7,70
fm19-3,cade,live,37.5,12,2,20
fm19-3,pila,live,54.5,20,1,10
fm19-3,unk,dead,82.5,5,1,10
fm19-4,abco,dead,15.7428571428571,6.35714285714286,7,70
fm19-4,abco,live,21.7161290322581,12.2548387096774,31,310
fm19-4,cade,live,83.525,22.5,4,40
fm19-4,pije,live,83.25,30,2,20
fm19-5,abco,dead,11.75,6.75,2,20
fm19-5,abco,live,29.1621212121212,14.4363636363636,33,330
fm19-5,abma,live,59.9,16.3,3,30
fm19-5,cade,live,30.6,10.5,1,10
fm19-6,abco,dead,37.1666666666667,8.66666666666667,3,30
fm19-6,cade,live,10.1,4,1,10
fm19-6,pije,live,43.175,13.625,4,40
fm19-7,abco,live,9.05,4,2,20
fm19-7,abma,dead,49.575,8.475,4,40
fm19-7,abma,live,38.6333333333333,14.6833333333333,6,60
fm19-8,abco,dead,37.3666666666667,5.5,3,30
fm19-8,abco,live,23.6363636363636,11.6909090909091,11,110
fm19-8,cade,live,37.4388888888889,14.1444444444444,18,180
fm19-8,pije,live,34.4,10,1,10
fm19-9,cade,live,26.4125,9.9375,8,80
fm19-9,pije,live,27.6,12.125,4,40
