site,year,plot_id,species_id,status,recruitment,lifeform,tse_count,tse_ht,tse_age,growth_lastyr,tsa_dbh,tsa_age,tsa_ht,tre_count,tre_ht,tre_dbh,tre_age,notes
,,,,,,,count,cm_of_tallest,year_of_tallest,cm,cm,year,m,count,m_of_tallest,cm_of_tallest,year_of_tallest,
frenchmeadows,2019,FM10-1,abco,live,natural ,TSE,7,20,20,6,,,,,,,,
frenchmeadows,2019,FM10-1,abco,live,natural ,TSE,5,15,2,2,,,,,,,,
frenchmeadows,2019,FM10-1,cade,live,natural ,TSE,1,100,13,15,,,,,,,,
frenchmeadows,2019,FM10-1,cade,live,natural ,TSE,26,5,0,0,,,,,,,,
frenchmeadows,2019,FM10-1,pila,live,natural ,TSE,3,13,3,1,,,,,,,,
frenchmeadows,2019,FM10-1,pila,live,natural ,TSE,6,6,0,0,,,,,,,,
frenchmeadows,2019,FM10-1,cade,live,natural ,TSE,2,25,13,6,,,,,,,,
frenchmeadows,2019,FM10-1,abma,live,natural ,TSE,8,15,7,3,,,,,,,,
frenchmeadows,2019,FM10-1,abma,live,natural ,TSE,1,20,10,4,,,,,,,,
frenchmeadows,2019,FM10-1,abma,live,natural ,TSE,2,5,0,0,,,,,,,,
frenchmeadows,2019,FM10-1,abco,live,natural ,TSE,2,20,6,unk,,,,,,,,
frenchmeadows,2019,FM10-1,abco,live,natural ,TSE,2,20,6,4,,,,,,,,
frenchmeadows,2019,FM10-1,abco,live,natural ,TSE,1,25,9,6,,,,,,,,
frenchmeadows,2019,FM10-1,pila,live,natural ,TSE,1,20,6,4,,,,,,,,
frenchmeadows,2019,FM10-1,abco,live,natural ,TSE,2,60,26,5,,,,,,,,
frenchmeadows,2019,FM10-1,abma,live,natural ,TSE,1,100,24,4,,,,,,,,
frenchmeadows,2019,FM10-1,abco,live,natural ,TSE,1,1.35,35,3.5,,,,,,,,
frenchmeadows,2019,FM10-10,abco,live,natural ,TSE,6,2,0,0,,,,,,,,
frenchmeadows,2019,FM10-10,abco,live,natural ,TSE,2,5,1,0,,,,,,,,
frenchmeadows,2019,FM10-10,abco,live,natural ,TSE,7,7,2,2,,,,,,,,
frenchmeadows,2019,FM10-10,abco,live,natural ,TSE,4,10,3,3,,,,,,,,
frenchmeadows,2019,FM10-10,abco,live,natural ,TSE,1,14,5,5,,,,,,,,
frenchmeadows,2019,FM10-10,abco ,live,natural ,TSE,1,59,6,10,,,,,,,,
frenchmeadows,2019,FM10-10,cade,live,natural ,TSE,6,2,0,0,,,,,,,,
frenchmeadows,2019,FM10-10,cade,live,natural ,TSE,1,3,1,0,,,,,,,,
frenchmeadows,2019,FM10-10,cade,live,natural ,TSE,3,9,2,2,,,,,,,,
frenchmeadows,2019,FM10-10,cade,live,natural ,TSE,7,12,3,4,,,,,,,,
frenchmeadows,2019,FM10-10,cade,live,natural ,TSE,4,16,5,7,,,,,,,,
frenchmeadows,2019,FM10-10,cade,live,natural ,TSE,11,40,5,8,,,,,,,,
frenchmeadows,2019,FM10-10,cade,live,natural ,TSE,5,50,6,9,,,,,,,,
frenchmeadows,2019,FM10-10,cade,live,natural ,TSE,2,65,7,12,,,,,,,,
frenchmeadows,2019,FM10-10,pila,live,natural ,TSE,1,60,6,12,,,,,,,,
frenchmeadows,2019,FM10-10,abco,live,natural ,TSA,,,,,1.6,16,120,,,,,
frenchmeadows,2019,FM10-10,abco,live,natural ,TSA,,,,,2.8,19,140,,,,,
frenchmeadows,2019,FM10-10,abco,live,natural ,TSA,,,,,3,20,180,,,,,
frenchmeadows,2019,FM10-11,abco,live,natural ,TSE,17,13.5,2,3,,,,,,,,
frenchmeadows,2019,FM10-11,abco,live,natural ,TSE,4,30,4,5,,,,,,,,
frenchmeadows,2019,FM10-11,pila,live,natural ,TSE,2,10,1,15,,,,,,,,
