site,year,plot_id,tag,status,species_id,dbh_cm,height_m,ht_to_crown_m,crown_class,crown_width_m,stump_diam_cm,stump_ht_m,decay,scorch_ht_m,scorch%,torch_ht_m,torch%,bolechar_ht_m,resprout,notes,
frenchmeadows,2019,fm10-1,,stump,cade,,,,,,85,0.37,4,,,,,,,,
frenchmeadows,2019,fm10-1,84,live,pila,108.2,36.8,11,DO,6,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,live,cade,52.6,21.3,4,IN,5,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,stump,unk,,,,,,13.5,39,5,,,,,,,,
frenchmeadows,2019,fm10-1,,dead,abco,79.2,20,,,,,,2,,,,,,,,
frenchmeadows,2019,fm10-1,,live,abma,83.4,55.8,31,DO,6.5,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,live,abco,23.1,8,5,IN,2,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,live,abco,38.4,17,9,IN,2,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,live,abco,11.6,5,3,OV,1,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,live,abco,38.3,16,7,OV,5,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,dead,abco,50.4,25,,,,,,1,,,,,,,,
frenchmeadows,2019,fm10-1,,stump,unk,,,,,,69.4,0.8,3,,,,,0.7,,,
frenchmeadows,2019,fm10-1,,live,abco,7.8,4.5,2,IN,2,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,live,cade,42.6,18,6,IN,5,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,live,abco,23.6,11,4.5,OV,4,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,live,cade,21,6,2.2,OV,3,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,dead,abco,44.2,5,,,,,,3,,,,,,,,
frenchmeadows,2019,fm10-1,,live,abma,71,36,6.5,DO,,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,live,cade,8,4,2.5,OV,2,,,,4,,,,,,top broken off,
frenchmeadows,2019,fm10-1,,live,abco,22.2,10.5,4.5,OV,3,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,stump,abco,,,,,,15.9,1.6,4,,,,,,,,
frenchmeadows,2019,fm10-1,,live,pila,60.9,36,17,CO,8,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,dead,abco,52.5,7.8,,,,,,4,,,,,,,,
frenchmeadows,2019,fm10-1,,dead,abco,29.4,7,,,,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,live,abco,7.9,4.5,2.5,IN,3,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,live,pila,79.1,43,13,CO,8,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,stump,pila,,,,,,26.5,1.2,5,,,,,,,,
frenchmeadows,2019,fm10-1,,live,abco,14.2,6,2.5,IN,3,,,,,,,,,,,
frenchmeadows,2019,fm10-1,,live,abco,8.3,5,2.5,IN,2,,,,,,,,,,,
frenchmeadows,2019,fm10-10,96,live,abco,26.7,12,4,IN,4,,,,,,,,,,,
frenchmeadows,2019,fm10-10,,live,abco,22.4,10,4,IN,4,,,,,,,,,,,
frenchmeadows,2019,fm10-10,,live,abco,16.9,10,6,IN,3.5,,,,,,,,,,,
frenchmeadows,2019,fm10-10,,live,pila,86.5,34,17,DO,11,,,,,,,,,,,
frenchmeadows,2019,fm10-10,,live,abco,34.6,18,7,IN,5,,,,,,,,,,,
frenchmeadows,2019,fm10-10,,live,abco,32.1,15,5,IN,3,,,,,,,,,,,
frenchmeadows,2019,fm10-10,,stump,cade,,,,,,195,0.7,3,,,,,,,,
frenchmeadows,2019,fm10-10,,live,cade,42.5,16,5,IN,3,,,,,,,,,,,
frenchmeadows,2019,fm10-10,,live,abco,17.2,8,4,OV,1.5,,,,,,,,,,,
frenchmeadows,2019,fm10-10,,live,cade,16.7,6,2,OV,2,,,,,,,,,,,
frenchmeadows,2019,fm10-10,,live,cade,19,9,2,IN,2,,,,,,,,,,,
frenchmeadows,2019,fm10-10,,stump,cade,,,,,,70,1,5,,,,,,,,
