site,year,plot_id,azimuth,slope,x1h_length,x10h_length,x100h_length,x1000h_length,1hr,10hr,100hr,duff1,litter1,duff2,litter2,Notes:
,,,,%,m,m,m,m,count,count,count,cm,cm,cm,cm,
frenchmeadows,2019,fm10-1,N,,2,2,4,11.3,15,5,0,5,3,5,3,
frenchmeadows,2019,fm10-1,S,16,2,2,4,11.3,17,5,0,0,1,0,3,
frenchmeadows,2019,fm10-1,E,,2,2,4,11.3,6,3,8,12,3,3,4,
frenchmeadows,2019,fm10-1,W,,2,2,4,11.3,13,10,1,2,6,3,4,
frenchmeadows,2019,fm10-10,N,,2,2,4,11.3,6,2,1,2,4,2,4,
frenchmeadows,2019,fm10-10,S,,2,2,4,11.3,19,3,0,4,4,7,4,
frenchmeadows,2019,fm10-10,E,,2,2,4,11.3,98,51,2,6,1,11,0.5,
frenchmeadows,2019,fm10-10,W,,2,2,4,11.3,35,16,0,14,2,4,1,
frenchmeadows,2019,fm10-11,N,,2,2,4,11.3,22,20,4,4,2,0,2,
frenchmeadows,2019,fm10-11,S,22,2,2,4,11.3,43,18,4,2,1,3,2,
frenchmeadows,2019,fm10-11,E,,2,2,4,11.3,36,4,0,16,1,1,tr,
frenchmeadows,2019,fm10-11,W,,2,2,4,11.3,37,12,3,5,1,5,2,
frenchmeadows,2019,fm10-12,N,27,2,2,4,11.3,23,2,1,12,4,5,7,
frenchmeadows,2019,fm10-12,S,20,2,2,4,11.3,22,4,0,2,4,4,2,
frenchmeadows,2019,fm10-12,E,,2,2,4,11.3,24,4,0,6,0.5,2,1,
frenchmeadows,2019,fm10-12,W,,2,2,4,11.3,48,9,5,14,2,4,2,
frenchmeadows,2019,fm10-13,N,,2,2,4,11.3,45,2,0,3,4,tr,tr,
frenchmeadows,2019,fm10-13,S,,2,2,4,11.3,6,0,1,1,2,2,4,
frenchmeadows,2019,fm10-13,E,,2,2,4,11.3,10,3,1,0,0,0,0,
frenchmeadows,2019,fm10-13,W,,2,2,4,11.3,15,5,3,10,1,0,1,
frenchmeadows,2019,fm10-14,N,,2,2,4,11.3,4,1,1,1,3,1,3,first 4m of transect on old skid road
frenchmeadows,2019,fm10-14,S,,2,2,4,11.3,29,18,3,1,3,1,4,
frenchmeadows,2019,fm10-14,E,,2,2,4,11.3,32,6,2,10,3,15,2,
frenchmeadows,2019,fm10-14,W,,2,2,4,11.3,29,2,0,1,1,6,3,
frenchmeadows,2019,fm10-15,N,38,2,2,4,11.3,12,2,5,2,2,8,2,
frenchmeadows,2019,fm10-15,S,36,2,2,4,11.3,44,1,2,2,tr,4,1,
frenchmeadows,2019,fm10-15,E,,2,2,4,11.3,66,24,1,12,3,10,2,
frenchmeadows,2019,fm10-15,W,,2,2,4,11.3,21,3,1,1,tr,2,tr,
frenchmeadows,2019,FM10-2,N,25,2,2,4,11.3,36,10,0,0,1,3,2,
frenchmeadows,2019,FM10-2,S,26,2,2,4,11.3,88,16,6,4,2,5,3,
frenchmeadows,2019,FM10-2,E,,2,2,4,11.3,92,26,1,17,1,9,1,
frenchmeadows,2019,FM10-2,W,20,2,2,4,11.3,82,8,2,4,1,3,2,
frenchmeadows,2019,FM10-3,N,,2,2,4,11.3,6,5,2,2,5,6,3,
frenchmeadows,2019,FM10-3,S,,2,2,4,11.3,22,4,2,5,3,1,4,
