site_plotid_time,fuel_type_size,mass_ton_acre,mass_mg_ha
Antelope Antelope01 2020 prefire,mass_1hr,0.014532682,0.032577947
Antelope Antelope01 2020 prefire,mass_10hr,0.139071029,0.311755848
Antelope Antelope01 2020 prefire,mass_100hr,0,0
Antelope Antelope01 2020 prefire,mass_cwd_sound,0,0
Antelope Antelope01 2020 prefire,mass_cwd_rotten,0,0
Antelope Antelope01 2020 prefire,avg_litter,1.6875,3.782872651
Antelope Antelope01 2020 prefire,avg_duff,5.0625,11.34861795
Antelope Antelope01 2020 prefire,avg_fueldepth,5.625,12.6095755
Antelope Antelope01 2020 prefire,total_fuel,0.153603711,0.344333794
Antelope Antelope02 2020 prefire,mass_1hr,0.029065364,0.065155893
Antelope Antelope02 2020 prefire,mass_10hr,0.347677573,0.779389619
Antelope Antelope02 2020 prefire,mass_100hr,0,0
Antelope Antelope02 2020 prefire,mass_cwd_sound,0,0
Antelope Antelope02 2020 prefire,mass_cwd_rotten,1.969828912,4.415770026
Antelope Antelope02 2020 prefire,avg_litter,1.9375,4.343298228
Antelope Antelope02 2020 prefire,avg_duff,5.04375,11.30658603
Antelope Antelope02 2020 prefire,avg_fueldepth,13.2,29.59047051
Antelope Antelope02 2020 prefire,total_fuel,2.346571849,5.260315539
Antelope Antelope03 2020 prefire,mass_1hr,0.061763898,0.138456274
Antelope Antelope03 2020 prefire,mass_10hr,0.695355146,1.558779239
Antelope Antelope03 2020 prefire,mass_100hr,1.383492073,3.101377378
Antelope Antelope03 2020 prefire,mass_cwd_sound,0.323298665,0.724739365
Antelope Antelope03 2020 prefire,mass_cwd_rotten,0,0
Antelope Antelope03 2020 prefire,avg_litter,0.8375,1.877425686
Antelope Antelope03 2020 prefire,avg_duff,1.15,2.577957658
Antelope Antelope03 2020 prefire,avg_fueldepth,1.7875,4.007042882
Antelope Antelope03 2020 prefire,total_fuel,2.463909783,5.523352256
Antelope Antelope04 2020 prefire,mass_1hr,0.00363317,0.008144487
Antelope Antelope04 2020 prefire,mass_10hr,0.069535515,0.155877924
Antelope Antelope04 2020 prefire,mass_100hr,0.276698415,0.620275476
Antelope Antelope04 2020 prefire,mass_cwd_sound,0,0
Antelope Antelope04 2020 prefire,mass_cwd_rotten,0,0
Antelope Antelope04 2020 prefire,avg_litter,2.0625,4.623511017
Antelope Antelope04 2020 prefire,avg_duff,5.75,12.88978829
Antelope Antelope04 2020 prefire,avg_fueldepth,17.6375,39.53802452
Antelope Antelope04 2020 prefire,total_fuel,0.3498671,0.784297886
Antelope Antelope05 2020 prefire,mass_1hr,0.050864387,0.114022814
Antelope Antelope05 2020 prefire,mass_10hr,0.417213088,0.935267543
Antelope Antelope05 2020 prefire,mass_100hr,0,0
Antelope Antelope05 2020 prefire,mass_cwd_sound,0.225816373,0.506213085
Antelope Antelope05 2020 prefire,mass_cwd_rotten,0,0
Antelope Antelope05 2020 prefire,avg_litter,0.7625,1.709298012
Antelope Antelope05 2020 prefire,avg_duff,2.9,6.500936703
Antelope Antelope05 2020 prefire,avg_fueldepth,1.1875,2.662021495
Antelope Antelope05 2020 prefire,total_fuel,0.693893847,1.555503442
Antelope Antelope06 2020 prefire,mass_1hr,0.00363317,0.008144487
Antelope Antelope06 2020 prefire,mass_10hr,0.417213088,0.935267543
Antelope Antelope06 2020 prefire,mass_100hr,0.276698415,0.620275476
Antelope Antelope06 2020 prefire,mass_cwd_sound,0.471566818,1.057112426
Antelope Antelope06 2020 prefire,mass_cwd_rotten,0,0
Antelope Antelope06 2020 prefire,avg_litter,2.03125,4.55345782
Antelope Antelope06 2020 prefire,avg_duff,4.125,9.247022035
Antelope Antelope06 2020 prefire,avg_fueldepth,17.8625,40.04240754
Antelope Antelope06 2020 prefire,total_fuel,1.169111491,2.620799932
Antelope Antelope07 2020 prefire,mass_1hr,0.010899511,0.02443346
Antelope Antelope07 2020 prefire,mass_10hr,0.069535515,0.155877924
Antelope Antelope07 2020 prefire,mass_100hr,0,0
Antelope Antelope07 2020 prefire,mass_cwd_sound,0,0
Antelope Antelope07 2020 prefire,mass_cwd_rotten,0,0
Antelope Antelope07 2020 prefire,avg_litter,0.8,1.793361849
Antelope Antelope07 2020 prefire,avg_duff,0.6625,1.485127781
Antelope Antelope07 2020 prefire,avg_fueldepth,1.9375,4.343298228
Antelope Antelope07 2020 prefire,total_fuel,0.080435026,0.180311384
Antelope Antelope08 2020 prefire,mass_1hr,0.007266341,0.016288973
Antelope Antelope08 2020 prefire,mass_10hr,0.764890661,1.714657163
Antelope Antelope08 2020 prefire,mass_100hr,0.830095244,1.860826427
Antelope Antelope08 2020 prefire,mass_cwd_sound,0,0
Antelope Antelope08 2020 prefire,mass_cwd_rotten,0,0
Antelope Antelope08 2020 prefire,avg_litter,1.375,3.082340678
Antelope Antelope08 2020 prefire,avg_duff,11.0125,24.6867467
Antelope Antelope08 2020 prefire,avg_fueldepth,5.76875,12.93182021
Antelope Antelope08 2020 prefire,total_fuel,1.602252246,3.591772563
Antelope Antelope09 2020 prefire,mass_1hr,0.069030239,0.154745247
Antelope Antelope09 2020 prefire,mass_10hr,0.417213088,0.935267543
Antelope Antelope09 2020 prefire,mass_100hr,0.276698415,0.620275476
Antelope Antelope09 2020 prefire,mass_cwd_sound,0,0
Antelope Antelope09 2020 prefire,mass_cwd_rotten,0,0
Antelope Antelope09 2020 prefire,avg_litter,2,4.483404623
Antelope Antelope09 2020 prefire,avg_duff,3.975,8.910766688
Antelope Antelope09 2020 prefire,avg_fueldepth,1.9125,4.287255671
Antelope Antelope09 2020 prefire,total_fuel,0.762941742,1.710288266
Antelope Antelope10 2020 prefire,mass_1hr,0.00363317,0.008144487
Antelope Antelope10 2020 prefire,mass_10hr,0.139071029,0.311755848
Antelope Antelope10 2020 prefire,mass_100hr,0.276698415,0.620275476
Antelope Antelope10 2020 prefire,mass_cwd_sound,0,0
Antelope Antelope10 2020 prefire,mass_cwd_rotten,2.051881539,4.599707588
Antelope Antelope10 2020 prefire,avg_litter,6.375,14.29085224
Antelope Antelope10 2020 prefire,avg_duff,8.225,18.43800151
Antelope Antelope10 2020 prefire,avg_fueldepth,7.325,16.42046943
Antelope Antelope10 2020 prefire,total_fuel,2.471284153,5.539883398
Antelope Antelope11 2020 prefire,mass_1hr,0.00376327,0.008436131
Antelope Antelope11 2020 prefire,mass_10hr,0.142980293,0.320519254
Antelope Antelope11 2020 prefire,mass_100hr,0,0
Antelope Antelope11 2020 prefire,mass_cwd_sound,0,0
Antelope Antelope11 2020 prefire,mass_cwd_rotten,0,0
Antelope Antelope11 2020 prefire,avg_litter,1.7875,4.007042882
Antelope Antelope11 2020 prefire,avg_duff,1.625,3.642766256
Antelope Antelope11 2020 prefire,avg_fueldepth,3.15,7.061362281
Antelope Antelope11 2020 prefire,total_fuel,0.146743563,0.328955385
Antelope Antelope12 2020 prefire,mass_1hr,0.021799023,0.04886692
Antelope Antelope12 2020 prefire,mass_10hr,0.764890661,1.714657163
Antelope Antelope12 2020 prefire,mass_100hr,0.830095244,1.860826427
Antelope Antelope12 2020 prefire,mass_cwd_sound,0.272376994,0.610588137
Antelope Antelope12 2020 prefire,mass_cwd_rotten,0,0
Antelope Antelope12 2020 prefire,avg_litter,1.75,3.922979045
Antelope Antelope12 2020 prefire,avg_duff,8.9625,20.09125697
Antelope Antelope12 2020 prefire,avg_fueldepth,10.5375,23.62193811
Antelope Antelope12 2020 prefire,total_fuel,1.889161922,4.234938647
Antelope Antelope13 2020 prefire,mass_1hr,0.014532682,0.032577947
Antelope Antelope13 2020 prefire,mass_10hr,0.278142059,0.623511696
Antelope Antelope13 2020 prefire,mass_100hr,1.660190488,3.721652854
Antelope Antelope13 2020 prefire,mass_cwd_sound,0.25822999,0.578874764
Antelope Antelope13 2020 prefire,mass_cwd_rotten,0,0
Antelope Antelope13 2020 prefire,avg_litter,2.175,4.875702527
Antelope Antelope13 2020 prefire,avg_duff,1.5125,3.390574746
