site,plotid,year,pre_post_fire,azimuth,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,notes,postTime,slope_percent,litter3_cm,duff3_cm,duff_depth_cm,litter_depth_cm,fuel_depth_cm,site_plotid_time_azimuth,sum_d2_1000r_cm2,sum_d2_1000s_cm2,plot_id_time
Antelope,Antelope01,2020,prefire,0,2,2,4,11.3,1,0,0,0,1.5,0,6,0,6.2,,,,0,,,3,0.75,3.1,Antelope_Antelope01_2020_prefire_NA_0,0,0,Antelope01 prefire NA
Antelope,Antelope01,2020,prefire,180,2,2,4,11.3,2,0,0,0.5,5,0,15.2,0,1.2,,,,0,,,7.85,2.5,0.6,Antelope_Antelope01_2020_prefire_NA_180,0,0,Antelope01 prefire NA
Antelope,Antelope01,2020,prefire,270,2,2,4,11.3,0,1,0,0,2.5,10,12.5,1,14.3,,,,0,,,6.25,1.75,12.15,Antelope_Antelope01_2020_prefire_NA_270,0,0,Antelope01 prefire NA
Antelope,Antelope01,2020,prefire,90,2,2,4,11.3,1,1,0,0,3.5,4.5,6.3,0,8.8,,,,0,,,3.15,1.75,6.65,Antelope_Antelope01_2020_prefire_NA_90,0,0,Antelope01 prefire NA
Antelope,Antelope02,2020,prefire,0,2,2,4,11.3,0,0,0,2,3,3,9.7,0,44.3,,,,0,,,5.85,1.5,23.65,Antelope_Antelope02_2020_prefire_NA_0,3481,0,Antelope02 prefire NA
Antelope,Antelope02,2020,prefire,180,2,2,4,11.3,3,0,0,0,3.5,3,12.2,0,18.8,,,,0,,,6.1,1.75,10.9,Antelope_Antelope02_2020_prefire_NA_180,0,0,Antelope02 prefire NA
Antelope,Antelope02,2020,prefire,270,2,2,4,11.3,3,4,0,2.5,2,1,6,0,4.2,,,,0,,,4.25,1,2.6,Antelope_Antelope02_2020_prefire_NA_270,0,0,Antelope02 prefire NA
Antelope,Antelope02,2020,prefire,90,2,2,4,11.3,2,1,0,0.25,6,5.5,7.7,1,25.8,,,,0,,,3.975,3.5,15.65,Antelope_Antelope02_2020_prefire_NA_90,0,0,Antelope02 prefire NA
Antelope,Antelope03,2020,prefire,0,2,2,4,11.3,7,3,3,0,0.2,0.2,0.2,0,1.8,,,,0,,,0.1,0.1,1,Antelope_Antelope03_2020_prefire_NA_0,0,428.49,Antelope03 prefire NA
Antelope,Antelope03,2020,prefire,180,2,2,4,11.3,5,2,1,0,0.5,0.5,0.7,0.7,2.2,,,,0,,,0.35,0.6,1.35,Antelope_Antelope03_2020_prefire_NA_180,0,0,Antelope03 prefire NA
Antelope,Antelope03,2020,prefire,270,2,2,4,11.3,2,2,0,2,4.2,4.2,4.8,0.3,1,,,,0,,,3.4,2.25,2.6,Antelope_Antelope03_2020_prefire_NA_270,0,0,Antelope03 prefire NA
Antelope,Antelope03,2020,prefire,90,2,2,4,11.3,3,3,1,0,0.8,0.8,1.5,0,3.6,,,,0,,,0.75,0.4,2.2,Antelope_Antelope03_2020_prefire_NA_90,0,0,Antelope03 prefire NA
Antelope,Antelope04,2020,prefire,0,2,2,4,11.3,0,0,0,0,0,7,2.5,0,35.5,,,,0,,,1.25,0,21.25,Antelope_Antelope04_2020_prefire_NA_0,0,0,Antelope04 prefire NA
Antelope,Antelope04,2020,prefire,180,2,2,4,11.3,1,0,0,0,3.5,0,21.8,0,8.3,,,,0,,,10.9,1.75,4.15,Antelope_Antelope04_2020_prefire_NA_180,0,0,Antelope04 prefire NA
Antelope,Antelope04,2020,prefire,270,2,2,4,11.3,0,0,0,0,1,1,5.7,0,12.3,,,,0,,,2.85,0.5,6.65,Antelope_Antelope04_2020_prefire_NA_270,0,0,Antelope04 prefire NA
Antelope,Antelope04,2020,prefire,90,2,2,4,11.3,0,1,1,4,6,11.5,12,6,65.5,,,,0,,,8,6,38.5,Antelope_Antelope04_2020_prefire_NA_90,0,0,Antelope04 prefire NA
Antelope,Antelope05,2020,prefire,0,2,2,4,11.3,3,0,0,3.2,0.5,0.5,3.6,0,1,,,,0,,,3.4,0.25,0.75,Antelope_Antelope05_2020_prefire_NA_0,0,299.29,Antelope05 prefire NA
Antelope,Antelope05,2020,prefire,180,2,2,4,11.3,6,2,0,3.4,2.1,2.1,5.5,0,1.8,,,,0,,,4.45,1.05,1.95,Antelope_Antelope05_2020_prefire_NA_180,0,0,Antelope05 prefire NA
Antelope,Antelope05,2020,prefire,270,2,2,4,11.3,3,2,0,0.5,1.5,1.5,5,0,0.1,,,,0,,,2.75,0.75,0.8,Antelope_Antelope05_2020_prefire_NA_270,0,0,Antelope05 prefire NA
Antelope,Antelope05,2020,prefire,90,2,2,4,11.3,2,2,0,0,2,2,2,0,0.5,,,,0,,,1,1,1.25,Antelope_Antelope05_2020_prefire_NA_90,0,0,Antelope05 prefire NA
Antelope,Antelope06,2020,prefire,0,2,2,4,11.3,0,0,1,0,1.5,9,4,0.25,13.7,,,,0,,,2,0.875,11.35,Antelope_Antelope06_2020_prefire_NA_0,0,625,Antelope06 prefire NA
Antelope,Antelope06,2020,prefire,180,2,2,4,11.3,0,2,0,0,5.5,8,14,1.5,15.2,,,,0,,,7,3.5,11.6,Antelope_Antelope06_2020_prefire_NA_180,0,0,Antelope06 prefire NA
Antelope,Antelope06,2020,prefire,270,2,2,4,11.3,1,0,0,0,0,2,2.2,0,82,,,,0,,,1.1,0,42,Antelope_Antelope06_2020_prefire_NA_270,0,0,Antelope06 prefire NA
Antelope,Antelope06,2020,prefire,90,2,2,4,11.3,0,4,0,1,5.5,3,11.8,2,10,,,,0,,,6.4,3.75,6.5,Antelope_Antelope06_2020_prefire_NA_90,0,0,Antelope06 prefire NA
Antelope,Antelope07,2020,prefire,0,2,2,4,11.3,1,0,0,0,2,2,3,0.2,3.6,,,,0,,,1.5,1.1,2.8,Antelope_Antelope07_2020_prefire_NA_0,0,0,Antelope07 prefire NA
Antelope,Antelope07,2020,prefire,180,2,2,4,11.3,0,1,0,0,0.5,0.5,0.8,0,4.3,,,,0,,,0.4,0.25,2.4,Antelope_Antelope07_2020_prefire_NA_180,0,0,Antelope07 prefire NA
Antelope,Antelope07,2020,prefire,270,2,2,4,11.3,2,0,0,0,0.3,0.3,0.5,0.3,2,,,,0,,,0.25,0.3,1.15,Antelope_Antelope07_2020_prefire_NA_270,0,0,Antelope07 prefire NA
Antelope,Antelope07,2020,prefire,90,2,2,4,11.3,0,0,0,0,0.8,0.8,1,2.3,2,,,,0,,,0.5,1.55,1.4,Antelope_Antelope07_2020_prefire_NA_90,0,0,Antelope07 prefire NA
