site,plotid,year,pre_post_fire,postTime,plot_id_time,azimuth,duff_depth_cm,litter_depth_cm,fuel_depth_cm,mass_1hr,mass_10hr,mass_100hr,mass_cwd_sound,mass_cwd_rotten,total_fine,total_cwd,total_fuel,site_plotid_time
Antelope,Antelope01,2020,prefire,"",Antelope01 prefire NA,0,3,0.75,3.1,0.0145326819512195,0,0,0,0,0.0145326819512195,0,0.0145326819512195,Antelope Antelope01 prefire NA
Antelope,Antelope01,2020,prefire,"",Antelope01 prefire NA,180,7.85,2.5,0.6,0.029065363902439,0,0,0,0,0.029065363902439,0,0.029065363902439,Antelope Antelope01 prefire NA
Antelope,Antelope01,2020,prefire,"",Antelope01 prefire NA,270,6.25,1.75,12.15,0,0.278142058536585,0,0,0,0.278142058536585,0,0.278142058536585,Antelope Antelope01 prefire NA
Antelope,Antelope01,2020,prefire,"",Antelope01 prefire NA,90,3.15,1.75,6.65,0.0145326819512195,0.278142058536585,0,0,0,0.292674740487805,0,0.292674740487805,Antelope Antelope01 prefire NA
Antelope,Antelope02,2020,prefire,"",Antelope02 prefire NA,0,5.85,1.5,23.65,0,0,0,0,12.7085990448953,0,12.7085990448953,12.7085990448953,Antelope Antelope02 prefire NA
Antelope,Antelope02,2020,prefire,"",Antelope02 prefire NA,180,6.1,1.75,10.9,0.0435980458536585,0,0,0,0,0.0435980458536585,0,0.0435980458536585,Antelope Antelope02 prefire NA
Antelope,Antelope02,2020,prefire,"",Antelope02 prefire NA,270,4.25,1,2.6,0.0435980458536585,1.11256823414634,0,0,0,1.15616628,0,1.15616628,Antelope Antelope02 prefire NA
Antelope,Antelope02,2020,prefire,"",Antelope02 prefire NA,90,3.975,3.5,15.65,0.029065363902439,0.278142058536585,0,0,0,0.307207422439024,0,0.307207422439024,Antelope Antelope02 prefire NA
Antelope,Antelope03,2020,prefire,"",Antelope03 prefire NA,0,0.1,0.1,1,0.101728773658537,0.834426175609756,3.32038097560976,2.08580201273473,0,4.25653592487805,2.08580201273473,6.34233793761278,Antelope Antelope03 prefire NA
Antelope,Antelope03,2020,prefire,"",Antelope03 prefire NA,180,0.35,0.6,1.35,0.0726634097560976,0.556284117073171,1.10679365853659,0,0,1.73574118536585,0,1.73574118536585,Antelope Antelope03 prefire NA
Antelope,Antelope03,2020,prefire,"",Antelope03 prefire NA,270,3.4,2.25,2.6,0.029065363902439,0.556284117073171,0,0,0,0.58534948097561,0,0.58534948097561,Antelope Antelope03 prefire NA
