site,plotid,pre_post_fire,postTime,fuelType,mass_tonAcre
Antelope,Antelope01,prefire,NA,mass_1hr,0.0145326819512195
Antelope,Antelope01,prefire,NA,mass_10hr,0.139071029268293
Antelope,Antelope01,prefire,NA,mass_100hr,0
Antelope,Antelope01,prefire,NA,total_fine,0.153603711219512
Antelope,Antelope01,prefire,NA,total_cwd,0
Antelope,Antelope01,prefire,NA,total_fuel,0.153603711219512
Antelope,Antelope01,prefire,NA,litter_depth_cm,1.6875
Antelope,Antelope01,prefire,NA,duff_depth_cm,5.0625
Antelope,Antelope01,prefire,NA,fuel_depth_cm,5.625
Antelope,Antelope02,prefire,NA,mass_1hr,0.029065363902439
Antelope,Antelope02,prefire,NA,mass_10hr,0.347677573170732
Antelope,Antelope02,prefire,NA,mass_100hr,0
Antelope,Antelope02,prefire,NA,total_fine,0.376742937073171
Antelope,Antelope02,prefire,NA,total_cwd,3.17714976122383
Antelope,Antelope02,prefire,NA,total_fuel,3.553892698297
Antelope,Antelope02,prefire,NA,litter_depth_cm,1.9375
Antelope,Antelope02,prefire,NA,duff_depth_cm,5.04375
Antelope,Antelope02,prefire,NA,fuel_depth_cm,13.2
Antelope,Antelope03,prefire,NA,mass_1hr,0.0617638982926829
Antelope,Antelope03,prefire,NA,mass_10hr,0.695355146341463
Antelope,Antelope03,prefire,NA,mass_100hr,1.38349207317073
Antelope,Antelope03,prefire,NA,total_fine,2.14061111780488
Antelope,Antelope03,prefire,NA,total_cwd,0.521450503183682
Antelope,Antelope03,prefire,NA,total_fuel,2.66206162098856
Antelope,Antelope03,prefire,NA,litter_depth_cm,0.8375
Antelope,Antelope03,prefire,NA,duff_depth_cm,1.15
Antelope,Antelope03,prefire,NA,fuel_depth_cm,1.7875
Antelope,Antelope04,prefire,NA,mass_1hr,0.00363317048780488
Antelope,Antelope04,prefire,NA,mass_10hr,0.0695355146341463
Antelope,Antelope04,prefire,NA,mass_100hr,0.276698414634146
Antelope,Antelope04,prefire,NA,total_fine,0.349867099756098
Antelope,Antelope04,prefire,NA,total_cwd,0
Antelope,Antelope04,prefire,NA,total_fuel,0.349867099756098
Antelope,Antelope04,prefire,NA,litter_depth_cm,2.0625
Antelope,Antelope04,prefire,NA,duff_depth_cm,5.75
Antelope,Antelope04,prefire,NA,fuel_depth_cm,17.6375
Antelope,Antelope05,prefire,NA,mass_1hr,0.0508643868292683
Antelope,Antelope05,prefire,NA,mass_10hr,0.417213087804878
Antelope,Antelope05,prefire,NA,mass_100hr,0
Antelope,Antelope05,prefire,NA,total_fine,0.468077474634146
Antelope,Antelope05,prefire,NA,total_cwd,0.36422068449169
Antelope,Antelope05,prefire,NA,total_fuel,0.832298159125837
