site,plotid,pre_post_fire,year,diamclass,status,BA_m2_sum,n_trees_diamclass,n_trees_totalPlot,n_trees_acre,BA_m2_acre,n_trees_totalPlot_acre
Antelope,Antelope01,prefire,2020,[<20],LIVE,0.0544402663949758,4,22,40,0.544402663949758,220
Antelope,Antelope01,prefire,2020,[20-40],LIVE,1.13543089042267,18,22,180,11.3543089042267,220
Antelope,Antelope02,prefire,2020,[<20],LIVE,0.0229658276959048,1,12,10,0.229658276959048,120
Antelope,Antelope02,prefire,2020,[20-40],LIVE,0.642783208693249,8,12,80,6.42783208693249,120
Antelope,Antelope02,prefire,2020,[40-60],LIVE,0.558711833088696,3,12,30,5.58711833088696,120
Antelope,Antelope03,prefire,2020,[20-40],LIVE,0.115304304368379,2,3,20,1.15304304368379,30
Antelope,Antelope03,prefire,2020,[40-60],LIVE,0.161170771712627,1,3,10,1.61170771712627,30
Antelope,Antelope04,prefire,2020,[<20],LIVE,0.119254857130269,9,6,90,1.19254857130269,60
Antelope,Antelope04,prefire,2020,[20-40],LIVE,0.175942540369806,3,6,30,1.75942540369806,60
Antelope,Antelope05,prefire,2020,[<20],LIVE,0.0286521103989023,1,3,10,0.286521103989023,30
Antelope,Antelope05,prefire,2020,[40-60],LIVE,0.285075971368372,2,3,20,2.85075971368372,30
Antelope,Antelope06,prefire,2020,[20-40],LIVE,0.0962112750161874,1,1,10,0.962112750161874,10
Antelope,Antelope06,prefire,2020,[60-80],DEAD,0.409415496208475,1,1,10,4.09415496208475,10
Antelope,Antelope07,prefire,2020,[<20],LIVE,0.175720272689565,10,14,100,1.75720272689565,140
Antelope,Antelope07,prefire,2020,[20-40],LIVE,0.186118944372947,4,14,40,1.86118944372947,140
Antelope,Antelope08,prefire,2020,[20-40],LIVE,0.124410210674809,1,6,10,1.24410210674809,60
Antelope,Antelope08,prefire,2020,[40-60],LIVE,0.968052127423027,5,6,50,9.68052127423027,60
Antelope,Antelope09,prefire,2020,[<20],LIVE,0.118357147029505,8,17,80,1.18357147029505,170
Antelope,Antelope09,prefire,2020,[20-40],LIVE,0.348600545620284,7,17,70,3.48600545620284,170
Antelope,Antelope09,prefire,2020,[40-60],LIVE,0.315608324970448,2,17,20,3.15608324970448,170
Antelope,Antelope10,prefire,2020,[<20],LIVE,0.0219039693789914,1,2,10,0.219039693789914,20
Antelope,Antelope10,prefire,2020,[>100],LIVE,0.965946278597417,1,2,10,9.65946278597417,20
Antelope,Antelope11,prefire,2020,[20-40],LIVE,0.320262594486741,5,9,50,3.20262594486741,90
Antelope,Antelope11,prefire,2020,[40-60],LIVE,0.620543874298487,3,9,30,6.20543874298487,90
Antelope,Antelope11,prefire,2020,[60-80],DEAD,0.303857983047858,1,1,10,3.03857983047858,10
Antelope,Antelope11,prefire,2020,[60-80],LIVE,0.38484510006475,1,9,10,3.8484510006475,90
Antelope,Antelope12 ,prefire,2020,[20-40],LIVE,1.3080559010963,23,23,230,13.080559010963,230
Antelope,Antelope13,prefire,2020,[20-40],LIVE,0.0897270277791781,1,5,10,0.897270277791781,50
Antelope,Antelope13,prefire,2020,[40-60],LIVE,0.715861366204728,4,5,40,7.15861366204728,50
Antelope,Antelope14,prefire,2020,[20-40],LIVE,0.0437435361085843,1,3,10,0.437435361085843,30
Antelope,Antelope14,prefire,2020,[40-60],LIVE,0.188574099031727,1,3,10,1.88574099031727,30
Antelope,Antelope14,prefire,2020,[60-80],LIVE,0.308762794578275,1,3,10,3.08762794578275,30
Antelope,Antelope15,prefire,2020,[20-40],LIVE,0.0444880935674851,1,3,10,0.444880935674851,30
Antelope,Antelope15,prefire,2020,[60-80],LIVE,0.419686147991224,1,3,10,4.19686147991224,30
Antelope,Antelope15,prefire,2020,[80-100],LIVE,0.610980080862797,1,3,10,6.10980080862797,30
Antelope,Antelope16,prefire,2020,[20-40],DEAD,0.0448627284914256,1,1,10,0.448627284914256,10
Antelope,Antelope16,prefire,2020,[20-40],LIVE,0.253992268255591,3,3,30,2.53992268255591,30
Antelope,Antelope17,prefire,2020,[40-60],LIVE,0.13854423602331,1,1,10,1.3854423602331,10
Antelope,Antelope18,prefire,2020,[20-40],LIVE,0.096761839128729,1,2,10,0.96761839128729,20
Antelope,Antelope18,prefire,2020,[40-60],LIVE,0.142530917100715,1,2,10,1.42530917100715,20
Antelope,Antelope19,prefire,2020,[20-40],LIVE,0.267944081230183,3,4,30,2.67944081230183,40
Antelope,Antelope19,prefire,2020,[60-80],LIVE,0.439433414013526,1,4,10,4.39433414013526,40
bearmountain,BM 1,prefire,2019,[<20],DEAD,0.0183508280877814,2,3,20,0.183508280877814,30
