site,plotid,pre_post_fire,year,species,status,BA_m2_sum,n_trees,mean_dbh_cm,mean_ht,n_trees_ha,BA_m2_ha
Antelope,Antelope01,prefire,2020,PIJE,LIVE,11.8987115681765,22,25.1859090909091,8.78636363636364,89.03092,48.1524198967906
Antelope,Antelope02,prefire,2020,PIJE,LIVE,12.2446086947785,12,34.7666666666667,11.6083333333333,48.56232,49.5522171425514
Antelope,Antelope03,prefire,2020,PIJE,LIVE,2.76475076081006,3,32.9,10.4333333333333,12.14058,11.1885592638918
Antelope,Antelope04,prefire,2020,PIJE,LIVE,2.14161585797053,6,19.7833333333333,5.75,24.28116,8.66681955098661
Antelope,Antelope04,prefire,2020,PIMO3,LIVE,0.810358117030219,6,12.5666666666667,4.56666666666667,24.28116,3.27940584948491
Antelope,Antelope05,prefire,2020,PIJE,LIVE,3.13728081767274,3,34.7666666666667,9.73333333333333,12.14058,12.6961362498071
Antelope,Antelope06,prefire,2020,PIJE,DEAD,4.09415496208475,1,72.2,18,4.04686,16.5684719498623
Antelope,Antelope06,prefire,2020,PIJE,LIVE,0.962112750161874,1,35,7,4.04686,3.89353560412008
Antelope,Antelope07,prefire,2020,PIJE,LIVE,3.61839217062512,14,17.1571428571429,4.83571428571429,56.65604,14.643126539616
Antelope,Antelope08,prefire,2020,PIJE,LIVE,10.9246233809784,6,47.8083333333333,13.7666666666667,24.28116,44.2104213755461
Antelope,Antelope09,prefire,2020,PIJE,LIVE,7.82566017620237,17,21.6823529411765,6.82352941176471,68.79662,31.6693511406663
Antelope,Antelope10,prefire,2020,PIJE,LIVE,9.87850247976409,2,63.8,14.5,8.09372,39.9769165452581
Antelope,Antelope11,prefire,2020,PIJE,DEAD,3.03857983047858,1,62.2,13.7,4.04686,12.2967071727706
Antelope,Antelope11,prefire,2020,PIJE,LIVE,13.2565156884998,9,40.5333333333333,11.4666666666667,36.42174,53.6472630791622
Antelope,Antelope12 ,prefire,2020,PIJE,LIVE,13.080559010963,23,26.6304347826087,9.54782608695652,93.07778,52.9351910391059
Antelope,Antelope13,prefire,2020,PIJE,LIVE,8.05588393983907,5,44.94,14,20.2343,32.6010344807771
Antelope,Antelope14,prefire,2020,PIJE,LIVE,5.41080429718587,3,45.1,12.5666666666667,12.14058,21.8967674781096
Antelope,Antelope15,prefire,2020,PIJE,LIVE,10.7515432242151,3,61.7,15.7,12.14058,43.5099902123469
Antelope,Antelope16,prefire,2020,PIJE,DEAD,0.448627284914256,1,23.9,5,4.04686,1.81553181422811
Antelope,Antelope16,prefire,2020,PIJE,LIVE,2.53992268255591,3,32.7,8,12.14058,10.2787115071282
Antelope,Antelope17,prefire,2020,PIJE,LIVE,1.3854423602331,1,42,14.5,4.04686,5.60669126993292
Antelope,Antelope18,prefire,2020,PIJE,LIVE,2.39292756229444,2,38.85,12.5,8.09372,9.68384283474689
Antelope,Antelope19,prefire,2020,PIJE,LIVE,7.07377495243709,4,43.875,12.375,16.18744,28.6265769040196
bearmountain,BM 1,prefire,2019,CADE27,DEAD,2.83470617522387,3,26.4,4.93333333333333,12.14058,11.4716590322665
bearmountain,BM 1,prefire,2019,CADE27,LIVE,4.65558113122615,4,38.425,14.125,16.18744,18.8404850567139
bearmountain,BM 1,prefire,2019,PIPO,LIVE,2.42472047994877,2,39.25,17.25,8.09372,9.81250432148549
bearmountain,BM10,prefire,2019,CADE27,DEAD,0.0580880481648753,1,8.6,1.7,4.04686,0.235074198596507
bearmountain,BM10,prefire,2019,CADE27,LIVE,2.82342785759749,3,34.4666666666667,13.9333333333333,12.14058,11.426017259797
bearmountain,BM10,prefire,2019,PIPO,LIVE,10.6606962186549,4,56.65,32.25,16.18744,43.1423450994257
bearmountain,BM11,prefire,2019,CADE27,DEAD,1.49994555847481,7,15.8428571428571,5.28571428571429,28.32802,6.07006968276938
bearmountain,BM11,prefire,2019,CADE27,LIVE,0.838404685445142,2,22.35,7.5,8.09372,3.39290638534053
bearmountain,BM11,prefire,2019,PIPO,LIVE,0.292552961883916,1,19.3,5,4.04686,1.18392087932954
bearmountain,BM12,prefire,2019,ABCO,DEAD,2.05011697193473,2,35.65,14.5,8.09372,8.29653636904376
bearmountain,BM12,prefire,2019,CADE27,DEAD,19.8324424531225,3,80.0333333333333,4.66666666666667,12.14058,80.2591180658433
bearmountain,BM12,prefire,2019,PILA,LIVE,7.90117620961304,1,100.3,40,4.04686,31.9749539556346
bearmountain,BM12,prefire,2019,PIPO,LIVE,5.37156580494254,1,82.7,35,4.04686,21.7379747933897
bearmountain,BM13,prefire,2019,CADE27,DEAD,0.0502654824574367,1,8,4,4.04686,0.203417370337702
bearmountain,BM13,prefire,2019,CADE27,LIVE,1.74628569242442,3,27.2,9.66666666666667,12.14058,7.0669737172447
bearmountain,BM13,prefire,2019,PIPO,DEAD,1.58773736517938,2,31.25,18.5,8.09372,6.42535083364982
bearmountain,BM13,prefire,2019,PIPO,LIVE,1.3267024315926,1,41.1,19,4.04686,5.36897900231484
bearmountain,BM13,prefire,2019,QUKE,DEAD,1.47857487444877,2,25.2,3.5,8.09372,5.98358551641174
bearmountain,BM14,prefire,2019,CADE27,DEAD,2.80387144332889,8,20.4,6.5,32.37488,11.34687518915
bearmountain,BM14,prefire,2019,CADE27,LIVE,1.57546159188548,2,31.6,10.5,8.09372,6.37567249773766
bearmountain,BM14,prefire,2019,PIPO,LIVE,0.336535259034173,1,20.7,6,4.04686,1.36191107837503
bearmountain,BM15,prefire,2019,CADE27,DEAD,0.397505718458717,2,15.9,5,8.09372,1.60864999180184
bearmountain,BM15,prefire,2019,PIPO,DEAD,0.387075630848798,1,22.2,2,4.04686,1.56644088745677
bearmountain,BM15,prefire,2019,PIPO,LIVE,3.40682946735075,3,36.9666666666667,19.7666666666667,12.14058,13.786961898243
bearmountain,BM15,prefire,2019,QUKE,DEAD,4.39468756930879,2,52.85,9,8.09372,17.784685336733
bearmountain,BM15,prefire,2019,QUKE,LIVE,0.892777800297147,2,20.6,7.05,8.09372,3.61294676891051
bearmountain,BM16,prefire,2019,CADE27,DEAD,0.437435361085843,1,23.6,10,4.04686,1.77023966536385
bearmountain,BM16,prefire,2019,CADE27,LIVE,3.52697967838729,2,46.35,15.5,8.09372,14.2731929812784
bearmountain,BM16,prefire,2019,PIJE,LIVE,5.33927808644527,3,46.6,24.3333333333333,12.14058,21.6073109169119
bearmountain,BM16,prefire,2019,PIPO,DEAD,1.19985277422228,2,27.2,13,8.09372,4.85563619788918
bearmountain,BM16,prefire,2019,PIPO,LIVE,3.28819507476956,2,45.7,26,8.09372,13.3068651202819
bearmountain,BM16,prefire,2019,QUKE,DEAD,1.21922069293166,1,39.4,1.45,4.04686,4.93401545339743
bearmountain,BM17,prefire,2019,PIPO,DEAD,2.34998199071987,1,54.7,3.5,4.04686,9.51004811896462
bearmountain,BM18,prefire,2019,CADE27,DEAD,1.54130462575932,2,30.45,10.5,8.09372,6.23744403780037
bearmountain,BM18,prefire,2019,CADE27,LIVE,11.3460425100171,6,47.85,17.3333333333333,24.28116,45.9158455920879
bearmountain,BM18,prefire,2019,PIPO,DEAD,4.29538967951045,4,34.75,16.75,16.18744,17.3828406784237
bearmountain,BM18,prefire,2019,PIPO,LIVE,0.580424950713982,4,13.5,7,16.18744,2.34889851604639
bearmountain,BM18,prefire,2019,QUKE,DEAD,0.219039693789914,1,16.7,6,4.04686,0.886422975210653
bearmountain,BM18,prefire,2019,QUKE,LIVE,0.789238760416462,1,31.7,23,4.04686,3.19393876997896
bearmountain,BM19,prefire,2019,CADE27,LIVE,10.8803485230122,1,117.7,27,4.04686,44.0312472238373
bearmountain,BM19,prefire,2019,PIPO,DEAD,2.88348725515249,2,42.75,9.555,8.09372,11.6690692333864
bearmountain,BM19,prefire,2019,PIPO,LIVE,1.26292810072473,1,40.1,19,4.04686,5.11089321369888
bearmountain,BM2,prefire,2019,CADE27,LIVE,3.07287031429252,2,39.6,14.5,8.09372,12.4354759600978
bearmountain,BM2,prefire,2019,PIPO,DEAD,5.43671458259635,1,83.2,2.2,4.04686,22.0016227757259
bearmountain,BM2,prefire,2019,PIPO,LIVE,5.70681301098874,3,46.4,24,12.14058,23.0946733016499
bearmountain,BM2,prefire,2019,QUKE,DEAD,0.45238934211693,1,24,3,4.04686,1.83075633303932
bearmountain,BM20,prefire,2019,CADE27,LIVE,16.9716689128555,1,147,33,4.04686,68.6819680566783
bearmountain,BM20,prefire,2019,PIPO,LIVE,3.16383512957721,2,44.6,20.5,8.09372,12.8035978324808
bearmountain,BM21,prefire,2019,ABCO,DEAD,1.13493961601748,2,25.45,9.5,8.09372,4.59294173447651
bearmountain,BM21,prefire,2019,CADE27,DEAD,0.295592452776264,1,19.4,7,4.04686,1.19622127344215
bearmountain,BM21,prefire,2019,CADE27,LIVE,2.53420498392638,4,28.225,10.25,16.18744,10.2555727812523
bearmountain,BM21,prefire,2019,PIPO,DEAD,0.897270277791781,1,33.8,15,4.04686,3.63112719638445
bearmountain,BM22,prefire,2019,CADE27,DEAD,0.0817128249198705,1,10.2,4,4.04686,0.330680362655227
bearmountain,BM22,prefire,2019,PIPO,LIVE,8.85558420379198,3,60.6666666666667,16.6666666666667,12.14058,35.8373094909576
bearmountain,BM22,prefire,2019,QUCH,DEAD,5.42268737139807,12,20.9166666666667,5.16666666666667,48.56232,21.944856615816
bearmountain,BM22,prefire,2019,QUCH,LIVE,2.43668994795895,1,55.7,9,4.04686,9.86094308279715
bearmountain,BM22,prefire,2019,QUKE,DEAD,0.0865901475145687,1,10.5,5,4.04686,0.350418204370807
bearmountain,BM24,prefire,2019,CADE27,DEAD,1.30916449060394,2,28.8,9.25,8.09372,5.29800541044546
