site,plotid,pre_post_fire,year,status,BA_m2_acre_plot,n_trees_totalPlot
Antelope,Antelope01,prefire,2020,LIVE,11.8987115681765,22
Antelope,Antelope02,prefire,2020,LIVE,12.2446086947785,12
Antelope,Antelope03,prefire,2020,LIVE,2.76475076081006,3
Antelope,Antelope04,prefire,2020,LIVE,2.95197397500075,12
Antelope,Antelope05,prefire,2020,LIVE,3.13728081767274,3
Antelope,Antelope06,prefire,2020,DEAD,4.09415496208475,1
Antelope,Antelope06,prefire,2020,LIVE,0.962112750161874,1
Antelope,Antelope07,prefire,2020,LIVE,3.61839217062512,14
Antelope,Antelope08,prefire,2020,LIVE,10.9246233809784,6
Antelope,Antelope09,prefire,2020,LIVE,7.82566017620237,17
Antelope,Antelope10,prefire,2020,LIVE,9.87850247976409,2
Antelope,Antelope11,prefire,2020,DEAD,3.03857983047858,1
Antelope,Antelope11,prefire,2020,LIVE,13.2565156884998,9
Antelope,Antelope12 ,prefire,2020,LIVE,13.080559010963,23
Antelope,Antelope13,prefire,2020,LIVE,8.05588393983907,5
Antelope,Antelope14,prefire,2020,LIVE,5.41080429718587,3
Antelope,Antelope15,prefire,2020,LIVE,10.7515432242151,3
Antelope,Antelope16,prefire,2020,DEAD,0.448627284914256,1
Antelope,Antelope16,prefire,2020,LIVE,2.53992268255591,3
Antelope,Antelope17,prefire,2020,LIVE,1.3854423602331,1
Antelope,Antelope18,prefire,2020,LIVE,2.39292756229444,2
Antelope,Antelope19,prefire,2020,LIVE,7.07377495243709,4
bearmountain,BM 1,prefire,2019,DEAD,2.83470617522387,3
bearmountain,BM 1,prefire,2019,LIVE,7.08030161117492,6
bearmountain,BM10,prefire,2019,DEAD,0.0580880481648753,1
bearmountain,BM10,prefire,2019,LIVE,13.4841240762524,7
bearmountain,BM11,prefire,2019,DEAD,1.49994555847481,7
bearmountain,BM11,prefire,2019,LIVE,1.13095764732906,3
bearmountain,BM12,prefire,2019,DEAD,21.8825594250572,5
bearmountain,BM12,prefire,2019,LIVE,13.2727420145556,2
bearmountain,BM13,prefire,2019,DEAD,3.11657772208558,5
bearmountain,BM13,prefire,2019,LIVE,3.07298812401703,4
bearmountain,BM14,prefire,2019,DEAD,2.80387144332889,8
bearmountain,BM14,prefire,2019,LIVE,1.91199685091965,3
bearmountain,BM15,prefire,2019,DEAD,5.1792689186163,5
bearmountain,BM15,prefire,2019,LIVE,4.29960726764789,5
bearmountain,BM16,prefire,2019,DEAD,2.85650882823979,4
bearmountain,BM16,prefire,2019,LIVE,12.1544528396021,7
bearmountain,BM17,prefire,2019,DEAD,2.34998199071987,1
bearmountain,BM18,prefire,2019,DEAD,6.05573399905969,7
bearmountain,BM18,prefire,2019,LIVE,12.7157062211476,11
bearmountain,BM19,prefire,2019,DEAD,2.88348725515249,2
bearmountain,BM19,prefire,2019,LIVE,12.143276623737,2
bearmountain,BM2,prefire,2019,DEAD,5.88910392471328,2
bearmountain,BM2,prefire,2019,LIVE,8.77968332528125,5
bearmountain,BM20,prefire,2019,LIVE,20.1355040424327,3
bearmountain,BM21,prefire,2019,DEAD,2.32780234658553,4
bearmountain,BM21,prefire,2019,LIVE,2.53420498392638,4
bearmountain,BM22,prefire,2019,DEAD,5.59099034383251,14
bearmountain,BM22,prefire,2019,LIVE,11.2922741517509,4
bearmountain,BM24,prefire,2019,DEAD,2.28230423097991,3
bearmountain,BM24,prefire,2019,LIVE,7.80249093038215,5
bearmountain,BM25,prefire,2019,DEAD,6.5961743292751,3
bearmountain,BM25,prefire,2019,LIVE,1.37227908701456,1
bearmountain,BM26,prefire,2019,DEAD,24.5998564288348,14
bearmountain,BM27,prefire,2019,DEAD,17.3671718659975,8
bearmountain,BM3,prefire,2019,LIVE,3.15404906846128,3
bearmountain,BM4,prefire,2019,DEAD,1.01917978071433,5
bearmountain,BM4,prefire,2019,LIVE,11.5009151738575,14
bearmountain,BM5,prefire,2019,DEAD,0.929126027299181,4
bearmountain,BM5,prefire,2019,LIVE,0.675206801072786,2
bearmountain,BM6,prefire,2019,DEAD,0.274645883758454,1
bearmountain,BM6,prefire,2019,LIVE,7.92466746868025,2
bearmountain,BM7,prefire,2019,DEAD,0.0477836242611008,1
bearmountain,BM7,prefire,2019,LIVE,13.5701173211627,4
bearmountain,BM8,prefire,2019,DEAD,16.8730700274225,6
bearmountain,BM8,prefire,2019,LIVE,6.02657216525274,9
BlissSP,bliss1,prefire,2019,DEAD,8.764368061095,7
BlissSP,bliss1,prefire,2019,LIVE,14.9039825840055,22
BlissSP,bliss10,prefire,2019,DEAD,1.8991320290032,2
BlissSP,bliss10,prefire,2019,LIVE,37.1371123332768,19
BlissSP,bliss11,prefire,2019,DEAD,8.28767064582092,4
BlissSP,bliss11,prefire,2019,LIVE,20.9090348395812,16
