site,plotid,pre_post_fire,year,species,status,BA_m2_sum,n_trees,n_trees_acre,BA_m2_acre,n_trees_ha,BA_m2_ha
Antelope,Antelope01,prefire,2020,PIJE,LIVE,1.18987115681765,22,220,11.8987115681765,89.03092,4.81524198967906
Antelope,Antelope02,prefire,2020,PIJE,LIVE,1.22446086947785,12,120,12.2446086947785,48.56232,4.95522171425513
Antelope,Antelope03,prefire,2020,PIJE,LIVE,0.276475076081006,3,30,2.76475076081006,12.14058,1.11885592638918
Antelope,Antelope04,prefire,2020,PIJE,LIVE,0.214161585797053,6,60,2.14161585797053,24.28116,0.866681955098661
Antelope,Antelope04,prefire,2020,PIMO,LIVE,0.0810358117030219,6,60,0.810358117030219,24.28116,0.327940584948491
Antelope,Antelope05,prefire,2020,PIJE,LIVE,0.313728081767274,3,30,3.13728081767274,12.14058,1.26961362498071
Antelope,Antelope06,prefire,2020,PIJE,DEAD,0.409415496208475,1,10,4.09415496208475,4.04686,1.65684719498623
Antelope,Antelope06,prefire,2020,PIJE,LIVE,0.0962112750161874,1,10,0.962112750161874,4.04686,0.389353560412008
Antelope,Antelope07,prefire,2020,PIJE,LIVE,0.361839217062512,14,140,3.61839217062512,56.65604,1.4643126539616
Antelope,Antelope08,prefire,2020,PIJE,LIVE,1.09246233809784,6,60,10.9246233809784,24.28116,4.42104213755461
Antelope,Antelope09,prefire,2020,PIJE,LIVE,0.782566017620237,17,170,7.82566017620237,68.79662,3.16693511406663
Antelope,Antelope10,prefire,2020,PIJE,LIVE,0.987850247976409,2,20,9.87850247976409,8.09372,3.99769165452581
Antelope,Antelope11,prefire,2020,PIJE,DEAD,0.303857983047858,1,10,3.03857983047858,4.04686,1.22967071727706
Antelope,Antelope11,prefire,2020,PIJE,LIVE,1.32565156884998,9,90,13.2565156884998,36.42174,5.36472630791622
Antelope,Antelope12 ,prefire,2020,PIJE,LIVE,1.3080559010963,23,230,13.080559010963,93.07778,5.29351910391059
Antelope,Antelope13,prefire,2020,PIJE,LIVE,0.805588393983907,5,50,8.05588393983907,20.2343,3.26010344807771
Antelope,Antelope14,prefire,2020,PIJE,LIVE,0.541080429718587,3,30,5.41080429718587,12.14058,2.18967674781096
Antelope,Antelope15,prefire,2020,PIJE,LIVE,1.07515432242151,3,30,10.7515432242151,12.14058,4.35099902123469
Antelope,Antelope16,prefire,2020,PIJE,DEAD,0.0448627284914256,1,10,0.448627284914256,4.04686,0.181553181422811
Antelope,Antelope16,prefire,2020,PIJE,LIVE,0.253992268255591,3,30,2.53992268255591,12.14058,1.02787115071282
Antelope,Antelope17,prefire,2020,PIJE,LIVE,0.13854423602331,1,10,1.3854423602331,4.04686,0.560669126993292
