diam_class,location,no/ha
[<20],tahoe_east,4
[<20],SSPM_stevensGill,47
[<20],LassenNF_taylor,18
[<20],SSPM_2016,48.1
[<20],North_2007,7
[20-40],tahoe_east,18
[20-40],SSPM_stevensGill,48
[20-40],LassenNF_taylor,51
[20-40],SSPM_2016,40
[20-40],North_2007,9
[40-60],tahoe_east,36
[40-60],SSPM_stevensGill,27
[40-60],LassenNF_taylor,35
[40-60],SSPM_2016,34
[40-60],North_2007,8
[60-80],tahoe_east,23
[60-80],SSPM_stevensGill,18
[60-80],LassenNF_taylor,21
[60-80],SSPM_2016,20
[60-80],North_2007,9
[80-100],tahoe_east,12.5
[80-100],SSPM_stevensGill,9.8
[80-100],LassenNF_taylor,10
[80-100],SSPM_2016,9
[80-100],North_2007,12
[>100],tahoe_east,5.5
[>100],SSPM_stevensGill,2.6
[>100],LassenNF_taylor,2.3
[>100],SSPM_2016,5
[>100],North_2007,22
