Lifeform,CODE,Genus,Species,epithet,Var/Ssp,Rare?,Alt Code,Family,Klamath,Concow,Henry Coe,Sly Park,Burton,Wilder Ranch,Valentine,Shaver Lake,Healsburg,Bear Mnt2021,Stanislaus,SpringsFire,FrenchMeadows,SlyPark,Burton/Bliss SP,Notes
TR,ABCO,Abies,concolor,,,,,Pinaceae,,x,,x,x,,x,x,,x,,,x,x,x,
TR,ABMA,Abies,magnifica,,,,,Pinaceae,,,,,x,,x,,,,,,x,,x,
TR,ACGL,Acer,glabrum,,,,,,,,,,x,,,,,,,,x,,,
TR,ACEMAC,Acer,macrophyllum,,,,ACMA,,x,x,,x,,x,,,x,,,,,x,,
FB,ACHMIL,Achillea,millefolium,,,,,,x,,x,,,,x,x,,x,,,,,,
FB,ACHCAL,Achlys,californica,,,,,,x,,,,,,,,,,,,,,,
GR,ACNED,Achnatherum,nelsonii,(Scribn.) Barkworth ,ssp. dorei (Barkworth & Maze),,,,,,,,,,,,,,,,,,,
GR,ACNEN2,Achnatherum,nelsonii,(Scribn.) Barkworth ,,,,,,,,,,,,,,,,,,,,
GR,ACHOCCOCC,Achnatherum,occidentalis,,,,ssp occidentalis,,,,,,,,x,,,,,,,,,
GR,ACHNATHERUM,Achnatherum,species,,,,,,,,,,x,,,,,,,,,x,,needlegrass spi5 (also called opp grass)
FB,ACMAME,Acmispon,americanus,(Nutt.) Rydb.,var. americanus,,"LOTPUR, LOTUNI",,,,,,,,,,,,,,,,,
FB,ACMGLA,Acmispon,glaber,,,,ACGL,,,,,,,,,,x,x,,,,,,
FB,ACCO4,Acontium,columbianum,Nutt. ,,,,,,,,,,,,,,,,,,,,
FB,ACCOVI,Acontium,columbianum,Nutt. ,ssp. Viviparum,,,,,,,,,,,,,,,,,,,
FB,ACTRUB,Actaea,rubra,,,,,,,,,,,x,x,,,,,,,,,
FB,ADBI,Adenocaulon,bicolor,,,,ADEBIC,,x,x,,x,,x,,x,,,,,x,x,,
SH,ADEFAS,Adenostoma,fasciculatum,,,,,,,,,,,,,,x,,,,,,,
FERN,ADIJOR,Adiatum,jordanii,,,,,,,,,,,,,,x,,,,,,,
TR,AESCAL,Aesculus,californica,,,,,,,,,,,x,,,x,,,,,,,
FB,AGAURT,Agastache,urticifolia,,,,,,,,,,,,x,,,,,,,,,
FB,AGEADE,Agertina,adenophora,,,,,,,,,,,x,,,,,,,,,,
FB,AGGLG,Agosens,glauca,,,,,,,,,,,,,,,,,,,,,
FB,AGOGRA,Agoseris,grandiflora,,,,,,,,,,,,,,,x,,,,,,
FB,AGRE,Agoseris,retrorsa,,,,,,,,,,,,,,,,,,,x,,
FB,AGOSERIS,Agoseris,,,,,,,,,,,,,,,,,,,,,,
FB,AGGLG,Agroseris,glauca,,,,,,,,,,,,,,,,,,,,,
GR,AGEX,Agrostis,exarata,,AGROS2,,,,,,,,,,,,,,,,,,,
GR,AGRIDA,Agrostis,idahoensis,,,,,,,,,,,,x,,,,,,,,,
GR,AGRPAL,Agrostis,pallens,,,,,,,,,,,,x,,,,,,,,,
GR,AGRSCA,Agrostis,scabra,,,,,,,,,,,,x,,,,,,,,,
GR,AGROS2,Agrostis,unk species,,,,,,,,,,,,,,,,,,,,,
GR,AIRCAR,Aira,caryophyllea,,,,,,,,,,,,,,x,x,,,,,,
FB,ALLBISBIS,Allium,bisceptrum,,var bisceptrum,,,,,,,,,,x,,,,,,,,,
FB,ALLCAM,Allium,campanulatum,,,,,,,,,,,,,,,,,,x,,,
FB,ALLGIL,Allophyllum,giloides,,,,,,,,,,,,x,,,,,,,,,
FB,ALLINT,Allophyllum,integrifolium,,,,,,,,,,,,x,,,,,,,,,
FB,ALLOPHYLLUM,Allophyllum,unk species,,,,,,,,,,,,,,,,,,,,,
FB,ALLVIR,Allotropa,virgata,,,,ALVI,,,,,,,,,,,,,,,,x,sugarstick
SH,ALNINC,Alnus,incana,,,,,,,,,,,,x,,,,,,,,,
SH,ALNRHO,Alnus,rhombifolia,,,,,,,x,,,,,,,,,,,,,,
SH,ALNUS,Alnus,unk species,,,,,,,,,,,,,,,,,,,,,
SH,AMEALN,Amelanchier,alnifolia,,,,,,,,,,,,,,,x,,,,,,
SH,AMEUTA,Amelanchier,utahensis,,,,AMEUTA,,,,,,x,,x,,,,,,x,,x,
FB,ANAMAR,Anaphalis,margaritacea,,,,,,,x,,,,,,,,,,,,,,
FB,ANAPHALIS,Anaphalis,unk species,,,,,,,,,,,,,,,,,,,,,
FB,ANBR,Angelica,brewerii,,,,,Apiaceae,,,,,,,,,,,,,,x,,"thin leaves, called Angelica? Early on. Also anbe"
FB,ANTROS,Antennaria,rosea,,,,,,,,,,,,,,,x,,x,,,,
FB,antennaria,Antennaria,unk species,,,,,,,,,,,,,,,,,,,,,
FB,APOAND,Apocynum,androsaemifolium,,,,APAN,,x,x,,x,x,,x,,,x,,,x,x,x,
FB,APCA,Apocynum,cannabium,,,,,,,,,,,,,,,,,,,,,
FB,AQUFOR,Aquilegia,formosa,,,,,ar,,x,,,,,,,,,,,,,,
FB,AQUPUB,Aquilegia,pubescens,,,,,,,,,,,,,,,,,,,,,
FB,ARADRU,Arabis,drummondii,,,,,,,,,,,,x,,,,,,,,,
FB,ARAHOL,Arabis,holboellii,,,,,,,,,,x,,,,,,,,x,,x,
FB,ARAPLA,Arabis,platysperma,,,,,,,,,,,,,,,,,x,,,,
FB,ARAPLAPLA,Arabis,platysperma,,var platysperma,,,,,,,,,,x,,,,,,,,,
FB,ARARET,Arabis,retrofracta,,,,,,,,,,,,,,,,,x,,,,
