plotid,fuel_type,mass_ton_acre,PlotType
VR1,mass_1hr,0.204885645,UpperMontane
VR1,mass_10hr,1.020950261,UpperMontane
VR1,mass_100hr,1.792790944,UpperMontane
VR1,mass_cwd_sound,5.034297191,UpperMontane
VR1,mass_cwd_rotten,1.546691088,UpperMontane
VR1,total_fine,3.01862685,UpperMontane
VR1,total_cwd,6.580988279,UpperMontane
VR1,total_fuel,9.599615128,UpperMontane
VR10,mass_1hr,0.101216941,UpperMontane
VR10,mass_10hr,0.566853587,UpperMontane
VR10,mass_100hr,1.702248931,UpperMontane
VR10,mass_cwd_sound,2.547343295,UpperMontane
VR10,mass_cwd_rotten,3.968625052,UpperMontane
VR10,total_fine,2.370319459,UpperMontane
VR10,total_cwd,6.515968347,UpperMontane
VR10,total_fuel,8.886287805,UpperMontane
VR10N,mass_1hr,0.029065364,UpperMontane
VR10N,mass_10hr,0.347677573,UpperMontane
VR10N,mass_100hr,2.490285732,UpperMontane
VR10N,mass_cwd_sound,3.981532958,UpperMontane
VR10N,mass_cwd_rotten,5.715955715,UpperMontane
VR10N,total_fine,2.867028669,UpperMontane
VR10N,total_cwd,9.697488673,UpperMontane
VR10N,total_fuel,12.56451734,UpperMontane
VR11,mass_1hr,0.054807069,UpperMontane
VR11,mass_10hr,1.045007306,UpperMontane
VR11,mass_100hr,1.383492073,UpperMontane
VR11,mass_cwd_sound,0.326085633,UpperMontane
VR11,mass_cwd_rotten,0,UpperMontane
VR11,total_fine,2.483306448,UpperMontane
VR11,total_cwd,0.326085633,UpperMontane
VR11,total_fuel,2.809392081,UpperMontane
VR11N,mass_1hr,0.337884855,UpperMontane
VR11N,mass_10hr,2.086065439,UpperMontane
VR11N,mass_100hr,1.106793659,UpperMontane
VR11N,mass_cwd_sound,3.592207393,UpperMontane
VR11N,mass_cwd_rotten,1.883815125,UpperMontane
VR11N,total_fine,3.530743953,UpperMontane
VR11N,total_cwd,5.476022518,UpperMontane
VR11N,total_fuel,9.006766471,UpperMontane
VR12,mass_1hr,0.188462482,UpperMontane
VR12,mass_10hr,1.075496462,UpperMontane
VR12,mass_100hr,0.276698415,UpperMontane
VR12,mass_cwd_sound,2.130007976,UpperMontane
VR12,mass_cwd_rotten,5.336160802,UpperMontane
VR12,total_fine,1.540657359,UpperMontane
VR12,total_cwd,7.466168778,UpperMontane
VR12,total_fuel,9.006826137,UpperMontane
VR12N,mass_1hr,0.083562921,UpperMontane
VR12N,mass_10hr,0.834426176,UpperMontane
VR12N,mass_100hr,1.106793659,UpperMontane
VR12N,mass_cwd_sound,0,UpperMontane
VR12N,mass_cwd_rotten,1.645013688,UpperMontane
VR12N,total_fine,2.024782756,UpperMontane
VR12N,total_cwd,1.645013688,UpperMontane
VR12N,total_fuel,3.669796443,UpperMontane
VR13,mass_1hr,0.090829262,UpperMontane
VR13,mass_10hr,0.417213088,UpperMontane
VR13,mass_100hr,1.383492073,UpperMontane
VR13,mass_cwd_sound,2.55438314,UpperMontane
VR13,mass_cwd_rotten,1.993205423,UpperMontane
VR13,total_fine,1.891534423,UpperMontane
VR13,total_cwd,4.547588563,UpperMontane
