site,plotid,year,pre_post_fire,postTime,fuelType,mass_mgha
antelope,ANTELOPE01,2020,prefire,NA,mass_1hr,0.0458466833030853
antelope,ANTELOPE01,2020,prefire,NA,mass_10hr,0.19823644509981853
antelope,ANTELOPE01,2020,prefire,NA,mass_100hr,0
antelope,ANTELOPE01,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE01,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE01,2020,prefire,NA,total_fine,0.24408312840290383
antelope,ANTELOPE01,2020,prefire,NA,total_cwd,0
antelope,ANTELOPE01,2020,prefire,NA,total_fuel,37.671165688520865
antelope,ANTELOPE01,2020,prefire,NA,duff_load,34.98158236728675
antelope,ANTELOPE01,2020,prefire,NA,litter_load,2.4455001928312154
antelope,ANTELOPE01,2020,prefire,NA,litter_depth_cm,1.6875
antelope,ANTELOPE01,2020,prefire,NA,duff_depth_cm,5.0625
antelope,ANTELOPE01,2020,prefire,NA,fuel_depth_cm,5.625
antelope,ANTELOPE02,2020,prefire,NA,mass_1hr,0.0916933666061706
antelope,ANTELOPE02,2020,prefire,NA,mass_10hr,0.4955911127495463
antelope,ANTELOPE02,2020,prefire,NA,mass_100hr,0
antelope,ANTELOPE02,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE02,2020,prefire,NA,mass_cwd_rotten,8.149499963862969
antelope,ANTELOPE02,2020,prefire,NA,total_fine,0.5872844793557169
antelope,ANTELOPE02,2020,prefire,NA,total_cwd,8.149499963862969
antelope,ANTELOPE02,2020,prefire,NA,total_fuel,46.39660191202539
antelope,ANTELOPE02,2020,prefire,NA,duff_load,34.85202095111161
antelope,ANTELOPE02,2020,prefire,NA,litter_load,2.807796517695099
antelope,ANTELOPE02,2020,prefire,NA,litter_depth_cm,1.9375
antelope,ANTELOPE02,2020,prefire,NA,duff_depth_cm,5.04375
antelope,ANTELOPE02,2020,prefire,NA,fuel_depth_cm,13.2
antelope,ANTELOPE03,2020,prefire,NA,mass_1hr,0.19484840403811252
antelope,ANTELOPE03,2020,prefire,NA,mass_10hr,0.9911822254990924
antelope,ANTELOPE03,2020,prefire,NA,mass_100hr,4.619717513611615
antelope,ANTELOPE03,2020,prefire,NA,mass_cwd_sound,1.309673339854729
antelope,ANTELOPE03,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE03,2020,prefire,NA,total_fine,5.80574814314882
antelope,ANTELOPE03,2020,prefire,NA,total_cwd,1.309673339854729
antelope,ANTELOPE03,2020,prefire,NA,total_fuel,16.275547696705907
antelope,ANTELOPE03,2020,prefire,NA,duff_load,7.946433525408347
antelope,ANTELOPE03,2020,prefire,NA,litter_load,1.2136926882940107
antelope,ANTELOPE03,2020,prefire,NA,litter_depth_cm,0.8375
antelope,ANTELOPE03,2020,prefire,NA,duff_depth_cm,1.15
antelope,ANTELOPE03,2020,prefire,NA,fuel_depth_cm,1.7875
antelope,ANTELOPE04,2020,prefire,NA,mass_1hr,0.010808397467703613
antelope,ANTELOPE04,2020,prefire,NA,mass_10hr,0.10663843529823688
antelope,ANTELOPE04,2020,prefire,NA,mass_100hr,0.6185448584578241
antelope,ANTELOPE04,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE04,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE04,2020,prefire,NA,total_fine,0.7359916912237646
antelope,ANTELOPE04,2020,prefire,NA,total_cwd,0
antelope,ANTELOPE04,2020,prefire,NA,total_fuel,50.36786561311532
antelope,ANTELOPE04,2020,prefire,NA,duff_load,45.38695749147662
antelope,ANTELOPE04,2020,prefire,NA,litter_load,4.2449164304149365
antelope,ANTELOPE04,2020,prefire,NA,litter_depth_cm,2.0625
antelope,ANTELOPE04,2020,prefire,NA,duff_depth_cm,5.75
antelope,ANTELOPE04,2020,prefire,NA,fuel_depth_cm,17.6375
antelope,ANTELOPE05,2020,prefire,NA,mass_1hr,0.16046339156079853
antelope,ANTELOPE05,2020,prefire,NA,mass_10hr,0.5947093352994556
antelope,ANTELOPE05,2020,prefire,NA,mass_100hr,0
antelope,ANTELOPE05,2020,prefire,NA,mass_cwd_sound,0.9147754530680341
antelope,ANTELOPE05,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE05,2020,prefire,NA,total_fine,0.7551727268602542
antelope,ANTELOPE05,2020,prefire,NA,total_cwd,0.9147754530680341
antelope,ANTELOPE05,2020,prefire,NA,total_fuel,22.813784339184185
antelope,ANTELOPE05,2020,prefire,NA,duff_load,20.03883236842105
antelope,ANTELOPE05,2020,prefire,NA,litter_load,1.1050037908348456
antelope,ANTELOPE05,2020,prefire,NA,litter_depth_cm,0.7625
antelope,ANTELOPE05,2020,prefire,NA,duff_depth_cm,2.9000000000000004
antelope,ANTELOPE05,2020,prefire,NA,fuel_depth_cm,1.1875
antelope,ANTELOPE06,2020,prefire,NA,mass_1hr,0.011461670825771325
antelope,ANTELOPE06,2020,prefire,NA,mass_10hr,0.5947093352994556
antelope,ANTELOPE06,2020,prefire,NA,mass_100hr,0.6929576270417421
