site,postFire_time,burn_unit,mass_1hr,mass_10hr,mass_100hr,total_fine,total_cwd,total_fuel,litter_depth_cm,duff_depth_cm,fuel_depth_cm
antelope,prefire ,antelope2/11b,0.0296390224005135,0.358656864955071,0.451455308087292,0.839751195442875,0.864528138862934,1.70427933430581,1.85263157894737,5.32269736842105,7.78157894736842
bearmountain,postfire 2yr,BM1,0.0423869890243902,0.278142058536585,0.599513231707317,0.920042279268293,0.732416735916253,1.65245901518455,2.23541666666667,0.370833333333333,2.52708333333333
bearmountain,postfire 2yr,BM2,0.0532865004878049,0.498337854878049,0.599513231707317,1.15113758707317,1.50217149727498,2.65330908434815,1.6125,0,1.50208333333333
bearmountain,postfire 2yr,BM3,0.0532865004878049,0.602641126829268,0.553396829268293,1.20932445658537,1.3794360997194,2.58876055630477,1.89583333333333,0,2.12916666666667
bearmountain,postfire 2yr,BM4,0.0650943045731707,0.753301408536585,0.73786243902439,1.55625815213415,1.28139665511008,2.83765480724423,1.43229166666667,0.238541666666667,1.48229166666667
bouverie,prefire ,cougar,0.257712893268293,2.76751348243902,2.39805292682927,5.42327930253659,1.7604020032916,7.18368130582819,8.17333333333333,0.05,7.45
bouverie,prefire ,fins,0.686669222195122,2.58672114439024,2.10290795121951,5.37629831780488,0.962660253075761,6.33895857088064,7.43,0.1825,9.1675
bouverie,prefire ,gilman,0.294286809512195,2.12083319634146,2.21358731707317,4.62870732292683,0.761810112238291,5.39051743516512,8.81875,0.2375,9.0625
burtonsp,postfire 1yr,BUb,0.0762965802439024,1.11256823414634,0.276698414634146,1.46556322902439,0,1.46556322902439,1.725,0.8875,2.59375
burtonsp,postfire 1yr,BUd,0.133216251219512,0.973497204878049,0.553396829268293,1.66011028536585,0.9169630045327,2.57707328989855,1.5625,0.566666666666667,2.35
burtonsp,prefire ,BUa,0.153631209198606,1.63408459390244,1.81830386759582,3.60601967069686,0,3.60601967069686,3.86651785714286,3.43125,7.25357142857143
burtonsp,prefire ,BUc,0.285203883292683,1.72679861341463,1.93688890243902,3.94889139914634,0,3.94889139914634,4.171875,8.503125,9.56458333333333
burtonsp,prefire ,BUd,0.0399648753658537,0.834426175609756,0,0.87439105097561,0,0.87439105097561,2.725,1.925,5.1125
burtonsp,prefire ,control,0.0847739780487805,1.25163926341463,1.38349207317073,2.71990531463415,0,2.71990531463415,3.59166666666667,3.17083333333333,13.0708333333333
calaveras,prefire ,7,0.305489085182927,1.75577174451219,3.06212912195122,5.12338995164634,13.5749144042231,18.6983043558694,4.65364583333333,12.8458333333333,12.7697916666667
calaveras,prefire ,8,0.301222862261641,1.83953043259423,2.12554691241685,4.26630020727273,7.60693116735181,11.8732313746245,4.81051136363636,10.5911931818182,10.8855113636364
caples,postfire 1yr,"",0.114534210623751,0.446851176009596,0.381027325069972,0.942412711703319,0.889818190975822,1.83223090267914,1.40846994531148,0.58606557375,2.84945355191393
caples,postfire immediate,"",0.0598946584040297,0.36027458669141,0.336850243902439,0.757019488997879,1.42811783205929,2.18513732105717,0.344806763280797,0.314613526565217,1.18368357493297
caples,prefire ,"",0.233498484776423,1.16901218584011,1.29382129065041,2.69633196126694,5.11664297445522,7.81297493572216,3.15586419753858,2.43055555554707,8.38632716047454
concowpyro,prefire ,"",0.286806752625538,0.924413312195122,0.938604426111908,2.14982449093257,1.69446531698747,3.84428980792004,1.72524509803922,3.80612745098039,4.83651960784314
downieville,prefire ,459,0.248872178414634,1.42547805,3.04368256097561,4.71803278939024,7.9153029008944,12.6333356902846,4.71875,3.5,24.46875
downieville,prefire ,492,0.355142415182927,2.38159137621951,4.77304765243903,7.50978144384146,2.3063496910749,9.81613113491636,4.428125,3.825,8.525
downieville,prefire ,503,0.302764207317073,2.21354721585366,3.32038097560976,5.83669239878049,5.48491415558224,11.3216065543627,4.29791666666667,3.55416666666667,8.70833333333333
downieville,prefire ,511,0.207090717804878,1.39071029268293,1.66019048780488,3.25799149829268,5.98199221144507,9.23998370973775,6.0875,4.64375,36.74375
downieville,prefire ,522,0.330618514390244,2.08606543902439,2.49028573170732,4.90696968512195,6.89198108373354,11.7989507688555,2.45,4.6125,8.025
downieville,prefire ,535,0.343334611097561,4.24166639268293,2.0752381097561,6.66023911353659,2.53836102957047,9.19860014310706,4.925,3.95625,13.44375
downieville,prefire ,620,0.0835629212195122,1.25163926341463,0.553396829268293,1.88859901390244,0,1.88859901390244,2.125,1.09375,7.16875
downieville,prefire ,639,0.016349267195122,0.365061451829268,0.276698414634146,0.658109133658537,0.626321088522556,1.28443022218109,7.5625,1.81875,9.3125
downieville,prefire ,643,0.127160967073171,1.8079233804878,1.79853969512195,3.73362404268293,6.23129487491231,9.96491891759524,6.575,5.64375,19.1625
downieville,prefire ,870,0.276120957073171,1.66885235121951,2.76698414634146,4.71195745463415,5.90486502232625,10.6168224769604,8,5.375,22.45
downieville,prefire ,control,0.719367756585366,3.40724021707317,6.08736512195122,10.2139730956098,7.07290794301748,17.2868810386272,5.84375,1.84375,33.60625
drycreek,postfire 2yr,drycreek7,0.00924807033259424,0.42985590864745,0.176080809312639,0.615184788292683,0.786120329209427,1.40130511750211,0.877272727272727,24.5045454545455,2.84545454545455
drycreek,prefire ,control,0.00544975573170732,0.243374301219512,0.138349207317073,0.387173264268293,0.644602705792683,1.03177597006098,2.15625,3.346875,9.84375
drycreek,prefire ,drycreek20,0.029065363902439,1.32117477804878,1.52184128048781,2.87208142243902,0.278320813828783,3.15040223626781,3.5125,7.821875,5.315625
drycreek,prefire ,drycreek41,0.02231804728223,1.15230281393728,0.90915193379791,2.08377279501742,3.79231751160155,5.87609030661898,3.37857142857143,4.60714285714286,9.17053571428571
frenchmeadows,postfire immediate,19A,0.0693935563170732,0.368538227560976,0.525726987804878,0.963658771682927,4.90900518191507,5.87266395359799,2.105,0.89625,1.905
frenchmeadows,prefire ,19A,0.397468851365854,1.48806001317073,2.49028573170732,4.3758145962439,7.32872584752051,11.7045404437644,2.68875,3.40125,14.8575
frenchmeadows,prefire ,19B,0.490478015853659,2.15560095365854,1.75242329268293,4.39850226219512,4.79896154894237,9.19746381113749,3.64791666666667,3.10625,11.4041666666667
frenchmeadows,prefire ,19C,0.538617524817073,1.96437828841463,1.86771429878049,4.3707101120122,11.9546040274087,16.3253141394209,2.8875,4.996875,20.103125
