site,plotid,year,pre_post_fire,postTime,fuelType,mass_tonsAcre
antelope,ANTELOPE01,2020,prefire,NA,mass_1hr,0.020446396195872116
antelope,ANTELOPE01,2020,prefire,NA,mass_10hr,0.08840815965196278
antelope,ANTELOPE01,2020,prefire,NA,mass_100hr,0
antelope,ANTELOPE01,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE01,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE01,2020,prefire,NA,total_fine,0.1088545558478349
antelope,ANTELOPE01,2020,prefire,NA,total_cwd,0
antelope,ANTELOPE01,2020,prefire,NA,total_fuel,16.800333706495344
antelope,ANTELOPE01,2020,prefire,NA,duff_load,15.60085138354917
antelope,ANTELOPE01,2020,prefire,NA,litter_load,1.0906277670983404
antelope,ANTELOPE01,2020,prefire,NA,litter_depth_cm,1.6875
antelope,ANTELOPE01,2020,prefire,NA,duff_depth_cm,5.0625
antelope,ANTELOPE01,2020,prefire,NA,fuel_depth_cm,5.625
antelope,ANTELOPE02,2020,prefire,NA,mass_1hr,0.04089279239174423
antelope,ANTELOPE02,2020,prefire,NA,mass_10hr,0.22102039912990695
antelope,ANTELOPE02,2020,prefire,NA,mass_100hr,0
antelope,ANTELOPE02,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE02,2020,prefire,NA,mass_cwd_rotten,3.634459312091052
antelope,ANTELOPE02,2020,prefire,NA,total_fine,0.26191319152165116
antelope,ANTELOPE02,2020,prefire,NA,total_cwd,3.634459312091052
antelope,ANTELOPE02,2020,prefire,NA,total_fuel,20.6916452072246
antelope,ANTELOPE02,2020,prefire,NA,duff_load,15.543070452498986
antelope,ANTELOPE02,2020,prefire,NA,litter_load,1.2522022511129094
antelope,ANTELOPE02,2020,prefire,NA,litter_depth_cm,1.9375
antelope,ANTELOPE02,2020,prefire,NA,duff_depth_cm,5.04375
antelope,ANTELOPE02,2020,prefire,NA,fuel_depth_cm,13.2
antelope,ANTELOPE03,2020,prefire,NA,mass_1hr,0.0868971838324565
antelope,ANTELOPE03,2020,prefire,NA,mass_10hr,0.4420407982598138
antelope,ANTELOPE03,2020,prefire,NA,mass_100hr,2.0602706191825173
antelope,ANTELOPE03,2020,prefire,NA,mass_cwd_sound,0.5840793284176089
antelope,ANTELOPE03,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE03,2020,prefire,NA,total_fine,2.5892086012747875
antelope,ANTELOPE03,2020,prefire,NA,total_cwd,0.5840793284176089
antelope,ANTELOPE03,2020,prefire,NA,total_fuel,7.258459555552371
antelope,ANTELOPE03,2020,prefire,NA,duff_load,3.5438971044111693
antelope,ANTELOPE03,2020,prefire,NA,litter_load,0.5412745214488061
antelope,ANTELOPE03,2020,prefire,NA,litter_depth_cm,0.8375
antelope,ANTELOPE03,2020,prefire,NA,duff_depth_cm,1.15
antelope,ANTELOPE03,2020,prefire,NA,fuel_depth_cm,1.7875
antelope,ANTELOPE04,2020,prefire,NA,mass_1hr,0.004820256580092828
antelope,ANTELOPE04,2020,prefire,NA,mass_10hr,0.04755789384810079
antelope,ANTELOPE04,2020,prefire,NA,mass_100hr,0.2758544856416521
antelope,ANTELOPE04,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE04,2020,prefire,NA,mass_cwd_rotten,0
