site,plotid,pre_post_fire,postTime,fuelType,mass_tonAcre
antelope,Antelope01,prefire,NA,mass_1hr,0.0145326819512195
antelope,Antelope01,prefire,NA,mass_10hr,0.139071029268293
antelope,Antelope01,prefire,NA,mass_100hr,0
antelope,Antelope01,prefire,NA,total_fine,0.153603711219512
antelope,Antelope01,prefire,NA,total_cwd,0
antelope,Antelope01,prefire,NA,total_fuel,0.153603711219512
antelope,Antelope01,prefire,NA,litter_depth_cm,1.6875
antelope,Antelope01,prefire,NA,duff_depth_cm,5.0625
antelope,Antelope01,prefire,NA,fuel_depth_cm,5.625
antelope,Antelope02,prefire,NA,mass_1hr,0.029065363902439
antelope,Antelope02,prefire,NA,mass_10hr,0.347677573170732
antelope,Antelope02,prefire,NA,mass_100hr,0
antelope,Antelope02,prefire,NA,total_fine,0.376742937073171
antelope,Antelope02,prefire,NA,total_cwd,3.17714976122383
antelope,Antelope02,prefire,NA,total_fuel,3.553892698297
antelope,Antelope02,prefire,NA,litter_depth_cm,1.9375
antelope,Antelope02,prefire,NA,duff_depth_cm,5.04375
antelope,Antelope02,prefire,NA,fuel_depth_cm,13.2
antelope,Antelope03,prefire,NA,mass_1hr,0.0617638982926829
antelope,Antelope03,prefire,NA,mass_10hr,0.695355146341463
antelope,Antelope03,prefire,NA,mass_100hr,1.38349207317073
antelope,Antelope03,prefire,NA,total_fine,2.14061111780488
antelope,Antelope03,prefire,NA,total_cwd,0.521450503183682
antelope,Antelope03,prefire,NA,total_fuel,2.66206162098856
antelope,Antelope03,prefire,NA,litter_depth_cm,0.8375
antelope,Antelope03,prefire,NA,duff_depth_cm,1.15
antelope,Antelope03,prefire,NA,fuel_depth_cm,1.7875
antelope,Antelope04,prefire,NA,mass_1hr,0.00363317048780488
antelope,Antelope04,prefire,NA,mass_10hr,0.0695355146341463
antelope,Antelope04,prefire,NA,mass_100hr,0.276698414634146
antelope,Antelope04,prefire,NA,total_fine,0.349867099756098
antelope,Antelope04,prefire,NA,total_cwd,0
antelope,Antelope04,prefire,NA,total_fuel,0.349867099756098
antelope,Antelope04,prefire,NA,litter_depth_cm,2.0625
antelope,Antelope04,prefire,NA,duff_depth_cm,5.75
antelope,Antelope04,prefire,NA,fuel_depth_cm,17.6375
antelope,Antelope05,prefire,NA,mass_1hr,0.0508643868292683
antelope,Antelope05,prefire,NA,mass_10hr,0.417213087804878
antelope,Antelope05,prefire,NA,mass_100hr,0
antelope,Antelope05,prefire,NA,total_fine,0.468077474634146
antelope,Antelope05,prefire,NA,total_cwd,0.36422068449169
antelope,Antelope05,prefire,NA,total_fuel,0.832298159125837
antelope,Antelope05,prefire,NA,litter_depth_cm,0.7625
