site,plotid,pre_post_fire,postTime,fuelType,mass_tonAcre
Antelope,Antelope01,prefire,NA,mass_1hr,0.00588367690332774
Antelope,Antelope01,prefire,NA,mass_10hr,0.0563040604325072
Antelope,Antelope01,prefire,NA,mass_100hr,0
Antelope,Antelope01,prefire,NA,total_fine,0.0621877373358349
Antelope,Antelope01,prefire,NA,total_cwd,0
Antelope,Antelope01,prefire,NA,total_fuel,0.0621877373358349
Antelope,Antelope01,prefire,NA,litter_depth_cm,1.6875
Antelope,Antelope01,prefire,NA,duff_depth_cm,5.0625
Antelope,Antelope01,prefire,NA,fuel_depth_cm,5.625
Antelope,Antelope02,prefire,NA,mass_1hr,0.0117673538066555
Antelope,Antelope02,prefire,NA,mass_10hr,0.140760151081268
Antelope,Antelope02,prefire,NA,mass_100hr,0
Antelope,Antelope02,prefire,NA,total_fine,0.152527504887923
Antelope,Antelope02,prefire,NA,total_cwd,1.28629544988819
Antelope,Antelope02,prefire,NA,total_fuel,1.43882295477611
Antelope,Antelope02,prefire,NA,litter_depth_cm,1.9375
Antelope,Antelope02,prefire,NA,duff_depth_cm,5.04375
Antelope,Antelope02,prefire,NA,fuel_depth_cm,13.2
Antelope,Antelope03,prefire,NA,mass_1hr,0.0250056268391429
Antelope,Antelope03,prefire,NA,mass_10hr,0.281520302162536
Antelope,Antelope03,prefire,NA,mass_100hr,0.56011824824726
Antelope,Antelope03,prefire,NA,total_fine,0.866644177248939
Antelope,Antelope03,prefire,NA,total_cwd,0.211113564041977
Antelope,Antelope03,prefire,NA,total_fuel,1.07775774129092
Antelope,Antelope03,prefire,NA,litter_depth_cm,0.8375
Antelope,Antelope03,prefire,NA,duff_depth_cm,1.15
Antelope,Antelope03,prefire,NA,fuel_depth_cm,1.7875
Antelope,Antelope04,prefire,NA,mass_1hr,0.00147091922583193
Antelope,Antelope04,prefire,NA,mass_10hr,0.0281520302162536
Antelope,Antelope04,prefire,NA,mass_100hr,0.112023649649452
Antelope,Antelope04,prefire,NA,total_fine,0.141646599091537
Antelope,Antelope04,prefire,NA,total_cwd,0
Antelope,Antelope04,prefire,NA,total_fuel,0.141646599091537
Antelope,Antelope04,prefire,NA,litter_depth_cm,2.0625
Antelope,Antelope04,prefire,NA,duff_depth_cm,5.75
Antelope,Antelope04,prefire,NA,fuel_depth_cm,17.6375
Antelope,Antelope05,prefire,NA,mass_1hr,0.0205928691616471
Antelope,Antelope05,prefire,NA,mass_10hr,0.168912181297521
Antelope,Antelope05,prefire,NA,mass_100hr,0
Antelope,Antelope05,prefire,NA,total_fine,0.189505050459169
Antelope,Antelope05,prefire,NA,total_cwd,0.147457767000684
Antelope,Antelope05,prefire,NA,total_fuel,0.336962817459853
Antelope,Antelope05,prefire,NA,litter_depth_cm,0.7625
Antelope,Antelope05,prefire,NA,duff_depth_cm,2.9
Antelope,Antelope05,prefire,NA,fuel_depth_cm,1.1875
Antelope,Antelope06,prefire,NA,mass_1hr,0.00147091922583193
Antelope,Antelope06,prefire,NA,mass_10hr,0.168912181297521
Antelope,Antelope06,prefire,NA,mass_100hr,0.112023649649452
Antelope,Antelope06,prefire,NA,total_fine,0.282406750172805
Antelope,Antelope06,prefire,NA,total_cwd,0.307932454727614
Antelope,Antelope06,prefire,NA,total_fuel,0.59033920490042
Antelope,Antelope06,prefire,NA,litter_depth_cm,2.03125
Antelope,Antelope06,prefire,NA,duff_depth_cm,4.125
Antelope,Antelope06,prefire,NA,fuel_depth_cm,17.8625
Antelope,Antelope07,prefire,NA,mass_1hr,0.0044127576774958
Antelope,Antelope07,prefire,NA,mass_10hr,0.0281520302162536
Antelope,Antelope07,prefire,NA,mass_100hr,0
Antelope,Antelope07,prefire,NA,total_fine,0.0325647878937494
Antelope,Antelope07,prefire,NA,total_cwd,0
Antelope,Antelope07,prefire,NA,total_fuel,0.0325647878937494
Antelope,Antelope07,prefire,NA,litter_depth_cm,0.8
Antelope,Antelope07,prefire,NA,duff_depth_cm,0.6625
Antelope,Antelope07,prefire,NA,fuel_depth_cm,1.9375
Antelope,Antelope08,prefire,NA,mass_1hr,0.00294183845166387
Antelope,Antelope08,prefire,NA,mass_10hr,0.309672332378789
Antelope,Antelope08,prefire,NA,mass_100hr,0.336070948948356
Antelope,Antelope08,prefire,NA,total_fine,0.648685119778809
Antelope,Antelope08,prefire,NA,total_cwd,0
Antelope,Antelope08,prefire,NA,total_fuel,0.648685119778809
Antelope,Antelope08,prefire,NA,litter_depth_cm,1.375
Antelope,Antelope08,prefire,NA,duff_depth_cm,11.0125
Antelope,Antelope08,prefire,NA,fuel_depth_cm,5.76875
Antelope,Antelope09,prefire,NA,mass_1hr,0.0279474652908068
Antelope,Antelope09,prefire,NA,mass_10hr,0.168912181297521
Antelope,Antelope09,prefire,NA,mass_100hr,0.112023649649452
Antelope,Antelope09,prefire,NA,total_fine,0.30888329623778
Antelope,Antelope09,prefire,NA,total_cwd,0
Antelope,Antelope09,prefire,NA,total_fuel,0.30888329623778
Antelope,Antelope09,prefire,NA,litter_depth_cm,2
Antelope,Antelope09,prefire,NA,duff_depth_cm,3.975
Antelope,Antelope09,prefire,NA,fuel_depth_cm,1.9125
Antelope,Antelope10,prefire,NA,mass_1hr,0.00147091922583193
Antelope,Antelope10,prefire,NA,mass_10hr,0.0563040604325072
Antelope,Antelope10,prefire,NA,mass_100hr,0.112023649649452
Antelope,Antelope10,prefire,NA,total_fine,0.169798629307791
Antelope,Antelope10,prefire,NA,total_cwd,1.33987569701079
Antelope,Antelope10,prefire,NA,total_fuel,1.50967432631859
Antelope,Antelope10,prefire,NA,litter_depth_cm,6.375
Antelope,Antelope10,prefire,NA,duff_depth_cm,8.225
Antelope,Antelope10,prefire,NA,fuel_depth_cm,7.325
Antelope,Antelope11,prefire,NA,mass_1hr,0.00147091922583193
Antelope,Antelope11,prefire,NA,mass_10hr,0.0563040604325072
Antelope,Antelope11,prefire,NA,mass_100hr,0
Antelope,Antelope11,prefire,NA,total_fine,0.0577749796583391
Antelope,Antelope11,prefire,NA,total_cwd,0
Antelope,Antelope11,prefire,NA,total_fuel,0.0577749796583391
Antelope,Antelope11,prefire,NA,litter_depth_cm,1.7875
Antelope,Antelope11,prefire,NA,duff_depth_cm,1.625
