site,plotid,year,pre_post_fire,postTime,plot_id_time,azimuth,duff_depth_cm,litter_depth_cm,fuel_depth_cm,mass_1hr,mass_10hr,mass_100hr,mass_cwd_sound,mass_cwd_rotten,total_fine,total_cwd,total_fuel,site_plotid_time
antelope,Antelope01,2020,prefire,"",Antelope01 prefire NA,0,3,0.75,3.1,0.00588367690332774,0,0,0,0,0.00588367690332774,0,0.00588367690332774,antelope Antelope01 prefire 
antelope,Antelope01,2020,prefire,"",Antelope01 prefire NA,180,7.85,2.5,0.6,0.0117673538066555,0,0,0,0,0.0117673538066555,0,0.0117673538066555,antelope Antelope01 prefire 
antelope,Antelope01,2020,prefire,"",Antelope01 prefire NA,270,6.25,1.75,12.15,0,0.112608120865014,0,0,0,0.112608120865014,0,0.112608120865014,antelope Antelope01 prefire 
antelope,Antelope01,2020,prefire,"",Antelope01 prefire NA,90,3.15,1.75,6.65,0.00588367690332774,0.112608120865014,0,0,0,0.118491797768342,0,0.118491797768342,antelope Antelope01 prefire 
antelope,Antelope02,2020,prefire,"",Antelope02 prefire NA,0,5.85,1.5,23.65,0,0,0,0,12.7085990448953,0,5.14518179955276,5.14518179955276,antelope Antelope02 prefire 
antelope,Antelope02,2020,prefire,"",Antelope02 prefire NA,180,6.1,1.75,10.9,0.0176510307099832,0,0,0,0,0.0176510307099832,0,0.0176510307099832,antelope Antelope02 prefire 
antelope,Antelope02,2020,prefire,"",Antelope02 prefire NA,270,4.25,1,2.6,0.0176510307099832,0.450432483460057,0,0,0,0.46808351417004,0,0.46808351417004,antelope Antelope02 prefire 
antelope,Antelope02,2020,prefire,"",Antelope02 prefire NA,90,3.975,3.5,15.65,0.0117673538066555,0.112608120865014,0,0,0,0.12437547467167,0,0.12437547467167,antelope Antelope02 prefire 
antelope,Antelope03,2020,prefire,"",Antelope03 prefire NA,0,0.1,0.1,1,0.0411857383232942,0.337824362595043,1.34428379579342,2.08580201273473,0,1.72329389671176,0.844454256167906,2.56774815287967,antelope Antelope03 prefire 
antelope,Antelope03,2020,prefire,"",Antelope03 prefire NA,180,0.35,0.6,1.35,0.0294183845166387,0.225216241730029,0.448094598597808,0,0,0.702729224844475,0,0.702729224844475,antelope Antelope03 prefire 
antelope,Antelope03,2020,prefire,"",Antelope03 prefire NA,270,3.4,2.25,2.6,0.0117673538066555,0.225216241730029,0,0,0,0.236983595536684,0,0.236983595536684,antelope Antelope03 prefire 
antelope,Antelope03,2020,prefire,"",Antelope03 prefire NA,90,0.75,0.4,2.2,0.0176510307099832,0.337824362595043,0.448094598597808,0,0,0.803569991902834,0,0.803569991902834,antelope Antelope03 prefire 
antelope,Antelope04,2020,prefire,"",Antelope04 prefire NA,0,1.25,0,21.25,0,0,0,0,0,0,0,0,antelope Antelope04 prefire 
antelope,Antelope04,2020,prefire,"",Antelope04 prefire NA,180,10.9,1.75,4.15,0.00588367690332774,0,0,0,0,0.00588367690332774,0,0.00588367690332774,antelope Antelope04 prefire 
antelope,Antelope04,2020,prefire,"",Antelope04 prefire NA,270,2.85,0.5,6.65,0,0,0,0,0,0,0,0,antelope Antelope04 prefire 
antelope,Antelope04,2020,prefire,"",Antelope04 prefire NA,90,8,6,38.5,0,0.112608120865014,0.448094598597808,0,0,0.560702719462822,0,0.560702719462822,antelope Antelope04 prefire 
antelope,Antelope05,2020,prefire,"",Antelope05 prefire NA,0,3.4,0.25,0.75,0.0176510307099832,0,0,1.45688273796676,0,0.0176510307099832,0.589831068002737,0.60748209871272,antelope Antelope05 prefire 
antelope,Antelope05,2020,prefire,"",Antelope05 prefire NA,180,4.45,1.05,1.95,0.0353020614199664,0.225216241730029,0,0,0,0.260518303149995,0,0.260518303149995,antelope Antelope05 prefire 
antelope,Antelope05,2020,prefire,"",Antelope05 prefire NA,270,2.75,0.75,0.8,0.0176510307099832,0.225216241730029,0,0,0,0.242867272440012,0,0.242867272440012,antelope Antelope05 prefire 
antelope,Antelope05,2020,prefire,"",Antelope05 prefire NA,90,1,1,1.25,0.0117673538066555,0.225216241730029,0,0,0,0.236983595536684,0,0.236983595536684,antelope Antelope05 prefire 
antelope,Antelope06,2020,prefire,"",Antelope06 prefire NA,0,2,0.875,11.35,0,0,0.448094598597808,3.04237265270883,0,0.448094598597808,1.23172981891046,1.67982441750826,antelope Antelope06 prefire 
antelope,Antelope06,2020,prefire,"",Antelope06 prefire NA,180,7,3.5,11.6,0,0.225216241730029,0,0,0,0.225216241730029,0,0.225216241730029,antelope Antelope06 prefire 
antelope,Antelope06,2020,prefire,"",Antelope06 prefire NA,270,1.1,0,42,0.00588367690332774,0,0,0,0,0.00588367690332774,0,0.00588367690332774,antelope Antelope06 prefire 
antelope,Antelope06,2020,prefire,"",Antelope06 prefire NA,90,6.4,3.75,6.5,0,0.450432483460057,0,0,0,0.450432483460057,0,0.450432483460057,antelope Antelope06 prefire 
antelope,Antelope07,2020,prefire,"",Antelope07 prefire NA,0,1.5,1.1,2.8,0.00588367690332774,0,0,0,0,0.00588367690332774,0,0.00588367690332774,antelope Antelope07 prefire 
antelope,Antelope07,2020,prefire,"",Antelope07 prefire NA,180,0.4,0.25,2.4,0,0.112608120865014,0,0,0,0.112608120865014,0,0.112608120865014,antelope Antelope07 prefire 
antelope,Antelope07,2020,prefire,"",Antelope07 prefire NA,270,0.25,0.3,1.15,0.0117673538066555,0,0,0,0,0.0117673538066555,0,0.0117673538066555,antelope Antelope07 prefire 
antelope,Antelope07,2020,prefire,"",Antelope07 prefire NA,90,0.5,1.55,1.4,0,0,0,0,0,0,0,0,antelope Antelope07 prefire 
antelope,Antelope08,2020,prefire,"",Antelope08 prefire NA,0,22.4,0.75,3.75,0.00588367690332774,0.225216241730029,0.448094598597808,0,0,0.679194517231164,0,0.679194517231164,antelope Antelope08 prefire 
antelope,Antelope08,2020,prefire,"",Antelope08 prefire NA,180,12.9,0.5,10.15,0.00588367690332774,0.337824362595043,0.448094598597808,0,0,0.791802638096178,0,0.791802638096178,antelope Antelope08 prefire 
antelope,Antelope08,2020,prefire,"",Antelope08 prefire NA,270,7.25,3.5,5.25,0,0.563040604325072,0.448094598597808,0,0,1.01113520292288,0,1.01113520292288,antelope Antelope08 prefire 
