species,spp,litter_coeff,duff_coeff,litterduff_coeff
Douglas-fir,PSME,0.864,1.319,1.295
Foothill pine,PISA,0.111,1.448,1.22
Foxtail pine,PIBA,0.886,2.504,2.36
Giant sequoia,SEGI,0.99,1.648,1.632
Incense-cedar,CADE,1.276,1.675,1.664
Jeffrey pine,PIJE,0.358,1.707,1.496
Knobcone pine,PIAT,0.339,1.646,1.274
Limber pine,PIFL,0.889,2.337,2.255
Lodgepole pine,PICO,0.951,1.671,1.612
Mountain hemlock,TSME,1.102,1.876,1.848
Ponderosa pine,PIPO,0.276,1.402,1.233
Red fir,ABMA,0.53,1.727,1.722
Singleleaf pinyon,PIMO1,0.906,2.592,2.478
Sugar pine,PILA,0.304,1.396,1.189
Washoe pine,PIWA,0.6,1.87,1.719
Western juniper,JUOC,0.832,1.798,1.763
Western white pine,PIMO2,0.542,1.422,1.485
White fir,ABCO,1.05,1.518,1.572
Whitebark pine,PIAL,0.54,1.895,1.802
All species,ALLSPP,0.363,1.75,1.624
