"","project","site","year","plotid","pre_post_fire","postFire","tag_id","status","species","dbh_cm","ht_m","ht2crown_m","livecrownratio_perc","crownclass","crownwidth_m","decay","scorch_ht_m","torch_ht_m","bolechar_m","healthCode","notes","ht2dead_m","scorch_percent","torch_percent","healthCode2","resprout","stump_diameter_cm","stump_ht_m","presentPostThin","StatusPostThin","samplingTime","Beetles2019","DeadPriorFire"
"1","CPFMP","caples","2013-2018","1","prefire",NA,NA,"DEAD","ABCO",51.2,2.4,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"2","CPFMP","caples","2019","1","prefire","immediate","454","DEAD","CADE27",21,7.5,NA,NA,NA,NA,NA,7.5,7.4,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"N",NA
"3","CPFMP","caples","2019","1","prefire","immediate","455","DEAD","PIJE",22.5,9.5,NA,NA,NA,NA,NA,9.5,6.8,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"N",NA
"4","CPFMP","caples","2019","1","prefire","immediate","456","DEAD","ABCO",52.5,17.3,NA,NA,NA,NA,NA,NA,NA,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"N",NA
"5","CPFMP","caples","2019","1","prefire","immediate","457","DEAD","ABCO",41.5,17.8,NA,NA,NA,NA,NA,7.2,NA,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"N",NA
"6","CPFMP","caples","2019","1","prefire","immediate","458","DEAD","CADE27",29.5,9.3,NA,NA,NA,NA,NA,9.3,5.7,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"N",NA
"7","CPFMP","caples","2019","1","prefire","immediate","459","DEAD","CADE27",19.5,5.1,NA,NA,NA,NA,NA,5.1,3.6,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"N",NA
"8","CPFMP","caples","2019","1","prefire","immediate","460","DEAD","ABCO",14,5.3,NA,NA,NA,NA,NA,5.3,2.5,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"N",NA
"9","CPFMP","caples","2019","1","prefire","immediate","463","DEAD","ABCO",50.1,21.9,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"N",NA
"10","CPFMP","caples","2019","1","prefire","immediate",NA,"DEAD","ABCO",NA,NA,NA,NA,NA,NA,"3",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
