"","project","site","year","plotid","pre_post_fire","postFire","tag_id","status","species","dbh_cm","ht_m","ht2crown_m","livecrownratio_perc","crownclass","crownwidth_m","bolechar_m","decay","scorch_ht_m","scorch_percent","torch_ht_m","torch_percent","healthCode","healthCode2","notes","ht2dead_m","torch_percent.1","resprout","stump_diameter_cm","stump_ht_m","presentPostThin","StatusPostThin","samplingTime","Beetles2019","DeadPriorFire"
"1","CPFMP","springsfire","2019","springs16","prefire",NA,"164","LIVE","PIJE","0.5","14","6",NA,"IN","6","0",NA,NA,NA,NA,NA,"1",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CPFMP","downieville","2020","RedAnt51","prefire",NA,"2562","LIVE","ABCO","2.4","12.3","6.4",40,NA,"5.6",NA,"na",NA,NA,NA,NA,"na","na",NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","CPFMP","henrycoe","2021","HCM007","prefire",NA,"4852","LIVE","QUAG","4.4","6.8","na",NA,NA,"na",NA,"na",NA,NA,NA,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","CPFMP","shaverlake","2021","SHL024","prefire",NA,"4371","LIVE","ABCO","4.7","9","0.2",NA,NA,"2.4","na","na",NA,NA,NA,NA,NA,NA,"DBH not a tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CPFMP","Valentine","2020","VR13N","prefire",NA,"1197","LIVE","PICO","4.8","17","4.6",NA,"co","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA
"6","CPFMP","shaverlake","2021","SHL006","prefire",NA,"na","DEAD","CADE","5","6.4","na",NA,NA,"na","6.4","3",NA,NA,NA,NA,NA,NA,"DBH not a tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","CPFMP","Valentine","2020","VR22N","prefire",NA,"1068","LIVE","ALNINC","5","3.1","1.8",NA,"AB","1.5",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","L",NA,NA,NA
"8","CPFMP","frenchmeadows","2019","FM010-7","prefire",NA,NA,"LIVE","ABCO","5","9","3",NA,"OV","2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","CPFMP","caples","2020","37","postfire","1yr","266","DEAD","CADE","5.1","3.8","0",0,"OT",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"N"
"10","CPFMP","Valentine","2020","VR25S","prefire",NA,"139","LIVE","ABCO","5.2","16","2.2",NA,"do","4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","L",NA,NA,NA
"11","CPFMP","caples","2020","121","postfire","1yr","101","DEAD","CADE","5.6","3.4","0",0,"OT",NA,"0","1",NA,NA,NA,NA,NA,NA,"0.5 HTD",NA,NA,NA,NA,NA,NA,NA,2,NA,"N"
"12","CPFMP","caples","2020","125","postfire","1yr","43","LIVE","ABMA","5.6","5","0.3",85,"OT",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"N"
"13","CPFMP","Valentine","2020","VR16N","prefire",NA,"87","LIVE","ABCO","5.8","7","2.6",NA,"in","4.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA
