"","site","plotid","year","postFire","species","dbh_cm","ht_m","bolechar_m","scorch_ht_m","scorch_percent","torch_ht_m","torch_percent"
"1","bearmountain","BM01","2021","2yr","CADE",35.8,15.4,0.8,0,0,0,0
"2","bearmountain","BM01","2021","2yr","CADE",39,16.6,1,0,0,0,0
"3","bearmountain","BM01","2021","2yr","PIPO",39.4,16.9,0,0,0,0,0
"4","bearmountain","BM01","2021","2yr","CADE",40.7,17,1,0,0,0,0
"5","bearmountain","BM01","2021","2yr","PIPO",41.1,23.4,0.5,0,0,0,0
"6","bearmountain","BM01","2021","2yr","CADE",41.3,15.6,2.5,0,0,0,0
"7","bearmountain","BM10","2021","2yr","CADE",30.8,12.3,4,0,0,0,0
"8","bearmountain","BM10","2021","2yr","CADE",33.9,12.4,2,0,0,0,0
"9","bearmountain","BM10","2021","2yr","CADE",38,17.9,4,0,0,0,0
"10","bearmountain","BM10","2021","2yr","PIPO",44.8,30.2,0.1,0,0,0,0
"11","bearmountain","BM10","2021","2yr","PIPO",45.8,29.3,1.2,0,0,0,0
"12","bearmountain","BM10","2021","2yr","PIPO",59.3,30.6,0,0,0,0,0
"13","bearmountain","BM10","2021","2yr","PIPO",77.7,42,2,0,0,0,0
"14","bearmountain","BM11","2021","2yr","CADE",17.6,5.6,1,0,0,0,0
"15","bearmountain","BM11","2021","2yr","PIPO",20.1,6.2,1.2,0,0,0,0
"16","bearmountain","BM11","2021","2yr","CADE",29.7,9.3,1.5,0,0,0,0
"17","bearmountain","BM12","2021","2yr","PIPO",83.2,38.4,1.5,0,0,0,0
"18","bearmountain","BM12","2021","2yr","PILA",102.2,39.6,3,0,0,0,0
"19","bearmountain","BM13","2021","2yr","CADE",25,9.8,3,0,0,0,0
"20","bearmountain","BM13","2021","2yr","CADE",28.2,12.8,2,0,0,0,0
"21","bearmountain","BM13","2021","2yr","CADE",28.4,14,2.2,0,0,0,0
"22","bearmountain","BM13","2021","2yr","PIPO",51,22.8,2,0,0,0,0
"23","bearmountain","BM14","2021","2yr","PIPO",22.1,7.6,1,0,0,0,0
"24","bearmountain","BM14","2021","2yr","CADE",30.9,10.5,3,0,0,0,0
"25","bearmountain","BM14","2021","2yr","CADE",34.7,11.2,3.5,0,0,0,0
"26","bearmountain","BM15","2021","2yr","PIPO",27,13.6,5,0,0,0,0
"27","bearmountain","BM15","2021","2yr","QUKE",32.2,10.2,0.2,0,0,0,0
"28","bearmountain","BM15","2021","2yr","PIPO",33.3,19.6,1.5,0,0,0,0
"29","bearmountain","BM15","2021","2yr","PIPO",50,27,3,0,0,0,0
"30","bearmountain","BM16","2021","2yr","CADE",35.7,12.4,1.2,0,0,0,0
"31","bearmountain","BM16","2021","2yr","PIJE",38.5,23.3,1.8,0,0,0,0
"32","bearmountain","BM16","2021","2yr","PIJE",42.3,24.6,1.5,0,0,0,0
"33","bearmountain","BM16","2021","2yr","PIPO",43.3,25.8,0.3,0,0,0,0
"34","bearmountain","BM16","2021","2yr","CADE",57.2,20.2,4.5,0,0,0,0
"35","bearmountain","BM16","2021","2yr","PIJE",59.8,33.2,2,0,0,0,0
"36","bearmountain","BM18","2021","2yr","PIPO",10.2,6.6,0.1,0,0,0,0
"37","bearmountain","BM18","2021","2yr","PIPO",12.8,6,0.2,0,0,0,0
"38","bearmountain","BM18","2021","2yr","PIPO",15.6,10.8,0.2,0,0,0,0
"39","bearmountain","BM18","2021","2yr","QUKE",32.3,15.5,0,0,0,0,0
"40","bearmountain","BM18","2021","2yr","CADE",38,18.2,3,0,0,0,0
"41","bearmountain","BM18","2021","2yr","CADE",38,17.6,3.3,0,0,0,0
"42","bearmountain","BM18","2021","2yr","CADE",38.8,15.5,2.5,0,0,0,0
"43","bearmountain","BM18","2021","2yr","CADE",44.1,17.6,3,0,0,0,0
"44","bearmountain","BM18","2021","2yr","CADE",59.9,23.6,2.5,0,0,0,0
"45","bearmountain","BM18","2021","2yr","CADE",63,22.3,2.2,0,0,0,0
"46","bearmountain","BM19","2021","2yr","PIPO",41.8,24.8,0,0,0,0,0
"47","bearmountain","BM19","2021","2yr","CADE",116.3,32.3,3.6,0,0,0,0
"48","bearmountain","BM02","2021","2yr","CADE",19.6,7.4,2,0,0,0,0
"49","bearmountain","BM02","2021","2yr","PIPO",28.2,16.1,2,0,0,0,0
"50","bearmountain","BM02","2021","2yr","PIPO",44,29.5,1,0,0,0,0
"51","bearmountain","BM02","2021","2yr","CADE",57.5,25.5,1.1,0,0,0,0
"52","bearmountain","BM02","2021","2yr","PIPO",66.7,33.7,1.8,0,0,0,0
"53","bearmountain","BM20","2021","2yr","PIPO",41,22.4,1.5,0,0,0,0
"54","bearmountain","BM20","2021","2yr","PIPO",51.3,25.8,1.5,0,0,0,0
"55","bearmountain","BM20","2021","2yr","CADE",145.9,39,5.5,0,0,0,0
"56","bearmountain","BM21","2021","2yr","CADE",24.2,10.2,1.8,0,0,0,0
"57","bearmountain","BM22","2021","2yr","PIPO",52.7,28.2,1.5,0,0,0,0
"58","bearmountain","BM22","2021","2yr","PIPO",56,24.1,4,0,0,0,0
"59","bearmountain","BM22","2021","2yr","PIPO",74.5,33.7,3,0,0,0,0
"60","bearmountain","BM24","2021","2yr","CADE",49.3,20.2,5,0,0,0,0
"61","bearmountain","BM24","2021","2yr","PIPO",61.5,30.2,1.5,0,0,0,0
"62","bearmountain","BM25","2021","2yr","PIPO",50,31,6,0,0,0,0
"63","bearmountain","BM03","2021","2yr","CADE",25.5,11.8,7.5,0,0,0,0
"64","bearmountain","BM03","2021","2yr","PSME",55.7,28.6,6,0,0,0,0
"65","bearmountain","BM04","2021","2yr","CADE",13.9,6.5,6,0,0,0,0
"66","bearmountain","BM04","2021","2yr","CADE",20,7.3,2,0,0,0,0
"67","bearmountain","BM04","2021","2yr","CADE",21,9.3,2.5,0,0,0,0
"68","bearmountain","BM04","2021","2yr","CADE",22.5,10,6,0,0,0,0
"69","bearmountain","BM04","2021","2yr","CADE",27.9,10.4,3.3,0,0,0,0
"70","bearmountain","BM04","2021","2yr","CADE",27.9,10.3,3,0,0,0,0
"71","bearmountain","BM04","2021","2yr","CADE",28.4,12,4,0,0,0,0
"72","bearmountain","BM04","2021","2yr","PIPO",29.9,18,2.5,0,0,0,0
"73","bearmountain","BM04","2021","2yr","CADE",36.2,14,3,0,0,0,0
"74","bearmountain","BM04","2021","2yr","CADE",36.6,15.6,5,0,0,0,0
"75","bearmountain","BM04","2021","2yr","PIPO",67,32,0.5,0,0,0,0
"76","bearmountain","BM05","2021","2yr","CADE",20.2,9,2,0,0,0,0
"77","bearmountain","BM05","2021","2yr","CADE",24,11.2,8,0,0,0,0
"78","bearmountain","BM05","2021","2yr","QUKE",26.3,14.8,0.5,0,0,0,0
"79","bearmountain","BM05","2021","2yr","CADE",29.5,13.2,1.2,0,0,0,0
