"","site","plotid","pre_post_fire","year","diamclass","n_trees_diamclass","n_trees_diamclass_acre","n_trees_diamclass_ha"
"1","antelope","antelope06","prefire","2020","[60-80]",1,10,24.7105
"2","antelope","antelope06","prefire","2020","[20-40]",0,0,0
"3","antelope","antelope06","prefire","2020","[<20]",0,0,0
"4","antelope","antelope06","prefire","2020","[40-60]",0,0,0
"5","antelope","antelope06","prefire","2020","[>100]",0,0,0
"6","antelope","antelope06","prefire","2020","[80-100]",0,0,0
"7","antelope","antelope11","prefire","2020","[60-80]",1,10,24.7105
"8","antelope","antelope11","prefire","2020","[20-40]",0,0,0
"9","antelope","antelope11","prefire","2020","[<20]",0,0,0
"10","antelope","antelope11","prefire","2020","[40-60]",0,0,0
"11","antelope","antelope11","prefire","2020","[>100]",0,0,0
"12","antelope","antelope11","prefire","2020","[80-100]",0,0,0
"13","antelope","antelope16","prefire","2020","[60-80]",0,0,0
"14","antelope","antelope16","prefire","2020","[20-40]",1,10,24.7105
"15","antelope","antelope16","prefire","2020","[<20]",0,0,0
"16","antelope","antelope16","prefire","2020","[40-60]",0,0,0
"17","antelope","antelope16","prefire","2020","[>100]",0,0,0
"18","antelope","antelope16","prefire","2020","[80-100]",0,0,0
"19","bearmountain","bm1","postfire","2021","[60-80]",0,0,0
"20","bearmountain","bm1","postfire","2021","[20-40]",0,0,0
"21","bearmountain","bm1","postfire","2021","[<20]",1,10,24.7105
"22","bearmountain","bm1","postfire","2021","[40-60]",1,10,24.7105
"23","bearmountain","bm1","postfire","2021","[>100]",0,0,0
"24","bearmountain","bm1","postfire","2021","[80-100]",0,0,0
"25","bearmountain","bm1","prefire","2019","[60-80]",0,0,0
"26","bearmountain","bm1","prefire","2019","[20-40]",0,0,0
"27","bearmountain","bm1","prefire","2019","[<20]",2,20,49.421
"28","bearmountain","bm1","prefire","2019","[40-60]",1,10,24.7105
"29","bearmountain","bm1","prefire","2019","[>100]",0,0,0
"30","bearmountain","bm1","prefire","2019","[80-100]",0,0,0
"31","bearmountain","bm10","prefire","2019","[60-80]",0,0,0
"32","bearmountain","bm10","prefire","2019","[20-40]",0,0,0
"33","bearmountain","bm10","prefire","2019","[<20]",1,10,24.7105
"34","bearmountain","bm10","prefire","2019","[40-60]",0,0,0
"35","bearmountain","bm10","prefire","2019","[>100]",0,0,0
"36","bearmountain","bm10","prefire","2019","[80-100]",0,0,0
"37","bearmountain","bm11","postfire","2021","[60-80]",0,0,0
"38","bearmountain","bm11","postfire","2021","[20-40]",1,10,24.7105
"39","bearmountain","bm11","postfire","2021","[<20]",3,30,74.1315
"40","bearmountain","bm11","postfire","2021","[40-60]",0,0,0
"41","bearmountain","bm11","postfire","2021","[>100]",0,0,0
"42","bearmountain","bm11","postfire","2021","[80-100]",0,0,0
"43","bearmountain","bm11","prefire","2019","[60-80]",0,0,0
"44","bearmountain","bm11","prefire","2019","[20-40]",1,10,24.7105
"45","bearmountain","bm11","prefire","2019","[<20]",6,60,148.263
"46","bearmountain","bm11","prefire","2019","[40-60]",0,0,0
"47","bearmountain","bm11","prefire","2019","[>100]",0,0,0
"48","bearmountain","bm11","prefire","2019","[80-100]",0,0,0
"49","bearmountain","bm12","postfire","2021","[60-80]",0,0,0
"50","bearmountain","bm12","postfire","2021","[20-40]",1,10,24.7105
"51","bearmountain","bm12","postfire","2021","[<20]",1,10,24.7105
"52","bearmountain","bm12","postfire","2021","[40-60]",1,10,24.7105
"53","bearmountain","bm12","postfire","2021","[>100]",1,10,24.7105
"54","bearmountain","bm12","postfire","2021","[80-100]",0,0,0
"55","bearmountain","bm12","prefire","2019","[60-80]",0,0,0
"56","bearmountain","bm12","prefire","2019","[20-40]",1,10,24.7105
"57","bearmountain","bm12","prefire","2019","[<20]",1,10,24.7105
"58","bearmountain","bm12","prefire","2019","[40-60]",1,10,24.7105
"59","bearmountain","bm12","prefire","2019","[>100]",2,20,49.421
"60","bearmountain","bm12","prefire","2019","[80-100]",0,0,0
"61","bearmountain","bm13","prefire","2019","[60-80]",0,0,0
"62","bearmountain","bm13","prefire","2019","[20-40]",2,20,49.421
"63","bearmountain","bm13","prefire","2019","[<20]",2,20,49.421
"64","bearmountain","bm13","prefire","2019","[40-60]",1,10,24.7105
"65","bearmountain","bm13","prefire","2019","[>100]",0,0,0
"66","bearmountain","bm13","prefire","2019","[80-100]",0,0,0
"67","bearmountain","bm14","postfire","2021","[60-80]",0,0,0
"68","bearmountain","bm14","postfire","2021","[20-40]",5,50,123.5525
"69","bearmountain","bm14","postfire","2021","[<20]",2,20,49.421
"70","bearmountain","bm14","postfire","2021","[40-60]",0,0,0
"71","bearmountain","bm14","postfire","2021","[>100]",0,0,0
"72","bearmountain","bm14","postfire","2021","[80-100]",0,0,0
"73","bearmountain","bm14","prefire","2019","[60-80]",0,0,0
"74","bearmountain","bm14","prefire","2019","[20-40]",5,50,123.5525
"75","bearmountain","bm14","prefire","2019","[<20]",3,30,74.1315
"76","bearmountain","bm14","prefire","2019","[40-60]",0,0,0
"77","bearmountain","bm14","prefire","2019","[>100]",0,0,0
"78","bearmountain","bm14","prefire","2019","[80-100]",0,0,0
"79","bearmountain","bm15","postfire","2021","[60-80]",0,0,0
"80","bearmountain","bm15","postfire","2021","[20-40]",1,10,24.7105
"81","bearmountain","bm15","postfire","2021","[<20]",1,10,24.7105
"82","bearmountain","bm15","postfire","2021","[40-60]",0,0,0
"83","bearmountain","bm15","postfire","2021","[>100]",0,0,0
"84","bearmountain","bm15","postfire","2021","[80-100]",0,0,0
"85","bearmountain","bm15","prefire","2019","[60-80]",0,0,0
"86","bearmountain","bm15","prefire","2019","[20-40]",1,10,24.7105
"87","bearmountain","bm15","prefire","2019","[<20]",2,20,49.421
"88","bearmountain","bm15","prefire","2019","[40-60]",2,20,49.421
"89","bearmountain","bm15","prefire","2019","[>100]",0,0,0
"90","bearmountain","bm15","prefire","2019","[80-100]",0,0,0
"91","bearmountain","bm16","postfire","2021","[60-80]",0,0,0
"92","bearmountain","bm16","postfire","2021","[20-40]",1,10,24.7105
"93","bearmountain","bm16","postfire","2021","[<20]",0,0,0
"94","bearmountain","bm16","postfire","2021","[40-60]",0,0,0
"95","bearmountain","bm16","postfire","2021","[>100]",0,0,0
"96","bearmountain","bm16","postfire","2021","[80-100]",0,0,0
"97","bearmountain","bm16","prefire","2019","[60-80]",0,0,0
"98","bearmountain","bm16","prefire","2019","[20-40]",4,40,98.842
"99","bearmountain","bm16","prefire","2019","[<20]",0,0,0
"100","bearmountain","bm16","prefire","2019","[40-60]",0,0,0
"101","bearmountain","bm16","prefire","2019","[>100]",0,0,0
"102","bearmountain","bm16","prefire","2019","[80-100]",0,0,0
"103","bearmountain","bm17","postfire","2021","[60-80]",0,0,0
"104","bearmountain","bm17","postfire","2021","[20-40]",0,0,0
"105","bearmountain","bm17","postfire","2021","[<20]",0,0,0
"106","bearmountain","bm17","postfire","2021","[40-60]",1,10,24.7105
"107","bearmountain","bm17","postfire","2021","[>100]",0,0,0
"108","bearmountain","bm17","postfire","2021","[80-100]",0,0,0
"109","bearmountain","bm17","prefire","2019","[60-80]",0,0,0
"110","bearmountain","bm17","prefire","2019","[20-40]",0,0,0
"111","bearmountain","bm17","prefire","2019","[<20]",0,0,0
"112","bearmountain","bm17","prefire","2019","[40-60]",1,10,24.7105
"113","bearmountain","bm17","prefire","2019","[>100]",0,0,0
"114","bearmountain","bm17","prefire","2019","[80-100]",0,0,0
"115","bearmountain","bm18","postfire","2021","[60-80]",0,0,0
"116","bearmountain","bm18","postfire","2021","[20-40]",4,40,98.842
"117","bearmountain","bm18","postfire","2021","[<20]",1,10,24.7105
"118","bearmountain","bm18","postfire","2021","[40-60]",1,10,24.7105
"119","bearmountain","bm18","postfire","2021","[>100]",0,0,0
"120","bearmountain","bm18","postfire","2021","[80-100]",0,0,0
"121","bearmountain","bm18","prefire","2019","[60-80]",0,0,0
"122","bearmountain","bm18","prefire","2019","[20-40]",5,50,123.5525
"123","bearmountain","bm18","prefire","2019","[<20]",1,10,24.7105
"124","bearmountain","bm18","prefire","2019","[40-60]",1,10,24.7105
"125","bearmountain","bm18","prefire","2019","[>100]",0,0,0
"126","bearmountain","bm18","prefire","2019","[80-100]",0,0,0
"127","bearmountain","bm19","postfire","2021","[60-80]",0,0,0
"128","bearmountain","bm19","postfire","2021","[20-40]",0,0,0
"129","bearmountain","bm19","postfire","2021","[<20]",0,0,0
"130","bearmountain","bm19","postfire","2021","[40-60]",1,10,24.7105
"131","bearmountain","bm19","postfire","2021","[>100]",0,0,0
"132","bearmountain","bm19","postfire","2021","[80-100]",0,0,0
"133","bearmountain","bm19","prefire","2019","[60-80]",0,0,0
"134","bearmountain","bm19","prefire","2019","[20-40]",1,10,24.7105
"135","bearmountain","bm19","prefire","2019","[<20]",0,0,0
"136","bearmountain","bm19","prefire","2019","[40-60]",1,10,24.7105
"137","bearmountain","bm19","prefire","2019","[>100]",0,0,0
"138","bearmountain","bm19","prefire","2019","[80-100]",0,0,0
"139","bearmountain","bm2","postfire","2021","[60-80]",0,0,0
"140","bearmountain","bm2","postfire","2021","[20-40]",1,10,24.7105
"141","bearmountain","bm2","postfire","2021","[<20]",0,0,0
"142","bearmountain","bm2","postfire","2021","[40-60]",0,0,0
"143","bearmountain","bm2","postfire","2021","[>100]",0,0,0
"144","bearmountain","bm2","postfire","2021","[80-100]",0,0,0
"145","bearmountain","bm2","prefire","2019","[60-80]",0,0,0
"146","bearmountain","bm2","prefire","2019","[20-40]",1,10,24.7105
"147","bearmountain","bm2","prefire","2019","[<20]",0,0,0
"148","bearmountain","bm2","prefire","2019","[40-60]",0,0,0
"149","bearmountain","bm2","prefire","2019","[>100]",0,0,0
"150","bearmountain","bm2","prefire","2019","[80-100]",1,10,24.7105
"151","bearmountain","bm21","postfire","2021","[60-80]",0,0,0
"152","bearmountain","bm21","postfire","2021","[20-40]",5,50,123.5525
"153","bearmountain","bm21","postfire","2021","[<20]",1,10,24.7105
"154","bearmountain","bm21","postfire","2021","[40-60]",0,0,0
"155","bearmountain","bm21","postfire","2021","[>100]",0,0,0
"156","bearmountain","bm21","postfire","2021","[80-100]",0,0,0
"157","bearmountain","bm21","prefire","2019","[60-80]",0,0,0
"158","bearmountain","bm21","prefire","2019","[20-40]",2,20,49.421
"159","bearmountain","bm21","prefire","2019","[<20]",2,20,49.421
"160","bearmountain","bm21","prefire","2019","[40-60]",0,0,0
"161","bearmountain","bm21","prefire","2019","[>100]",0,0,0
"162","bearmountain","bm21","prefire","2019","[80-100]",0,0,0
"163","bearmountain","bm22","postfire","2021","[60-80]",0,0,0
"164","bearmountain","bm22","postfire","2021","[20-40]",0,0,0
"165","bearmountain","bm22","postfire","2021","[<20]",4,40,98.842
"166","bearmountain","bm22","postfire","2021","[40-60]",2,20,49.421
"167","bearmountain","bm22","postfire","2021","[>100]",0,0,0
"168","bearmountain","bm22","postfire","2021","[80-100]",0,0,0
"169","bearmountain","bm22","prefire","2019","[60-80]",0,0,0
"170","bearmountain","bm22","prefire","2019","[20-40]",5,50,123.5525
"171","bearmountain","bm22","prefire","2019","[<20]",8,80,197.684
"172","bearmountain","bm22","prefire","2019","[40-60]",1,10,24.7105
"173","bearmountain","bm22","prefire","2019","[>100]",0,0,0
"174","bearmountain","bm22","prefire","2019","[80-100]",0,0,0
"175","bearmountain","bm24","postfire","2021","[60-80]",0,0,0
"176","bearmountain","bm24","postfire","2021","[20-40]",3,30,74.1315
"177","bearmountain","bm24","postfire","2021","[<20]",0,0,0
"178","bearmountain","bm24","postfire","2021","[40-60]",1,10,24.7105
"179","bearmountain","bm24","postfire","2021","[>100]",0,0,0
"180","bearmountain","bm24","postfire","2021","[80-100]",0,0,0
"181","bearmountain","bm24","prefire","2019","[60-80]",0,0,0
"182","bearmountain","bm24","prefire","2019","[20-40]",3,30,74.1315
"183","bearmountain","bm24","prefire","2019","[<20]",0,0,0
"184","bearmountain","bm24","prefire","2019","[40-60]",0,0,0
