"","site","plotid","pre_post_fire","year","diamclass","n_trees_diamclass","n_trees_diamclass_acre","n_trees_diamclass_ha"
"1","antelope","antelope01","prefire","2020","[<20]",4,40,98.842
"2","antelope","antelope01","prefire","2020","[20-40]",18,180,444.789
"3","antelope","antelope01","prefire","2020","[40-60]",0,0,0
"4","antelope","antelope01","prefire","2020","[>100]",0,0,0
"5","antelope","antelope01","prefire","2020","[60-80]",0,0,0
"6","antelope","antelope01","prefire","2020","[80-100]",0,0,0
"7","antelope","antelope02","prefire","2020","[<20]",1,10,24.7105
"8","antelope","antelope02","prefire","2020","[20-40]",8,80,197.684
"9","antelope","antelope02","prefire","2020","[40-60]",3,30,74.1315
"10","antelope","antelope02","prefire","2020","[>100]",0,0,0
"11","antelope","antelope02","prefire","2020","[60-80]",0,0,0
"12","antelope","antelope02","prefire","2020","[80-100]",0,0,0
"13","antelope","antelope03","prefire","2020","[<20]",0,0,0
"14","antelope","antelope03","prefire","2020","[20-40]",2,20,49.421
"15","antelope","antelope03","prefire","2020","[40-60]",1,10,24.7105
"16","antelope","antelope03","prefire","2020","[>100]",0,0,0
"17","antelope","antelope03","prefire","2020","[60-80]",0,0,0
"18","antelope","antelope03","prefire","2020","[80-100]",0,0,0
"19","antelope","antelope04","prefire","2020","[<20]",9,90,222.3945
"20","antelope","antelope04","prefire","2020","[20-40]",3,30,74.1315
"21","antelope","antelope04","prefire","2020","[40-60]",0,0,0
"22","antelope","antelope04","prefire","2020","[>100]",0,0,0
"23","antelope","antelope04","prefire","2020","[60-80]",0,0,0
"24","antelope","antelope04","prefire","2020","[80-100]",0,0,0
"25","antelope","antelope05","prefire","2020","[<20]",1,10,24.7105
"26","antelope","antelope05","prefire","2020","[20-40]",0,0,0
"27","antelope","antelope05","prefire","2020","[40-60]",2,20,49.421
"28","antelope","antelope05","prefire","2020","[>100]",0,0,0
"29","antelope","antelope05","prefire","2020","[60-80]",0,0,0
"30","antelope","antelope05","prefire","2020","[80-100]",0,0,0
"31","antelope","antelope06","prefire","2020","[<20]",0,0,0
"32","antelope","antelope06","prefire","2020","[20-40]",1,10,24.7105
"33","antelope","antelope06","prefire","2020","[40-60]",0,0,0
"34","antelope","antelope06","prefire","2020","[>100]",0,0,0
"35","antelope","antelope06","prefire","2020","[60-80]",0,0,0
"36","antelope","antelope06","prefire","2020","[80-100]",0,0,0
"37","antelope","antelope07","prefire","2020","[<20]",10,100,247.105
"38","antelope","antelope07","prefire","2020","[20-40]",4,40,98.842
"39","antelope","antelope07","prefire","2020","[40-60]",0,0,0
"40","antelope","antelope07","prefire","2020","[>100]",0,0,0
"41","antelope","antelope07","prefire","2020","[60-80]",0,0,0
"42","antelope","antelope07","prefire","2020","[80-100]",0,0,0
"43","antelope","antelope08","prefire","2020","[<20]",0,0,0
"44","antelope","antelope08","prefire","2020","[20-40]",1,10,24.7105
"45","antelope","antelope08","prefire","2020","[40-60]",5,50,123.5525
"46","antelope","antelope08","prefire","2020","[>100]",0,0,0
"47","antelope","antelope08","prefire","2020","[60-80]",0,0,0
"48","antelope","antelope08","prefire","2020","[80-100]",0,0,0
"49","antelope","antelope09","prefire","2020","[<20]",8,80,197.684
"50","antelope","antelope09","prefire","2020","[20-40]",7,70,172.9735
"51","antelope","antelope09","prefire","2020","[40-60]",2,20,49.421
"52","antelope","antelope09","prefire","2020","[>100]",0,0,0
"53","antelope","antelope09","prefire","2020","[60-80]",0,0,0
"54","antelope","antelope09","prefire","2020","[80-100]",0,0,0
"55","antelope","antelope10","prefire","2020","[<20]",1,10,24.7105
"56","antelope","antelope10","prefire","2020","[20-40]",0,0,0
"57","antelope","antelope10","prefire","2020","[40-60]",0,0,0
"58","antelope","antelope10","prefire","2020","[>100]",1,10,24.7105
"59","antelope","antelope10","prefire","2020","[60-80]",0,0,0
"60","antelope","antelope10","prefire","2020","[80-100]",0,0,0
"61","antelope","antelope11","prefire","2020","[<20]",0,0,0
"62","antelope","antelope11","prefire","2020","[20-40]",5,50,123.5525
"63","antelope","antelope11","prefire","2020","[40-60]",3,30,74.1315
"64","antelope","antelope11","prefire","2020","[>100]",0,0,0
"65","antelope","antelope11","prefire","2020","[60-80]",1,10,24.7105
"66","antelope","antelope11","prefire","2020","[80-100]",0,0,0
"67","antelope","antelope12","prefire","2020","[<20]",0,0,0
"68","antelope","antelope12","prefire","2020","[20-40]",23,230,568.3415
"69","antelope","antelope12","prefire","2020","[40-60]",0,0,0
"70","antelope","antelope12","prefire","2020","[>100]",0,0,0
"71","antelope","antelope12","prefire","2020","[60-80]",0,0,0
"72","antelope","antelope12","prefire","2020","[80-100]",0,0,0
"73","antelope","antelope13","prefire","2020","[<20]",0,0,0
"74","antelope","antelope13","prefire","2020","[20-40]",1,10,24.7105
"75","antelope","antelope13","prefire","2020","[40-60]",4,40,98.842
"76","antelope","antelope13","prefire","2020","[>100]",0,0,0
"77","antelope","antelope13","prefire","2020","[60-80]",0,0,0
"78","antelope","antelope13","prefire","2020","[80-100]",0,0,0
"79","antelope","antelope14","prefire","2020","[<20]",0,0,0
"80","antelope","antelope14","prefire","2020","[20-40]",1,10,24.7105
"81","antelope","antelope14","prefire","2020","[40-60]",1,10,24.7105
"82","antelope","antelope14","prefire","2020","[>100]",0,0,0
"83","antelope","antelope14","prefire","2020","[60-80]",1,10,24.7105
"84","antelope","antelope14","prefire","2020","[80-100]",0,0,0
"85","antelope","antelope15","prefire","2020","[<20]",0,0,0
"86","antelope","antelope15","prefire","2020","[20-40]",1,10,24.7105
"87","antelope","antelope15","prefire","2020","[40-60]",0,0,0
"88","antelope","antelope15","prefire","2020","[>100]",0,0,0
"89","antelope","antelope15","prefire","2020","[60-80]",1,10,24.7105
"90","antelope","antelope15","prefire","2020","[80-100]",1,10,24.7105
"91","antelope","antelope16","prefire","2020","[<20]",0,0,0
"92","antelope","antelope16","prefire","2020","[20-40]",3,30,74.1315
"93","antelope","antelope16","prefire","2020","[40-60]",0,0,0
"94","antelope","antelope16","prefire","2020","[>100]",0,0,0
"95","antelope","antelope16","prefire","2020","[60-80]",0,0,0
"96","antelope","antelope16","prefire","2020","[80-100]",0,0,0
"97","antelope","antelope17","prefire","2020","[<20]",0,0,0
"98","antelope","antelope17","prefire","2020","[20-40]",0,0,0
"99","antelope","antelope17","prefire","2020","[40-60]",1,10,24.7105
"100","antelope","antelope17","prefire","2020","[>100]",0,0,0
"101","antelope","antelope17","prefire","2020","[60-80]",0,0,0
"102","antelope","antelope17","prefire","2020","[80-100]",0,0,0
"103","antelope","antelope18","prefire","2020","[<20]",0,0,0
"104","antelope","antelope18","prefire","2020","[20-40]",1,10,24.7105
"105","antelope","antelope18","prefire","2020","[40-60]",1,10,24.7105
"106","antelope","antelope18","prefire","2020","[>100]",0,0,0
"107","antelope","antelope18","prefire","2020","[60-80]",0,0,0
"108","antelope","antelope18","prefire","2020","[80-100]",0,0,0
"109","antelope","antelope19","prefire","2020","[<20]",0,0,0
"110","antelope","antelope19","prefire","2020","[20-40]",3,30,74.1315
"111","antelope","antelope19","prefire","2020","[40-60]",0,0,0
"112","antelope","antelope19","prefire","2020","[>100]",0,0,0
"113","antelope","antelope19","prefire","2020","[60-80]",1,10,24.7105
"114","antelope","antelope19","prefire","2020","[80-100]",0,0,0
"115","bearmountain","bm1","postfire","2021","[<20]",0,0,0
"116","bearmountain","bm1","postfire","2021","[20-40]",3,30,74.1315
"117","bearmountain","bm1","postfire","2021","[40-60]",3,30,74.1315
"118","bearmountain","bm1","postfire","2021","[>100]",0,0,0
"119","bearmountain","bm1","postfire","2021","[60-80]",0,0,0
"120","bearmountain","bm1","postfire","2021","[80-100]",0,0,0
"121","bearmountain","bm1","prefire","2019","[<20]",0,0,0
"122","bearmountain","bm1","prefire","2019","[20-40]",4,40,98.842
"123","bearmountain","bm1","prefire","2019","[40-60]",2,20,49.421
"124","bearmountain","bm1","prefire","2019","[>100]",0,0,0
"125","bearmountain","bm1","prefire","2019","[60-80]",0,0,0
"126","bearmountain","bm1","prefire","2019","[80-100]",0,0,0
"127","bearmountain","bm10","postfire","2021","[<20]",0,0,0
"128","bearmountain","bm10","postfire","2021","[20-40]",3,30,74.1315
"129","bearmountain","bm10","postfire","2021","[40-60]",3,30,74.1315
"130","bearmountain","bm10","postfire","2021","[>100]",0,0,0
"131","bearmountain","bm10","postfire","2021","[60-80]",1,10,24.7105
"132","bearmountain","bm10","postfire","2021","[80-100]",0,0,0
"133","bearmountain","bm10","prefire","2019","[<20]",0,0,0
"134","bearmountain","bm10","prefire","2019","[20-40]",3,30,74.1315
"135","bearmountain","bm10","prefire","2019","[40-60]",3,30,74.1315
"136","bearmountain","bm10","prefire","2019","[>100]",0,0,0
"137","bearmountain","bm10","prefire","2019","[60-80]",1,10,24.7105
"138","bearmountain","bm10","prefire","2019","[80-100]",0,0,0
"139","bearmountain","bm11","postfire","2021","[<20]",1,10,24.7105
"140","bearmountain","bm11","postfire","2021","[20-40]",2,20,49.421
"141","bearmountain","bm11","postfire","2021","[40-60]",0,0,0
"142","bearmountain","bm11","postfire","2021","[>100]",0,0,0
"143","bearmountain","bm11","postfire","2021","[60-80]",0,0,0
"144","bearmountain","bm11","postfire","2021","[80-100]",0,0,0
"145","bearmountain","bm11","prefire","2019","[<20]",2,20,49.421
"146","bearmountain","bm11","prefire","2019","[20-40]",1,10,24.7105
"147","bearmountain","bm11","prefire","2019","[40-60]",0,0,0
"148","bearmountain","bm11","prefire","2019","[>100]",0,0,0
"149","bearmountain","bm11","prefire","2019","[60-80]",0,0,0
"150","bearmountain","bm11","prefire","2019","[80-100]",0,0,0
"151","bearmountain","bm12","postfire","2021","[<20]",0,0,0
"152","bearmountain","bm12","postfire","2021","[20-40]",0,0,0
"153","bearmountain","bm12","postfire","2021","[40-60]",0,0,0
"154","bearmountain","bm12","postfire","2021","[>100]",1,10,24.7105
"155","bearmountain","bm12","postfire","2021","[60-80]",0,0,0
"156","bearmountain","bm12","postfire","2021","[80-100]",1,10,24.7105
"157","bearmountain","bm12","prefire","2019","[<20]",0,0,0
"158","bearmountain","bm12","prefire","2019","[20-40]",0,0,0
"159","bearmountain","bm12","prefire","2019","[40-60]",0,0,0
