project,site,plot_id,year,pre_post_fire,postTime,azimuth,intersect_cm,species,large_cm,small_cm,distance_m,length_m,decay,FieldNotes
CPFMP,modoc,MOD029,2021,prefire,,N,8.8,,NA,NA,,0.8,3,
CPFMP,modoc,MOD029,2021,prefire,,W,12.8,,NA,NA,,8,2,
CPFMP,modoc,MOD030,2021,prefire,,N,na,,NA,NA,,na,na,nocwd
CPFMP,modoc,MOD031,2021,prefire,,N,8,,NA,NA,,3,3,
CPFMP,modoc,MOD031,2021,prefire,,S,17.5,,NA,NA,,27,3,
CPFMP,modoc,MOD031,2021,prefire,,W,9,,NA,NA,,0.7,3,
CPFMP,modoc,MOD031,2021,prefire,,W,12,,NA,NA,,0.7,3,
CPFMP,modoc,MOD031,2021,prefire,,W,8,,NA,NA,,0.1,3,
CPFMP,modoc,MOD033,2021,prefire,,N,na,,NA,NA,,na,na,nocwd
CPFMP,modoc,MOD036,2021,prefire,,N,15,,NA,NA,,14.5,1,
CPFMP,modoc,MOD036,2021,prefire,,E,9.5,,NA,NA,,5,2,
CPFMP,modoc,MOD036,2021,prefire,,S,16,,NA,NA,,14.5,1,
CPFMP,modoc,MOD036,2021,prefire,,S,75,,NA,NA,,10,5,
CPFMP,modoc,MOD036,2021,prefire,,W,32,,NA,NA,,7,2,
CPFMP,modoc,MOD036,2021,prefire,,W,13,,NA,NA,,7,2,
CPFMP,modoc,MOD036,2021,prefire,,W,11,,NA,NA,,8.5,1,
CPFMP,modoc,MOD037,2021,prefire,,E,3,,NA,NA,,1,3,
CPFMP,modoc,MOD038,2021,prefire,,N,na,,NA,NA,,na,na,nocwd
CPFMP,modoc,MOD040,2021,prefire,,S,30,,NA,NA,,15,4,
CPFMP,modoc,MOD040,2021,prefire,,W,30,,NA,NA,,15,4,
CPFMP,modoc,MOD041,2021,prefire,,N,75,,NA,NA,,33,5,
CPFMP,modoc,MOD041,2021,prefire,,W,19,,NA,NA,,15,2,
CPFMP,modoc,MOD041,2021,prefire,,W,17,,NA,NA,,1,2,
CPFMP,modoc,MOD042,2021,prefire,,N,13.5,,NA,NA,,1.5,3,
CPFMP,modoc,MOD043,2021,prefire,,N,70,,NA,NA,,18,3,
CPFMP,modoc,MOD046,2021,prefire,,S,13.3,,NA,NA,,1.3,2,
CPFMP,modoc,MOD046,2021,prefire,,S,12,,NA,NA,,11,2,
CPFMP,modoc,MOD046,2021,prefire,,S,9.3,,NA,NA,,9.5,1,
CPFMP,modoc,MOD046,2021,prefire,,E,10,,NA,NA,,7,2,
CPFMP,modoc,MOD046,2021,prefire,,E,33,,NA,NA,,10,3,
CPFMP,modoc,MOD046,2021,prefire,,N,27,,NA,NA,,15,2,
CPFMP,modoc,MOD047,2021,prefire,,W,12,,NA,NA,,8,3,
CPFMP,BearMountain,BM10,2019,postfire,immediate,0,10,,7,6,,0.7,4,
CPFMP,BearMountain,BM10,2019,postfire,immediate,270,20,,21,8,,4.82,2,
CPFMP,BearMountain,BM10,2019,postfire,immediate,270,29,,37,21,,7,1,
CPFMP,BearMountain,BM11,2019,postfire,immediate,0,24,,15,9,,1.4,2,
CPFMP,BearMountain,BM11,2019,postfire,immediate,270,14.5,,17.9,0.6,,5.55,1,
CPFMP,BearMountain,BM12,2019,postfire,immediate,180,30,,28,22,,12.7,2,
CPFMP,BearMountain,BM12,2019,postfire,immediate,180,25,,24,12,,10.7,1,
CPFMP,BearMountain,BM12,2019,postfire,immediate,90,13,,13,6,,1,3,
CPFMP,BearMountain,BM12,2019,postfire,immediate,270,20,,23,20,,4.7,3,
CPFMP,BearMountain,BM12,2019,postfire,immediate,270,20,,20,9,,8.29,3,
