site,plotid,year,pre_post_fire,postTime,azimuth,intersect_cm,large_cm,small_cm,length_m,decay,FieldNotes,project,species,slope
Antelope,Antelope01,2020,prefire,"",na,na,na,na,na,na,"",CPFMP,,
Antelope,Antelope02,2020,prefire,"",0,59,90,9.5,19.8,5,"",CPFMP,,
Antelope,Antelope03,2020,prefire,"",0,20.7,30,12.3,1.2,3,"",CPFMP,,
Antelope,Antelope04,2020,prefire,"",na,na,na,na,na,na,"",CPFMP,,
Antelope,Antelope05,2020,prefire,"",0,17.3,32,11.8,7.3,3,"",CPFMP,,
Antelope,Antelope06,2020,prefire,"",0,25,29.5,2.5,6.2,2,"",CPFMP,,
Antelope,Antelope07,2020,prefire,"",na,na,na,na,na,na,"",CPFMP,,
Antelope,Antelope08,2020,prefire,"",na,na,na,na,na,na,"",CPFMP,,
Antelope,Antelope09,2020,prefire,"",na,na,na,na,na,na,"",CPFMP,,
Antelope,Antelope10,2020,prefire,"",0,49,50,1,1.2,4,"",CPFMP,,
Antelope,Antelope10,2020,prefire,"",180,35,33,28,53,4,"",CPFMP,,
Antelope,Antelope11,2020,prefire,"",na,na,na,na,na,na,"",CPFMP,,
Antelope,Antelope12,2020,prefire,"",270,19,24.5,16.5,28,2,"",CPFMP,,
Antelope,Antelope13,2020,prefire,"",180,18.5,27.7,15,4.2,3,"",CPFMP,,
Antelope,Antelope14,2020,prefire,"",270,21.5,35.5,17.5,5.6,2,"",CPFMP,,
Antelope,Antelope14,2020,prefire,"",90,40.5,105,11,18,5,"",CPFMP,,
Antelope,Antelope15,2020,prefire,"",na,na,na,na,na,na,"",CPFMP,,
Antelope,Antelope16,2020,prefire,"",90,32.5,37,2,6.5,1,"",CPFMP,,
Antelope,Antelope17,2020,prefire,"",na,na,na,na,na,na,"",CPFMP,,
Antelope,Antelope18,2020,prefire,"",0,22.5,14,13.5,2,3,"",CPFMP,,
Antelope,Antelope18,2020,prefire,"",0,24.5,26.5,23,2,3,"",CPFMP,,
Antelope,Antelope18,2020,prefire,"",270,26,90,16,17.1,4,"",CPFMP,,
Antelope,Antelope18,2020,prefire,"",90,26,35,10.5,15.2,4,"",CPFMP,,
Antelope,Antelope18,2020,prefire,"",90,30,20.5,16.5,1.9,3,"",CPFMP,,
Antelope,Antelope19,2020,prefire,"",180,18.5,30,18,4.5,2,"",CPFMP,,
bearmountain,BM1,2019,prefire,"",0,11,14,11,1.4,3,"",CPFMP,,
bearmountain,BM10,2019,postfire,immediate,0,10,7,6,0.7,4,"",CPFMP,,
bearmountain,BM10,2019,postfire,immediate,270,20,21,8,4.82,2,"",CPFMP,,
bearmountain,BM10,2019,postfire,immediate,270,29,37,21,7,1,"",CPFMP,,
bearmountain,BM10,2019,prefire,"",0,10.5,10.5,6,0.75,3,"",CPFMP,,
bearmountain,BM10,2019,prefire,"",180,14,16,14,1,2,"",CPFMP,,
bearmountain,BM10,2019,prefire,"",90,18,18,3,5,2,"",CPFMP,,
bearmountain,BM10,2019,prefire,"",90,26,33,20,6,2,"",CPFMP,,
bearmountain,BM11,2019,postfire,immediate,0,24,15,9,1.4,2,"",CPFMP,,
bearmountain,BM11,2019,postfire,immediate,270,14.5,17.9,0.6,5.55,1,"",CPFMP,,
bearmountain,BM11,2019,prefire,"",0,13,15,12,1.5,3,"",CPFMP,,
bearmountain,BM12,2019,postfire,immediate,180,25,24,12,10.7,1,"",CPFMP,,
bearmountain,BM12,2019,postfire,immediate,180,30,28,22,12.7,2,"",CPFMP,,
bearmountain,BM12,2019,postfire,immediate,270,20,20,9,8.29,3,"",CPFMP,,
bearmountain,BM12,2019,postfire,immediate,270,20,23,20,4.7,3,"",CPFMP,,
bearmountain,BM12,2019,postfire,immediate,90,13,13,6,1,3,"",CPFMP,,
bearmountain,BM12,2019,prefire,"",0,20,23,12,9,2,"",CPFMP,,
bearmountain,BM12,2019,prefire,"",0,78,65,46,10,2,"",CPFMP,,
bearmountain,BM12,2019,prefire,"",180,27,35,10,20,2,"",CPFMP,,
bearmountain,BM12,2019,prefire,"",180,34,92,25,18,2,"",CPFMP,,
bearmountain,BM12,2019,prefire,"",270,17,20,17,7,2,"",CPFMP,,
bearmountain,BM12,2019,prefire,"",270,55,65,46,10,3,"",CPFMP,,
bearmountain,BM12,2019,prefire,"",90,16,20,10,0.38,4,"",CPFMP,,
bearmountain,BM13,2019,postfire,immediate,180,40,29,3,18.5,3,"",CPFMP,,
bearmountain,BM13,2019,postfire,immediate,90,18,29,3,18.5,3,"",CPFMP,,
bearmountain,BM13,2019,prefire,"",180,24,28,2.6,18.9,2,"",CPFMP,,
bearmountain,BM13,2019,prefire,"",90,17,28,2.6,18.9,2,"",CPFMP,,
bearmountain,BM14,2019,postfire,immediate,0,17,8,6,1,5,"",CPFMP,,
bearmountain,BM14,2019,postfire,immediate,0,20,35,2.5,8.8,1,one tree,CPFMP,,
bearmountain,BM14,2019,postfire,immediate,0,23,35,14,5.9,1,one tree,CPFMP,,
bearmountain,BM14,2019,postfire,immediate,0,8,35,6.5,5,1,one tree,CPFMP,,
bearmountain,BM15,2019,postfire,immediate,90,22,10,0.5,5.55,1,"",CPFMP,,
bearmountain,BM15,2019,postfire,immediate,90,8,10.5,3.2,2.9,2,"",CPFMP,,
bearmountain,BM15,2019,prefire,"",270,11,30,11,13,2,"",CPFMP,,
bearmountain,BM16,2019,prefire,"",90,18,18,1,5.6,1,"",CPFMP,,
bearmountain,BM16,2019,prefire,"",90,42.1,42.1,1,11.2,2,"",CPFMP,,
bearmountain,BM17,2019,postfire,immediate,0,30.7,40,1.8,23,1,"",CPFMP,,
bearmountain,BM17,2019,postfire,immediate,270,32,35,13,3,1,"",CPFMP,,
bearmountain,BM17,2019,postfire,immediate,90,48,40,1.8,23,1,"",CPFMP,,
bearmountain,BM17,2019,prefire,"",0,27,45.5,2,23,1,"",CPFMP,,
bearmountain,BM17,2019,prefire,"",270,33.5,33.5,19,3,2,"",CPFMP,,
bearmountain,BM17,2019,prefire,"",90,52,45.5,2,23,1,"",CPFMP,,
bearmountain,BM17,2019,prefire,"",90,8.3,7.7,1.5,3,1,"",CPFMP,,
bearmountain,BM17,2019,prefire,"",90,9,9,2,2.3,1,"",CPFMP,,
bearmountain,BM17,2019,prefire,"",90,9.2,10.3,8,2.45,1,"",CPFMP,,
bearmountain,BM17,2019,prefire,"",90,9.2,9.2,2,2.1,1,"",CPFMP,,
bearmountain,BM17,2019,prefire,"",90,9.3,7.4,1,2.2,1,"",CPFMP,,
bearmountain,BM18,2019,postfire,immediate,180,10.1,19,5.5,11.2,2,"",CPFMP,,
bearmountain,BM18,2019,postfire,immediate,90,19,11,7,4.55,2,"",CPFMP,,
bearmountain,BM18,2019,prefire,"",180,10,17,5.5,12.6,2,"",CPFMP,,
bearmountain,BM18,2019,prefire,"",90,18,20,10,10,2,"",CPFMP,,
bearmountain,BM18,2019,prefire,"",90,25,25,22,29,2,"",CPFMP,,
bearmountain,BM19,2019,postfire,immediate,180,36,42,12.3,12.9,2,"",CPFMP,,
bearmountain,BM19,2019,prefire,"",180,40.7,46,13,17.9,1,"",CPFMP,,
bearmountain,BM19,2019,prefire,"",270,20,25,12,11,2,"",CPFMP,,
bearmountain,BM19,2019,prefire,"",90,30,30,17,12,2,"",CPFMP,,
bearmountain,BM2,2019,prefire,"",90,13,20,10,73,3,"",CPFMP,,
bearmountain,BM20,2019,postfire,immediate,0,16,24,11,11.7,1,"",CPFMP,,
bearmountain,BM20,2019,postfire,immediate,0,27,3.5,19.9,9.7,3,"",CPFMP,,
bearmountain,BM20,2019,postfire,immediate,180,15,17.5,2,7.95,2,"",CPFMP,,
bearmountain,BM20,2019,postfire,immediate,270,20,30,15,0.43,3,"",CPFMP,,
bearmountain,BM20,2019,prefire,"",0,10,30,8,15.2,1,"",CPFMP,,
bearmountain,BM20,2019,prefire,"",0,13,13,3,6,1,"",CPFMP,,
bearmountain,BM20,2019,prefire,"",0,52.5,35,12,16,1,"",CPFMP,,
bearmountain,BM20,2019,prefire,"",180,13,13,10,0.47,4,"",CPFMP,,
bearmountain,BM20,2019,prefire,"",180,15,50,2,6.3,3,"",CPFMP,,
bearmountain,BM20,2019,prefire,"",180,8,50,6,9.5,3,"",CPFMP,,
bearmountain,BM20,2019,prefire,"",270,13,35,12,16.9,1,"",CPFMP,,
bearmountain,BM20,2019,prefire,"",270,16,20,12,5.2,2,"",CPFMP,,
bearmountain,BM20,2019,prefire,"",270,18,18,4.6,9.6,3,"",CPFMP,,
bearmountain,BM20,2019,prefire,"",270,37.4,37.5,1,13.3,1,"",CPFMP,,
bearmountain,BM21,2019,prefire,"",0,27,15,8,1.1,"","",CPFMP,,
bearmountain,BM22,2019,prefire,"",270,12,12,11,2.75,3,"",CPFMP,,
bearmountain,BM22,2019,prefire,"",90,10,45,16,6.3,2,"",CPFMP,,
bearmountain,BM23,2019,postfire,immediate,270,15,16,9,2.52,3,"",CPFMP,,
bearmountain,BM23,2019,prefire,"",0,16,17,13,2.3,3,"",CPFMP,,
bearmountain,BM23,2019,prefire,"",270,16,16,10.6,3.4,3,"",CPFMP,,
bearmountain,BM23,2019,prefire,"",270,27,29,22.2,8.4,3,"",CPFMP,,
bearmountain,BM23,2019,prefire,"",90,14,15.4,10.5,2.55,3,"",CPFMP,,
bearmountain,BM23,2019,prefire,"",90,17,18,15,4.7,2,"",CPFMP,,
bearmountain,BM23,2019,prefire,"",90,8.3,46,2.7,13.2,3,"",CPFMP,,
bearmountain,BM24,2019,postfire,immediate,0,9.5,17,7,3.6,2,"",CPFMP,,
bearmountain,BM24,2019,prefire,"",180,10,22,5,3.6,2,"",CPFMP,,
bearmountain,BM24,2019,prefire,"",180,12,15,12,5,1,"",CPFMP,,
bearmountain,BM24,2019,prefire,"",180,9,15,5,6,1,"",CPFMP,,
bearmountain,BM25,2019,postfire,immediate,180,40,43.8,35,5.75,3,"",CPFMP,,
bearmountain,BM25,2019,postfire,immediate,270,30,40,29,1.1,3,"",CPFMP,,
bearmountain,BM25,2019,postfire,immediate,270,40,28.5,5,28.6,2,"",CPFMP,,
bearmountain,BM25,2019,prefire,"",180,50,52,7,28,2,"",CPFMP,,
bearmountain,BM25,2019,prefire,"",270,10,10,10,1,2,"",CPFMP,,
bearmountain,BM25,2019,prefire,"",270,13,14,13,2.25,2,"",CPFMP,,
bearmountain,BM25,2019,prefire,"",270,37,52,7,28,2,"",CPFMP,,
bearmountain,BM25,2019,prefire,"",270,38.6,46,1,27,1,"",CPFMP,,
bearmountain,BM26,2019,postfire,immediate,0,9,9,5,1.4,2,"",CPFMP,,
bearmountain,BM26,2019,postfire,immediate,270,8.5,8,5,2.2,2,"",CPFMP,,
bearmountain,BM26,2019,postfire,immediate,90,10.5,11,7,2.1,3,"",CPFMP,,
bearmountain,BM26,2019,prefire,"",0,33,38,34,10.7,3,"",CPFMP,,
bearmountain,BM26,2019,prefire,"",270,8,10,3,2,1,"",CPFMP,,
bearmountain,BM26,2019,prefire,"",90,10,8,3,4.2,3,"",CPFMP,,
bearmountain,BM26,2019,prefire,"",90,9.5,20,1,8,2,"",CPFMP,,
bearmountain,BM27,2019,postfire,immediate,0,16,14.4,6.2,8.4,3,"",CPFMP,,
bearmountain,BM27,2019,postfire,immediate,0,17.3,17.3,5,9.95,3,"",CPFMP,,
bearmountain,BM27,2019,postfire,immediate,180,18,19,6.5,6.3,2,"",CPFMP,,
bearmountain,BM27,2019,postfire,immediate,180,8,8,8,0.38,2,"",CPFMP,,
bearmountain,BM27,2019,postfire,immediate,270,13,13,10,0.95,3,"",CPFMP,,
bearmountain,BM27,2019,postfire,immediate,270,20,14.4,6.2,8.4,3,"",CPFMP,,
bearmountain,BM27,2019,postfire,immediate,90,10,20,11,1.2,4,"",CPFMP,,
bearmountain,BM27,2019,prefire,"",0,14,49,6,8,3,"",CPFMP,,
bearmountain,BM27,2019,prefire,"",0,17,49,5,12,3,"",CPFMP,,
bearmountain,BM27,2019,prefire,"",180,18,19,8,7.2,2,"",CPFMP,,
bearmountain,BM27,2019,prefire,"",180,19,44,19,15,2,"",CPFMP,,
