"","site_plotid_time_azimuth","sum_d2_1000r_cm2","sum_d2_1000s_cm2"
"1","Antelope_Antelope02_2020_prefire_NA_0",3481,0
"2","Antelope_Antelope03_2020_prefire_NA_0",0,428.49
"3","Antelope_Antelope05_2020_prefire_NA_0",0,299.29
"4","Antelope_Antelope06_2020_prefire_NA_0",0,625
"5","Antelope_Antelope10_2020_prefire_NA_0",2401,0
"6","Antelope_Antelope10_2020_prefire_NA_180",1225,0
"7","Antelope_Antelope12_2020_prefire_NA_270",0,361
"8","Antelope_Antelope13_2020_prefire_NA_180",0,342.25
"9","Antelope_Antelope14_2020_prefire_NA_270",0,462.25
"10","Antelope_Antelope14_2020_prefire_NA_90",1640.25,0
"11","Antelope_Antelope16_2020_prefire_NA_90",0,1056.25
"12","Antelope_Antelope18_2020_prefire_NA_0",0,1106.5
"13","Antelope_Antelope18_2020_prefire_NA_270",676,0
"14","Antelope_Antelope18_2020_prefire_NA_90",676,900
"15","Antelope_Antelope19_2020_prefire_NA_180",0,342.25
"16","BearMountain_BM1_2019_prefire_NA_0",0,121
"17","BearMountain_BM10_2019_postfire_immediate_0",100,0
"18","BearMountain_BM10_2019_postfire_immediate_270",0,1241
"19","BearMountain_BM10_2019_prefire_NA_0",0,110.25
"20","BearMountain_BM10_2019_prefire_NA_180",0,196
"21","BearMountain_BM10_2019_prefire_NA_90",0,1000
"22","BearMountain_BM10_2021_postfire_2yr_270",0,697
"23","BearMountain_BM11_2019_postfire_immediate_0",0,576
"24","BearMountain_BM11_2019_postfire_immediate_270",0,210.25
"25","BearMountain_BM11_2019_prefire_NA_0",0,169
"26","BearMountain_BM11_2021_postfire_2yr_0",0,144
"27","BearMountain_BM11_2021_postfire_2yr_270",0,196
"28","BearMountain_BM12_2019_postfire_immediate_180",0,1525
"29","BearMountain_BM12_2019_postfire_immediate_270",0,800
"30","BearMountain_BM12_2019_postfire_immediate_90",0,169
"31","BearMountain_BM12_2019_prefire_NA_0",0,6484
"32","BearMountain_BM12_2019_prefire_NA_180",0,1885
"33","BearMountain_BM12_2019_prefire_NA_270",0,3314
"34","BearMountain_BM12_2019_prefire_NA_90",256,0
"35","BearMountain_BM12_2021_postfire_2yr_180",0,625.81
"36","BearMountain_BM12_2021_postfire_2yr_270",0,225
"37","BearMountain_BM13_2019_postfire_immediate_180",0,1600
"38","BearMountain_BM13_2019_postfire_immediate_90",0,324
"39","BearMountain_BM13_2019_prefire_NA_180",0,576
"40","BearMountain_BM13_2019_prefire_NA_90",0,289
"41","BearMountain_BM13_2021_postfire_2yr_0",0,702.25
"42","BearMountain_BM13_2021_postfire_2yr_180",0,462.25
"43","BearMountain_BM13_2021_postfire_2yr_270",0,784
"44","BearMountain_BM13_2021_postfire_2yr_90",0,529
"45","BearMountain_BM14_2019_postfire_immediate_0",289,993
"46","BearMountain_BM14_2021_postfire_2yr_0",0,1634
"47","BearMountain_BM15_2019_postfire_immediate_90",0,548
"48","BearMountain_BM15_2019_prefire_NA_270",0,121
"49","BearMountain_BM15_2021_postfire_2yr_0",0,72.25
"50","BearMountain_BM16_2019_prefire_NA_90",0,2096.41
"51","BearMountain_BM16_2021_postfire_2yr_0",0,400
"52","BearMountain_BM16_2021_postfire_2yr_270",0,737.25
"53","BearMountain_BM17_2019_postfire_immediate_0",0,942.49
"54","BearMountain_BM17_2019_postfire_immediate_270",0,1024
"55","BearMountain_BM17_2019_postfire_immediate_90",0,2304
"56","BearMountain_BM17_2019_prefire_NA_0",0,729
"57","BearMountain_BM17_2019_prefire_NA_270",0,1122.25
"58","BearMountain_BM17_2019_prefire_NA_90",0,3109.66
"59","BearMountain_BM17_2021_postfire_2yr_0",0,900
"60","BearMountain_BM17_2021_postfire_2yr_90",0,2025
"61","BearMountain_BM18_2019_postfire_immediate_180",0,102.01
"62","BearMountain_BM18_2019_postfire_immediate_90",0,361
"63","BearMountain_BM18_2019_prefire_NA_180",0,100
"64","BearMountain_BM18_2019_prefire_NA_90",0,949
"65","BearMountain_BM18_2021_postfire_2yr_180",0,403.33
"66","BearMountain_BM19_2019_postfire_immediate_180",0,1296
"67","BearMountain_BM19_2019_prefire_NA_180",0,1656.49
"68","BearMountain_BM19_2019_prefire_NA_270",0,400
"69","BearMountain_BM19_2019_prefire_NA_90",0,900
"70","BearMountain_BM19_2021_postfire_2yr_180",0,1936
"71","BearMountain_BM2_2019_prefire_NA_90",0,169
"72","BearMountain_BM20_2019_postfire_immediate_0",0,985
"73","BearMountain_BM20_2019_postfire_immediate_180",0,225
"74","BearMountain_BM20_2019_postfire_immediate_270",0,400
"75","BearMountain_BM20_2019_prefire_NA_0",0,3025.25
"76","BearMountain_BM20_2019_prefire_NA_180",169,289
"77","BearMountain_BM20_2019_prefire_NA_270",0,2147.76
"78","BearMountain_BM20_2021_postfire_2yr_0",0,732.5
"79","BearMountain_BM20_2021_postfire_2yr_180",0,400
"80","BearMountain_BM21_2021_postfire_2yr_180",0,324
"81","BearMountain_BM22_2019_prefire_NA_270",0,144
"82","BearMountain_BM22_2019_prefire_NA_90",0,100
"83","BearMountain_BM22_2021_postfire_2yr_270",0,121
"84","BearMountain_BM23_2019_postfire_immediate_270",0,225
"85","BearMountain_BM23_2019_prefire_NA_0",0,256
"86","BearMountain_BM23_2019_prefire_NA_270",0,985
"87","BearMountain_BM23_2019_prefire_NA_90",0,553.89
"88","BearMountain_BM23_2021_postfire_2yr_270",0,132.25
"89","BearMountain_BM24_2019_postfire_immediate_0",0,90.25
"90","BearMountain_BM24_2019_prefire_NA_180",0,325
"91","BearMountain_BM24_2021_postfire_2yr_180",0,289
"92","BearMountain_BM25_2019_postfire_immediate_180",0,1600
"93","BearMountain_BM25_2019_postfire_immediate_270",0,2500
"94","BearMountain_BM25_2019_prefire_NA_180",0,2500
"95","BearMountain_BM25_2019_prefire_NA_270",0,3127.96
"96","BearMountain_BM25_2021_postfire_2yr_180",0,529
"97","BearMountain_BM25_2021_postfire_2yr_90",0,1482.25
"98","BearMountain_BM26_2019_postfire_immediate_0",0,81
"99","BearMountain_BM26_2019_postfire_immediate_270",0,72.25
"100","BearMountain_BM26_2019_postfire_immediate_90",0,110.25
"101","BearMountain_BM26_2019_prefire_NA_0",0,1089
"102","BearMountain_BM26_2019_prefire_NA_270",0,64
"103","BearMountain_BM26_2019_prefire_NA_90",0,190.25
"104","BearMountain_BM26_2021_postfire_2yr_0",0,886.98
"105","BearMountain_BM26_2021_postfire_2yr_180",0,77.44
"106","BearMountain_BM26_2021_postfire_2yr_90",0,90.25
"107","BearMountain_BM27_2019_postfire_immediate_0",0,555.29
"108","BearMountain_BM27_2019_postfire_immediate_180",0,388
"109","BearMountain_BM27_2019_postfire_immediate_270",0,569
"110","BearMountain_BM27_2019_postfire_immediate_90",100,0
"111","BearMountain_BM27_2019_prefire_NA_0",0,485
"112","BearMountain_BM27_2019_prefire_NA_180",0,685
"113","BearMountain_BM27_2019_prefire_NA_270",0,221
"114","BearMountain_BM27_2019_prefire_NA_90",0,868
"115","BearMountain_BM27_2021_postfire_2yr_0",0,325
"116","BearMountain_BM27_2021_postfire_2yr_180",0,400
"117","BearMountain_BM27_2021_postfire_2yr_270",0,288
"118","BearMountain_BM27_2021_postfire_2yr_90",0,156.25
"119","BearMountain_BM3_2019_postfire_immediate_0",0,850
"120","BearMountain_BM3_2019_postfire_immediate_90",0,1225
"121","BearMountain_BM3_2019_prefire_NA_0",0,961
"122","BearMountain_BM3_2019_prefire_NA_180",169,169
"123","BearMountain_BM3_2019_prefire_NA_90",0,2425
"124","BearMountain_BM3_2021_postfire_2yr_0",0,784
"125","BearMountain_BM3_2021_postfire_2yr_90",0,1421.29
"126","BearMountain_BM4_2019_prefire_NA_180",0,324
"127","BearMountain_BM5_2019_postfire_immediate_0",390,0
"128","BearMountain_BM5_2019_postfire_immediate_180",550,591.76
"129","BearMountain_BM5_2019_postfire_immediate_270",0,400
"130","BearMountain_BM5_2021_postfire_2yr_0",0,169
"131","BearMountain_BM5_2021_postfire_2yr_180",0,1054.54
"132","BearMountain_BM6_2019_postfire_immediate_270",0,144
"133","BearMountain_BM6_2019_prefire_NA_270",361,2657
"134","BearMountain_BM6_2021_postfire_2yr_270",0,182.25
"135","BearMountain_BM7_2019_prefire_NA_270",0,392.04
"136","BearMountain_BM9_2019_postfire_immediate_0",0,1444
"137","BearMountain_BM9_2019_postfire_immediate_180",0,2078
"138","BearMountain_BM9_2019_postfire_immediate_90",0,2088
"139","BearMountain_BM9_2019_prefire_NA_180",0,845
"140","BearMountain_BM9_2019_prefire_NA_90",0,2314
"141","BearMountain_BM9_2021_postfire_2yr_180",0,1274.25
"142","BearMountain_BM9_2021_postfire_2yr_90",0,3461
"143","BlissSP_bliss1_2019_prefire_NA_180",0,729
"144","BlissSP_bliss1_2019_prefire_NA_270",15625,0
"145","BlissSP_bliss1_2019_prefire_NA_90",0,1225
"146","BlissSP_bliss10_2019_prefire_NA_0",0,225
"147","BlissSP_bliss10_2019_prefire_NA_180",12665,0
"148","BlissSP_bliss10_2019_prefire_NA_270",324,225
"149","BlissSP_bliss10_2019_prefire_NA_90",1665,784
"150","BlissSP_bliss11_2019_prefire_NA_0",4489,121
"151","BlissSP_bliss11_2019_prefire_NA_180",0,1156
"152","BlissSP_bliss11_2019_prefire_NA_270",0,289
"153","BlissSP_bliss12_2019_prefire_NA_180",2045,0
"154","BlissSP_bliss13_2019_prefire_NA_0",0,121
