project,site,year,plotid,obs,pre_post_fire,pre_post_thin,postTime,burn_y/n,FireSeverity,slope_percent,aspect_degree,Horz_Shape,Ver_Shape,ExistingVeg,WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT_VEG_percent,TOT_all_percent,TOT_HT_m,DT_all_percent,DT_HT_m,TOV_percent,TOV_HT_m,TSA_percent,TSA_HT_m,TSE_percent,TSE_HT_m,TRE_percent,TRE_HT_m,TOS_percent,TOS_HT_m,DS_percent,DS_HT_m,ST_percent,ST_HT_m,SM_percent,SM_HT_m,SL_percent,SL_HT_m,TOF_percent,TOF_HT_m,TOG_percent,TOG_HT_m,BARESOIL,LITTER,BlackLitter,ASH,CWD,stumps,CONES,Boulder/Bedrock,ROCK,SMROCK,BASALVEG,CRYPTOGRAMS,RD,BURNPILE,TOT_Black_percent,PRE % SHRUB COVER,%FORB SCORCH,%GRAM SCORCH,shrub_scorch_percent,shrub_torch_percent,shrub_unburn_percent,%UNDERSTORY TORCH,%UNDERSTORY SCORCH,history,NOTES,
CPFMP,caples,2020,1,ZTC TRP HEP,postfire,,1yr,yes,3,,,LL,UN,PIJE ABCO CADE,,,,25,20,19.6,na,na,20,19.6,0,0,na,na,na,na,0,0,na,na,0,0,0,0,0,0,5,22,0.5,15,50.5,25,na,na,4,,na,na,20,na,0.5,0,0,,,,,,,,,,,,100,
CPFMP,caples,2019,1,"CM, SD",postfire,,immediate,yes,,,,LL,UN,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,
CPFMP,caples,2013,1,"CR,AP,BE",prefire,,NA,no,,8,292,LL,UN,"ABCO,CADE,PIJE",,,,35,35,4,0.5,2.4,35,4,,,0.5,0.1,,,0,0,0,0,0,0,0,0,0,0,0.5,0.4,0.5,0.3,0.5,94,,0,2,,,1,1,,0.5,0,1,0,,,,,,,,,,,TSE includes TSA and TSE (considered all understory),
CPFMP,caples,2020,2,"km, vs, pm",postfire,,1yr,yes,3,,,CC,UN,"pije, cade, pico",,,,27,23,5,2,5,23,23,0,na,tr,0.1,0,na,1,0.1,0,na,0,na,0,na,1,0.1,1,0.1,1,0.1,1,5,2,tr,tr,,tr,79.5,tr,11,1.5,tr,0,,,,,,,,,,,,both shrub species resprouters,
CPFMP,caples,2019,2,"CM, SD",postfire,,immediate,yes,,,,CC,UN,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,
CPFMP,caples,2013,2,"CR,AP,BE",prefire,,NA,no,,12,20,CC,UN,"PIJE,PICO,CADE",,,,18,15,4,0.5,3,15,4,,,0.5,1.3,,,3,0.4,0,0,0,0,3,1.3,3,0.4,0.5,0.3,0.5,0.2,0.5,36,,0,0,,,5.5,1,,0.5,0,2,0,,,,,,,,,,,TSE includes TSA and TSE (considered all understory),
CPFMP,caples,2020,3,"vs, mm",postfire,,1yr,yes,3,,,UN,UN,"pije, abco, cade",,,,34,8,8,2,8,8,16,tr,1.7,tr,0.1,0,na,tr,0.1,0,na,0,na,0,na,tr,0.1,18,0.3,8,0.1,6,11,4,tr,4,,tr,0,70,4,1,tr,0,,,,,,,,,,,,small mammal burrows,
CPFMP,caples,2019,3,"CM, AR, MP, AM",postfire,,immediate,yes,,,,UN,UN,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,
CPFMP,caples,2013,3,"CR,AP,BE",prefire,,NA,no,,8,258,UN,UN,"CADE,PIJE,QUKE",,,,4,3,9,0.5,8,3,9,,,0.5,0.4,,,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0.5,70.5,,0,1,,,5.5,1.5,,0.5,0,3,0,,,,,,,,,,,TSE includes TSA and TSE (considered all understory),
CPFMP,caples,2020,4,"ag, vs, pm, mm, km",postfire,,1yr,yes,4,,,LL,UN,"pico, abco, cade",,,,1,tr,4,65,4,0,na,0,na,tr,0.2,0,na,tr,0.1,tr,0.1,0,na,0,na,tr,0.1,tr,0.2,0,na,2,84.5,1,tr,3,,tr pico,3,5,tr,1.5,tr,0,,,,,,,,,,,,12% under water,
CPFMP,caples,2019,4,"CM, AM",postfire,,immediate,yes,,,,LL,UN,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,
CPFMP,caples,2013,4,"CR,AP,BE",prefire,,NA,no,,16,172,LL,UN,"PICO,CADE,ABCO",,,,65,65,4,0.5,4,65,4,,,0.5,0.6,,,0.5,0.1,0,0,0,0,0,0,0.5,0.1,0.5,0.1,0.5,0.3,0,93.5,,0,3,,,1,1,,0.5,0,4,0,,,,,,,,,,,TSE includes TSA and TSE (considered all understory),
CPFMP,caples,2020,5,"HEP, ZTC, TRP",postfire,,1yr,yes,2,,,LL,LL,"CADE27, ABCO, PIJE",,,,75,75,14,na,na,75,14,0.5,0.03,na,na,na,na,0,0,na,na,0,0,0,0,0,0,0.5,17,0,0,15,67,na,na,15,,na,na,0,na,2,0,0,,,,,,,,,,,,Trail crosses,
CPFMP,caples,2019,5,"KB,AM",postfire,,immediate,yes,,,,LL,LL,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,
CPFMP,caples,2013,5,"CR,AP",prefire,,NA,no,,5,190,LL,LL,"CADE,ABCO,PIJE",,,,90,90,15,0.5,8,90,15,,,0.5,1,,,0.5,0.1,0,0,0,0,0,0,0.5,0.1,0.5,0.3,0,0,0.5,97,,0,1,,,0,0,,0.5,0,5,0,,,,,,,,,,,TSE includes TSA and TSE (considered all understory),
CPFMP,caples,2020,6,"TRP, HEP, ZTC",postfire,,1yr,yes,3,,,,,"CADE, PIJE, ABCO",,,,60,55,11.5,na,na,55,11.5,1,1.3,na,na,na,na,3,0.6,na,na,2,2,1,0.6,2,0.4,2,34,3,18,3,65,na,na,1,,na,na,30,na,1,0,0,,,,,,,,,,,,100,
CPFMP,caples,2019,6,"KB,AM",postfire,,immediate,yes,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,
CPFMP,caples,2013,6,"CR,AP",prefire,,NA,no,,9,150,UN,CC,"PIJE,ABCO,CADE",,,,65,60,7,0.5,11,60,7,,,0.5,0.9,,,10,2.4,0.5,0.3,10,2.4,1,0.9,0.5,0.3,0.5,0.1,0.5,0.2,0.5,76.5,,0,0.5,,,5.5,1,,0.5,0,6,0,,,,,,,,,,,TSE includes TSA and TSE (considered all understory),
CPFMP,caples,2020,7,"TRP, HEP, ZTC",postfire,,1yr,yes,3,,,,,"CADE, ABCO, PIJE",,,,60,50,15,na,na,50,15,0.5,1.3,na,na,na,na,0.5,0.2,na,na,0,0,0,0,0.5,0.2,12,30,15,90,27.5,40,na,na,15,,na,na,15,na,2,0.5,0,,,,,,,,,,,,,
CPFMP,caples,2019,7,"CM, AM",postfire,,immediate,yes,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,
CPFMP,caples,2013,7,"CR,AP",prefire,,NA,no,,6,142,LL,UN,"POTR,CADE,PIJE",,,,60,60,13,0.5,11,60,13,,,0.5,0.3,,,0.5,0.2,0,0,0,0,0,0,0.5,0.2,0.5,0.1,1,0.3,0.5,92,,0,4,,,0.5,1,,0.5,0,7,0,,,,,,,,,,,TSE includes TSA and TSE (considered all understory),
CPFMP,caples,2020,8,"TRP, HEP, ZTC",postfire,,1yr,yes,3,,,,,"PIJE, CADE, ABCO",,,,75,75,25.1,na,na,75,25.1,0.5,0.07,na,na,na,na,0,0,na,na,0,0,0,0,0,0,0.5,2,0,0,35,53.5,na,na,10,,na,na,0.5,na,1,0,0,,,,,,,,,,,,,
CPFMP,caples,2019,8,"NH, AR",postfire,,immediate,yes,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,
