project,site,plotid,observer,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,offset_dist_direction,notes,burnpile_ht_m
CPFMP,modoc,MOD029,mv,2021,prefire,,N,0,2,2,3,11.3,15,3,0,1.5,5.6,5.1,0,3.7,4,,,,
CPFMP,modoc,MOD029,mv,2021,prefire,,S,0,2,2,3,11.3,0,0,0,0,3.6,4.4,0,4.5,4.2,,,,
CPFMP,modoc,MOD029,mv,2021,prefire,,E,0,2,2,3,11.3,2,3,3,0,3,3,0,2.2,2,,,,
CPFMP,modoc,MOD029,mv,2021,prefire,,W,0,2,2,3,11.3,28,1,0,0,5,4.2,0,0.5,1.2,,,,
CPFMP,modoc,MOD030,mv,2021,prefire,,N,0,2,2,3,11.3,30,2,0,1.1,3.6,3.3,3.7,4.8,2.6,,,,
CPFMP,modoc,MOD030,mv,2021,prefire,,S,0,2,2,3,11.3,29,0,0,0,3.7,4.2,0,2.2,2.5,,,,
CPFMP,modoc,MOD030,mv,2021,prefire,,E,0,2,2,3,11.3,1,5,2,0,3.9,2.3,0,1.8,3.5,,,,
CPFMP,modoc,MOD030,mv,2021,prefire,,W,0,2,2,3,11.3,5,0,0,0,5.4,3.9,0,3.6,4,,,,
CPFMP,modoc,MOD031,mv,2021,prefire,,N,0,2,2,3,11.3,4,0,0,0,4.9,4.3,0,2.2,4.9,,,,
CPFMP,modoc,MOD031,mv,2021,prefire,,S,0,2,2,3,11.3,28,0,1,0,2.8,2.1,0,3.9,2.6,,,,
CPFMP,modoc,MOD031,mv,2021,prefire,,E,0,2,2,3,11.3,21,0,1,0,0.5,1.1,0,2.9,2.2,,,,
CPFMP,modoc,MOD031,mv,2021,prefire,,W,0,2,2,3,11.3,17,1,2,0,2.6,3.2,1,4.3,3.2,,,,
