site,plotid,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,notes,project,observer,offset_dist_direction,burnpile_ht_m,ID,litter3_cm,duff3_cm
Antelope,Antelope01,2020,prefire,,0,,2,2,4,11.3,1,0,0,0,1.5,0,6,0,6.2,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope01,2020,prefire,,180,,2,2,4,11.3,2,0,0,0.5,5,0,15.2,0,1.2,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope01,2020,prefire,,270,,2,2,4,11.3,0,1,0,0,2.5,10,12.5,1,14.3,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope01,2020,prefire,,90,,2,2,4,11.3,1,1,0,0,3.5,4.5,6.3,0,8.8,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope02,2020,prefire,,0,,2,2,4,11.3,0,0,0,2,3,3,9.7,0,44.3,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope02,2020,prefire,,180,,2,2,4,11.3,3,0,0,0,3.5,3,12.2,0,18.8,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope02,2020,prefire,,270,,2,2,4,11.3,3,4,0,2.5,2,1,6,0,4.2,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope02,2020,prefire,,90,,2,2,4,11.3,2,1,0,0.25,6,5.5,7.7,1,25.8,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope03,2020,prefire,,0,,2,2,3,11.3,7,3,3,0,0.2,0.2,0.2,0,1.8,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope03,2020,prefire,,180,,2,2,3,11.3,5,2,1,0,0.5,0.5,0.7,0.7,2.2,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope03,2020,prefire,,270,,2,2,3,11.3,2,2,0,2,4.2,4.2,4.8,0.3,1,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope03,2020,prefire,,90,,2,2,3,11.3,3,3,1,0,0.8,0.8,1.5,0,3.6,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope04,2020,prefire,,0,,2,2,4,11.3,0,0,0,0,0,7,2.5,0,35.5,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope04,2020,prefire,,180,,2,2,4,11.3,1,0,0,0,3.5,0,21.8,0,8.3,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope04,2020,prefire,,270,,2,2,4,11.3,0,0,0,0,1,1,5.7,0,12.3,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope04,2020,prefire,,90,,2,2,4,11.3,0,1,1,4,6,11.5,12,6,65.5,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope05,2020,prefire,,0,,2,2,3,11.3,3,0,0,3.2,0.5,0.5,3.6,0,1,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope05,2020,prefire,,180,,2,2,3,11.3,6,2,0,3.4,2.1,2.1,5.5,0,1.8,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope05,2020,prefire,,270,,2,2,3,11.3,3,2,0,0.5,1.5,1.5,5,0,0.1,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope05,2020,prefire,,90,,2,2,3,11.3,2,2,0,0,2,2,2,0,0.5,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope06,2020,prefire,,0,,2,2,4,11.3,0,0,1,0,1.5,9,4,0.25,13.7,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope06,2020,prefire,,180,,2,2,4,11.3,0,2,0,0,5.5,8,14,1.5,15.2,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope06,2020,prefire,,270,,2,2,4,11.3,1,0,0,0,0,2,2.2,0,82,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope06,2020,prefire,,90,,2,2,4,11.3,0,4,0,1,5.5,3,11.8,2,10,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope07,2020,prefire,,0,,2,2,3,11.3,1,0,0,0,2,2,3,0.2,3.6,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope07,2020,prefire,,180,,2,2,3,11.3,0,1,0,0,0.5,0.5,0.8,0,4.3,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope07,2020,prefire,,270,,2,2,3,11.3,2,0,0,0,0.3,0.3,0.5,0.3,2,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope07,2020,prefire,,90,,2,2,3,11.3,0,0,0,0,0.8,0.8,1,2.3,2,,,CPFMP,mm,,,NA,NA,NA
