site,plotid,num_total_rx,num_prior_rx,TSLF_rx_wildfire,TSLF_rx_only,priorburn_rx_year,priorburn_rx2,priorburn_wildfire_year,priorburn_wildfire_month,priorburn_name,burn,burn_hour,burn_day,burn_month,burn_year,preSurvey,preSurvey_year,postSurvey_immediate,postSurvey_immediate_year,postSurvey_1year,postSurvey_1year_year,postSurvey_2year,postSurvey_2year_year,CoordSystem,UTM Zone,X,Y,burn_unit,otherTRT,otherTRT_date,TSLF
Antelope,Antelope01,0,0,>50,>50,,,,,,no,,,,,8.3.2020,2020,,,,,,,WGS84,11S,334524,4176668,antelope2/11b,,,
Antelope,Antelope02,0,0,>50,>50,,,,,,no,,,,,8.3.2020,2020,,,,,,,WGS84,11S,334727,4176421,antelope2/11b,,,
Antelope,Antelope03,0,0,>50,>50,,,,,,no,,,,,8.5.2020,2020,,,,,,,WGS84,11S,333196.6151,4175000.786,antelope2/11b,,,
Antelope,Antelope04,0,0,>50,>50,,,,,,no,,,,,8.4.2020,2020,,,,,,,WGS84,11S,334623,4174922,antelope2/11b,,,
Antelope,Antelope05,0,0,>50,>50,,,,,,no,,,,,8.5.2020,2020,,,,,,,WGS84,11S,333704.1695,4174978.386,antelope2/11b,,,
Antelope,Antelope06,0,0,>50,>50,,,,,,no,,,,,8.4.2020,2020,,,,,,,WGS84,11S,334471,4175193,antelope2/11b,,,
Antelope,Antelope07,0,0,>50,>50,,,,,,no,,,,,8.5.2020,2020,,,,,,,WGS84,11S,333461,4175243,antelope2/11b,,,
Antelope,Antelope08,0,0,>50,>50,,,,,,no,,,,,8.4.2020,2020,,,,,,,WGS84,11S,334728,4175462,antelope2/11b,,,
Antelope,Antelope09,0,0,>50,>50,,,,,,no,,,,,8.5.2020,2020,,,,,,,WGS84,11S,333955,4175232,antelope2/11b,,,
Antelope,Antelope10,0,0,>50,>50,,,,,,no,,,,,8.4.2020,2020,,,,,,,WGS84,11S,334283,4175466,antelope2/11b,,,
Antelope,Antelope11,0,0,>50,>50,,,,,,no,,,,,8.5.2020,2020,,,,,,,WGS84,11S,333732.6162,4175500.82,antelope2/11b,,,
Antelope,Antelope12,0,0,>50,>50,,,,,,no,,,,,8.4.2020,2020,,,,,,,WGS84,11S,333518,4175712,antelope2/11b,,,
Antelope,Antelope13,0,0,>50,>50,,,,,,no,,,,,8.5.2020,2020,,,,,,,WGS84,11S,334500,4176211.18,antelope2/11b,,,
Antelope,Antelope14,0,0,>50,>50,,,,,,no,,,,,8.5.2020,2020,,,,,,,WGS84,11S,333250,4176012,antelope2/11b,,,
Antelope,Antelope15,0,0,>50,>50,,,,,,no,,,,,8.5.2020,2020,,,,,,,WGS84,11S,334739,4175955,antelope2/11b,,,
Antelope,Antelope16,0,0,>50,>50,,,,,,no,,,,,8.5.2020,2020,,,,,,,WGS84,11S,333779,4175983,antelope2/11b,,,
Antelope,Antelope17,0,0,>50,>50,,,,,,no,,,,,8.5.2020,2020,,,,,,,WGS84,11S,334484,4175706.41,antelope2/11b,,,
Antelope,Antelope18,0,0,>50,>50,,,,,,no,,,,,8.5.2020,2020,,,,,,,WGS84,11S,334003,4175703,antelope2/11b,,,
Antelope,Antelope19,0,0,>50,>50,,,,,,no,,,,,8.5.2020,2020,,,,,,,WGS84,11S,334246,4175966,antelope2/11b,,,
BearMountain,BM1,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.20.19,2019,10.3.2019,2019,,,6/30/2021,2021,WGS84,11S,247212,4192146,BM2,,,
BearMountain,BM10,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.20.19,2019,10.2.2019,2019,,,6/30/2021,2021,WGS84,11S,247011,4192608,BM2,,,
BearMountain,BM11,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.20.19,2019,10.2.2019,2019,,,6/30/2021,2021,WGS84,11S,247289,4192467,BM2,,,
BearMountain,BM12,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.21.19,2019,10.3.2019,2019,,,6/30/2021,2021,WGS84,11S,246050,4192674,BM3,,,
BearMountain,BM13,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.21.19,2019,10.3.2019,2019,,,7/4/2021,2021,WGS84,11S,246431,4192304,BM3,,,
BearMountain,BM14,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.21.19,2019,10.3.2019,2019,,,6/30/2021,2021,WGS84,11S,246802,4192200,BM2,,,
BearMountain,BM15,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.21.19,2019,10.3.2019,2019,,,7/4/2021,2021,WGS84,11S,246541,4191966,BM3,,,
BearMountain,BM16,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.21.19,2019,10.3.2019,2019,,,7/3/2021,2021,WGS84,11S,246279,4191831,BM4,,,
BearMountain,BM17,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.22.19,2019,10.3.2019,2019,,,7/2/2021,2021,WGS84,11S,245726,4192433,BM4,,,
BearMountain,BM18,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.22.19,2019,10.3.2019,2019,,,7/2/2021,2021,WGS84,11S,246012,4191930,BM4,,,
BearMountain,BM19,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.22.19,2019,10.3.2019,2019,,,7/2/2021,2021,WGS84,11S,246005,4192251,BM4,,,
BearMountain,BM20,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.22.19,2019,10.3.2019,2019,,,7/3/2021,2021,WGS84,11S,246161,4191702,BM4,,,
BearMountain,BM21,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.22.19,2019,10.3.2019,2019,,,7/3/2021,2021,WGS84,11S,245936,4191653,BM4,,,
BearMountain,BM22,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.24.19,2019,10.3.2019,2019,,,7/1/2021,2021,WGS84,11S,245561,4193262,BM4,,,
BearMountain,BM23,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.24.19,2019,10.3.2019,2019,,,7/1/2021,2021,WGS84,11S,245735,4193211,BM4,,,
BearMountain,BM24,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.24.19,2019,10.3.2019,2019,,,7/1/2021,2021,WGS84,11S,245892,4192913,BM4,,,
BearMountain,BM25,1,0,6,>50,,,2013,8,RIM,yes,,30,9,2019,9.24.19,2019,10.4.2019,2019,,,7/2/2021,2021,WGS84,11S,245212,4192765,BM4,,,
