site,PlotID,year,pre_post_fire,postTime,OBS,Species,Status,Lifeform,TSE#(by plot by sp.),TSE_HT_m(Of Tallest),TSE_Age(Of Tallest),TSA_DBH,TSA_Age,TSA_HT(m),TSA_cohort_ct,#resp,TRE# (by plot by sp.),TRE_HT_m(of tallest),TRE_Age(Of Tallest),NOTES,
Antelope,Antelope01,2020,prefire,NA,,PIJE,live,TSE,1,1.4,20,na,na,na,,,na,na,na,,
Antelope,Antelope02,2020,prefire,NA,,na,na,na,na,na,na,na,na,na,,,na,na,na,PIJE tse 11 m from center,
Antelope,Antelope04,2020,prefire,NA,,PIMONO,live,TSE,1,0.7,10???,na,na,na,,,na,na,na,,
Antelope,Antelope04,2020,prefire,NA,,PIMONO,live,TSA,na,na,na,4.2,na,3,,,na,na,na,all PIMONO connected below dbh,
Antelope,Antelope04,2020,prefire,NA,,PIMONO,live,TSA,na,na,na,4.2,na,3,,,na,na,na,PIJE tse and tsa in macro plot,
Antelope,Antelope04,2020,prefire,NA,,PIMONO,live,TSA,na,na,na,5.2,na,3,,,na,na,na,,
Antelope,Antelope04,2020,prefire,NA,,PIMONO,live,TSA,na,na,na,6,na,3,,,na,na,na,,
Antelope,Antelope04,2020,prefire,NA,,PIMONO,live,TSA,na,na,na,2,na,3,,,na,na,na,,
Antelope,Antelope04,2020,prefire,NA,,PIMONO,live,TSA,na,na,na,3,na,3,,,na,na,na,,
Antelope,Antelope06,2020,prefire,NA,,na,na,na,na,na,na,na,na,na,,,na,na,na,PIJE tse in macro plot,
Antelope,Antelope08,2020,prefire,NA,,na,na,na,na,na,na,na,na,na,,,na,na,na,no regen in macroplot,
Antelope,Antelope10,2020,prefire,NA,,PIJE,live,TSE,1,0.25,5,na,na,na,,,na,na,na,,
Antelope,Antelope12,2020,prefire,NA,,na,na,na,na,na,na,na,na,na,,,na,na,na,PIJE tse in macro plot,
Antelope,Antelope14,2020,prefire,NA,,na,na,na,na,na,na,na,na,na,,,na,na,na,no regen in macroplot,
Antelope,Antelope16,2020,prefire,NA,,na,na,na,na,na,na,na,na,na,,,na,na,na,no regen in macroplot,
Antelope,Antelope18,2020,prefire,NA,,na,na,na,na,na,na,na,na,na,,,na,na,na,no regen in macroplot,
BearMountain,BM1,2019,prefire,NA,la,Alin,live,TRE,,,,,,,,,1,0.7,UNK,,
BearMountain,BM1,2019,prefire,NA,la,CADE,dead,TSE,11,0.5,0,,,,,,,,,,
BearMountain,BM1,2019,prefire,NA,la,PIPO,live,TSE,1,0.27,4,,,,,,,,,,
BearMountain,BM1,2019,prefire,NA,la,PIPO,live,TSE,4,0.43,3,,,,,,,,,,
BearMountain,BM1,2019,prefire,NA,la,PIPO,live,TSE,3,0.53,UNK,,,,,,,,,,
BearMountain,BM1,2019,prefire,NA,la,QUEKEL,live,TSE,1,0.13,UNK,,,,,,,,,,
BearMountain,BM1,2019,prefire,NA,la,QUEKEL,live,TRE,,,,,,,,,1,0.27,UNK,,
BearMountain,BM10,2019,prefire,NA,la,CADE,dead,TSE,1,0.07,0,,,,,,,,,,
BearMountain,BM10,2019,prefire,NA,la,PIPO,live,TSE,2,0.035,0,,,,,,,,,,
BearMountain,BM10,2019,prefire,NA,la,PIPO,live,TSE,1,0.35,35,,,,,,,,,,
BearMountain,BM11,2019,prefire,NA,rh,PIPO,live,TSE,1,1.4,5,,,,,,,,,,
BearMountain,BM11,2019,prefire,NA,rh,PIPO,live,TSE,1,1.1,4,,,,,,,,,,
BearMountain,BM12,2019,prefire,NA,rh,ABCO,live,TSE,8,0.49,4,,,,,,,,,,
BearMountain,BM12,2019,prefire,NA,rh,ABCO,live,TSE,8,0.46,6,,,,,,,,,,
BearMountain,BM12,2019,prefire,NA,rh,CADE,live,TSE,18,0.32,3,,,,,,,,,,
BearMountain,BM12,2019,prefire,NA,rh,CADE,live,TSE,15,0.42,4,,,,,,,,,,
