site,year,pre_post_fire,pre_post_thin,postTime,plotid,obs,species,status,lifeform,layer_code,percent,notes
Valentine,2019,prefire,prethin,,VR13,,ABCO,live,TOV,TSA,0.5,
bearmountain,2019,prefire,,,BM12,nr,ABCO,live,TR,TSE,1.5,
bearmountain,2019,prefire,,,BM12,nr,ABCO,dead,TR,TOV,0.05,
bearmountain,2019,prefire,,,BM25,nr,ABCO,live,TR,TSE,2,
bearmountain,2021,postfire,,2yr,BM12,"km, ag",ABCO,dead,TR,TOV,0.05,
bearmountain,2021,postfire,,2yr,BM26,km,ABCO,dead,TR,TSE,0.25,
BlissSP,2019,prefire,,,bliss1,ag,ABCO,live,TR,TOV,33,
BlissSP,2019,prefire,,,bliss1,ag,ABCO,dead,TR,TOV,1,
BlissSP,2019,prefire,,,bliss10,ms,ABCO,live,TR,TOV,20,
BlissSP,2019,prefire,,,bliss10,ms,ABCO,dead,TR,TOV,0,
BlissSP,2019,prefire,,,bliss10,ms,ABCO,live,TR,TSA,0.05,
BlissSP,2019,prefire,,,bliss10,ms,ABCO,live,TR,TSE,0.05,
BlissSP,2019,prefire,,,bliss10,ms,ABCO,dead,TR,TSE,0.05,
BlissSP,2019,prefire,,,bliss11,ms,ABCO,live,TR,TOV,30,
BlissSP,2019,prefire,,,bliss11,ms,ABCO,dead,TR,TOV,1,
BlissSP,2019,prefire,,,bliss11,ms,ABCO,live,TR,TSA,0.05,
BlissSP,2019,prefire,,,bliss11,ms,ABCO,live,TR,TSE,0.05,
BlissSP,2019,prefire,,,bliss12,ms,ABCO,live,TR,TOV,1,
BlissSP,2019,prefire,,,bliss12,ms,ABCO,dead,TR,TSA,1,
BlissSP,2019,prefire,,,bliss12,ms,ABCO,live,TR,TSE,0.05,
BlissSP,2019,prefire,,,bliss13,ms,ABCO,live,TR,TOV,25,
BlissSP,2019,prefire,,,bliss13,ms,ABCO,dead,TR,TOV,0.05,
BlissSP,2019,prefire,,,bliss13,ms,ABCO,live,TR,TSA,0.05,
BlissSP,2019,prefire,,,bliss13,ms,ABCO,live,TR,TSE,0.05,
BlissSP,2019,prefire,,,bliss14,ms,ABCO,live,TR,TOV,13,
BlissSP,2019,prefire,,,bliss14,ms,ABCO,dead,TR,TOV,10,
BlissSP,2019,prefire,,,bliss14,ms,ABCO,live,TR,TSE,0.05,
BlissSP,2019,prefire,,,bliss15,ag,ABCO,live,TR,TOV,25,
BlissSP,2019,prefire,,,bliss15,ag,ABCO,live,TR,TSA,0.05,
BlissSP,2019,prefire,,,bliss15,ag,ABCO,live,TR,TSE,0.05,
BlissSP,2019,prefire,,,bliss15,ag,ABCO,dead,TR,TOV,2,
BlissSP,2019,prefire,,,bliss2,ag,ABCO,live,TR,TOV,39,
BlissSP,2019,prefire,,,bliss2,ag,ABCO,dead,TR,TOV,0.05,
BlissSP,2019,prefire,,,bliss2,ag,ABCO,dead,TR,TSE,0.05,
BlissSP,2019,prefire,,,bliss3,ag,ABCO,live,TR,TOV,33,
BlissSP,2019,prefire,,,bliss3,ag,ABCO,live,TR,TSE,0.05,
BlissSP,2019,prefire,,,bliss3,ag,ABCO,dead,TR,TOV,0.05,
BlissSP,2019,prefire,,,bliss4,ag,ABCO,dead,TR,TOV,0.05,
BlissSP,2019,prefire,,,bliss4,ag,ABCO,live,TR,TOV,12,
BlissSP,2019,prefire,,,bliss4,ag,ABCO,live,TR,TSE,0.05,
BlissSP,2019,prefire,,,bliss5,ag,ABCO,live,TR,TOV,8,
BlissSP,2019,prefire,,,bliss5,ag,ABCO,live,TR,TSE,0.05,
BlissSP,2019,prefire,,,bliss6,nr,ABCO,live,TR,TSA,0.05,
BlissSP,2019,prefire,,,bliss6,nr,ABCO,live,TR,TOV,4,
BlissSP,2019,prefire,,,bliss6,nr,ABCO,live,TR,TSE,0.05,
BlissSP,2019,prefire,,,bliss7,nr,ABCO,live,TR,TSE,0.05,
BlissSP,2019,prefire,,,bliss7,nr,ABCO,live,TR,TOV,32,
BlissSP,2019,prefire,,,bliss7,nr,ABCO,dead,TR,TSA,0.05,
BlissSP,2019,prefire,,,bliss8,nr,ABCO,live,TR,TOV,2,
BlissSP,2019,prefire,,,bliss8,nr,ABCO,live,TR,TSE,6,
BlissSP,2019,prefire,,,bliss9,nr,ABCO,live,TR,TOV,5,
BlissSP,2019,prefire,,,bliss9,nr,ABCO,live,TR,TSE,0.05,
BurtonSP,2019,prefire,,,burton1,ag,ABCO,live,TR,TOV,33,
BurtonSP,2019,prefire,,,burton1,ag,ABCO,live,TR,TSE,0.05,
