site,plot_id,year,pre_post_fire,azimuth,intersect_cm,large_cm,small_cm,length_m,decay,FieldNotes
springsfire,springs1,2019,prefire,W,14,13,11,92,3,
springsfire,springs1,2019,prefire,W,37,48,10,14.6,2,
springsfire,springs10,2019,prefire,E,16,17,6,2.3,3,
springsfire,springs10,2019,prefire,N,92,95,62,9.8,5,
springsfire,springs10,2019,prefire,S,36,19,12,1.6,4,
springsfire,springs10,2019,prefire,S,16,4,1,0.7,3,
springsfire,SPRINGS11,2019,prefire,S,16.25,13.8,5.9,4.05,3,
springsfire,SPRINGS11,2019,prefire,E,59,78,8,25.7,3,
springsfire,SPRINGS12,2019,prefire,W,7.5,8,5,0.27,3,
springsfire,SPRINGS12,2019,prefire,S,9.4,27.1,3.4,7.7,3,
springsfire,SPRINGS12,2019,prefire,S,12,12,7,0.2,4,
springsfire,SPRINGS12,2019,prefire,N,58.4,58.4,3.3,18,2,
springsfire,SPRINGS13,2019,prefire,N,26,33,11,1.8,4,
springsfire,SPRINGS13,2019,prefire,S,10,10,8,0.3,4,
springsfire,SPRINGS13,2019,prefire,S,15,20,14,1.7,3,
springsfire,SPRINGS13,2019,prefire,E,35,90,75,0.75,3,
springsfire,SPRINGS13,2019,prefire,E,70,91,40,2.58,3,
springsfire,SPRINGS13,2019,prefire,W,85,90,70,0.21,3,
springsfire,springs15,2019,prefire,N,8,16,5,4.4,2,
springsfire,springs18,2019,prefire,N,8,9,6,0.65,2,
springsfire,springs18,2019,prefire,N,10.5,13,5,0.8,3,
springsfire,springs18,2019,prefire,S,18,23,4,2.3,3,
springsfire,springs18,2019,prefire,W,20,22,17,1.8,3,
springsfire,springs18,2019,prefire,W,12,13,9,1.9,3,
springsfire,springs19,2019,prefire,S,9,17,9,3.9,3,
springsfire,springs19,2019,prefire,S,20,21,19,2,4,
springsfire,springs19,2019,prefire,W,14,16,7,1.6,3,
springsfire,springs19,2019,prefire,W,15,16,5,3.2,3,
springsfire,springs19,2019,prefire,E,28,35,6,6.9,2,
springsfire,springs19,2019,prefire,E,10,12.5,4,0.9,4,
springsfire,springs20,2019,prefire,E,12,20,3,4.5,3,
springsfire,springs20,2019,prefire,W,19,20,18,0.7,3,
springsfire,springs20,2019,prefire,S,11.2,20,5.6,6.65,2,
springsfire,springs20,2019,prefire,N,13,13,8,0.71,4,
springsfire,springs20,2019,prefire,N,9,15,9,0.67,4,
springsfire,springs20,2019,prefire,N,15.4,20,10.1,3.5,4,
springsfire,springs20,2019,prefire,N,11,11,11,0.15,4,
springsfire,springs20,2019,prefire,N,9.5,9.9,9.5,1,4,
springsfire,springs20,2019,prefire,N,10,10,8,1.55,4,
springsfire,springs20,2019,prefire,N,15,12.9,6.8,3.1,2,
springsfire,springs21,2019,prefire,E,25,27,15,5.4,4,
springsfire,springs21,2019,prefire,W,14,16,9,3.5,4,
springsfire,springs21,2019,prefire,N,11,10,9,0.5,3,
springsfire,springs21,2019,prefire,N,20,20,18,1.23,3,
springsfire,springs21,2019,prefire,S,32,32,21,0.8,3,
springsfire,springs21,2019,prefire,S,25,27,15,5.4,4,
springsfire,springs22,2019,prefire,N,11,13,5,4.3,3,
springsfire,springs22,2019,prefire,S,20,27,20,3.3,3,
springsfire,springs22,2019,prefire,W,10,11,9,1.15,4,
springsfire,springs24,2019,prefire,N,14,14,4.9,0.96,3,
springsfire,springs24,2019,prefire,N,8,10,8,0.66,3,
springsfire,springs25,2019,prefire,N,11,13,10,1.5,5,
springsfire,springs25,2019,prefire,S,48,76.5,43,64.3,4,
springsfire,springs26,2019,prefire,N,8.5,10,4,0.35,3,
springsfire,springs26,2019,prefire,N,14,15,1,0.95,2,
springsfire,springs26,2019,prefire,S,12,14,8,1,2,
springsfire,springs26,2019,prefire,S,11,11,7,0.39,2,
springsfire,springs26,2019,prefire,S,10,10.5,4,0.75,2,
springsfire,springs26,2019,prefire,S,11,15,2,0.56,2,
springsfire,springs26,2019,prefire,W,9.5,11,3,1.9,2,
springsfire,springs26,2019,prefire,E,12,13,4,2.55,3,
springsfire,SPRING4,2019,prefire,N,9,10,9,0.19,3,
springsfire,SPRING4,2019,prefire,N,7.9,7.9,7,1.19,4,
springsfire,SPRING4,2019,prefire,W,8,26,8,4.65,3,
