Jurisdiction,site,year,plotid,obs,pre_post_fire,postTime,burn_y/n,FireSeverity,slope_percent,aspect_degree,Horz_Shape,Ver_Shape,ExistingVeg,WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT_VEG_percent,TOT_all_percent,TOT_HT_m,DT_all_percent,DT_HT_m,TOV_percent,TOV_HT_m,TSA_percent,TSA_HT_m,TSE_percent,TSE_HT_m,0.05E_percent,0.05E_HT_m,TOS_percent,TOS_HT_m,DS_percent,DS_HT_m,ST_percent,ST_HT_m,SM_percent,SM_HT_m,SL_percent,SL_HT_m,TOF_percent,TOF_HT_m,TOG_percent,TOG_HT_m,BARESOIL,LITTER,BlackLitter,CWD,CONES,Boulder/Bedrock,SMROCK,ROCK,ASH,BASALVEG,CRYPTOGRAMS,STUMPS,RD,TOT_Black_percent,PRE % SHRUB COVER,% SHRUB TORCHED,% SHRUB SCORCHED,% SHRUB UNBURNED,History,NOTES,
TNC,Independence,2020,Indy26,"VS, MM, JW",prefire,NA,no,0,19,304,LL,LL,"PICO, ABCO, SYRO",6.5,13,1494,68,57,8,0.05,3,47,8,10,4.4,1,0.1,0,na,23,0.5,0,na,0,na,15,0.6,1,0.3,0.05,0.4,0.05,0.4,4,88,0.05,2,1,3,0.05,0.05,0,2,0.05,0.05,0,,,,,,,"sm mammal burrows, anthills",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy07,"VS, MM, JW",prefire,NA,no,0,2,280,LL,LL,"ABCO, PICO, PIJE",8,20,1101,30,20,10,0.05,2.2,20,10,0.05,7,0,na,0,na,0.05,0.1,0,na,0,na,0,na,0.05,0.2,10,0.5,0.05,0.3,28,20,0.05,2,0.05,3,40,3,0,1,0.05,0,0,,,,,,,"sm mammal burrows, anthills",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy08,"VS, MM, JW",prefire,NA,no,0,18,260,UN,UN,"PICO, ABCO, PIJE",6,2,1121,41,41,6,0,na,40,6,1,5.5,0.05,0.1,0,na,1,0.3,0,na,0,na,0.05,0.6,1,0.3,2,0.5,0.05,0.3,2,89,0,0.05,0.05,4,1,2,0,2,0.05,0,0,,,,,,,"sm mammal burrows, anthills; shifted 2.5",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy10,"VS, MM, JW",prefire,NA,no,0,14,50,UN,CC,,10,7,1178,40,54,6.5,0,na,38,6.5,4,5.5,0.05,0.3,0,na,28,1.7,0,na,0,na,12,1.7,28,0.5,3,0.3,0.05,0.3,6,90,0,0.5,0.05,0,0.05,2,0,1.5,0.05,0,0,,,,,,,rabbit scat,top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy09,"VS, MM, JW",prefire,NA,no,0,14,na,CV,CV,"PICO, ABCO, ALNRHO",5,24,1196,66,56,5,0.05,,38,4,16,5,0.05,0.1,0,na,13,0.3,0,na,0,na,0,na,13,0.5,14,0.4,1,1.3,6,77,0,4,2,3,6,0.05,0,2,0.05,0.05,0,,,,,,,"sm mammal burrows, browsing",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy24,"VS, MM, JW",prefire,NA,no,0,3,270,LL,CC,"POTR, trifolium, PICO",7,14,1301,63,63,1.8,0.05,12,28,5,25,1.8,0.05,0.2,25,1.8,0,na,0,na,0,na,0,na,0,na,16,0.2,19,0.4,1,80,0,1.5,0.05,3,0.05,0,0,2,12,0.05,0,,,,,,,"sm mammal burrows, browsing",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy17,"VS, MM, JW",prefire,NA,no,0,1,na,LL,LL,"ABCO, PICO, arnica",7,4,1320,26,20,15,0.05,7,19,16.3,2,0.9,0.05,0.1,1,1.9,2,0.3,0,na,0,na,0,na,2,0.3,4,0.3,0.05,0.2,2,92,0.05,2,1,1,0.05,1,0,1.5,0.05,0.5,0,,,,,,,"treated, wood chips, sm mammal burrows, bar log thrash, adjacent monitoring flags n tags",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy16,"VS, MM, JW",prefire,NA,no,0,4,235,LL,CV,"arnica, PICO, POTR",6,66,1332,53,29,11,0.05,8.5,22,12,7,2.5,0.05,0.5,8,2.5,4,0.2,0,na,0,na,0,na,4,0.2,19,0.3,1,0.3,31,44,0,2,0.05,7,13,2,0,1.5,0.05,0.5,0,,,,,,,"treated, wood chips, sm mammal burrows",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy06,"VS, MM, JW",prefire,NA,no,0,4,350,LL,CV,"PIJE, CEAPRO, CEVE",4,4,1342,58,22,12,0,na,19,12,6,2.5,0,na,0,na,25,0.1,0,na,6,1.9,12,1.5,25,0.1,8,0.3,0.05,0.3,17,60,0,1,1,4,14,1.5,0,1,0,0,0,,,,,,,"treated, wood chips, sm mammal burrows, anthills, shifted 5 m from trail, trail on margin. PlotID in tree tab was recorded as Indy16, but realized that there was no Indy06 tree data and two witness tress in Indy16 data",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy40,"VS, MM, JW",prefire,NA,no,0,2,na,LL,CV,"ABCO, PIJE, CEVE",3,13,1365,37,35,16,0,na,35,16,0.05,2.5,0,na,0,na,6,1.7,0,na,0,na,4,1.7,6,0.5,11,0.3,0.05,0.3,6,87,0,1,2,1,0.05,1,0,2,0.05,0.05,0,,,,,,,"treated, wood chips, sm mammal burrows, anthills",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy38,"VS, MM",prefire,NA,no,0,2,98,LL,LL,"ABCO, PIJE, ABMA",10.5,42,1376,25,23,9,0,na,23,9,0.05,2.8,0.05,0.1,0,na,1,0.3,0,na,0,na,0.05,1.5,1,0.5,0.05,0.1,1,0.3,20,49.5,0,1,0.05,0.05,28,0.05,0,1.5,0.05,0.05,0,,,,,,,"treated, wood chips, sm mammal burrows, on ridgetop, significantly thinned of saplings",top3 existing veg determined from species cover% during QAQC 0 KM
