site,plot_id,burn,preSurvey,postSurvey_immediate,postSurvey_1year,postSurvey_2year,X,Y,burn_unit
BearMountain,BM1,yes,9.18.19,10.3.2019,,,247212,4192146,BM2
BearMountain,BM2,yes,9.19.19,10.2.2019,,,246751,4193353,BM1
BearMountain,BM3,yes,9.19.19,10.4.2019,,,246610,4193234,BM1
BearMountain,BM4,yes,9.19.19,10.4.2019,,,246493,4193032,BM1
BearMountain,BM5,yes,9.19.19,10.4.2019,,,246630,4192893,BM1
BearMountain,BM6,yes,9.19.19,10.2.2019,,,246824,4193067,BM1
BearMountain,BM7,yes,9.20.19,10.2.2019,,,246918,4192836,BM1
BearMountain,BM8,yes,9.20.19,10.3.2019,,,246298,4192744,BM2
BearMountain,BM9,yes,9.20.19,10.3.2019,,,246581,4192519,BM2
BearMountain,BM10,yes,9.20.19,10.2.2019,,,247011,4192608,BM2
BearMountain,BM11,yes,9.20.19,10.2.2019,,,247289,4192467,BM2
BearMountain,BM12,yes,9.21.19,10.3.2019,,,246050,4192674,BM3
BearMountain,BM13,yes,9.21.19,10.3.2019,,,246431,4192304,BM3
BearMountain,BM14,yes,9.21.19,10.3.2019,,,246802,4192200,BM2
BearMountain,BM15,yes,9.21.19,10.3.2019,,,246541,4191966,BM3
BearMountain,BM16,yes,9.21.19,10.3.2019,,,246279,4191831,BM3
BearMountain,BM17,yes,9.22.19,10.3.2019,,,245726,4192433,BM3
BearMountain,BM18,yes,9.22.19,10.3.2019,,,246012,4191930,BM3
BearMountain,BM19,yes,9.22.19,10.3.2019,,,246005,4192251,BM3
BearMountain,BM20,yes,9.22.19,10.3.2019,,,246161,4191702,BM3
BearMountain,BM21,yes,9.22.19,10.3.2019,,,245936,4191653,BM3
BearMountain,BM22,no,9.24.19,10.3.2019,,,245561,4193262,
BearMountain,BM23,no,9.24.19,10.3.2019,,,245735,4193211,
BearMountain,BM24,no,9.24.19,10.3.2019,,,245892,4192913,
BearMountain,BM25,no,9.24.19,10.4.2019,,,245212,4192765,
BearMountain,BM26,no,9.25.19,10.4.2019,,,245483,4192975,
BearMountain,BM27,no,9.25.19,10.4.2019,,,245466,4192664,
BlissSP,bliss1,no,7.28.19,,,,751091,4320614,bliss_north
BlissSP,bliss2,no,7.28.19,,,,750987,4320531,bliss_north
BlissSP,bliss3,no,7.28.19,,,,751091,4320471,bliss_north
BlissSP,bliss4,no,7.28.19,,,,750958,4320396,bliss_north
BlissSP,bliss5,no,7.28.19,,,,750879,4320280,bliss_north
BlissSP,bliss6,no,7.29.19,,,,751138,4320278,bliss_central
BlissSP,bliss7,no,7.29.19,,,,750987,4320189,bliss_central
BlissSP,bliss8,no,7.29.19,,,,750791,4320123,bliss_north
BlissSP,bliss9,no,7.29.19,,,,750889,4319987,bliss_south
BlissSP,bliss10,no,7.30.19,,,,751222,4320137,bliss_central
BlissSP,bliss11,no,7.30.19,,,,751082,4320071,bliss_central
BlissSP,bliss12,no,7.30.19,,,,751256,4319927,bliss_south
BlissSP,bliss13,no,7.30.19,,,,751066,4319880,bliss_south
BlissSP,bliss14,no,7.30.19,,,,751210,4319797,bliss_south
BlissSP,bliss15,no,7.31.19,,,,751326,4319696,bliss_south
BurtonSP,burton1,no,8.26.19,,,,747517,4341906,BUa
BurtonSP,burton2,no,8.26.19,,,,747503,4342004,BUa
BurtonSP,burton3,no,8.27.19,,,,747232,4342352,control
BurtonSP,burton4,no,8.27.19,,,,746963,4342314,control
BurtonSP,burton5,no,8.27.19,,,,746731,4342344,control
BurtonSP,burton6,no,8.28.19,,,,746579,4342168,control
BurtonSP,burton7,yes,9.5.19,yes,9.16.2020,,747345,4342113,BUb
BurtonSP,burton8,yes,9.5.19,yes,9.16.2020,,747373,4342024,BUb
BurtonSP,burton9,yes,9.5.19,yes,9.17.2020,,747285,4341959,BUb
BurtonSP,burton10,yes,9.5.19,yes,,,747242,4342060,BUb
BurtonSP,burton11,no,9.5.19,,,,747394,4341893,BUa
BurtonSP,burton12,no,9.6.19,,,,746718,4341870,control
BurtonSP,burton13,no,9.6.19,,,,746292,4341955,control
BurtonSP,burton14,yes,9.6.19,yes,9.17.2020,,747162,4341936,BUb
BurtonSP,burton15,no,9.6.19,,,,747229,4341818,BUa
BurtonSP,burton16,no,9.7.19,,,,747381,4341781,BUa
BurtonSP,burton17,no,9.7.19,,,,747100,4342094,BUc
BurtonSP,burton18,no,9.7.19,,,,747002,4341999,BUc
BurtonSP,burton19,no,9.7.19,,,,746862,4342062,BUc
BurtonSP,burton20,no,9.7.19,,,,746988,4342114,BUc
BurtonSP,burton21,no,9.8.19,,,,746910,4341925,BUc
BurtonSP,burton22,no,9.8.19,,,,747026,4341888,BUc
BurtonSP,burton23,no,9.8.19,,,,746507,4341644,control
BurtonSP,burton24,no,9.8.19,,,,746793,4341561,control
BurtonSP,Burton25,no,9.18.2020,,,,747575,4341701,
BurtonSP,Burton26,no,9.18.2020,,,,747621,4341591,
BurtonSP,Burton27,no,9.18.2020,,,,747361,4341693,
BurtonSP,Burton28,no,9.18.2020,,,,747495,4341797,
BurtonSP,Burton29,no,9.18.2020,,,,747615,4341918,
BurtonSP,Burton30,no,9.18.2020,,,,747477,4341697,
BurtonSP,Burton31,no,9.18.2020,,,,,,
BurtonSP,Burton32,no,9.17.2020,,,,747737,4341842,
BurtonSP,Burton33,no,9.17.2020,,,,747697,4341764,
BurtonSP,Burton34,no,9.18.2020,,,,747419,4341598,
BurtonSP,Burton35,no,9.18.2020,,,,747680,4341666,
BurtonSP,Burton36,no,9.18.2020,,,,747793,4341712,
BurtonSP,Burton37,no,9.18.2020,,,,747527,4341582,
BurtonSP,Burton38,yes,,,9.17.2020,,747165,4342213,Bub
BurtonSP,Burton39,yes,,,9.17.2020,,747307,4342196,Bub
BurtonSP,Burton40,yes,,,9.20.2020,,747479,4342215,Bub
BurtonSP,Burton41,yes,,,9.20.2020,,747573,4342133,Bub
BurtonSP,Burton42,no,9.20.2020,,,,747656,4342031,
