PlotID,SamplingTime,Fuel_Litter,Fuel_Duff,Fuel
1,0,1.125,0.5,1.625
2,0,1.875,0.625,1.1875
3,0,1.75,0.5,3
4,0,10.875,4,10
5,0,4.625,2.875,4.65
6,0,1.875,1.25,2.375
7,0,2.25,1.125,2.3125
8,0,4.375,3.125,5
9,0,1.5,1.25,1.625
10,0,4.125,2.625,4.5
11,0,3.875,2.5,4.5
12,0,3.5,2.375,4.0875
13,0,2.875,1.75,2.9625
14,0,2.625,1.875,2.6875
15,0,3.25,2.25,2.375
16,0,1.625,1,1.725
17,0,2.375,1.375,2.6
18,0,3.125,2.125,2.65
19,0,1.375,0.5,1.2375
20,0,1.375,0.875,1.1875
21,0,2,1,2
22,0,2.125,1.375,12.375
23,0,3.25,2.25,13.5
24,0,5.875,3.125,10.75
25,0,0.75,0.375,23.6875
26,0,0.875,0.625,46.375
27,0,2.5,1.125,35.1875
28,0,4,2.875,6.375
29,0,3.875,2.5,20.75
30,0,1.375,0.625,23
31,0,5,0,60.75
32,0,5.875,5,28.75
33,0,4.625,4.25,7.25
34,0,1,0.625,1.25
35,0,0.375,0.5,1.875
36,0,1.625,1.25,4.25
37,0,3.875,1.75,6.625
38,0,2.375,1.25,41.75
39,0,0,0,1.8875
40,0,2.375,1.625,10.0625
41,0,0.5,0.125,11.625
42,0,3.375,2.5,7.25
43,0,1.75,1,26.125
44,0,3.875,2.875,8.25
45,0,3,3.25,15.25
46,0,5.125,7,44.25
47,0,3.75,8.25,34.125
48,0,1.125,1.625,19.125
49,0,1.375,1,6.8125
50,0,0.625,0.625,5.375
51,0,0.75,0.5,1.625
52,0,2.75,2.125,3.25
53,0,2.75,2.375,40.75
54,0,4.25,3.125,14.75
55,0,2.75,1.875,15.875
56,0,2.875,1.75,10.5
57,0,2.75,1.5,4.5
58,0,2.5,1.5,5.175
59,0,2.75,2.125,3.9
60,0,0.875,0,1.75
65,0,3.875,4,5.7525
75,0,3.625,4.375,4.5125
76,0,12.875,5.625,13.4625
77,0,4.125,7.25,12.45
82,0,1.875,2.125,2.4125
83,0,1.75,1.625,0.975
84,0,2.125,4.125,4.325
85,0,3.75,1.5,5.7375
92,0,6.5,3.625,9.9
93,0,5.375,7.125,7.2875
94,0,7,9.625,13.0875
95,0,1.5,0.125,3.325
98,0,2.75,2.5,3.175
99,0,4.375,5.625,9.1875
100,0,1.875,1.75,3.5125
101,0,4.125,4.375,4.1125
102,0,3.5,2.875,5.55
1,1,0.416666667,0,0.475
2,1,0.25,0.083333333,0.266666667
3,1,0.25,0,0.291666667
4,1,0.25,0.25,1.75
5,1,0.583333333,0.583333333,6.091666667
6,1,1.666666667,1.666666667,3.425
7,1,0,0.333333333,3.833333333
8,1,0,0,1.225
9,1,0.083333333,0.083333333,0.166666667
10,1,0,0,0
11,1,0.416666667,0.916666667,0.408333333
12,1,0,0,0.025
13,1,1.166666667,0.416666667,1.958333333
14,1,0.416666667,1.166666667,4.8
15,1,0,0,0
18,1,0,0,0
20,1,0.166666667,0.166666667,0.166666667
22,1,0,0,0
23,1,0.666666667,0.916666667,2.633333333
24,1,0,0,0.058333333
26,1,0.333333333,0.666666667,0.333333333
28,1,0,0,0.083333333
29,1,0.333333333,0,0.533333333
30,1,0.083333333,0.083333333,0.1
32,1,0.083333333,0,0.191666667
33,1,0.583333333,0.333333333,2.891666667
34,1,0,0,0.666666667
35,1,0.416666667,0.583333333,0.508333333
36,1,0,0,0.508333333
37,1,0.166666667,0,2.841666667
65,1,0.083333333,0.166666667,0.433333333
75,1,1.166666667,0.083333333,1.191666667
99,1,0.416666667,0.333333333,1.458333333
100,1,0.166666667,0,0.75
101,1,0.166666667,0,0.666666667
102,1,0.083333333,0,0.383333333
103,0,4.166666667,2,3.541666667
103,1,0.166666667,0.166666667,0.75
104,0,5.5,1.5,5.583333333
105,0,4.166666667,3.916666667,2.333333333
105,1,0.5,0.166666667,1.6675
106,0,2,2.25,2.75
107,0,6.083333333,6.833333333,3
108,0,5.666666667,3.5,3.25
109,0,3.333333333,2.083333333,11.08333333
110,0,2.916666667,3.583333333,8.041666667
111,0,6.166666667,6.666666667,0.583333333
111,1,0.916666667,0,0.916666667
112,0,1.5,0.5,0.5
113,0,1.916666667,1.5,0.666666667
114,0,4.666666667,4.166666667,0.333333333
115,0,1.583333333,0.916666667,0.916666667
115,1,0.166666667,0.166666667,0.5
116,0,3.916666667,4.583333333,2.208333333
117,0,2,0.916666667,1.041666667
117,1,1.083333333,0.583333333,1.675
118,0,2,5.083333333,5.25
118,1,0.083333333,0.333333333,0.65
119,0,4.75,6.583333333,9.583333333
119,1,0,0,0.05
120,0,4.916666667,2.583333333,9.166666667
121,0,1.416666667,0.333333333,0.833333333
121,1,0.333333333,0.25,3.533333333
122,0,3.833333333,4.083333333,4.583333333
122,1,0.916666667,1,1.916666667
123,0,2.083333333,3.166666667,3.166666667
124,0,3.666666667,0.25,0.5
125,0,3.25,1.583333333,1.291666667
126,0,3.583333333,0.916666667,1.416666667
127,0,3,1.416666667,2.25
128,0,3.833333333,2.166666667,1.25
129,0,4.083333333,2.416666667,2.333333333
129,1,0.666666667,2.75,0.958333333
130,0,2.083333333,2.666666667,4.333333333
131,0,3.166666667,2.25,1.833333333
132,0,2.833333333,0,0.833333333
133,0,0.833333333,1.25,0
