ID,site,plotid,SamplingTime,Azimuth,slope,intersect_cm,large_cm,small_cm,length_m,decay,FieldNotes
,caples,6,0,S,10,8,14,3,5.2,2,
,caples,6,0,W,8,,,,,,
,caples,6,0,N,23,,,,,,
,caples,6,0,E,11,,,,,,
,caples,7,0,S,5,30,28,8,3.7,2,
,caples,7,0,S,5,32,40,32,3.1,2,
,caples,7,0,S,5,36,44,11,19.1,2,
,caples,7,0,S,5,22,18,13,9,2,
,caples,7,0,S,5,15,42,3,12,2,
,caples,7,0,S,5,11,13,9,3.2,2,
,caples,7,0,S,5,17,16,3,9.1,2,
,caples,7,0,S,5,26,24,20,9.6,4,
,caples,7,0,W,3,12,15,10,5.8,2,
,caples,7,0,W,3,80,77,75,9.5,2,
,caples,7,0,W,3,21,24,3,6.4,2,
,caples,7,0,W,3,19,10,7,2.9,3,
,caples,7,0,N,3,25,5,4,13.9,3,
,caples,7,0,N,3,30,35,5,12.5,2,
,caples,7,0,N,3,40,53,9,7,2,
,caples,7,0,N,3,50,17,6,1.9,3,
,caples,7,0,N,3,21,22,14,2.7,2,
,caples,7,0,N,3,13,4,3,1.6,3,
,caples,7,0,N,3,19,43,5,12.5,2,
,caples,7,0,E,6,12,8,4,5.2,2,
,caples,7,0,E,6,20,17,10,1.2,2,
,caples,7,0,E,6,25,22,21,6,2,
,caples,7,0,E,6,15,12,11,1,2,
,caples,7,0,E,6,17,22,12,6.1,2,
,caples,7,0,E,6,18,24,15,9.4,2,
,caples,8,0,S,10,18,25,9,9.1,3,
,caples,8,0,S,10,19,25,18,3.1,2,
,caples,8,0,S,10,9,7,3,1.2,2,
,caples,8,0,S,10,23,29,24,4.7,3,
,caples,8,0,S,10,32,15,6,15.8,3,
,caples,8,0,W,17,25,6,3,11,3,
,caples,8,0,W,17,51,60,37,14.5,3,
,caples,8,0,N,11,30,55,30,10.5,3,
,caples,8,0,N,11,14,12,8,8.8,2,
,caples,8,0,N,11,25,17,6,4.4,3,
,caples,8,0,N,11,15,27,3,12.5,2,
,caples,8,0,N,11,24,24,10,0.8,3,
,caples,8,0,N,11,12,18,3,5.6,2,
,caples,8,0,N,11,15,30,2,9.5,2,
,caples,8,0,N,11,30,13,5,1.6,4,
,caples,8,0,N,11,10,5,4,3.3,2,
,caples,8,0,E,11,48,59,28,7.7,3,
,caples,8,0,E,11,19,24,12,22.9,2,
,caples,9,0,S,23,,,,,,
,caples,9,0,W,34,,,,,,
,caples,9,0,N,23,,,,,,
,caples,9,0,E,33,,,,,,
,caples,10,0,S,5,,,,,,
,caples,10,0,W,2,,,,,,
,caples,10,0,N,5,,,,,,
,caples,10,0,E,2,,,,,,
,caples,11,0,S,2,100,120,4,25.5,3,
,caples,11,0,W,9,,,,,,
,caples,11,0,N,11,16,19,6,5.6,2,
,caples,11,0,N,11,10,21,8,7.2,2,
,caples,11,0,N,11,30,28,13,7.4,4,
,caples,12,0,S,5,13,17,11,3.4,3,
,caples,12,0,W,2,,,,,,
,caples,12,0,N,5,28,60,8,22.3,3,
,caples,12,0,N,5,45,50,24,6.9,2,
,caples,12,0,E,15,17,19,3,5.4,3,
,caples,13,0,S,21,10,35,3,4.8,2,
,caples,13,0,W,8,28,,,,5,
,caples,13,0,N,21,33,75,17,27.9,2,
,caples,13,0,N,21,11,7,5,4.2,3,
,caples,13,0,E,4,,,,,,
,caples,14,0,S,25,,,,,,
,caples,14,0,W,8,9,5,3,4,2,
,caples,14,0,N,13,,,,,,
,caples,14,0,E,4,,,,,,
,caples,15,0,S,49,,,,,,
,caples,15,0,W,3,,,,,,
,caples,15,0,N,35,,,,,,
,caples,15,0,E,2,,,,,,
,caples,16,0,W,22,190,170,42,8.1,4,
,caples,16,0,W,22,21,7,4,5,3,
,caples,16,0,N,6,59,70,21,15.4,4,
,caples,16,0,N,6,20,29,10,1.4,2,
,caples,16,0,S,2,,,,,,
,caples,16,0,E,18,9,5,3,0.5,2,
,caples,17,0,S,2,10,8,3,2.4,3,
,caples,17,0,W,2,27,60,12,14.9,2,
,caples,17,0,W,2,20,19,9,2,3,
,caples,17,0,N,6,47,52,25,12.7,3,
,caples,17,0,E,1,,,,,,
,caples,18,0,S,28,,,,,,
,caples,18,0,W,16,,,,,,
,caples,18,0,N,41,,,,,,
,caples,37,0,S,16,32,,,,5,
,caples,37,0,W,16,10,15,7,2.1,2,
,caples,37,0,W,16,9,5,3,4.4,2,
,caples,37,0,N,29,15,16,3,4.7,2,
,caples,37,0,E,11,,,,,,
,caples,38,0,S,5,,,,,,
,caples,38,0,W,2,,,,,,
,caples,38,0,N,4,,,,,,
,caples,38,0,E,2,,,,,,
,caples,39,0,S,16,44,21,17,2.6,2,
,caples,39,0,W,11,,,,,,
,caples,39,0,N,16,63,60,50,1.6,2,
,caples,39,0,E,9,97,107,92,2.2,2,
,caples,40,0,S,12,,,,,,
,caples,40,0,W,6,29,34,5,9.8,2,
,caples,40,0,W,6,12,20,3,4.1,2,
,caples,40,0,N,18,17,29,3,7.3,2,
,caples,40,0,N,18,26,31,5,6.5,2,
,caples,40,0,N,18,21,46,6,11.5,2,
,caples,40,0,N,18,17,46,3,11.1,2,
,caples,40,0,N,18,18,15,3,3.8,2,
,caples,40,0,E,10,9,8,3,2.9,2,
,caples,40,0,E,10,17,26,3,5.2,2,
,caples,41,0,S,25,,,,,,
,caples,41,0,W,15,,,,,,
,caples,41,0,N,23,,,,,,
,caples,41,0,E,16,,,,,,
,caples,42,0,S,3,20,19,3,2.2,3,
,caples,42,0,S,3,12,17,5,1.7,2,
,caples,42,0,W,7,,,,,,
,caples,42,0,N,19,,,,,,
,caples,42,0,E,3,,,,,,
,caples,43,0,S,23,,,,,,
,caples,43,0,W,4,,,,,,
,caples,43,0,N,16,,,,,,
,caples,43,0,E,0,13,19,3,4.5,2,
,caples,44,0,S,42,,,,,,
,caples,44,0,W,4,,,,,,
,caples,44,0,N,16,,,,,,
,caples,44,0,E,0,,,,,,
,caples,45,0,S,2,14,10,3,3.8,2,
,caples,45,0,W,18,,,,,,
,caples,45,0,N,0,38,70,29,22.6,3,
,caples,45,0,N,0,19,26,3,4.3,2,
,caples,45,0,E,21,12,19,15,6.1,4,
,caples,46,0,S,0,27,28,3,15,2,
,caples,46,0,S,0,24,32,5,13,2,
,caples,46,0,W,1,22,34,3,14.6,2,
,caples,46,0,W,1,12,34,3,14.6,2,
,caples,46,0,W,1,25,45,12,12.3,2,
,caples,46,0,W,1,27,43,18,10.5,2,
,caples,46,0,W,1,7,10,6,1.5,2,
,caples,46,0,N,1,10,28,9,11.8,2,
,caples,46,0,E,2,17,30,3,22.6,2,
,caples,47,0,S,2,,,,,,
,caples,47,0,W,0,18,5,3,8.2,2,
,caples,47,0,W,0,10,9,3,2.7,2,
,caples,47,0,N,2,,,,,,
,caples,47,0,E,1,,,,,,
,caples,48,0,S,13,,,,,,
,caples,48,0,W,53,,,,,,
,caples,48,0,N,11,,,,,,
,caples,18,0,E,13,,,,,,
,caples,19,0,S,28,,,,,,
,caples,19,0,W,13,,,,,,
,caples,19,0,N,20,,,,,,
,caples,19,0,E,6,,,,,,
,caples,20,0,S,5,25,14,4,2.8,2,
,caples,20,0,W,36,,,,,,
,caples,20,0,N,2,20,45,9,7.9,2,
,caples,20,0,E,20,32,42,21,10.3,2,
,caples,21,0,S,35,14,6,5,8.3,2,
,caples,21,0,W,15,,,,,,
,caples,21,0,N,39,,,,,,
,caples,21,0,E,8,,,,,,
,caples,22,0,S,28,,,,,,
,caples,22,0,W,12,,,,,,
,caples,22,0,N,31,,,,,,
,caples,22,0,E,30,,,,,,
,caples,23,0,S,26,,,,,,
,caples,23,0,W,9,22,31,25,3.6,3,
,caples,23,0,N,26,,,,,,
,caples,23,0,E,3,12,16,3,6.4,2,
,caples,23,0,E,3,8,16,3,1.4,3,
,caples,24,0,S,54,23,,3,1.8,3,
,caples,24,0,S,54,18,20,17,2.5,3,
,caples,24,0,W,10,26,29,22,3.6,3,
,caples,24,0,N,45,,,,,,
