ID,PlotID,Easting,Northing,Date1,SamplingTime,Treatment,Control,RXPlanArea,Observers,Datum/Zone,Slope,Aspect,Horiz Shape,Vert Shape,Slope Posit,CGA,SB_Fuel Model,Andersons_FuelModel,Exist Veg1,Exist Veg2,Exist Veg3,Fire Burn Severity,Plot Notes
257,36,,,7/15/2020,2,T,N,Y,"TRP, HEP, ZTC",,,,,,,100,GR2,,CADE,PICO,PIJE,3,Plot center rebar buried in meadow -- needed metal detector. No seedlings in sub plot.
258,37,,,7/13/2020,2,T,N,Y,"TRP, HEP, ZTC",,,,,,,45,TL1,,CADE,ABCO,QUKE,4,No seedlings in subplot plot
259,40,,,8/24/2020,2,UT,Y,N,"TRP, HEP",,,,,,,100,TL1,,ABMA,PIJE,JUCO,0,
260,65,,,7/21/2020,2,T,N,Y,ZTC TRP HEP,,,,,,,100,TL1,,ABCO,CADE,PILA,2,7.6 pit on N offset 30 cm
261,82,,,8/18/2020,2,UT,Y,Y,"TRP, HEP, ZTC",,,,,,,70,TU1,,CADE,PIJE,ABCO,0,No intolerant seedlings nearby
262,99,,,7/20/2020,2,T,N,Y,"TRP, ZTC, HEP",,,,,,,95,TU1,,CADE,ABCO,PIJE,3,No nearby seedlings
263,100,,,7/6/2020,2,T,N,Y,"TRP, HEP, ZTC",,,,,,,100,TU1,,PIJE,ABCO,CADE,3,No seedlings nearby
264,101,,,7/20/2020,2,T,N,Y,"TRP, ZTC, HEP",,,,,,,55,TU1,,QUKE,PIPO,ABCO,4,"Reestablished plot center, no nearby seedlings for nearest regenerated tree."
265,102,,,7/16/2020,2,T,N,Y,ZTC HEP TRP,,,,,,,50,TU1,,CADE,PIJE,ABCO,3,No seedlings located nearby. Established new plot center based on standing dead witness trees from 2017 (tree 327 is still alive). Two new live witness trees established in addition to tree 327.
266,103,,,7/15/2020,2,T,N,Y,"TRP, HEP, ZTC",,,,,,,100,TL1,,CADE,ABCO,PIJE,3,"Plot center likely off, no rebar, just a chaining pin. Probably was 1 meter to west. Restablished with wooden stake."
267,105,,,7/21/2020,2,T,N,Y,"TRP, HEP, ZTC",,,,,,,90,TU1,,CADE,ABCO,PIJE,1,No tolerant seedlings
268,111,,,7/21/2020,2,T,N,Y,"TRP, ZTC, HEP",,,,,,,90,TU1,,PILA,CADE,ABCO,3,Restablished plot center. No seedlings nearby
269,117,,,7/23/2020,2,T,N,Y,"TRP, ZTC, HEP",,,,,,,75,TU1,,CADE,PIJE,ABCO,1,Reestablished plot center. No intolerant seedlings nearby.
270,118,,,7/23/2020,2,T,N,Y,"TRP, HEP, ZTC",,,,,,,97,TU1,,CADE,ABCO,PIJE,2,No seedlings nearby
271,119,,,8/18/2020,2,T,N,Y,"TRP, ZTC, HEP",,,,,,,80,TU1,,CADE,ABCO,,3,No intolerant seed tree nearby.
272,121,,,7/23/2020,2,T,N,Y,ZTC TRP HEP,,,,,,,50,TU1,,PIJE,CADE,ABCO,1,South and west fuel transects mostly over bedrock. Restablished plot center.
273,129,,,8/19/2020,2,T,N,Y,"TRP, HEP",,,,,,,65,TU1,,CADE,ABCO,PIJE,1,No nearby seedlings. 7.6 on W offset 30cm due to log.
274,2,,,7/21/2020,2,T,N,Y,"km, vs, pm",,,,,,,,,,,,,,
275,3,,,7/21/2020,2,T,N,Y,"vs, mm",,,,,,,,,,,,,,
276,4,,,7/21/2020,2,T,N,Y,"ag, vs, pm, mm, km",,,,,,,,,,,,,,
277,13,,,7/21/2020,2,T,N,Y,"ag, mm",,,,,,,,,,,,,,
278,14,,,7/21/2020,2,T,N,Y,"vs, mm",,,,,,,,,,,,,,
279,15,,,7/23/2020,2,T,N,Y,"ag, mm, pm",,,,,,,,,,,,,,
280,16,,,7/26/2020,2,UT,Y,Y,"ag, pm, km, vs, mm",,,,,,,,,,,,,,
281,17,,,7/26/2020,2,UT,Y,Y,"vs, mm",,,,,,,,,,,,,,
282,18,,,7/23/2020,2,T,N,Y,"ag, mm, pm",,,,,,,,,,,,,,
283,19,,,7/25/2020,2,T,N,Y,"ag, pm, km",,,,,,,,,,,,,,
284,20,,,7/24/2020,2,T,N,Y,"ag, pm, km",,,,,,,,,,,,,,
285,21,,,7/22/2020,2,UT,Y,Y,"ag, vs, pm, mm, km",,,,,,,,,,,,,,
286,27,,,7/24/2020,2,T,N,Y,"ag, pm, km",,,,,,,,,,,,,,
287,28,,,7/24/2020,2,T,N,Y,"vs, mm",,,,,,,,,,,,,,
288,29,,,7/24/2020,2,T,N,Y,"vs, mm",,,,,,,,,,,,,,
289,30,,,7/24/2020,2,T,N,Y,"ag, pm, km",,,,,,,,,,,,,,
290,32,,,7/24/2020,2,T,N,Y,"vs, mm",,,,,,,,,,,,,,
291,75,,,7/22/2020,2,T,N,Y,"ag, km, pm",,,,,,,,,,,,,,
292,76,,,7/22/2020,2,T,N,Y,"ag, km, pm",,,,,,,,,,,,,,
293,77,,,7/22/2020,2,T,N,Y,"km, vs, pm",,,,,,,,,,,,,,
294,115,,,7/21/2020,2,T,N,Y,"ag, vs, pm, mm, km",,,,,,,,,,,,,,
295,122,,,7/24/2020,2,T,N,Y,"ag, pm, km",,,,,,,,,,,,,,
296,125,,,7/24/2020,2,UT,Y,Y,vs,,,,,,,,,,,,,,
297,126,,,7/25/2020,2,UT,N,Y,"ag, pm, km",,,,,,,,,,,,,,
298,127,,,7/26/2020,2,UT,Y,Y,"ag, pm, km",,,,,,,,,,,,,,
299,128,,,7/22/2020,2,UT,Y,Y,vs,,,,,,,,,,,,,,
1,1,745326,4286622,7/29/2013,0,UT,N,Y,"CR,AP,BE",10N,8,292,LL,UN,TS,100,"TUS
GS1
GR2
TUS
TL4
TU3
TL6
TL4
SH7
SH3
TU5
TL3
TU1
SH2
SH7
TU3
TU1
SH2
GS2
SH1
TL4
SH2
TU2
TL7
SH1
TUS",,ABCO,CADE,PIJE,1,
2,2,745762,4287036,7/30/2013,0,UT,N,Y,"CR,AP,BE",10N,12,20,CC,UN,TS,85,GS1,,PIJE,PICO,CADE,1,Fuel model different than idicated by LF
3,3,746162,4287028,7/30/2013,0,UT,N,Y,"CR,AP,BE",10N,8,258,UN,UN,HS,75,GR2,,CADE,PIJE,QUKE,1,Fuel model is different than LF designation.
4,4,746539,4287406,7/30/2013,0,UT,N,Y,"CR,AP,BE",10N,16,172,LL,UN,TS,100,TUS,,PICO,CADE,ABCO,1,About 20% of plot in dry meadow
