ID,PlotID,Sampling Time,Total Live Veg Cover,Total Live Veg Ht,Total Tree Cover,Total Tree Ht,Dead Tree Cover,Dead Tree Ht,Tree Overstory Cover,Tree Overstory Ht,Tree Understory Cover,Tree Understory Ht,Total Live Shrub Cover,Total Live Shrub Ht,Dead Shrub Cover,Dead Shrub Ht,Live Shrub Tall Cover,Live Shrub Tall Height,Live Shrub Medium Cover,Live Shrub Medium Height,Live Shrub Low Cover,Live Shrub Low Height,Herb Cover,Herb Ht,Gram Cover,Gram Ht,Other Cover,Notes
1,1,0,35,4,35,4,0.5,2.4,35,4,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0.4,0.5,0.3,,
2,2,0,18,4,15,4,0.5,3,15,4,0.5,1.3,3,0.4,0,0,0,0,3,1.3,3,0.4,0.5,0.3,0.5,0.2,,
3,3,0,4,3,3,9,0.5,8,3,9,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,,
4,4,0,65,4,65,4,0.5,4,65,4,0.5,0.6,0.5,0.1,0,0,0,0,0,0,0.5,0.1,0.5,0.1,0.5,0.3,,
5,5,0,90,15,90,15,0.5,8,90,15,0.5,1,0.5,0.1,0,0,0,0,0,0,0.5,0.1,0.5,0.3,0,0,,
6,6,0,65,7,60,7,0.5,11,60,7,0.5,0.9,10,2.4,0.5,0.3,10,2.4,1,0.9,0.5,0.3,0.5,0.1,0.5,0.2,,
7,7,0,60,13,60,13,0.5,11,60,13,0.5,0.3,0.5,0.2,0,0,0,0,0,0,0.5,0.2,0.5,0.1,1,0.3,,
8,8,0,95,25,95,25,0.5,3,95,25,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0,0,,
9,9,0,95,1.2,0.5,5.8,0,0,0.5,5.8,0.5,1.8,95,1.2,0.5,0.2,20,1.9,95,1.2,40,0.2,0.5,0.1,0,0,,
10,10,0,90,1.4,2,10,0,0,2,10,0.5,0.3,75,1.4,0.5,0.2,5,1.9,75,1.4,10,0.3,0.5,0.3,0,0,,
11,11,0,78,11,75,11,0.5,14,75,11,0.5,0.4,3,1.2,0.5,0.1,0.5,2,3,1.2,2,0.3,0.5,0.1,0,0,,
12,12,0,62,10,62,10,2,7,60,10,0.5,0.1,0.5,0.1,0,0,0,0,0,0,0.5,0.1,0.5,0.5,0.5,0.2,,
13,13,0,36,10,35,10,0.5,11,35,10,0.5,0.2,1,0.4,0,0,0,0,0.5,0.8,1,0.4,0.5,0.3,1,0.2,,
14,14,0,70,0.9,5,9,0.5,10,5,9,0.5,0.6,55,0.9,0.5,0.1,2,1.6,50,0.9,3,0.3,0.5,0.4,0,0,,
15,15,0,0,1.3,0,0,0,0,0,0,0,0,100,1.3,5,0.3,10,1.7,100,1.3,5,0.2,0.5,0.2,0.5,0.8,,
16,16,0,50,5,50,5,0,0,50,5,0.5,0.2,2,1.2,0.5,0.2,0.5,1.9,2,1.2,0.5,0.3,1,0.3,1,0.6,,
17,17,0,30,12,30,12,0.5,11,30,12,0.5,0.3,0.5,0.6,0,0,0,0,0.5,0.6,0.5,0.2,0.5,0.2,0.5,0.5,,
18,18,0,95,1,0,0,0,0,0,0,0,0,95,1,1,0.1,1,1.9,95,1,45,0.3,0.5,0.1,,,,
19,19,0,20,13,12,15,0.5,1,12,15,0.5,1,5,1.2,0.5,0.4,1,2,5,1.2,0.5,0.3,3,0.2,1,0.1,,
20,20,0,35,1.3,10,6,1,3,10,6,0.5,1.2,25,1.3,2,0.2,0.5,1.9,20,1.3,3,0.2,1,0.3,1,0.2,,
