ID,PlotID,Sampling Time,Gravel,Rock,Boulder,Bedrock,Bare Soil,Wood,Litter,Cryp/Moss/Lichen,Ash,Basal Veg,Other,Notes
1,1,0,0.5,1,1,0,0.5,2,94,0.5,0,0.5,0,
2,2,0,0.5,1,0.5,5,0.5,0,36,56,0,0.5,0,
3,3,0,0.5,1.5,0.5,5,0.5,1,70.5,20,0,0.5,0,
4,4,0,0.5,1,0.5,0.5,0,3,93.5,0.5,0,0.5,0,
5,5,0,0.5,0,0,0,0.5,1,97,0.5,0,0.5,0,"Cow evidence, recent"
6,6,0,0.5,1,5,0.5,0.5,0.5,76.5,15,0,0.5,0,Cows nearby
7,7,0,0.5,1,0.5,0,0.5,4,92,1,0,0.5,0,Cows nearby
8,8,0,0.5,0,0,0,0.5,4,94,0.5,0,0.5,0,Date unknown
9,9,0,0.5,0,1,0,1,0,96,1,0,0.5,0,
10,10,0,0.5,0.5,0,0,1,0,97,0.5,0,0.5,0,
11,11,0,0.5,1,0.5,0,0.5,1,95.5,0.5,0,0.5,0,
12,12,0,0,0.5,1,0,0.5,1,96,0.5,0,0.5,0,
13,13,0,0.5,1,0.5,0.5,0.5,2,79.5,15,0,0.5,0,
14,14,0,0.5,1,2,0,0.5,0.5,95,0.5,0,0.5,0,
15,15,0,0.5,0.5,0.5,0.5,0.5,0.5,96,0.5,0,0.5,0,
16,16,0,0.5,1,0.5,0,0.5,1,95.5,0.5,0,0.5,0,
17,17,0,0.5,1,0.5,0,1,1,9,0.5,0,0.5,0,
18,18,0,1,1,1,0,1,0.5,97,0.5,0,0.5,0,
19,19,0,5,3.5,1,0.5,2,0.5,88,1,0,0.5,0,
20,20,0,0.5,1.5,6,13,0.5,2,75,3,0,0.5,0,
21,21,0,0.5,1,0.5,0,0.5,0.5,100,0.5,0,0.5,0,
22,22,0,0.5,0,0.5,10,1,1,88,0.5,0,0.5,0,
23,23,0,0,2,0.5,0,0.5,1,96,1,0,0.5,0,
24,24,0,0,2,1,0.5,0.5,3,92,2,0,0.5,0,
25,25,0,0.5,18.5,1,20,1,0.5,55,5,0,0.5,0,
26,26,0,1,3,1,45,0.5,0.5,34,15,0,0.5,0,
27,27,0,2,1,5,0.5,0.5,0.5,83,10,0,0.5,0,
28,28,0,0,1,0.5,0,0,1,97,0.5,0,1,0,
29,29,0,0.5,0.5,1,0,0.5,1,97,1,0,0.5,0,
30,30,0,2,2,5,30,1,1,54,5,0,0.5,0,
31,31,0,0,0,0,0,0,0,19,80,0,1,0,
32,32,0,0,1.5,5,0.5,0.5,1,91,1,0,1,0,
33,33,0,0.5,0,0,0,0.5,1,99,0.5,0,0.5,0,
34,34,0,2,1.5,7,28,1,0.5,56,5,0,0.5,0,
35,35,0,1,1.5,1,45,1,0.5,46,5,0,0.5,0,
36,36,0,0,0.5,0,0,0.5,1,98,0.5,0,1,0,
37,37,0,0.5,1.5,4,0.5,0.5,1,94,0.5,0,0.5,0,
38,38,0,2,1,0,0,3,1,94,0.5,0,0.5,0,
39,39,0,0.5,1,4,0,60,2,0.5,0,34,0.5,0.5,
40,40,0,1,1.5,0.5,0,0.5,2,95,0.5,0,1,0,
41,41,0,4,61,0.5,0,5,0,30,0.5,0,0.5,0.5,Trail in plot
42,42,0,30,43,0.5,0,1,1,25,0.5,0,0.5,0,
43,43,0,5,1,0.5,0,90,0,5,0.5,0,0.5,0,
44,44,0,0.5,4.5,20,0.5,0.5,0.5,75,0.5,0,1,0.5,
45,45,0,0.5,1.5,1,0,0.5,1,97,0.5,0,0.5,0,
46,46,0,0,0,0,0,0.5,3,95,0.5,0,2,0,
47,47,0,0.5,0.5,0,0,0.5,0.5,100,0.5,0,0.5,0,
48,48,0,1,5,15,45,2,0.5,32,0.5,0,0.5,0,
49,49,0,0.5,1.5,4,35,0.5,1,59,0.5,0,0.5,0,
50,50,0,1,5,1,60,1,0.5,32,0.5,0,0.5,0,
51,51,0,5,11,15,58,1,0.5,10,0.5,0,0.5,0,
52,52,0,0.5,1,1,6,0.5,1,91,0.5,0,1,0,
53,53,0,0.5,1,1,0,0.5,0.5,96,0.5,0,0.5,3,
54,54,0,1,1,8,0,1,3,86,0.5,0,1,0,
55,55,0,24,1.5,0,0,20,0.5,55,0.5,0,0.5,0,
56,56,0,2,0,10,1,0.5,2,84,0.5,0,1,0,
57,57,0,2,8,20,0,1,0.5,68,0.5,0,1,0,
58,58,0,1,10.5,15,0,5,5,63,0.5,0,1,0,
59,59,0,0.5,5.5,45,0,0.5,8,40,0.5,0,2,0,Tiny patches of snow in plot
60,60,0,10,2.5,15,0,10,0,63,0.5,0,0.5,0,
61,65,0,0,0,0,0,0.5,12,86.5,0,0,1,0,
62,75,0,2,0,1,0,1,5,90,0,0,1,0,
63,76,0,0,2,0,0,0,3,94,0,0,1,0,
64,77,0,0.5,0,0,0,0,6,92.5,0,0,1,0,
65,82,0,5,1.5,5,12,3,3,69.5,0,0,1,0,
66,83,0,15,6,0,0,5,2,71,0,0,1,0,
67,84,0,7,6,0,0,0.5,7,78.5,0,0,1,0,
68,85,0,2,0,0,0,2,2,86.5,0,0,0.5,0,
69,92,0,0,0,0,0,0,8,91,0,0,1,0,
70,93,0,0,0.5,0,0,0,15,83.5,0,0,1,0,
71,94,0,0,2,5,0,0,15,77,0,0,1,0,
72,95,0,0,0,0,0,0,5,94,0,0,1,0,
73,98,0,7,1,0,0,2,0,89,0,0,1,0,
74,99,0,0.5,0,0,0,1,1,96.5,0,0,1,0,
75,100,0,1,7,0,0,0.5,7,83.5,0,0,1,0,
76,101,0,0.5,1,60,0,0,1,37,0,0,0.5,0,
77,102,0,1,8,3,0,1,0,86,0,0,1,0,
78,103,0,0.5,2,3,,0.5,13,77.5,0.5,0,3,0.5,"large dead tree near plot center, counted as part of basal veg"
79,104,0,0.5,0.5,7,,0.5,12,77,0.5,0,2,0,
80,105,0,0,3,10,,0.5,12,71.5,0,0,3,0,
81,106,0,0.5,0.5,12,,0.5,14,69,0.5,0,3,0,
82,107,0,0.5,0.5,20,,0.5,20.5,55,0,0,3,0,
83,108,0,0.5,1,15,,0.5,30,51,0,0,2,0,
84,109,0,0.5,4,15,,0.5,40,38,0,0,2,0,
85,110,0,0.5,2,10,,0.5,21,63,0,0,3,0,
86,111,0,0,2,10,,0,10,75,0,0,3,0,
87,112,0,4,10,15,,3,5,62,0,0,1,0,
88,113,0,3,0.5,0,,2,5,87.5,0,0,2,0,
89,114,0,3,0.5,0,,0.5,3,90,0,0,3,0,
90,115,0,5,5,8,,2,5,74,0,0,1,0,
91,116,0,0.5,0,0,,1,39,56.5,0,0,3,0,
92,117,0,0.5,5,15,,0.5,17.5,60,0.5,0,1,0,
93,118,0,0.5,3,6,,0.5,27,60,0,0,3,0,
94,119,0,0,1,5,,1,60,32,0,0,1,,
95,120,0,1,1,1,,0,49,45,0,0,3,0,
96,121,0,2,3,67.5,,5,1.5,20,0,0,1,0,
97,122,0,1,5,6,,0.5,23,62.5,0,0,2,0,
98,123,0,1,3,12,,1,18,63,0,0,2,0,
99,124,0,0.5,1,8,,0.5,6,82,0,0,2,0,
100,125,0,1,2,0.5,,0.5,1.5,91,0.5,1,2,0,
101,126,0,0.5,0.5,0,,1,19,77,0,0,2,0,
102,127,0,0.5,1,1,,2,6,88.5,0,0,1,0,
103,128,0,0.5,0,0.5,,0.5,24,72,0.5,0,2,0,
104,129,0,0.5,3,10,,0.5,13,71,0,0,2,0,
105,130,0,1,2,0.5,,0.5,12,82,0,0,2,,
106,131,0,0.5,1,0.5,,0,33,62,0,0,3,0,
107,132,0,0.5,1,1,,8,12,76,0.5,0,1,0,
108,133,0,1,0.5,0,,62.5,4,30,0,0,2,0,
109,12,2,,20,,,25,4,50.5,0,,0.5,,
110,101,2,,45,,,29.5,0,25,0,,0.5,,
111,117,2,,25,,,31,2,41,0,,1,,
112,118,2,,15,,,45,5,34,0,,1,,
113,121,2,,50,,,38.5,0.5,10,0.5,,0.5,,
114,34,2,,40,,,43.5,0.5,15,0.5,,0.5,,
115,33,2,,0,,,53,6,25,15,,1,,Morels present!
116,31,2,,0,,,94,0,5,0.5,,0.5,,"BARE=to standing water, may be litter below"
117,105,2,,35,,,40,4,20,0,,1,,
118,111,2,,35,,,1,5,58,0,,1,,
119,65,2,,0,,,68,5,25,0,,2,,
120,99,2,,2,,,67,0.5,30,0,,0.5,,
121,35,2,,65,,,23.5,0.5,10,0.5,,0.5,,
122,11,2,,7,,,40,2,50,0,,1,,
123,10,2,,20,,,76,0.5,3,0,,0.5,,
124,9,2,,45,,,53.5,0.5,0.5,0,,0.5,,
125,24,2,,50,,,10,5,34.5,0,,0.5,,
126,22,2,,25,,,71,0.5,3,0,,0.5,,
127,23,2,,30,,,34,1,34,0,,1,,
128,129,2,,40,,,4,1,54.5,0,,0.5,,
129,82,2,,35,,,25,5,34.5,0,,0.5,,
130,119,2,,35,,,37,1,25,0,,1,,
131,40,2,,3,,,40,5,51,0,,1,,
132,100,2,,10,,,37,2,36,0,,1,,Basal dead trace
133,7,2,,15,,,27.5,15,40,0.5,,2,,
134,5,2,,0,,,15,15,67,0,,2,1,Trail crosses
135,8,2,,0.5,,,35,10,53.5,0,,1,,
136,37,2,,45,,,26,2,26.5,0,,0.5,,100
137,26,2,,65,,,10,1,22.5,0.5,,1,,100
138,25,2,,50,,,27.5,1,20,0.5,,1,,100
139,36,2,,0,,,49,1,48,1,,1,,100
140,6,2,,30,,,3,1,65,0,,1,,100
141,103,2,,15,,,52,2,30,0,,1,,100
142,102,2,,45,,,39,0.5,15,0,,0.5,,100
143,1,2,,20,,,50.5,4,25,0,,0.5,,100
144,115,2,,19,,,10,0,70,0.5,,0.5,,100
145,122,2,,37,,,0.5,0,61.5,0,,1,,100
146,125,2,,2,,,0.5,0.5,91,3,,3,,100
147,126,2,,1,,,3,2,92.5,0.5,,1,,100
148,127,2,,2,,,10,1.5,84,0.5,,2,,100
149,128,2,,3,,,3,7,82,3,,2,,100
150,13,2,,3,,,0.5,0.5,94.5,0.5,,1,,100
151,14,2,,20,,,12,0.5,66,0.5,,1,,100
152,15,2,,65.5,,,28,0.5,5,0.5,,0.5,,100
153,16,2,,2,,,0.5,8,87,0.5,,2,,100
154,17,2,,6,,,14,6,72.5,0.5,,1,,100
155,18,2,,35,,,51,0.5,13,0,,0.5,,100
156,19,2,,28,,,40,0.5,29,0.5,,2,,100
157,2,2,,89,,,1,0.5,7,0.5,,2,,100
158,20,2,,35,,,56.5,0.5,7,0.5,,0.5,,100
159,21,2,,3,,,10,2,83.5,0.5,,1,,100
160,27,2,,34,,,35,0.5,29.5,0.5,,0.5,,100
161,28,2,,22,,,2,3,69.5,0.5,,3,,100
162,29,2,,26,,,4,4,63.5,0.5,,2,,100
163,3,2,,73.5,,,6,4,15,0.5,,1,,100
164,30,2,,71,,,25,0.5,2.5,0.5,,0.5,,100
165,32,2,,50,,,0,2,42,3,,3,,100
166,4,2,,8,,,2,3,84.5,0.5,,2,,100
167,77,2,,0.5,,,0,7,87.5,2,,3,,100
168,76,2,,1,,,0,15,81.5,0.5,,2,,100
169,75,2,,1,,,4,2,92,0.5,,0.5,,100
170,12,2,,20,,,25,4,50.5,0,,0.5,,
171,101,2,,45,,,29.5,0,25,0,,0.5,,
172,117,2,,25,,,31,2,41,0,,1,,
173,118,2,,15,,,45,5,34,0,,1,,
174,121,2,,50,,,38.5,0.5,10,0.5,,0.5,,
175,34,2,,40,,,43.5,0.5,15,0.5,,0.5,,
176,33,2,,0,,,53,6,25,15,,1,,Morels present!
177,31,2,,0,,,94,0,5,0.5,,0.5,,"BARE=to standing water, may be litter below"
178,105,2,,35,,,40,4,20,0,,1,,
179,111,2,,35,,,1,5,58,0,,1,,
180,65,2,,0,,,68,5,25,0,,2,,
181,99,2,,2,,,67,0.5,30,0,,0.5,,
182,35,2,,65,,,23.5,0.5,10,0.5,,0.5,,
183,11,2,,7,,,40,2,50,0,,1,,
184,10,2,,20,,,76,0.5,3,0,,0.5,,
185,9,2,,45,,,53.5,0.5,0.5,0,,0.5,,
186,24,2,,50,,,10,5,34.5,0,,0.5,,
187,22,2,,25,,,71,0.5,3,0,,0.5,,
188,23,2,,30,,,34,1,34,0,,1,,
189,129,2,,40,,,4,1,54.5,0,,0.5,,
190,82,2,,35,,,25,5,34.5,0,,0.5,,
191,119,2,,35,,,37,1,25,0,,1,,
192,40,2,,3,,,40,5,51,0,,1,,
193,100,2,,10,,,37,2,36,0,,1,,Basal dead trace
194,7,2,,15,,,27.5,15,40,0.5,,2,,
195,5,2,,0,,,15,15,67,0,,2,1,Trail crosses
196,8,2,,0.5,,,35,10,53.5,0,,1,,
197,37,2,,45,,,26,2,26.5,0,,0.5,,100
198,26,2,,65,,,10,1,22.5,0.5,,1,,100
199,25,2,,50,,,27.5,1,20,0.5,,1,,100
200,36,2,,0,,,49,1,48,1,,1,,100
201,6,2,,30,,,3,1,65,0,,1,,100
202,103,2,,15,,,52,2,30,0,,1,,100
203,102,2,,45,,,39,0.5,15,0,,0.5,,100
204,1,2,,20,,,50.5,4,25,0,,0.5,,100
205,115,2,,19,,,10,0,70,0.5,,0.5,,100
206,122,2,,37,,,0.5,0,61.5,0,,1,,100
207,125,2,,2,,,0.5,0.5,91,3,,3,,100
208,126,2,,1,,,3,2,92.5,0.5,,1,,100
209,127,2,,2,,,10,1.5,84,0.5,,2,,100
210,128,2,,3,,,3,7,82,3,,2,,100
211,13,2,,3,,,0.5,0.5,94.5,0.5,,1,,100
212,14,2,,20,,,12,0.5,66,0.5,,1,,100
213,15,2,,65.5,,,28,0.5,5,0.5,,0.5,,100
214,16,2,,2,,,0.5,8,87,0.5,,2,,100
215,17,2,,6,,,14,6,72.5,0.5,,1,,100
216,18,2,,35,,,51,0.5,13,0,,0.5,,100
217,19,2,,28,,,40,0.5,29,0.5,,2,,100
218,2,2,,89,,,1,0.5,7,0.5,,2,,100
219,20,2,,35,,,56.5,0.5,7,0.5,,0.5,,100
220,21,2,,3,,,10,2,83.5,0.5,,1,,100
221,27,2,,34,,,35,0.5,29.5,0.5,,0.5,,100
222,28,2,,22,,,2,3,69.5,0.5,,3,,100
223,29,2,,26,,,4,4,63.5,0.5,,2,,100
224,3,2,,73.5,,,6,4,15,0.5,,1,,100
225,30,2,,71,,,25,0.5,2.5,0.5,,0.5,,100
226,32,2,,50,,,0,2,42,3,,3,,100
227,4,2,,8,,,2,3,84.5,0.5,,2,,100
228,77,2,,0.5,,,0,7,87.5,2,,3,,100
229,76,2,,1,,,0,15,81.5,0.5,,2,,100
230,75,2,,1,,,4,2,92,0.5,,0.5,,100
