Site,date,Plot ID,year,Observers,X,Y,Burn (y/n),FireSeverity,Slope%,Aspect_degree,HorizontalShape,VerticalShape,SlopePosition,ExistingVeg (Top3TOV),WTreeDistance_m,WTreeAzimuth_deg,WTreeTagNo,TOT VEG (%),TOT(%)all,TOT_modHT(m),DT(%)all,DT_modHT(m),TOV(%)>1.8m live,TOV_modHT(m),TSA(%)<1.8m live,TSA_modHT(m),TSE(%),TSE_modHT(m),TRE(%),TRE_modHT(m),TOS(%),TOS_modHT(m),DS(%),DS_modHT(m),ST(%) >1.9m,ST_modHT(m),1.9m> SM(%) >0.5m,SM_modHT(m),SL(%) <0.5m,SL_modHT(m),TOF(%),TOF_modHT(m),TOG(%),TOG_modHT(m),BARESOIL,BLACK LITTER,LITTER,CWD,CONES% / dom spp.,Bedrock,SMROCK (2-600mm),ROCK (>600mm),ASH,BASALVEG,MOSS/LICHEN,RD,Total Ground Cover (%) ,Photos,History,NOTES
RIM,6/30/2021,BM1,2021,"ag, jw, km, mm, mv",,,yes,,6,348,LL,LL,,"pipo, cade, vulmyu",4.2,205,975,100,30,0.13,0.25,,30,14,0,na,0.25,0.1,0,na,18,0.25,0.25,0.6,0,na,0,na,18,0.25,15,0.1,60,0.2,0.5,tr,98.25,tr,0.5,0,tr,0,0,0.75,tr,0,100,yes,,
RIM,7/4/2021,BM2,2021,"km, mm, mv",,,,,21,106,LL,LL,,"pipo, cade, chafol",7.4,53,976,96,20,0.16,0.75,2,19,28,0.5,1.4,0.5,0.1,0.5,1.4,70,0.25,tr,0.4,0,na,0,na,70,0.25,2.5,0.1,12,0.15,0.25,tr,89.75,1,".25, pipo",0,7,tr,tr,0.75,tr,0,98.75,yes,,.25% pipo cones; just underside of cap melted
RIM,7/4/2021,BM3,2021,"km, mm, mv",,,,,14,38,LL,LL,,"pipo, cade, psme",7,68,977,93,7.25,1,0,na,7,12,0,na,0.25,0.1,0.25,0.4,68,0.2,tr,0.3,0,na,0,na,68,0.2,1.5,0.1,8,0.2,0.25,tr,97.25,2,tr,0,tr,0,0,0.5,tr,0,100,yes,,
RIM,7/4/2021,BM4,2021,"km, mm, mv",,,,,28,140,LL,LL,,"pipo, cade, quke",6.6,14,978,98.5,36.75,9,10,1.5,36,9,0.5,1.7,0.25,0.1,0.5,1.4,77,0.3,tr,0.4,0,na,0,na,77,0.3,1,0.1,30,0.3,tr,tr,97,tr,tr,0.5,1.5,0.25,0,0.75,tr,0,100,yes,,
RIM,7/4/2021,BM5,2021,"km, mm, mv",,,,,16,197,LL,LL,,"pipo, cade, quke",6.1,4,979,98,15.75,0.2,8.25,2,15,,0,na,0.75,0.5,1,1.2,48,0.2,0.5,0.8,0,na,0,na,48,0.2,14,0.1,76,0.2,0.5,tr,94.25,4,tr,0,tr,0,0,1.25,tr,0,100,yes,,
RIM,7/3/2021,BM6,2021,"km, mm, mv",,,,,21,86,LL,LL,,"pipo, cade, quke",2.9,34,980,98,15,,0.5,1.8,15,,0,na,tr,0.1,tr,0.1,80,0.2,0,na,0,na,0,na,80,0.2,10,0.15,40,0.3,0.5,0.25,97.75,0.5,tr,0,0.25,0.25,0,0.5,tr,0,100,yes,,
RIM,7/3/2021,BM7,2021,"km, mm, mv",,,,,15,96,LL,LL,,"pipo, cade, quke",11,33,981,97,22.25,0.9,4,0.9,22,,0,na,0.25,0.1,tr,0.4,31,0.2,0.5,0.8,0,na,0,na,31,0.2,10,0.4,80,0.15,0.5,tr,97.75,0.25,0.25,0,0.5,0,0,0.75,tr,0,100,yes,,
RIM,6/29/2021,BM8,2021,"ag, jw, km, mm, mv",,,yes,,14,88,LL,LL,,"cade, pipo, quke",2.5,39,982,98,28,0.2,0,na,28,9,0,na,0.25,0.1,0.75,0.6,50,0.2,1.5,0.5,0,na,8,0.8,50,0.2,15,0.2,70,0.2,0.5,tr,98.5,0.5,tr,0,tr,0,0,0.5,tr,0,100,yes,,
RIM,6/29/2021,BM9,2021,"ag, jw, km, mm, mv",,,yes,,12,86,UN,LL,,"pipo, cade, quke",10.45,241,983,,9,1.1,6,1.2,5,12.4,4,1.6,2.5,1.1,0.5,1,8,0.2,0.75,0.8,0,na,1,0.7,8,0.2,22,0.2,96,0.4,tr,tr,91,8,0,0,tr,tr,tr,1,tr,0,100,yes,,
RIM,6/30/2021,BM10,2021,"ag, jw, km, mm, mv",,,yes,,4,30,LL,LL,,"pipo, cade, quke",9,178,4315,97,20,12,0,na,20,12,0,na,tr,0.1,0,na,0.25,0.3,tr,0.25,0,na,0,na,0.25,0.3,20,0.2,70,0.1,2,tr,96.5,,0.25,0,tr,0,0.25,1,tr,0,100,yes,,
