Date,year,Plot ID,Observers,X,Y,Burn (y/n),FireSeverity,Slope%,Aspect_degree,HorizontalShape,VerticalShape,ExistingVeg (Top3TOV),WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT VEG (%),TOT(%)all,TOT_modHT(m),DT(%)all,DT_modHT(m),TOV(%)>1.4m live,TOV_modHT(m),TSA(%)<1.4m live,TSA_modHT(m),TSE(%),TSE_modHT(m),TRE(%),TRE_modHT(m),TOS(%),TOS_modHT(m),DS(%),DS_modHT(m),ST(%) >1.8m,ST_modHT(m),<1.8m SM(%) >0.5m,SM_modHT(m),SL(%) <0.5m,SL_modHT(m),TOF(%),TOF_modHT(m),TOG(%),TOG_modHT(m),BARESOIL,LITTER,BlackLitter,ASH,CWD (>7.62 cm),CONES% / dom spp.,Boulder/Bedrock (>600 mm),ROCK (75-600mm),SMROCK (<75 mm),BASALVEG,CRYPTOGRAMS,RD,Total Ground Cover (%) ,History,NOTES,
9/27/2021,2021,CONCOW001,"km, mm, sb, ms",630501,4410111,yes,2,37,5,LL,LL,"node, cade, cornut",8,228,4601,51,38,8,12,8,34,11,7,2.2,8,1.2,13,1.2,7,0.8,0,na,1,1.7,5.5,0.8,7,0.5,7.5,0.5,tr,0.5,6,89.75,tr,0,3,.25 node,0,tr,0.25,0.75,tr,0,99.75,,".25% node cones, didnt see any true cones",
9/28/2021,2021,CONCOW002,"km, mm, sb, ms",631860,4410798,no,0 - unburned,28,88,LL,LL,"node, psme, pila",8.7,181,4617,96,95,7,2,7,78,32,19,2.5,37,0.3,15,2,0.25,0.6,0,na,0,na,0.25,0.6,0.25,0.5,0.5,0.2,0.25,0.3,0,95,tr,0,4,tr,0,0,tr,1,tr,0,100,,,
9/28/2021,2021,CONCOW003,"km, mm, sb, ms",631714,4410443,yes,2,38,338,LL,LL,"abco, pila, node",6.6,242,4632,27,27,18,12.5,18,20,44,5.5,1.8,2,0.7,13,1.5,0.5,0.7,0,na,tr,1.9,0.25,0.7,0.5,0.5,0.5,0.5,tr,0.2,7,90,tr,0,1.5,tr psme,0,tr,tr,1.5,tr,0,100,,lots of cryptoporus fungi on ground; .5 tof from fern,
9/29/2021,2021,CONCOW004,"km, mm, sb, ms",631278,4410551,no,0 - unburned,14,350,LL,LL,"psme, abco, pila",7.5,195,4268,88,87,6,1,6,74,42,2.5,3.5,2,0.2,23.5,2,1.5,0.5,0,na,tr,2,0.5,0.8,1.5,0.5,1.25,0.4,tr,0.4,tr,95.25,tr,0,2.5,.25 pila,0,0,0,2,tr,0,99.75,,".25% pila cones, regen protocol changed starting this day. resp % cover also now starting to be recorded in sp cover",
9/29/2021,2021,CONCOW005,"km, mm, sb, ms",631452,4410386,no,0 - unburned,29,140,LL,CV,"pipo, abco, pila",6.3,208,4282,74,74,14.5,7,14.5,34,11,1,2,1,0.2,65,2.8,0,na,0,na,0,na,0,na,0,na,tr,0.1,0,na,tr,96.5,tr,0,2,.5 pila,0,0,0,1,0,0,99.5,,.5% pila cones,
9/29/2021,2021,CONCOW006,"km, mm, sb, ms",631359,4410130,yes,1,13,282,LL,LL,"pila, node, abco",10.6,236,4291,86,86,38.8,9,38.8,85,32,0,na,3.75,0.2,5,1.2,1.5,0.3,0,na,0,na,tr,0.6,1.5,0.3,tr,0.2,0,na,5,92,tr,0,0.75,.25 pila,0,0,0,2,tr,0,99.75,,".25% pila cones, conesabout 10 percent of plot covered by old dozer tracks",
9/30/2021,2021,CONCOW007,"km, mm, sb, ms",631731,4410171,yes,2,25,350,LL,LL,"pila, abco, pipo",0.7,230,4704,76,76,10.5,1,10.5,75,39,0,na,tr,0.1,3.5,1,0,na,0,na,0,na,0,na,0,na,tr,0.1,tr,0.6,0.25,95.75,tr,0,2.25,.5 pila,0,0,0,1.25,tr,0,99.5,,.5% pila cones,
9/30/2021,2021,CONCOW008,"km, mm, sb, ms",631275,4409790,yes,4,10,104,LL,LL,"pila, cade, pipo",7.1,272,dead,60,18,na,0.3,6,0,na,tr,1.4,tr,0.15,18,1.7,60,2,1,1.6,35,2,57,1.8,50,0.5,10,0.6,4.5,1,40,57.75,tr,0,1.5,0,0,0,tr,0.75,0,0,100,,,
9/30/2021,2021,CONCOW009,"km, mm, sb, ms",629563,4409042,yes,5 - high severity,34,188,CC,LL,"node, quke, quechr",10,250,dead,100,3.25,1.6,1.75,5.2,0,na,2.75,1.6,0.75,0.7,3.25,1.6,99,1.7,tr,0.3,45,1.9,97,1.7,99,0.5,7,1.6,3,0.4,0,99.25,tr,0,0.5,0,0,0,tr,0.25,0,0,100,,"incl sh rsp, tre % is 87, md ht 1.8",
10/1/2021,2021,CONCOW010,"km, mm, ms",629973,4409076,yes,5 - high severity,32,205,LL,LL,"node, ceaint, madia",8.6,289,dead,86,2,1.6,0.25,8.1,0,na,1.75,1.6,0.5,0.6,2,1.6,72,0.8,tr,0.4,0.5,1.9,70,0.8,72,0.5,18,0.3,1.5,0.3,0.75,98,tr,0,0.5,0,0,0.25,0.25,0.25,0,0,100,,Danny from Pulga observed,
