Date,Plot ID,Observers,X,Y,Burn (y/n),FireSeverity,Slope%,Aspect_degree,HorizontalShape,VerticalShape,ExistingVeg (Top3TOV),WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT VEG (%),TOT(%)all,TOT_modHT(m),DT(%)all,DT_modHT(m),TOV(%)>1.4m live,TOV_modHT(m),TSA(%)<1.4m live,TSA_modHT(m),TSE(%),TSE_modHT(m),TRE(%),TRE_modHT(m),TOS(%),TOS_modHT(m),DS(%),DS_modHT(m),ST(%) >1.8m,ST_modHT(m),<1.8m SM(%) >0.5m,SM_modHT(m),SL(%) <0.5m,SL_modHT(m),TOF(%),TOF_modHT(m),TOG(%),TOG_modHT(m),BARESOIL,LITTER,BlackLitter,ASH,CWD (>7.62 cm),CONES% / dom spp.,Boulder/Bedrock (>600 mm),ROCK (75-600mm),SMROCK (<75 mm),BASALVEG,CRYPTOGRAMS,BURN PILE,RD,Total Ground Cover (%) ,History,NOTES,
9/17/2021,HENRY001,"km, mm, sb",631804,4115149,no,0 - unburned,3,305,LL,LL,"arbmen, quag, qulo",8.4,205,4201,99,42,1.3,0,na,40,15,1.25,1.8,1,0.4,0,na,88,8,16,1.9,59,8,61,1.8,88,0.5,1.25,0.3,42,0.4,0,98.5,0,0,0.5,tr,0,0,tr,1,tr,0,0,100,,,
9/17/2021,HENRY002,"km, mm, sb",631913,4115157,no,0 - unburned,10,153,LL,LL,"quag, quke, pipo",4.8,240,4220,96,84,13,tr,1.4,84,13,tr,1.9,tr,0.2,0,na,0.75,0.5,0,na,0.25,2,tr,0.7,0.5,0.5,1.5,0.2,37,0.3,0,98.25,0,0,0.5,tr,0,0,tr,1.25,tr,0,0,100,,,
9/17/2021,HENRY003,"km, mm, sb",631964,4115087,no,0 - unburned,33,135,LL,LL,"quag, pisa, quke",6.9,208,4835,80,46,4,0.25,7.1,45,4,1.25,2.7,0.25,0.5,0,na,23,7,4,3.3,19,7,22,1.8,23,0.5,2,0.3,11,0.8,0,94.5,0,0,5,tr,0,0,tr,0.5,tr,0,0,100,,,
9/17/2021,HENRY004,"km, mm, sb",632013,4115162,no,0 - unburned,6,88,CV,LL,"quag, quke, pisa",9.8,2,4834,78,47,11,tr,0.1,47,11,0,na,0.25,0.5,0,na,0.25,0.4,0,na,0,na,0,na,0.25,0.4,5,0.2,55,0.4,0.75,91.25,0,0,0.25,tr,0,0,2,0.25,tr,5.5,0,100,,W end of transect pin flag 15.3m from center to stay clear of burn pile,
9/18/2021,HENRY005,"km, mm, sb",632122,4115251,no,0 - unburned,30,101,CC,CC,"quag, qudo, pipo",3.4,269,4235,95,60,9,tr,0.3,60,9,tr,1.5,tr,0.1,tr,0.2,49.5,4,0,na,46,4,30,1.8,5,0.5,tr,0.1,9.5,0.3,0,98.75,0,0,tr,0,0.75,tr,tr,0.5,tr,0,0,100,,,
9/18/2021,HENRY006,"km, mm, sb",632014,4115252,no,0 - unburned,21,110,LL,LL,"quag, quke, pisa",4.9,215,4245,99,80,9,tr,0.3,80,9,1,2.3,0.25,0.2,0,na,45,3.8,12,0.9,42,3.8,26,1.8,27,0.5,0.25,0.2,24,0.4,tr,95,0,0,4,.25 pisa,0,0,0.25,0.75,tr,0,0,100,,,
9/18/2021,HENRY007,"km, mm, sb",631901,4115248,no,0 - unburned,6,144,LL,LL,"quag, quke, pipo",8.8,242,4833,97,90,15,0.5,6,90,15,1.25,1.7,0.25,0.2,0,na,7.5,4,2.25,1,6.5,4,7.5,1.8,5,0.5,2,0.2,8,0.3,0,99,0,0,0.5,tr,0,0,tr,0.5,tr,0,0,100,,,
9/18/2021,HENRY008,"km, mm, sb",631816,4115264,no,0 - unburned,15,285,LL,LL,"quag, qudo, pisa",11,250,4855,92,68,17,tr,0.4,65,17,0,na,tr,0.1,0,na,23,8,0,na,22,8,17,1.8,5,0.5,3,0.2,35,0.4,0,99.5,0,0,tr,.5 pisa,0,tr,tr,0.5,tr,0,0,100,,,
9/18/2021,HENRY009,"km, mm, sb",631831,4115369,no,0 - unburned,30,310,LL,LL,"quke, pipo, umbcal",10.5,202,4870,94,83,16,tr,0.6,83,16,3,1.8,tr,0.1,0,na,5,2.7,3,0.5,4.5,2.7,4.75,1.8,3.25,0.5,3,0.4,44,0.3,tr,98,0,0,0.75,tr,0,tr,0.5,0.75,tr,0,0,100,,,
9/19/2021,HENRY010,"km, mm, sb",631937,4115371,no,0 - unburned,34,8,LL,LL,"quke, pipo, umbcal",10,208,4257,99,85,9.2,0,na,85,9.2,0,na,0.25,0.4,0,na,28,9,4,0.6,22,9,5,1.8,4,0.5,3,0.2,30,0.6,1,95.5,0,0,2,0,0,0,tr,0.5,tr,1,0,100,,,
