Year,Date,Plot ID,Observers,X,Y,Burn (y/n),FireSeverity,Slope%,Aspect_degree,HorizontalShape,VerticalShape,ExistingVeg (Top3TOV),WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT VEG (%),TOT(%)all,TOT_modHT(m),DT(%)all,DT_modHT(m),TOV(%)>1.4m live,TOV_modHT(m),TSA(%)<1.4m live,TSA_modHT(m),TSE(%),TSE_modHT(m),TRE(%),TRE_modHT(m),TOS(%),TOS_modHT(m),DS(%),DS_modHT(m),ST(%) >1.8m,ST_modHT(m),<1.8m SM(%) >0.5m,SM_modHT(m),SL(%) <0.5m,SL_modHT(m),TOF(%),TOF_modHT(m),TOG(%),TOG_modHT(m),BARESOIL,LITTER,BlackLitter,ASH,CWD (>7.62 cm),CONES% / dom spp.,Boulder/Bedrock (>600 mm),ROCK (75-600mm),SMROCK (<75 mm),BASALVEG,CRYPTOGRAMS,RD,Total Ground Cover (%) ,History,NOTES,,
2021,9/12/2021,KLAMATH001,"km, jw, mm, ms",458418,4592665,no,0 - unburned,14,314,,,"psme, node, arbmen",8.4,220,4501,40,34,8.5,3.5,8,15,36.3,0,na,0.25,0.2,20.5,1.2,2,0.9,0.25,4,0,na,2,0.9,2,0.5,0.25,0.1,0.5,0.7,0,98.25,0.5,tr,0.5,tr,0,tr,tr,0.75,tr,0,100,,"declination was set at 14, Shaye observing for beginning, tre not also counted as tsa and tse; burn pile remnants",,"used Avenza for UTMs because no Collector map was made. Seems more jumpy than Collector, 1 map given was in different coordinate system and wouldnt give same type of UTM"
2021,9/12/2021,KLAMATH002,"km, jw, mm, ms",458085,4592625,no,0 - unburned,54,321,undulating,concave,"psme, arbmen, pila",6.02,218,4504,76,74,7,4,7,70,13.5,0.75,1.8,0.25,0.3,6.75,1.2,4,0.4,0,na,0.5,1.9,2,0.9,4,0.3,1.25,0.3,1,1,tr,98.75,tr,0,0.25,tr,0,0,tr,0.75,0.25,0,100,,,,
2021,9/13/2021,KLAMATH003,"km, pm, mm, ms",458070,4592401,no,0 - unburned,9,325,planar,undulating,"psme, pipo, arbmen",3.7,193,4517,80,15,11,8.75,11,15,13,0,na,tr,0.2,0.5,0.4,48,1.2,0,na,0.25,3.5,42,1.2,48,0.5,28,0.3,1.5,0.2,0,98.75,0.25,0,0.25,tr,0,tr,tr,0.75,tr,0,100,,old road or dozer line through souht end,,
2021,9/13/2021,KLAMATH004,"km, mm, ms, pm, jw, TREX crew",453499,4571352,no,0 - unburned,7,135,convex,planar,"salix, carex, artdou",na,na,na,100,0,na,0,na,0,na,0,na,0,na,0,na,65,3,5,3,65,3,65,1.8,65,0.5,0.5,1,98,0.8,0,99,0,0,0,0,0,0,0,1,0,0,100,5.65m radius,"plot set at 5.65m radius, if trevincl salix, same as sh %",,
2021,9/13/2021,KLAMATH005,"km, mm, ms, TREX crew",453478,4574059,no,0 - unburned,40,160,planar,undulating,"psme, node, arbmen",5.9,188,4525,98,50,4,4,4,33,30,0.25,1.8,0.5,0.5,25.5,2.2,86,1.3,0,na,3,2.5,85,1.3,86,0.5,18,1.6,1,0.8,tr,95,tr,0,4,tr,0,0,tr,1,tr,0,100,,much of fob is from vitcal,,
2021,9/14/2021,KLAMATH006,"km, mm, ms",453466,4571502,no,0 - unburned,8,228,convex,planar,"salix2, salix1, artdou",95,51,"2 pipo in distance next to eachother, one on left was used as wt",98,0,na,0,na,0,na,0,na,0,na,0,na,47,2.3,9.5,2.4,45,2.3,47,1.8,47,0.5,39,1,32,0.1,1.5,97.5,tr,0,0,tr,0,0,tr,1,tr,0,100,5.65m radius,"rebar used was from other study, hammered far down, plot set at 5.65m radius, spraypainted rock to mark. no cap.if tre incl salix then same as sh cover",,
2021,9/14/2021,KLAMATH007,"km, mm, ms",453499,4571495,no,0 - unburned,12,150,planar,convex,"salix, brodia, vinmaj",na,na,na,100,0,na,0,na,0,na,0,na,0,na,0,na,46,2.7,2,2.4,46,2.7,40,1.8,25,0.5,26,0.6,75,0.3,0,99,0,0,0,0,0,0,0,1,0,0,100,5.65m radius,"rebar used was from other study, hammered far down, red plot set at 5.65m radius, spraypainted rock to mark. no cap.if tre incl salix then same as sh cover",,
2021,9/14/2021,KLAMATH008,"km, mm, ms",453472,571619,no,0 - unburned,5,280,undulating,undulating,"rops, grass, rubarm",2.55,180,4533,99.25,95,13,6.5,12,95,13,0,na,0,na,5,8,3.5,0.5,0,na,0.5,1.85,1.5,0.7,3.5,0.5,3.25,0.03,88.5,0.15,0,99,tr,0,0,0,0,0,0,1,0,0,100,5.65m radius,"5.65m plot. Only did trees on east side to extrapolate, wet grass and low fuels unlike.y fire will carry through plot",,
2021,9/14/2021,KLAMATH009,"km, mm, ms",453778,4573752,no,0 - unburned,8,252,planar,planar,"psme, rops, node",9.1,182,4549,99,98,36,15,9.5,97,36,tr,1.5,tr,0.5,3.75,1.4,16,0.9,0,na,0.25,1.9,1.5,0.9,16,0.5,82,0.1,3,0.15,0,95.5,tr,0,3,tr,0,0,tr,1.25,0.25,0,100,,"lots off moss, maybe hypnum sp",,
2021,9/15/2021,KLAMATH010,"km, mm, ms",457017,4598998,no,0 - unburned,32,265,concave,concave,"psme, node, arbmen",9.3,193,4563,91,89,29,5,8,85,36.67,0,na,0.25,0.3,27,1.1,8.75,0.7,0.25,0.6,tr,1.9,7.5,0.7,8.75,0.5,1,0.3,0.25,0.1,2,95,tr,0,0.5,tr,0,tr,0.5,1.75,0.25,0,100,,"41.541485, -123.51328. did not count resp corcorcal as tre",,
2021,9/15/2021,KLAMATH011,"km, mm, ms",456980,4599046,no,0 - unburned,18,285,undulating,concave,"psme, node, acemac",6.3,196,4579,97,84,6,6,5,77,17.33,0.5,2.7,1,0.3,11.25,1.4,28,1.3,0,na,7,2.3,24,1.3,28,0.5,5.5,0.1,1,0.4,tr,96.75,tr,0,2,tr,0,0.25,tr,0.75,0.25,0,100,,"41.541918, -123.515772",,
2021,9/15/2021,KLAMATH012,"km, mm, ms",456973,4598938,no,0 - unburned,28,82,planar,concave,"arbmen, acemac, psme",7.6,292,4714,87,80,27,6,14,79,27,0,na,0.75,0.4,5.5,1,17,0.6,0.25,0.6,0.5,1.9,12,0.6,17,0.5,5.75,0.8,0.25,0.3,tr,98.25,tr,0,0.5,tr,0,tr,tr,1.25,tr,0,100,,"41.540940, -123.515856; 5% of tof from pteaqu",,
2021,9/15/2021,KLAMATH013,"km, mm, ms",457178,4599264,no,0 - unburned,,,planar,planar,"psme, node, arbmen",6.7,188,4727,98,95,13,0.5,11,85,26.33,9.5,3.3,1.75,0.4,14,1.5,10.75,1.5,0,na,3,2,9.5,1.5,10.25,0.5,13.75,0.3,0.25,0.3,tr,90.25,tr,0,7,tr,0,tr,tr,1.75,1,0,100,,"41.543889, -123.513421",,
