Date,Plot ID,Observers,X,Y,Burn (y/n),Burn Year,FireSeverity,Slope%,Aspect_degree,HorizontalShape,VerticalShape,ExistingVeg (Top3TOV),WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT VEG (%),TOT(%)all,TOT_modHT(m),DT(%)all,DT_modHT(m),TOV(%)>1.4m live,TOV_modHT(m),TSA(%)<1.4m live,TSA_modHT(m),TSE(%),TSE_modHT(m),TRE(%),TRE_modHT(m),TOS(%),TOS_modHT(m),DS(%),DS_modHT(m),ST(%) >1.8m,ST_modHT(m),<1.8m SM(%) >0.5m,SM_modHT(m),SL(%) <0.5m,SL_modHT(m),TOF(%),TOF_modHT(m),TOG(%),TOG_modHT(m),BARESOIL,LITTER,BlackLitter,ASH,CWD (>7.62 cm),CONES% / dom spp.,Boulder/Bedrock (>600 mm),ROCK (75-600mm),SMROCK (<75 mm),BASALVEG,CRYPTOGRAMS,RD,Total Ground Cover (%) ,History,NOTES,
8/30/2021,SHAVER001,"hs, ag, km, mm, sb",,,yes,2020,1,17,252,LL,LL,"cade, abco, pije",2.4,188,4779,34,33,8,2.5,0.3,30,8,2.75,2.4,1.75,0.3,tr,0.1,0.75,0.3,0.75,0.3,0,na,tr,0.55,0.75,0.3,0.25,0.3,tr,0.5,2,81.25,5,10,0.5,tr,0.5,tr,tr,0.5,0.25,0,100,burned in spring 2020?,small trail through plot,
8/30/2021,SHAVER002,"km, mm, sb",,,no,na,0 - unburned,5,252,UN,LL,"cade, abco, pila",10.1,212,4781,54,52,22,0.75,,48,22,3,2.1,5,0.5,0,na,2.75,1.6,0,na,0.25,1.9,2.25,1.6,2.75,0.5,1.5,0.1,0.5,0.1,tr,98,tr,0,0.5,tr,0,0,tr,1.5,tr,0,100,,1% tof is from fern,
8/31/2021,SHAVER003,"km, mm, sb",,,yes,2020,1,4,45,LL,LL,"cade, abco, arcpat",3.3,155,4789,29,24.75,30.5,2.5,0.6,24,30.5,0.25,1.8,0.5,0.4,tr,0.2,2.25,0.7,0,na,0,na,2,0.7,2.25,0.5,4,0.03,0.25,0.4,tr,93,0.5,tr,0,0,tr,6,0.5,0.5,tr,0,100.5,,,
8/31/2021,SHAVER004,"km, mm, sb",,,yes,2020,1,29,292,LL,LL,"quke, cade, abco",7.7,181,4791,42.5,42,24,2.75,8,42,24,0,na,0.25,0.1,0,na,1,0.2,tr,0.2,0,na,0,na,1,0.2,tr,0.1,tr,0.3,1,95.75,0.5,tr,0.75,tr,1,tr,0.25,0.75,tr,0,100,,,
8/31/2021,SHAVER005,"km, mm, sb",,,yes,2020,1,28,285,CV,LL,"cade, abco, quke",8.3,190,4103,70,67,7,11.5,7,67,7,5.25,2.1,2,1.1,0,na,1.25,0.3,2.5,0.6,0,na,0.25,0.8,1.25,0.3,tr,0.1,0,na,tr,82.25,6,0.5,6,tr abco,1.25,tr,tr,4,tr,0,100,,,
8/31/2021,SHAVER006,"km, mm, sb",,,yes,2020,1,23,314,LL,LL,"cade, pipo, elygla",9.8,76,4127,72,8,7,0,na,7.5,7,0.75,3.2,0.25,0.1,0,na,6.5,1.2,tr,0.5,0.25,1.9,5.75,1.2,6.5,0.5,5.5,0.05,65,0.5,0.5,98.5,0.25,tr,0,0,tr,0.25,tr,0.5,0,0,100,,small burn area in NE quad,
9/1/2021,SHAVER007,"jw, km, mm, sb",,,yes,2020,1,27,355,LL,LL,"cade, abco, arcpat",5.3,202,4128,55,25,15,1.25,0.4,21,15,0,na,1,0.2,0,na,23,1.3,4.25,0.3,5,2.1,16,1.3,23,0.5,12,0.4,3.5,1.1,50,47.5,0,0,0.5,0.5,0.25,0.5,0.25,0.5,0,0,100,,,
9/1/2021,SHAVER008,"jw, km, mm, sb",,,no,na,0 - unburned,24,323,LL,LL,"cade, abco, pila",10,183,4135,80,72,6,4,6,68,7,7,2.2,2,0.9,0,na,2,0.5,1,1.4,1,3.1,1.75,0.7,2,0.5,8.75,0.6,0.75,0.1,2,87.5,0,0,3.5,.25 pila,1.75,tr,tr,4,1,0,99.75,,,
9/1/2021,SHAVER009,"jw, km, mm, sb",,,yes,2020,1,7,175,CC,CC,"abco, cade, pteaqu",3.2,202,4161,40,31,9,0.5,0.1,30,9,0.5,1.5,1.5,0.8,0,na,1.75,0.4,0.25,0.3,0,na,0.25,0.6,1.75,0.4,9,0.5,2.25,0.5,1,89.75,4,tr,1,0.25,tr,1,1.5,1.5,tr,0,100,,7% tof from fern,
9/1/2021,SHAVER010,"jw, km, mm, sb",,,yes,2020,1,22,218,LL,LL,"cade, abco, pila",5.5,188,4170,58.75,58,30,1.5,6,57,30,2,2,1.75,0.3,0,na,1.25,0.3,tr,0.2,0,na,tr,0.7,1.25,0.3,0.25,0.1,tr,0.3,1,94.5,3,tr,0,tr,tr,tr,0,1.5,tr,0,100,,.25% of tof from fern,
