plot_id,treatment_type
springs1,control_burn
springs2,control_burn
springs3,control_burn
springs10,control_burn
springs11,2007rx_burn
springs12,2007rx_burn
springs13,2007rx_burn
springs14,2007rx_burn
springs15,2007rx_burn
springs16,2007rx_burn
springs17,2007rx_burn
springs18,control_burn
springs19,control_burn
springs20,control_burn
springs21,control_burn
springs22,control_burn
springs23,control_burn
springs24,control_burn
springs25,control_burn
springs26,2010rx_burn
springs27,2010rx_burn
springs28,2010rx_burn
springs29,2010rx_burn
springs30,2010rx_burn
springs31,2013rx_burn
springs37,control_burn
springs38,2013rx_burn
springs39,2013rx_burn
springs4,control_burn
springs40,control_burn
springs41,control_noburn
springs42,control_noburn
springs43,control_noburn
springs44,control_noburn
springs45,control_noburn
springs46,control_noburn
springs47,control_noburn
springs48,control_noburn
springs49,control_noburn
springs5,control_burn
springs50,control_noburn
springs51,control_noburn
springs6 ,control_burn
springs7,control_burn
springs8,control_burn
springs9,control_burn
