Date,Plot ID,Observers,year,X,Y,Burn (y/n),FireSeverity,Slope%,Aspect_degree,HorizontalShape,VerticalShape,ExistingVeg (Top3TOV),WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT VEG (%),TOT(%)all,TOT_modHT(m),DT(%)all,DT_modHT(m),TOV(%)>1.4m live,TOV_modHT(m),TSA(%)<1.4m live,TSA_modHT(m),TSE(%),TSE_modHT(m),TRE(%),TRE_modHT(m),TOS(%),TOS_modHT(m),DS(%),DS_modHT(m),ST(%) >1.8m,ST_modHT(m),1.8m> SM(%) >0.5m,SM_modHT(m),SL(%) <0.5m,SL_modHT(m),TOF(%),TOF_modHT(m),TOG(%),TOG_modHT(m),BARESOIL,LITTER,BlackLitter,ASH,CWD (>7.62 cm),CONES% / dom spp.,Boulder/Bedrock (>600 mm),ROCK (75-600mm),SMROCK (<75 mm),BASALVEG,CRYPTOGRAMS,RD,Total Ground Cover (%) ,History,NOTES
7/27/2021,WIL001,"km, mm, mv, jw",2021,moved,,no,0 - unburned,25,270,CC,LL,"seqsem, node, quercus",9.6,186,4368,100,93,10,1,5,93,10,27,9,tr,0.3,26,10,23,0.8,0,na,0,na,15,0.8,23,0.5,2,0.3,0.25,0.1,0,97,0,0,tr,tr,0,0,0,3,tr,0,100,,most tsa are tre
7/28/2021,WIL023,"km, mm, mv, jw",2021,moved,,no,0 - unburned,25,175,LL,CC,"psme, qu entire, umbcal",6,150,4701,,90,21,0,na,85,21,7,1.7,2,1,tr,,70,0.5,tr,,2,2.1,3,0.7,70,0.5,3,0.5,3,0.3,0,99.5,0,0,tr,tr,0,0,tr,0.5,tr,0,100,,"west transect through giant poison oak thicket, fuels done 4m closer to center, barbed wire fence through nw quad, fern is predominant forb"
7/28/2021,WIL018,"km, mm, mv",2021,moved,,no,0 - unburned,37,128,CV,CV,"arbmen, psme, quag",2.1,181,4708,100,97,5,7.5,6.3,97,5,7,3.5,2,0.6,2,4,80,0.6,0,na,22,3.2,50,0.6,80,0.5,8,1,0.25,0.4,0,98.5,0,0,0,tr,0,0,0,1.5,tr,0,100,,"corcor is tre, most of tf cover is from fern"
7/28/2021,WIL022,"km, mm, mv",2021,unmoved,,no,0 - unburned,9,259,LL,LL,"qu entire, psme, umbcal",6.4,181,4741,99,79,5,1.5,6.4,76,5,6.25,4.5,2,0.7,0.5,0.3,80,0.4,0,na,2,2,35,0.7,80,0.4,2,0.2,1.25,1,0,94,0,0,5,tr,0,0,0,1,tr,0,100,,
7/29/2021,WIL015,"km, mm, mv",2021,moved,,no,0 - unburned,8,157,LL,LL,"arbmen, psme, hetarb",10,188,4901,100,99,21,1.25,5.4,90,21,60,2.8,2.5,0.5,2,1.5,9,0.3,0,na,1.5,2,2,0.6,9,0.3,1,0.1,1,0.7,0,98,0,0,0.5,0.25,0,0,0,1.25,tr,0,100,,
7/29/2021,WIL016,"km, mm, mv",2021,adjusted,,no,0 - unburned,46,,LL,LL,"psme, umbcal, quag",6.8,180,2940,98,93,6,5.5,3,90,6,44,3.2,0.75,1,12,3,68,2.3,0,na,45,2.3,48,1.7,68,0.5,3.25,0.1,2.5,0.2,0,96,0,0,2,tr,0,0,0,2,tr,0,100,,"started tagging trees at E transect not north, 2 animal stick dens in plot, 1.5% of tof is from fern"
7/29/2021,WIL011,"km, mm, mv",2021,adjusted,,no,0 - unburned,55,208,,,"arbmen, umbcal, quwi",10.5,185,4944,97,97,8,5,4,90,8,80,3,2.5,0.3,0.5,0.3,3,1,0,na,tr,1.9,2.5,1,3,0.5,2,0.4,0.25,0.2,0,95.75,0,0,3,tr,0,0,0,1.25,tr,0,100,,
7/30/2021,WIL007,"km, mm, mv",2021,adjusted,,no,0 - unburned,8,221,LL,LL,"seqsem, node, qu entire",11.1,214,4968,95,89,10,2.5,5,87,10,23,2.7,9,0.8,7,0.8,28,0.4,0,na,tr,1.9,1,0.6,28,0.4,0.75,0.5,0.25,0.2,0,94.5,0,0,3.5,tr,0,0,0,2,tr,0,100,,".5% of tof from fern, large animal stick den in nw quad, some tree data unreadable because of it"
7/30/2021,WIL006,"km, mm, mv",2021,moved to be off creek,,no,0 - unburned,36,270,LL,LL,"seqsem, umbcal, node",11,54,4029,99,90,8,3,5.6,80,8,27,3.4,3,1,4,1.5,4.5,0.2,1,3,3,3.2,3.2,1.7,4.5,0.5,86,0.1,1,0.3,0,97.5,tr,0,0.5,tr,0,0,tr,2,tr,0,100,,"45.5% fern accounts for high tof, but sig overlap with oxiore"
7/30/2021,WIL008,"km, mm, mv",2021,,,no,0 - unburned,11,159,LL,LL,"seqsem, node, arbmen",11.3,200,4044,99,99,16,9,4,99,16,23,4,2,0.6,2,0.6,0.5,0.2,0,na,0.25,2,0,na,0.5,0.2,tr,0.2,0,na,0,97.5,0,0,0.25,tr,0,0,0,2.25,0,0,100,,
7/31/2021,WIL002,"km, mm, mv",2021,,,no,0 - unburned,12,222,LL,LL,"seqsem, psme, node",8,185,4070,99,90,10,4.25,8,80,10,30,4,2.75,1.2,0.5,0.9,36,0.3,0,na,1,2,1,1.2,36,0.3,8,0.8,3.5,0.3,0,94.5,0,0,1.5,tr,0,0,0,4,0,0,100,,6.25% of tof from fern
7/31/2021,WIL003,"km, mm, mv",2021,,,no,0 - unburned,21,82,CC,LL,"seqsem, node, psme",2,245,4087,98,91,48,21,8.9,90,48,16.25,3,2.5,0.5,2,0.5,14,0.3,tr,0.5,0.25,1.9,1,1.3,14,0.3,2.5,0.1,0.25,0.5,0,95.5,tr,0,0.5,tr,0,0,0,4,0,0,100,,1.25% of tof from fern
7/31/2021,WIL005,"km, mm, mv",2021,,,no,0 - unburned,37,150,LL,LL,"seqsem, umbcal, node",5.5,212,4407,98,86,7,2.25,15.6,60,7,34,4,5,0.5,0.5,0.6,27,0.4,0,na,20,2.4,6,0.7,27,0.4,13,0.5,1,1.3,tr,94.25,0,0,5,tr,0,0,tr,0.75,tr,0,100,,"8.25% of tof from fern not incl overlap, corcor accounts for SM and SL now incl ST, some tov from overhanging arbmen (20%)"
8/1/2021,WIL009,"km, mm, mv",2021,,,no,0 - unburned,54,44,,,"seqsem, umbcal, node",10,242,4417,100,99,55,7,2,86,55,34,2.5,8,1,6,0.6,2,0.4,0,na,0.25,2,0.5,1.2,2,0.4,87,0.2,0,na,tr,91,0,0,5,tr,0,0,tr,4,tr,0,100,,"old trail running through middle of plot, 23.5% fern, though mostly overlapping with oxiore"
8/1/2021,WIL012,"km, mm, mv",2021,,,no,0 - unburned,48,170,LL,LL,"seqsem, umbcal, fraxinus",2.8,212,4427,100,80,21,0,na,71,21,31,3.7,4,1.2,0.75,1.4,29,2.4,0,na,20,2.4,25,1.7,29,0.5,51,0.2,0.25,1,tr,93.75,0,0,5,tr,0,0,tr,1.25,tr,0,100,,stinging everything. 9.5% fern
8/1/2021,WIL013,"km, mm, mv",2021,,,no,0 - unburned,39,285,CV,CV,"umbcal, quag, arbmen",6,193,4436,99.5,96,7,4.25,8,95,7,20,3,0.75,0.3,0.25,0.4,55,0.6,0,na,20,2.6,40,0.6,55,0.5,7.5,0.1,7,0.8,tr,96.5,0,0,2,0,0,0,tr,1.5,tr,0,100,,.75% fern
8/2/2021,WIL021,"km, mm, mv",2021,,,no,0 - unburned,40,67,LL,LL,"arbmen, seqsem, umbcal",1,205,4450,99,97,25,3.5,8.7,89,25,43.5,2.2,7.5,0.8,0.75,0.4,15,0.3,0,na,tr,1.9,1.5,1.4,15,0.3,20,0.2,0.75,1.1,0,95.5,0,0,4,tr,0,0,tr,0.5,tr,0,100,,4% fern
8/2/2021,WIL020,"km, mm, mv",2021,,,no,0 - unburned,49,313,CV,LL,"umbcal, quag, seqsem",11.3,235,4457,100,48,21,0.75,11.5,40,21,12.5,3.4,0.75,0.2,0.25,0.6,10.5,0.4,0,na,0,na,3,1.2,10.5,0.4,79,0.3,0,na,tr,91.25,0,0,8,tr,0,0,tr,0.75,tr,0,100,,35% fern but lots of overlap with oxaore
8/2/2021,WIL017,"km, mm, mv",2021,,,no,0 - unburned,23,63,CV,CV,"seqsem, umbcal, psme",7,232,4463,98.5,96,10,2,4.5,95,10,4.5,1.9,3.5,1.2,1.5,1.2,57,2.8,2,3,54,2.8,55,1.7,57,0.5,3,0.3,1.5,0.3,0,93.75,0,0,4,0.25,0,0,tr,2,tr,0,100,,1% of tof is fern
8/3/2021,WIL024,"km, mm, mv",2021,,,no,0 - unburned,40,35,LL,LL,"umbcal, seqsem, psme",11.3,191,4480,98,98,33,tr,0.3,98,33,5.5,3,1.25,0.9,6,3,30,0.3,tr,0.5,0.5,1.9,2,1.1,30,0.4,11.5,0.4,0.5,0.3,tr,97.25,0,0,1.5,tr,0,0,tr,1.25,tr,0,100,,10% of tof is fern
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
