year,pre_post_fire,site,plot_id,observer,species,status,lifeform,layerCode,percent,notes
2019,prefire,frenchmeadows,fm10-1,ag,abco,live,TR,TOV,7,
2019,prefire,frenchmeadows,fm10-1,ag,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm10-1,ag,abco,dead,TR,TOV,1,
2019,prefire,frenchmeadows,fm10-10,ag,abco,live,TR,TOV,40,
2019,prefire,frenchmeadows,fm10-10,ag,abco,live,TR,TSA,tr,
2019,prefire,frenchmeadows,fm10-10,ag,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm10-10,ag,abco,dead,TR,TOV,tr,
2019,prefire,frenchmeadows,fm10-11,ag,abco,live,TR,TOV,35,
2019,prefire,frenchmeadows,fm10-11,ag,abco,live,TR,TSA,tr,
2019,prefire,frenchmeadows,fm10-11,ag,abco,live,TR,TSE,1,
2019,prefire,frenchmeadows,fm10-11,ag,abco,dead,TR,TSE,tr,
2019,prefire,frenchmeadows,fm10-11,ag,abco,dead,TR,TOV,3,
2019,prefire,frenchmeadows,fm10-12,ms,abco,live,TR,TOV,8,
2019,prefire,frenchmeadows,fm10-12,ms,abco,live,TR,TSA,tr,
2019,prefire,frenchmeadows,fm10-12,ms,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm10-13,ms,abco,live,TR,TOV,tr,
2019,prefire,frenchmeadows,fm10-13,ms,abco,live,TR,TSA,tr,
2019,prefire,frenchmeadows,fm10-13,ms,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm10-14,ms,abco,live,TR,TOV,20,
2019,prefire,frenchmeadows,fm10-14,ms,abco,dead,TR,TOV,tr,
2019,prefire,frenchmeadows,fm10-14,ms,abco,live,TR,TSA,tr,
2019,prefire,frenchmeadows,fm10-14,ms,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm10-15,ms,abco,live,TR,TOV,40,
2019,prefire,frenchmeadows,fm10-15,ms,abco,live,TR,TSA,1,
2019,prefire,frenchmeadows,fm10-15,ms,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm10-2,ag,abco,live,TR,TOV,20,
2019,prefire,frenchmeadows,fm10-2,ag,abco,live,TR,TSA,2,
2019,prefire,frenchmeadows,fm10-2,ag,abco,dead,TR,TSA,tr,
2019,prefire,frenchmeadows,fm10-2,ag,abco,dead,TR,TSE,tr,
2019,prefire,frenchmeadows,fm10-3,ag,abco,live,TR,TOV,55,
2019,prefire,frenchmeadows,fm10-3,ag,abco,live,TR,TSA,0.5,
2019,prefire,frenchmeadows,fm10-3,ag,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,Fm10-4,ms,abco,live,TR,TOV,30,
2019,prefire,frenchmeadows,Fm10-4,ms,abco,dead,TR,TOV,2,
2019,prefire,frenchmeadows,Fm10-4,ms,abco,live,TR,TSA,tr,
2019,prefire,frenchmeadows,Fm10-4,ms,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,Fm10-5,ms,abco,live,TR,TOV,3,
2019,prefire,frenchmeadows,Fm10-5,ms,abco,live,TR,TSA,tr,
2019,prefire,frenchmeadows,Fm10-5,ms,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm10-6,ms,abco,live,TR,TOV,30,
2019,prefire,frenchmeadows,fm10-6,ms,abco,dead,TR,TOV,2,
2019,prefire,frenchmeadows,fm10-6,ms,abco,live,TR,TSA,tr,
2019,prefire,frenchmeadows,fm10-6,ms,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm10-7,ms,abco,live,TR,TOV,30,
2019,prefire,frenchmeadows,fm10-7,ms,abco,dead,TR,TOV,1,
2019,prefire,frenchmeadows,fm10-7,ms,abco,live,TR,TSA,1,
2019,prefire,frenchmeadows,fm10-7,ms,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm10-8,ag,abco,live,TR,TOV,45,
2019,prefire,frenchmeadows,fm10-8,ag,abco,live,TR,TSA,5,
2019,prefire,frenchmeadows,fm10-8,ag,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm10-9,ag,abco,live,TR,TOV,35,
2019,prefire,frenchmeadows,fm10-9,ag,abco,live,TR,TSA,tr,
2019,prefire,frenchmeadows,fm10-9,ag,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm10-9,ag,abco,dead,TR,TOV,tr,
2019,prefire,frenchmeadows,fm19-1,ms,abco,live,TR,TOV,45,
2019,prefire,frenchmeadows,fm19-1,ms,abco,dead,TR,TOV,tr,
2019,prefire,frenchmeadows,fm19-1,ms,abco,live,TR,TSA,tr,
2019,prefire,frenchmeadows,fm19-1,ms,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm19-2,ag.ms.,abco,live,TR,TOV,40,
2019,prefire,frenchmeadows,fm19-2,ag.ms.,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm19-2,ag.ms.,abco,live,TR,TSA,tr,
2019,prefire,frenchmeadows,fm19-3,ms,abco,live,TR,TOV,7,
2019,prefire,frenchmeadows,fm19-3,ms,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,Fm19-4,ms,abco,live,TR,TOV,40,
2019,prefire,frenchmeadows,Fm19-4,ms,abco,dead,TR,TOV,1,
2019,prefire,frenchmeadows,Fm19-4,ms,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm19-5,ms,abco,live,TR,TOV,60,
2019,prefire,frenchmeadows,fm19-5,ms,abco,live,TR,TSA,tr,
2019,prefire,frenchmeadows,fm19-5,ms,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm19-6,ag.ms.,abco,dead,TR,TOV,tr,
2019,prefire,frenchmeadows,fm19-6,ag.ms.,abco,live,TR,TSE,tr,
2019,prefire,frenchmeadows,fm19-8,ag,abco,live,TR,TOV,20,
2019,prefire,frenchmeadows,fm19-8,ag,abco,live,TR,TSA,1,
2019,prefire,frenchmeadows,fm19-8,ag,abco,live,TR,TSE,tr,
