site,year,pre_post_fire,plotid,obs,species,status,lifeform,layer_code,percent,notes,,,
frenchmeadows,2020,prefire,FM055,km,ABCO,live,TR,TSE,tr,,,,
frenchmeadows,2020,prefire,FM055,km,ABCO,live,TR,TSA,1,,,,
frenchmeadows,2020,prefire,FM055,km,ABCO,live,TR,TOV,48,,,,
frenchmeadows,2020,prefire,FM055,km,ABCO,dead,TR,TOV,0.5,,,,
frenchmeadows,2020,prefire,FM040,km,ABCO,live,TR,TSE,0.75,,,,
frenchmeadows,2020,prefire,FM040,km,ABCO,live,TR,TSA,0.5,,,,
frenchmeadows,2020,prefire,FM040,km,ABCO,live,TR,TOV,50,,,,
frenchmeadows,2020,prefire,FM040,km,ABCO,dead,TR,TSA,0.5,,,,
frenchmeadows,2020,prefire,FM039,km,ABCO,live,TR,TSE,1,,,,
frenchmeadows,2020,prefire,FM039,km,ABCO,live,TR,TSA,3,,,,
frenchmeadows,2020,prefire,FM039,km,ABCO,live,TR,TOV,10,,,,
frenchmeadows,2020,prefire,FM046,km,ABCO,live,TR,TSE,0.5,,,,
frenchmeadows,2020,prefire,FM046,km,ABCO,live,TR,TSA,6,,,,
frenchmeadows,2020,prefire,FM046,km,ABCO,live,TR,TOV,38,,,,
frenchmeadows,2020,prefire,FM046,km,ABCO,dead,TR,TSA,0.5,,,,
frenchmeadows,2020,prefire,FM046,km,ABCO,dead,TR,TOV,2,,,,
frenchmeadows,2020,prefire,FM047,km,ABCO,live,TR,TSE,tr,,,,
frenchmeadows,2020,prefire,FM047,km,ABCO,live,TR,TSA,5.5,,,,
frenchmeadows,2020,prefire,FM047,km,ABCO,live,TR,TOV,35,,,,
frenchmeadows,2020,prefire,FM047,km,ABCO,dead,TR,TOV,3,,,,
frenchmeadows,2020,prefire,FM057,km,ABCO,live,TR,TSE,0.5,,,,
frenchmeadows,2020,prefire,FM057,km,ABCO,live,TR,TOV,6,,,,
frenchmeadows,2020,prefire,FM057,km,ABCO,dead,TR,TSA,tr,,,,
frenchmeadows,2020,prefire,FM057,km,ABCO,dead,TR,TOV,0.25,,,,
frenchmeadows,2020,prefire,FM069,km,ABCO,live,TR,TSE,0.25,,,,
frenchmeadows,2020,prefire,FM069,km,ABCO,live,TR,TSA,0.5,,,,
frenchmeadows,2020,prefire,FM069,km,ABCO,live,TR,TOV,7,2% from trees outside plot,,,
frenchmeadows,2020,prefire,FM068,km,ABCO,live,TR,TSE,0.25,,,,
