plotid,obs,species,status,lifeform,layer_code,percent,modal_ht_m,notes,site,pre_post_fire,postTime,year
FM19-6,zmz,PIJE,live,TR,TOV,6,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,abies sp,live,TR,TSA,tr,2,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,abies sp,live,TR,TSE,tr,0.05,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,PIJE,live,TR,TSE,tr,0.05,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,abco,dead,TR,TOV,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,CADE,dead,TR,TOV,tr,3,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,QUVA,live,SH,na,10,0.15,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,QUVA,live,SH,na,2,0.3,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,QUVA,dead,SH,na,tr,0.3,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,Salix sp,live,SH,na,tr,1,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,AmaUta,live,SH,na,3,0.1,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,CeaCor,live,SH,na,tr,1,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,symrot,live,SH,na,3,0.3,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,RibVis,live,SH,na,tr,0.12,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmforb10,live,FB,na,tr,na,woody at base mat wooly aster (?),frenchmeadows,postfire,1yr,2022
FM19-6,zmz,allcam,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,collinsia sp,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmphlox5,live,FB,na,tr,na,tiny white phlox fam,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmasteraceae5,live,FB,na,tr,na,"hairy woody at base pale green, looks like antennaria/asteraceae",frenchmeadows,postfire,1yr,2022
FM19-6,zmz,calmon,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,callec,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,drygla,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,big carex,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,gaydif,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmphlox4,live,FB,na,tr,na,spiky pink phloxy,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,erycap,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmforb2,live,FB,na,tr,na,little succ entire lf on rock,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmphlox3,live,FB,na,tr,na,tiny white phlox fam on rock,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,senecio,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmforb11,live,FB,na,tr,na,tiny white fl almost looks like extended scorpioid inf,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmphlox2,live,FB,na,tr,na,bigger phlox fam,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,coltor,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,phahas,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,gayophytum sp,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmphlox1,live,FB,na,tr,na,big sticky hairy phlox,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,viopur,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmasteraceae1,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,mairac,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmdiplacus2,live,FB,na,tr,na,tiny pink diplacus,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,polygonum sp,live,FB,na,tr,na,TRP: labeled w question mark,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmasteraceae2,live,FB,na,tr,na,chic tribe dyc,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmdiplacus1,live,FB,na,tr,na,bigger pink moneyflower,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,thafen,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,eucbre,live,FB,na,tr,na,TRP: labeled w question mark: eucephalus breweri?,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmforb1,live,FB,na,tr,na,silene? basal dark green rosette,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,kelgal,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,sillem,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,monodo,live,FB,na,1,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,pedsem,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,fmgrass2,live,GR,na,tr,na,skinny long inf grass,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,elyely,live,GR,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,elygla,live,GR,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM19-6,zmz,brocar,live,GR,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,eucbre,live,FB,na,1,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,apoand,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,penlae,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,monodo,live,FB,na,15,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,allcam,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,erycap,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,phahyd,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,kelgal,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,osmber,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,pedsem,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,fmasteraceae5,live,FB,na,tr,na,"alt lf woody at base, other lf co, aster famming out of lf axil",frenchmeadows,postfire,1yr,2022
FM39,zmz,fmforb1,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,coltor,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,viopur,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,phahas,live,FB,na,tr,na,TRP: labeled w question mark: phacelia hastata?,frenchmeadows,postfire,1yr,2022
FM39,zmz,deldep,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,sidgla,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,erinud,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,luparb,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,thafen,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,hackelia sp,live,FB,na,2,na,nervosa?,frenchmeadows,postfire,1yr,2022
FM39,zmz,hiealb,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
FM39,zmz,phacelia sp,live,FB,na,tr,na,,frenchmeadows,postfire,1yr,2022
