plotid,obs,species,status,lifeform,layer_code,percent,modal_ht_m,notes,site,pre_post_fire,postTime,year
HCM014,zmz,torarv,live,FB,na,1,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,hcmgalium1,live,FB,na,tr,na,hcmgalium1,henrycoe,postfire,1yr,2022
HCM014,zmz,iris sp,live,FB,na,tr,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,lathyrus sp,live,FB,na,tr,na,lathyrus?,henrycoe,postfire,1yr,2022
HCM014,zmz,carpyn,live,FB,na,tr,na,"called prickly aster 2021, pretty sure it's carduus pyncocephalus",henrycoe,postfire,1yr,2022
HCM014,zmz,agoseris sp,live,FB,na,tr,na,"agoseris? dandelionish, no cauline lf, long toothy basal lf",henrycoe,postfire,1yr,2022
HCM014,zmz,trilax,live,FB,na,tr,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,tarweed ,live,FB,na,tr,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,cynech,live,GR,na,5,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,brodia,live,GR,na,10,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,avefat,live,GR,na,10,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,elygla,live,GR,na,1,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,hcmgrass1,live,GR,na,4,na,another bromus?,henrycoe,postfire,1yr,2022
HCM014,zmz,hcmgrass2,live,GR,na,tr,na,delicate skinny lf grass,henrycoe,postfire,1yr,2022
HCM014,zmz,pentri,live,FERN ,na,tr,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,toxdiv,live,SH,na,1,1.2,,henrycoe,postfire,1yr,2022
HCM014,zmz,arctostaphylos sp,live,SH,na,5,4.5,,henrycoe,postfire,1yr,2022
HCM014,zmz,symphoricarpos sp,live,SH,na,tr,0.6,,henrycoe,postfire,1yr,2022
HCM014,zmz,bacpil,live,SH,na,tr,1.5,,henrycoe,postfire,1yr,2022
HCM014,zmz,umca,live,TR,TSE,tr,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,qudo,live,TR,TOV,25,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,quke,live,TR,TOV,50,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,quke,dead,TR,TOV,tr,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,quke,live,TR,TSE,tr,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,quag,live,TR,TSE,tr,na,,henrycoe,postfire,1yr,2022
HCM014,zmz,umca,live,TR,tre,tr,na,,henrycoe,postfire,1yr,2022
HCM008,zmz,hcmasteraceae1,live,FB,na,tr,na,fuzzy aster 3cm oblanceolate lf,henrycoe,postfire,1yr,2022
HCM008,zmz,acmispon sp,live,FB,na,tr,na,acmispon sp? tiny fab,henrycoe,postfire,1yr,2022
HCM008,zmz,torarv,live,FB,na,tr,na,,henrycoe,postfire,1yr,2022
HCM008,zmz,iris sp,live,FB,na,tr,na,,henrycoe,postfire,1yr,2022
HCM008,zmz,hcmgalium1,live,FB,na,tr,na,,henrycoe,postfire,1yr,2022
HCM008,zmz,sisyrinchium sp,live,FB,na,tr,na,,henrycoe,postfire,1yr,2022
HCM008,zmz,hcmasteraceae2,live,FB,na,tr,na,many layer involucre bunchy asteraceae,henrycoe,postfire,1yr,2022
HCM008,zmz,tarweed,live,FB,na,tr,na,opp lf,henrycoe,postfire,1yr,2022
HCM008,zmz,clarkia sp,live,FB,na,tr,na,tiny clarkia? 4merous dry fr,henrycoe,postfire,1yr,2022
HCM008,zmz,galand,live,FB,na,tr,na,,henrycoe,postfire,1yr,2022
HCM008,zmz,achmil,live,FB,na,tr,na,,henrycoe,postfire,1yr,2022
HCM008,zmz,trifolium sp,live,FB,na,tr,na,,henrycoe,postfire,1yr,2022
HCM008,zmz,primula sp,live,FB,na,tr,na,primula clevelandii or hendersonii,henrycoe,postfire,1yr,2022
HCM008,zmz,themidaceae,live,FB,na,tr,na,,henrycoe,postfire,1yr,2022
HCM008,zmz,hcmasteraceae4,live,FB,na,tr,na,"teeny dandelionish fb, 6cm tall",henrycoe,postfire,1yr,2022
HCM008,zmz,brodia,live,GR,na,1,na,,henrycoe,postfire,1yr,2022
HCM008,zmz,avefat,live,GR,na,1,na,,henrycoe,postfire,1yr,2022
HCM008,zmz,elygla,live,GR,na,1,na,,henrycoe,postfire,1yr,2022
