plotid,obs,species,status,lifeform,layer_code,percent,modal_ht_m,notes,site,pre_post_fire,postTime,year
Odell005,"TP, ZMZ",TORARV,live,FB,na,tr,na,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",odefabaceae2,live,FB,na,tr,na,skinny leaf vetchy fab,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",odefabaceae1,live,FB,na,tr,na,5 leaflet fab,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",osmber,live,FB,na,tr,na,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",galpor,live,FB,na,tr,na,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",tarweed,live,FB,na,tr,na,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",sanicula sp,live,FB,na,tr,na,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",claper,live,FB,na,tr,na,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",odeforb1,live,FB,na,tr,na,spiny toothed basal rosette,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",tarweed,live,FB,na,tr,na,non sticky,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",trifolium sp,live,FB,na,tr,na,small,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",stemed,live,FB,na,tr,na,chickweed,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",hypper,live,FB,na,tr,na,st johns wort,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",odeforb2,live,FB,na,tr,na,hairy serrate little leaf,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",odeforb3,live,FB,na,tr,na,divided leaf lil woodyish sprout,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",galpar,live,FB,na,tr,na,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",odeforb4,live,FB,na,tr,na,cordate toothed tiny sprout,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",odebrassicaceae1,live,FB,na,tr,na,long seed mustard,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",cynech,live,GR,na,15,na,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",elygla,live,GR,na,tr,na,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",odegrass1,live,GR,na,tr,na,aira? tiny lacy grass,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",odegrass2,live,GR,na,tr,na,long awn,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",frangula sp,live,SH,na,tr,0.2,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",toxdiv,live,SH,na,tr,0.15,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",archtostaphylos,live,SH,na,tr,2.7,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",aescal,live,TR,other,tr,0.8,resprout,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",quke,live,TR,TOV,70,19,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",quke,live,TR,TSE,tr,0.1,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",quwi,live,TR,TOV,5,18,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",quch,live,TR,TOV,10,8,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",quch,live,TR,TSE,tr,0.1,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",pipo,live,TR,TOV,tr,11,,odell,postfire,.25yr,2022
Odell005,"TP, ZMZ",pipo,live,TR,TSE,tr,0.1,,odell,postfire,.25yr,2022
Odell002,"TP, ZMZ",trifolium sp,live,FB,tr,tr,na,small,odell,postfire,.25yr,2022
Odell002,"TP, ZMZ",tritolium sp,live,FB,tr,tr,na,larger,odell,postfire,.25yr,2022
Odell002,"TP, ZMZ",TORARV,live,FB,tr,tr,na,,odell,postfire,.25yr,2022
